Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00122841, 0.251163, 0.005, 0.747608
0.25, 0, 0.00184189, 0.252952, 0.005, 0.745206
0.25, 0, 0.00250745, 0.24301, 0.005, 0.754482
0.25, 0, 0.0021666, 0.257947, 0.005, 0.739886
0.25, 0, 0.00216162, 0.240282, 0.005, 0.757556
0.25, 0, 0.00171787, 0.255028, 0.005, 0.743254
0.25, 0, 0.00213391, 0.245343, 0.005, 0.752523
0.25, 0, 0.00181372, 0.257038, 0.005, 0.741148
0.25, 0, 0.00130962, 0.246155, 0.005, 0.752536
0.25, 0, 0.00161649, 0.248935, 0.005, 0.749449
0.25, 0, 0.00380087, 0.262386, 0.005, 0.733813
0.25, 0, 0.00167518, 0.258365, 0.005, 0.73996
0.25, 0, 0.00194674, 0.254332, 0.005, 0.743721
0.25, 0, 0.00317917, 0.248002, 0.005, 0.748819
0.25, 0, 0.0022336, 0.243858, 0.005, 0.753909
0.25, 0, 0.00166159, 0.240816, 0.005, 0.757522
0.25, 0, 0.00226709, 0.248825, 0.005, 0.748908
0.25, 0, 0.00312215, 0.25558, 0.005, 0.741297
0.25, 0, 0.00231595, 0.253864, 0.005, 0.74382
0.25, 0, 0.00211845, 0.257367, 0.005, 0.740515
0.25, 0, 0.00252198, 0.247904, 0.005, 0.749574
0.25, 0, 0.00249137, 0.249845, 0.005, 0.747664
0.25, 0, 0.00274, 0.247633, 0.005, 0.749627
0.25, 0, 0.00139878, 0.257449, 0.005, 0.741152
0.25, 0, 0.00145523, 0.25447, 0.005, 0.744075
0.25, 0, 0.00156536, 0.239463, 0.005, 0.758971
0.25, 0, 0.00330898, 0.248918, 0.005, 0.747773
0.25, 0, 0.00252999, 0.245847, 0.005, 0.751623
0.25, 0, 0.00211716, 0.259681, 0.005, 0.738201
0.25, 0, 0.00254496, 0.249546, 0.005, 0.747909
0.25, 0, 0.00350038, 0.258867, 0.005, 0.737632
0.25, 0, 0.00162314, 0.25183, 0.005, 0.746547
0.25, 0, 0.00162032, 0.249802, 0.005, 0.748578
0.25, 0, 0.00238904, 0.25066, 0.005, 0.746951
0.25, 0, 0.00192005, 0.244152, 0.005, 0.753928
0.25, 0, 0.00143916, 0.25459, 0.005, 0.743971
0.25, 0, 0.000932578, 0.244755, 0.005, 0.754312
0.25, 0, 0.00255124, 0.24334, 0.005, 0.754109
