Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00207181, 0.246389, 0.005, 0.751539
0.25, 0, 0.00209737, 0.242963, 0.005, 0.75494
0.25, 0, 0.00195781, 0.250346, 0.005, 0.747696
0.25, 0, 0.00178518, 0.249278, 0.005, 0.748937
0.25, 0, 0.00183657, 0.25751, 0.005, 0.740653
0.25, 0, 0.00191457, 0.262039, 0.005, 0.736047
0.25, 0, 0.00308808, 0.249822, 0.005, 0.747089
0.25, 0, 0.00320911, 0.251385, 0.005, 0.745406
0.25, 0, 0.00202939, 0.244557, 0.005, 0.753414
0.25, 0, 0.0013945, 0.247323, 0.005, 0.751283
0.25, 0, 0.00257865, 0.250317, 0.005, 0.747104
0.25, 0, 0.00187082, 0.242667, 0.005, 0.755462
0.25, 0, 0.00298608, 0.25454, 0.005, 0.742474
0.25, 0, 0.00223598, 0.244208, 0.005, 0.753556
0.25, 0, 0.00247487, 0.247019, 0.005, 0.750506
0.25, 0, 0.00129255, 0.254058, 0.005, 0.74465
0.25, 0, 0.00123442, 0.252692, 0.005, 0.746074
0.25, 0, 0.0022075, 0.250723, 0.005, 0.747069
0.25, 0, 0.00198226, 0.253566, 0.005, 0.744452
0.25, 0, 0.00330076, 0.249098, 0.005, 0.747601
0.25, 0, 0.00211446, 0.242076, 0.005, 0.75581
0.25, 0, 0.00286807, 0.256415, 0.005, 0.740717
0.25, 0, 0.00174145, 0.25547, 0.005, 0.742789
0.25, 0, 0.00406696, 0.251592, 0.005, 0.744341
0.25, 0, 0.00280302, 0.24555, 0.005, 0.751647
0.25, 0, 0.00406645, 0.256147, 0.005, 0.739786
0.25, 0, 0.00110179, 0.24683, 0.005, 0.752069
0.25, 0, 0.00266438, 0.243768, 0.005, 0.753568
0.25, 0, 0.00324991, 0.24782, 0.005, 0.74893
0.25, 0, 0.00226951, 0.247361, 0.005, 0.75037
0.25, 0, 0.0012147, 0.250103, 0.005, 0.748682
0.25, 0, 0.00257229, 0.251929, 0.005, 0.745499
0.25, 0, 0.00233041, 0.26184, 0.005, 0.73583
0.25, 0, 0.0026195, 0.249406, 0.005, 0.747974
0.25, 0, 0.00249413, 0.267074, 0.005, 0.730432
0.25, 0, 0.00199071, 0.252046, 0.005, 0.745963
0.25, 0, 0.00192005, 0.250605, 0.005, 0.747475
0.25, 0, 0.00358492, 0.248931, 0.005, 0.747484
0.25, 0, 0.00254842, 0.240769, 0.005, 0.756682
0.25, 0, 0.00235495, 0.255708, 0.005, 0.741937
0.25, 0, 0.00301715, 0.249779, 0.005, 0.747204
0.25, 0, 0.00200227, 0.245937, 0.005, 0.75206
0.25, 0, 0.00178458, 0.245818, 0.005, 0.752398
0.25, 0, 0.00192043, 0.243468, 0.005, 0.754612
0.25, 0, 0.00178416, 0.248472, 0.005, 0.749743
0.25, 0, 0.0019624, 0.245621, 0.005, 0.752417
0.25, 0, 0.0016308, 0.254517, 0.005, 0.743852
0.25, 0, 0.00162559, 0.244727, 0.005, 0.753647
0.25, 0, 0.00218996, 0.24652, 0.005, 0.75129
0.25, 0, 0.00295499, 0.242126, 0.005, 0.754919
0.25, 0, 0.00279401, 0.266804, 0.005, 0.730402
0.25, 0, 0.00151966, 0.244709, 0.005, 0.753772
0.25, 0, 0.00232365, 0.260267, 0.005, 0.737409
0.25, 0, 0.00268636, 0.261768, 0.005, 0.735546
0.25, 0, 0.00373733, 0.245423, 0.005, 0.75084
0.25, 0, 0.0025261, 0.252963, 0.005, 0.744511
0.25, 0, 0.00146952, 0.253281, 0.005, 0.74525
0.25, 0, 0.0021302, 0.257229, 0.005, 0.740641
0.25, 0, 0.0024222, 0.248045, 0.005, 0.749533
0.25, 0, 0.00281838, 0.249993, 0.005, 0.747189
0.25, 0, 0.00331159, 0.247484, 0.005, 0.749205
0.25, 0, 0.00318291, 0.239196, 0.005, 0.757621
0.25, 0, 0.00213316, 0.258965, 0.005, 0.738901
0.25, 0, 0.00185882, 0.246383, 0.005, 0.751759
0.25, 0, 0.00247876, 0.25466, 0.005, 0.742861
0.25, 0, 0.00289847, 0.244468, 0.005, 0.752634
0.25, 0, 0.00239869, 0.254221, 0.005, 0.74338
0.25, 0, 0.00231138, 0.244852, 0.005, 0.752837
0.25, 0, 0.0031842, 0.247051, 0.005, 0.749765
0.25, 0, 0.001667, 0.23975, 0.005, 0.758583
0.25, 0, 0.00287983, 0.254417, 0.005, 0.742704
0.25, 0, 0.00315415, 0.247614, 0.005, 0.749232
0.25, 0, 0.00213311, 0.244958, 0.005, 0.752909
0.25, 0, 0.00255463, 0.240279, 0.005, 0.757167
0.25, 0, 0.0019967, 0.243441, 0.005, 0.754562
0.25, 0, 0.00178761, 0.246309, 0.005, 0.751903
0.25, 0, 0.00353815, 0.258308, 0.005, 0.738154
0.25, 0, 0.00197337, 0.253792, 0.005, 0.744234
0.25, 0, 0.00265538, 0.252232, 0.005, 0.745112
0.25, 0, 0.00194717, 0.26547, 0.005, 0.732583
0.25, 0, 0.00252207, 0.252127, 0.005, 0.745351
0.25, 0, 0.00196576, 0.238862, 0.005, 0.759172
0.25, 0, 0.00226205, 0.252301, 0.005, 0.745437
0.25, 0, 0.00366161, 0.25285, 0.005, 0.743489
0.25, 0, 0.00236686, 0.234139, 0.005, 0.763494
0.25, 0, 0.00275268, 0.253749, 0.005, 0.743498
0.25, 0, 0.00223671, 0.243355, 0.005, 0.754408
0.25, 0, 0.00138912, 0.243, 0.005, 0.755611
0.25, 0, 0.00153469, 0.237635, 0.005, 0.76083
0.25, 0, 0.00292431, 0.244198, 0.005, 0.752878
0.25, 0, 0.00261085, 0.247184, 0.005, 0.750205
0.25, 0, 0.00232352, 0.259128, 0.005, 0.738548
0.25, 0, 0.00229912, 0.245347, 0.005, 0.752354
0.25, 0, 0.00106942, 0.247867, 0.005, 0.751064
0.25, 0, 0.0027738, 0.255143, 0.005, 0.742083
0.25, 0, 0.00129107, 0.25017, 0.005, 0.748539
0.25, 0, 0.0028094, 0.24297, 0.005, 0.754221
0.25, 0, 0.00309832, 0.255275, 0.005, 0.741626
0.25, 0, 0.00291735, 0.254049, 0.005, 0.743034
0.25, 0, 0.0015998, 0.254408, 0.005, 0.743993
0.25, 0, 0.00449274, 0.254061, 0.01, 0.741446
0.25, 0, 0.00685016, 0.242737, 0.01, 0.750413
0.25, 0, 0.00543292, 0.249218, 0.01, 0.745349
0.25, 0, 0.005192, 0.247292, 0.01, 0.747516
0.25, 0, 0.00537425, 0.234871, 0.01, 0.759755
0.25, 0, 0.00293897, 0.246181, 0.01, 0.75088
0.25, 0, 0.00513637, 0.249151, 0.01, 0.745713
0.25, 0, 0.00517847, 0.24538, 0.01, 0.749442
0.25, 0, 0.00545231, 0.246166, 0.01, 0.748381
0.25, 0, 0.00418556, 0.25859, 0.01, 0.737224
0.25, 0, 0.00510366, 0.242823, 0.01, 0.752073
0.25, 0, 0.00413784, 0.247108, 0.01, 0.748755
0.25, 0, 0.00404741, 0.254475, 0.01, 0.741478
0.25, 0, 0.0043343, 0.252355, 0.01, 0.743311
0.25, 0, 0.00317707, 0.243181, 0.01, 0.753642
0.25, 0, 0.00470028, 0.251892, 0.01, 0.743407
0.25, 0, 0.00441945, 0.249131, 0.01, 0.74645
0.25, 0, 0.00520893, 0.241278, 0.01, 0.753513
0.25, 0, 0.0058647, 0.256794, 0.01, 0.737342
0.25, 0, 0.00312826, 0.253546, 0.01, 0.743326
0.25, 0, 0.00364163, 0.245806, 0.01, 0.750553
0.25, 0, 0.00595015, 0.241609, 0.01, 0.752441
0.25, 0, 0.00419642, 0.248066, 0.01, 0.747737
0.25, 0, 0.00359295, 0.237671, 0.01, 0.758736
0.25, 0, 0.00510922, 0.246436, 0.01, 0.748455
0.25, 0, 0.00273209, 0.244485, 0.01, 0.752783
0.25, 0, 0.00441978, 0.249668, 0.01, 0.745912
0.25, 0, 0.00520906, 0.252093, 0.01, 0.742698
0.25, 0, 0.00321996, 0.252824, 0.01, 0.743956
0.25, 0, 0.005555, 0.251142, 0.01, 0.743303
0.25, 0, 0.00523057, 0.245911, 0.01, 0.748858
0.25, 0, 0.00356622, 0.251091, 0.01, 0.745343
0.25, 0, 0.00437604, 0.251433, 0.01, 0.744191
0.25, 0, 0.0038967, 0.257269, 0.01, 0.738835
0.25, 0, 0.00440817, 0.238118, 0.01, 0.757473
0.25, 0, 0.00427795, 0.24517, 0.01, 0.750552
0.25, 0, 0.0048335, 0.248703, 0.01, 0.746464
0.25, 0, 0.00384682, 0.251733, 0.01, 0.74442
0.25, 0, 0.00422492, 0.26351, 0.01, 0.732265
0.25, 0, 0.00520044, 0.244261, 0.01, 0.750539
0.25, 0, 0.00288, 0.263647, 0.01, 0.733473
0.25, 0, 0.00332654, 0.260853, 0.01, 0.735821
0.25, 0, 0.00257333, 0.244471, 0.01, 0.752956
0.25, 0, 0.00492699, 0.25279, 0.01, 0.742283
0.25, 0, 0.00493163, 0.24467, 0.01, 0.750398
0.25, 0, 0.00355186, 0.250681, 0.01, 0.745767
0.25, 0, 0.00480489, 0.261305, 0.01, 0.73389
0.25, 0, 0.00571736, 0.253664, 0.01, 0.740618
0.25, 0, 0.00397526, 0.250791, 0.01, 0.745233
0.25, 0, 0.00379992, 0.247306, 0.01, 0.748894
0.25, 0, 0.00430972, 0.254174, 0.01, 0.741517
0.25, 0, 0.00435808, 0.252263, 0.01, 0.743379
0.25, 0, 0.00351422, 0.255455, 0.01, 0.741031
0.25, 0, 0.00437395, 0.24477, 0.01, 0.750856
0.25, 0, 0.00346795, 0.245744, 0.01, 0.750788
0.25, 0, 0.00534027, 0.253152, 0.01, 0.741508
0.25, 0, 0.0042888, 0.260281, 0.01, 0.73543
0.25, 0, 0.00424712, 0.237936, 0.01, 0.757817
0.25, 0, 0.00552281, 0.253763, 0.01, 0.740714
0.25, 0, 0.00330239, 0.238098, 0.01, 0.7586
0.25, 0, 0.00364041, 0.245011, 0.01, 0.751348
0.25, 0, 0.00451862, 0.234356, 0.01, 0.761125
0.25, 0, 0.0047554, 0.240398, 0.01, 0.754847
0.25, 0, 0.00438414, 0.245187, 0.01, 0.750429
0.25, 0, 0.00585578, 0.253018, 0.01, 0.741126
0.25, 0, 0.00461791, 0.244816, 0.01, 0.750566
0.25, 0, 0.0065164, 0.249971, 0.01, 0.743513
0.25, 0, 0.00587269, 0.244436, 0.01, 0.749691
0.25, 0, 0.00440855, 0.25262, 0.01, 0.742971
0.25, 0, 0.00425102, 0.250657, 0.01, 0.745092
0.25, 0, 0.00566529, 0.250674, 0.01, 0.743661
0.25, 0, 0.0040396, 0.250958, 0.01, 0.745003
0.25, 0, 0.00582424, 0.246947, 0.01, 0.747229
0.25, 0, 0.00582421, 0.248781, 0.01, 0.745395
0.25, 0, 0.00757171, 0.26604, 0.01, 0.726388
0.25, 0, 0.00619518, 0.252592, 0.01, 0.741213
0.25, 0, 0.00466669, 0.240774, 0.01, 0.75456
