Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00322807, 0.24088, 0.005, 0.755892
0.25, 0, 0.0030555, 0.249753, 0.005, 0.747192
0.25, 0, 0.00319855, 0.252482, 0.005, 0.74432
0.25, 0, 0.00138981, 0.260773, 0.005, 0.737837
0.25, 0, 0.00216128, 0.242267, 0.005, 0.755572
0.25, 0, 0.0019476, 0.267196, 0.005, 0.730856
0.25, 0, 0.00181535, 0.252745, 0.005, 0.74544
0.25, 0, 0.00229192, 0.256335, 0.005, 0.741373
0.25, 0, 0.00304367, 0.24705, 0.005, 0.749907
0.25, 0, 0.00117847, 0.245149, 0.005, 0.753672
0.25, 0, 0.00127724, 0.244394, 0.005, 0.754329
0.25, 0, 0.00222903, 0.250043, 0.005, 0.747728
0.25, 0, 0.00151845, 0.249861, 0.005, 0.748621
0.25, 0, 0.00258581, 0.23847, 0.005, 0.758944
0.25, 0, 0.00213097, 0.246083, 0.005, 0.751786
0.25, 0, 0.00241685, 0.247563, 0.005, 0.75002
0.25, 0, 0.00184091, 0.245241, 0.005, 0.752918
0.25, 0, 0.00113753, 0.251524, 0.005, 0.747338
0.25, 0, 0.0019748, 0.252871, 0.005, 0.745154
0.25, 0, 0.0027528, 0.247831, 0.005, 0.749416
0.25, 0, 0.0021276, 0.249284, 0.005, 0.748589
0.25, 0, 0.0026075, 0.250595, 0.005, 0.746797
0.25, 0, 0.00183027, 0.249075, 0.005, 0.749095
0.25, 0, 0.00124848, 0.249925, 0.005, 0.748826
0.25, 0, 0.00376178, 0.247021, 0.005, 0.749217
0.25, 0, 0.00302912, 0.25751, 0.005, 0.739461
0.25, 0, 0.00235269, 0.26271, 0.005, 0.734937
0.25, 0, 0.00267475, 0.255573, 0.005, 0.741752
0.25, 0, 0.00206402, 0.24242, 0.005, 0.755516
0.25, 0, 0.00258432, 0.256049, 0.005, 0.741366
0.25, 0, 0.00152982, 0.2518, 0.005, 0.74667
0.25, 0, 0.00188923, 0.249525, 0.005, 0.748586
0.25, 0, 0.000754761, 0.252252, 0.005, 0.746993
0.25, 0, 0.00132133, 0.246759, 0.005, 0.75192
0.25, 0, 0.00285238, 0.24974, 0.005, 0.747407
0.25, 0, 0.00233831, 0.265084, 0.005, 0.732577
0.25, 0, 0.00205009, 0.251128, 0.005, 0.746822
0.25, 0, 0.00261338, 0.247211, 0.005, 0.750176
0.25, 0, 0.00218937, 0.251762, 0.005, 0.746048
0.25, 0, 0.00289407, 0.258911, 0.005, 0.738195
0.25, 0, 0.00190344, 0.25208, 0.005, 0.746017
0.25, 0, 0.00171082, 0.246499, 0.005, 0.75179
0.25, 0, 0.00189532, 0.252005, 0.005, 0.7461
0.25, 0, 0.00258715, 0.256447, 0.005, 0.740966
0.25, 0, 0.00225724, 0.24466, 0.005, 0.753083
0.25, 0, 0.00335914, 0.256303, 0.005, 0.740338
0.25, 0, 0.00208369, 0.245798, 0.005, 0.752118
0.25, 0, 0.00160517, 0.256726, 0.005, 0.741669
0.25, 0, 0.00116478, 0.247997, 0.005, 0.750839
0.25, 0, 0.00264679, 0.251722, 0.005, 0.745632
0.25, 0, 0.00202798, 0.250401, 0.005, 0.747571
0.25, 0, 0.00332041, 0.254787, 0.005, 0.741892
0.25, 0, 0.00261775, 0.253994, 0.005, 0.743389
0.25, 0, 0.000857311, 0.261517, 0.005, 0.737625
0.25, 0, 0.00286154, 0.252756, 0.005, 0.744382
0.25, 0, 0.00170213, 0.246189, 0.005, 0.752109
0.25, 0, 0.00251188, 0.254279, 0.005, 0.743209
0.25, 0, 0.00237926, 0.248192, 0.005, 0.749428
0.25, 0, 0.0018171, 0.254474, 0.005, 0.743709
0.25, 0, 0.00275099, 0.241839, 0.005, 0.75541
0.25, 0, 0.00213459, 0.247882, 0.005, 0.749983
0.25, 0, 0.00145641, 0.242683, 0.005, 0.75586
0.25, 0, 0.00240646, 0.253966, 0.005, 0.743628
0.25, 0, 0.00142983, 0.252274, 0.005, 0.746296
0.25, 0, 0.00283542, 0.25175, 0.005, 0.745415
0.25, 0, 0.00384949, 0.23693, 0.005, 0.75922
0.25, 0, 0.00201702, 0.250257, 0.005, 0.747726
0.25, 0, 0.00300265, 0.252574, 0.005, 0.744423
0.25, 0, 0.00166164, 0.252191, 0.005, 0.746148
0.25, 0, 0.0022103, 0.243341, 0.005, 0.754448
0.25, 0, 0.00217216, 0.241908, 0.005, 0.75592
0.25, 0, 0.00224381, 0.245935, 0.005, 0.751821
0.25, 0, 0.00207415, 0.257237, 0.005, 0.740689
0.25, 0, 0.00253127, 0.255448, 0.005, 0.74202
0.25, 0, 0.000915589, 0.261665, 0.005, 0.73742
0.25, 0, 0.00195312, 0.256013, 0.005, 0.742034
0.25, 0, 0.00135143, 0.252144, 0.005, 0.746504
0.25, 0, 0.00100213, 0.25077, 0.005, 0.748228
0.25, 0, 0.00308049, 0.246692, 0.005, 0.750227
0.25, 0, 0.00191848, 0.254234, 0.005, 0.743847
0.25, 0, 0.00237093, 0.238418, 0.005, 0.759211
0.25, 0, 0.00280753, 0.241165, 0.005, 0.756027
0.25, 0, 0.00231875, 0.254998, 0.005, 0.742683
0.25, 0, 0.00299438, 0.247877, 0.005, 0.749128
0.25, 0, 0.00214826, 0.25238, 0.005, 0.745472
0.25, 0, 0.00306664, 0.250199, 0.005, 0.746734
0.25, 0, 0.00215026, 0.246087, 0.005, 0.751762
0.25, 0, 0.00183211, 0.25419, 0.005, 0.743978
0.25, 0, 0.00201878, 0.250482, 0.005, 0.747499
0.25, 0, 0.00241455, 0.257312, 0.005, 0.740273
0.25, 0, 0.00156574, 0.238742, 0.005, 0.759692
0.25, 0, 0.00226435, 0.249782, 0.005, 0.747953
0.25, 0, 0.00181313, 0.258927, 0.005, 0.73926
0.25, 0, 0.0028411, 0.248033, 0.005, 0.749126
0.25, 0, 0.00220252, 0.235795, 0.005, 0.762003
0.25, 0, 0.00279777, 0.247019, 0.005, 0.750183
0.25, 0, 0.00241273, 0.252679, 0.005, 0.744908
0.25, 0, 0.00198791, 0.249304, 0.005, 0.748708
0.25, 0, 0.00110562, 0.249104, 0.005, 0.74979
0.25, 0, 0.00277894, 0.24586, 0.005, 0.751361
0.25, 0, 0.00451311, 0.241684, 0.01, 0.753803
0.25, 0, 0.00411855, 0.251859, 0.01, 0.744023
0.25, 0, 0.00522386, 0.247068, 0.01, 0.747708
0.25, 0, 0.00459286, 0.236797, 0.01, 0.758611
0.25, 0, 0.00556425, 0.252216, 0.01, 0.742219
0.25, 0, 0.00376925, 0.249311, 0.01, 0.74692
0.25, 0, 0.00416544, 0.259373, 0.01, 0.736461
0.25, 0, 0.0044712, 0.250164, 0.01, 0.745365
0.25, 0, 0.00378548, 0.254706, 0.01, 0.741508
0.25, 0, 0.00301156, 0.249011, 0.01, 0.747978
0.25, 0, 0.00275165, 0.254574, 0.01, 0.742675
0.25, 0, 0.003342, 0.261386, 0.01, 0.735272
0.25, 0, 0.0045257, 0.251584, 0.01, 0.743891
0.25, 0, 0.00416379, 0.259302, 0.01, 0.736534
0.25, 0, 0.00420997, 0.243205, 0.01, 0.752585
0.25, 0, 0.00393796, 0.252072, 0.01, 0.74399
0.25, 0, 0.00481463, 0.257283, 0.01, 0.737903
0.25, 0, 0.00505913, 0.258822, 0.01, 0.736119
0.25, 0, 0.00577271, 0.251367, 0.01, 0.74286
0.25, 0, 0.00447073, 0.249869, 0.01, 0.745661
0.25, 0, 0.00420499, 0.254214, 0.01, 0.741581
0.25, 0, 0.00426418, 0.248625, 0.01, 0.747111
0.25, 0, 0.00500167, 0.250818, 0.01, 0.744181
0.25, 0, 0.00528118, 0.256739, 0.01, 0.73798
0.25, 0, 0.00392876, 0.254264, 0.01, 0.741808
0.25, 0, 0.00370771, 0.248385, 0.01, 0.747907
0.25, 0, 0.00486209, 0.24183, 0.01, 0.753307
0.25, 0, 0.00449202, 0.257749, 0.01, 0.737759
0.25, 0, 0.00509839, 0.249948, 0.01, 0.744954
0.25, 0, 0.00491388, 0.253397, 0.01, 0.741689
0.25, 0, 0.00625922, 0.248914, 0.01, 0.744827
0.25, 0, 0.00466438, 0.257387, 0.01, 0.737949
0.25, 0, 0.00545904, 0.248439, 0.01, 0.746102
0.25, 0, 0.0048665, 0.245025, 0.01, 0.750109
0.25, 0, 0.00440015, 0.258457, 0.01, 0.737143
0.25, 0, 0.00410777, 0.25139, 0.01, 0.744503
0.25, 0, 0.00567798, 0.245246, 0.01, 0.749076
0.25, 0, 0.00571339, 0.254399, 0.01, 0.739887
0.25, 0, 0.00380189, 0.258781, 0.01, 0.737417
0.25, 0, 0.00294599, 0.253481, 0.01, 0.743573
0.25, 0, 0.00483478, 0.249902, 0.01, 0.745263
0.25, 0, 0.00580405, 0.252178, 0.01, 0.742018
0.25, 0, 0.00356707, 0.252324, 0.01, 0.744109
0.25, 0, 0.00378955, 0.25123, 0.01, 0.744981
0.25, 0, 0.00394997, 0.243572, 0.01, 0.752478
0.25, 0, 0.00576517, 0.262987, 0.01, 0.731248
0.25, 0, 0.004454, 0.251796, 0.01, 0.74375
0.25, 0, 0.00516667, 0.234727, 0.01, 0.760107
0.25, 0, 0.00243143, 0.240049, 0.01, 0.75752
0.25, 0, 0.00360743, 0.244936, 0.01, 0.751456
0.25, 0, 0.00293237, 0.243264, 0.01, 0.753804
0.25, 0, 0.00424613, 0.254652, 0.01, 0.741101
0.25, 0, 0.00577131, 0.246415, 0.01, 0.747814
0.25, 0, 0.00453377, 0.245088, 0.01, 0.750379
0.25, 0, 0.00615772, 0.24329, 0.01, 0.750552
0.25, 0, 0.00434961, 0.260013, 0.01, 0.735637
0.25, 0, 0.00339917, 0.255258, 0.01, 0.741343
0.25, 0, 0.00283098, 0.255608, 0.01, 0.741561
0.25, 0, 0.00502533, 0.260497, 0.01, 0.734477
0.25, 0, 0.00539475, 0.243695, 0.01, 0.75091
0.25, 0, 0.0035585, 0.243046, 0.01, 0.753396
0.25, 0, 0.00513123, 0.249447, 0.01, 0.745421
0.25, 0, 0.00772963, 0.249342, 0.01, 0.742928
0.25, 0, 0.00558678, 0.240187, 0.01, 0.754226
0.25, 0, 0.00499614, 0.251811, 0.01, 0.743193
0.25, 0, 0.00448186, 0.25414, 0.01, 0.741378
0.25, 0, 0.00393787, 0.2495, 0.01, 0.746562
0.25, 0, 0.00478172, 0.247803, 0.01, 0.747415
0.25, 0, 0.00592258, 0.249474, 0.01, 0.744604
0.25, 0, 0.00586214, 0.237911, 0.01, 0.756227
0.25, 0, 0.00377686, 0.246198, 0.01, 0.750025
0.25, 0, 0.00586899, 0.256553, 0.01, 0.737578
0.25, 0, 0.00374374, 0.243386, 0.01, 0.75287
0.25, 0, 0.00346371, 0.235252, 0.01, 0.761284
0.25, 0, 0.00503071, 0.257123, 0.01, 0.737847
0.25, 0, 0.00347981, 0.256244, 0.01, 0.740276
0.25, 0, 0.00415742, 0.248392, 0.01, 0.74745
0.25, 0, 0.00473243, 0.251035, 0.01, 0.744232
0.25, 0, 0.00495365, 0.24634, 0.01, 0.748706
0.25, 0, 0.00469978, 0.239551, 0.01, 0.755749
0.25, 0, 0.00513108, 0.255782, 0.01, 0.739087
0.25, 0, 0.0036297, 0.249003, 0.01, 0.747367
0.25, 0, 0.00543361, 0.255331, 0.01, 0.739235
0.25, 0, 0.00478452, 0.245878, 0.01, 0.749337
0.25, 0, 0.00519442, 0.242088, 0.01, 0.752717
0.25, 0, 0.00568831, 0.234764, 0.01, 0.759548
0.25, 0, 0.00664283, 0.246889, 0.01, 0.746469
0.25, 0, 0.00258508, 0.247388, 0.01, 0.750027
0.25, 0, 0.00355413, 0.244657, 0.01, 0.751789
0.25, 0, 0.00554185, 0.246443, 0.01, 0.748015
0.25, 0, 0.00530691, 0.256316, 0.01, 0.738377
0.25, 0, 0.00395415, 0.2479, 0.01, 0.748146
0.25, 0, 0.00341447, 0.252298, 0.01, 0.744287
0.25, 0, 0.00422404, 0.250846, 0.01, 0.744929
0.25, 0, 0.00470987, 0.254962, 0.01, 0.740328
0.25, 0, 0.00391564, 0.251261, 0.01, 0.744824
0.25, 0, 0.00411313, 0.244027, 0.01, 0.75186
0.25, 0, 0.00380875, 0.242713, 0.01, 0.753479
0.25, 0, 0.00202488, 0.244247, 0.01, 0.753728
0.25, 0, 0.0040831, 0.254714, 0.01, 0.741203
0.25, 0, 0.007443, 0.260379, 0.015, 0.732178
0.25, 0, 0.00629548, 0.250919, 0.015, 0.742786
0.25, 0, 0.00721974, 0.243723, 0.015, 0.749057
0.25, 0, 0.00620121, 0.242926, 0.015, 0.750872
0.25, 0, 0.00829841, 0.244251, 0.015, 0.74745
0.25, 0, 0.00673507, 0.242365, 0.015, 0.7509
0.25, 0, 0.00703458, 0.242423, 0.015, 0.750542
0.25, 0, 0.0094828, 0.248842, 0.015, 0.741675
0.25, 0, 0.00673894, 0.239992, 0.015, 0.753269
0.25, 0, 0.0054488, 0.248364, 0.015, 0.746188
0.25, 0, 0.00563183, 0.254591, 0.015, 0.739777
0.25, 0, 0.00582131, 0.24768, 0.015, 0.746498
0.25, 0, 0.00805261, 0.236898, 0.015, 0.755049
