Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00187956, 0.242267, 0.005, 0.755854
0.25, 0, 0.00174281, 0.248385, 0.005, 0.749873
0.25, 0, 0.00198693, 0.249057, 0.005, 0.748956
0.25, 0, 0.00170087, 0.254151, 0.005, 0.744148
0.25, 0, 0.00141599, 0.257864, 0.005, 0.74072
0.25, 0, 0.00240512, 0.255363, 0.005, 0.742232
0.25, 0, 0.00286968, 0.2467, 0.005, 0.75043
0.25, 0, 0.00103275, 0.250942, 0.005, 0.748025
0.25, 0, 0.00278644, 0.245847, 0.005, 0.751366
0.25, 0, 0.0033201, 0.243275, 0.005, 0.753405
0.25, 0, 0.00188549, 0.250977, 0.005, 0.747137
0.25, 0, 0.00299246, 0.2355, 0.005, 0.761508
0.25, 0, 0.00259337, 0.246717, 0.005, 0.75069
0.25, 0, 0.00294681, 0.251924, 0.005, 0.745129
0.25, 0, 0.00219737, 0.24716, 0.005, 0.750643
0.25, 0, 0.00205854, 0.245873, 0.005, 0.752068
0.25, 0, 0.00230559, 0.249776, 0.005, 0.747918
0.25, 0, 0.00210816, 0.251996, 0.005, 0.745896
0.25, 0, 0.00133545, 0.252826, 0.005, 0.745838
0.25, 0, 0.00231887, 0.253191, 0.005, 0.74449
0.25, 0, 0.00131337, 0.254486, 0.005, 0.7442
0.25, 0, 0.00163675, 0.248212, 0.005, 0.750151
0.25, 0, 0.00119429, 0.252976, 0.005, 0.74583
0.25, 0, 0.00192908, 0.250448, 0.005, 0.747623
0.25, 0, 0.00188259, 0.250852, 0.005, 0.747266
0.25, 0, 0.00264278, 0.24854, 0.005, 0.748817
0.25, 0, 0.000584977, 0.246579, 0.005, 0.752836
0.25, 0, 0.0020098, 0.244373, 0.005, 0.753617
0.25, 0, 0.00345156, 0.259577, 0.005, 0.736972
0.25, 0, 0.00343079, 0.250122, 0.005, 0.746447
0.25, 0, 0.00165775, 0.247879, 0.005, 0.750463
0.25, 0, 0.00150141, 0.260001, 0.005, 0.738498
0.25, 0, 0.00216793, 0.248969, 0.005, 0.748863
0.25, 0, 0.00301158, 0.249706, 0.005, 0.747283
0.25, 0, 0.00437956, 0.26388, 0.005, 0.73174
0.25, 0, 0.00183645, 0.244763, 0.005, 0.753401
0.25, 0, 0.00278658, 0.247422, 0.005, 0.749792
0.25, 0, 0.000886608, 0.249168, 0.005, 0.749945
0.25, 0, 0.00255644, 0.247401, 0.005, 0.750043
0.25, 0, 0.00151094, 0.247914, 0.005, 0.750575
0.25, 0, 0.00310864, 0.241662, 0.005, 0.75523
0.25, 0, 0.000973484, 0.241911, 0.005, 0.757116
0.25, 0, 0.00355924, 0.257505, 0.005, 0.738936
0.25, 0, 0.00310797, 0.254109, 0.005, 0.742783
0.25, 0, 0.00190231, 0.253748, 0.005, 0.74435
0.25, 0, 0.00284663, 0.244978, 0.005, 0.752176
0.25, 0, 0.00122527, 0.252474, 0.005, 0.7463
0.25, 0, 0.00270929, 0.245861, 0.005, 0.75143
0.25, 0, 0.00203648, 0.248829, 0.005, 0.749134
0.25, 0, 0.0019651, 0.250073, 0.005, 0.747961
0.25, 0, 0.00295476, 0.257855, 0.005, 0.73919
0.25, 0, 0.00212766, 0.249798, 0.005, 0.748075
0.25, 0, 0.0029749, 0.257957, 0.005, 0.739068
0.25, 0, 0.00178384, 0.244946, 0.005, 0.75327
0.25, 0, 0.00144614, 0.248316, 0.005, 0.750238
0.25, 0, 0.00196767, 0.244142, 0.005, 0.75389
0.25, 0, 0.00173179, 0.24288, 0.005, 0.755389
0.25, 0, 0.00240072, 0.25053, 0.005, 0.74707
0.25, 0, 0.00238751, 0.245989, 0.005, 0.751624
0.25, 0, 0.00115376, 0.25538, 0.005, 0.743467
0.25, 0, 0.00285688, 0.246833, 0.005, 0.75031
0.25, 0, 0.0019021, 0.251289, 0.005, 0.746809
0.25, 0, 0.00357583, 0.250076, 0.005, 0.746348
0.25, 0, 0.0026317, 0.245411, 0.005, 0.751958
0.25, 0, 0.00166508, 0.253274, 0.005, 0.745061
0.25, 0, 0.00233457, 0.247553, 0.005, 0.750112
0.25, 0, 0.00283065, 0.249434, 0.005, 0.747736
0.25, 0, 0.00149327, 0.244295, 0.005, 0.754211
0.25, 0, 0.00274438, 0.269376, 0.005, 0.72788
0.25, 0, 0.00153262, 0.249584, 0.005, 0.748883
0.25, 0, 0.0027237, 0.247391, 0.005, 0.749885
0.25, 0, 0.00386092, 0.254405, 0.005, 0.741734
0.25, 0, 0.00312449, 0.243366, 0.005, 0.753509
0.25, 0, 0.00204613, 0.246186, 0.005, 0.751768
0.25, 0, 0.00213768, 0.26489, 0.005, 0.732972
0.25, 0, 0.00225844, 0.2438, 0.005, 0.753941
0.25, 0, 0.00255807, 0.254551, 0.005, 0.742891
