Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.000937582, 0.248798, 0.005, 0.750265
0.25, 0, 0.00217667, 0.259089, 0.005, 0.738734
0.25, 0, 0.00232474, 0.25122, 0.005, 0.746456
0.25, 0, 0.00262849, 0.261982, 0.005, 0.735389
0.25, 0, 0.00242896, 0.247064, 0.005, 0.750507
0.25, 0, 0.00162927, 0.245991, 0.005, 0.75238
0.25, 0, 0.00205948, 0.248926, 0.005, 0.749014
0.25, 0, 0.00222989, 0.255414, 0.005, 0.742356
0.25, 0, 0.00115366, 0.242453, 0.005, 0.756394
0.25, 0, 0.00170311, 0.250672, 0.005, 0.747625
0.25, 0, 0.00215946, 0.247319, 0.005, 0.750521
0.25, 0, 0.00272549, 0.245108, 0.005, 0.752167
0.25, 0, 0.0028882, 0.245487, 0.005, 0.751625
0.25, 0, 0.00204423, 0.249111, 0.005, 0.748845
0.25, 0, 0.000998041, 0.244559, 0.005, 0.754443
0.25, 0, 0.00139416, 0.248201, 0.005, 0.750405
0.25, 0, 0.00114458, 0.240301, 0.005, 0.758554
0.25, 0, 0.0016188, 0.244499, 0.005, 0.753882
0.25, 0, 0.00188411, 0.249988, 0.005, 0.748128
0.25, 0, 0.00255832, 0.242275, 0.005, 0.755167
0.25, 0, 0.00287971, 0.252778, 0.005, 0.744342
0.25, 0, 0.0010906, 0.254131, 0.005, 0.744778
0.25, 0, 0.00313849, 0.244826, 0.005, 0.752035
0.25, 0, 0.00276441, 0.25708, 0.005, 0.740155
0.25, 0, 0.00332147, 0.2442, 0.005, 0.752478
0.25, 0, 0.0020807, 0.245288, 0.005, 0.752631
0.25, 0, 0.00228858, 0.257381, 0.005, 0.740331
0.25, 0, 0.00153147, 0.246536, 0.005, 0.751933
0.25, 0, 0.00337314, 0.247683, 0.005, 0.748944
0.25, 0, 0.00197144, 0.245182, 0.005, 0.752847
0.25, 0, 0.0029968, 0.252228, 0.005, 0.744775
0.25, 0, 0.00165642, 0.242102, 0.005, 0.756241
0.25, 0, 0.00268629, 0.241422, 0.005, 0.755892
0.25, 0, 0.000942795, 0.250232, 0.005, 0.748826
0.25, 0, 0.00209631, 0.24917, 0.005, 0.748734
0.25, 0, 0.00215441, 0.250537, 0.005, 0.747308
0.25, 0, 0.00167658, 0.24116, 0.005, 0.757163
0.25, 0, 0.00254508, 0.251609, 0.005, 0.745846
0.25, 0, 0.00188012, 0.249184, 0.005, 0.748936
0.25, 0, 0.00111986, 0.250554, 0.005, 0.748326
0.25, 0, 0.00191033, 0.261825, 0.005, 0.736265
0.25, 0, 0.00187439, 0.255907, 0.005, 0.742219
0.25, 0, 0.0033187, 0.248516, 0.005, 0.748165
0.25, 0, 0.00184283, 0.249139, 0.005, 0.749018
0.25, 0, 0.00272681, 0.244227, 0.005, 0.753047
0.25, 0, 0.00273504, 0.251595, 0.005, 0.74567
0.25, 0, 0.00260731, 0.260663, 0.005, 0.73673
0.25, 0, 0.00231883, 0.257918, 0.005, 0.739763
0.25, 0, 0.00162152, 0.253796, 0.005, 0.744582
0.25, 0, 0.00215046, 0.245253, 0.005, 0.752596
0.25, 0, 0.00152656, 0.24702, 0.005, 0.751454
0.25, 0, 0.00189735, 0.258662, 0.005, 0.739441
0.25, 0, 0.00366204, 0.251855, 0.005, 0.744483
0.25, 0, 0.00192399, 0.250775, 0.005, 0.747301
0.25, 0, 0.00169631, 0.246976, 0.005, 0.751327
0.25, 0, 0.00283067, 0.244151, 0.005, 0.753018
0.25, 0, 0.00212463, 0.254753, 0.005, 0.743123
0.25, 0, 0.00247489, 0.244637, 0.005, 0.752889
0.25, 0, 0.00200032, 0.248044, 0.005, 0.749955
0.25, 0, 0.00224172, 0.259886, 0.005, 0.737872
0.25, 0, 0.00232944, 0.251371, 0.005, 0.7463
0.25, 0, 0.00244437, 0.254392, 0.005, 0.743163
0.25, 0, 0.00243972, 0.261983, 0.005, 0.735577
0.25, 0, 0.0016525, 0.2622, 0.005, 0.736148
0.25, 0, 0.00233909, 0.244694, 0.005, 0.752967
0.25, 0, 0.00202844, 0.243234, 0.005, 0.754737
0.25, 0, 0.00223998, 0.251289, 0.005, 0.746471
0.25, 0, 0.00158264, 0.253928, 0.005, 0.744489
0.25, 0, 0.00258396, 0.243027, 0.005, 0.754389
0.25, 0, 0.00264256, 0.257772, 0.005, 0.739585
0.25, 0, 0.00171413, 0.254782, 0.005, 0.743504
0.25, 0, 0.00277244, 0.246992, 0.005, 0.750235
0.25, 0, 0.00159723, 0.247593, 0.005, 0.75081
0.25, 0, 0.00228726, 0.2508, 0.005, 0.746913
0.25, 0, 0.00202723, 0.248873, 0.005, 0.7491
0.25, 0, 0.00354454, 0.252276, 0.005, 0.744179
0.25, 0, 0.00263949, 0.251557, 0.005, 0.745804
0.25, 0, 0.00175048, 0.246082, 0.005, 0.752167
0.25, 0, 0.00159664, 0.245041, 0.005, 0.753363
0.25, 0, 0.0014558, 0.242501, 0.005, 0.756043
0.25, 0, 0.00271747, 0.249582, 0.005, 0.747701
0.25, 0, 0.00170457, 0.25138, 0.005, 0.746915
0.25, 0, 0.00167011, 0.240887, 0.005, 0.757443
0.25, 0, 0.00166166, 0.24442, 0.005, 0.753918
0.25, 0, 0.00141906, 0.25195, 0.005, 0.746631
0.25, 0, 0.0022722, 0.254423, 0.005, 0.743305
0.25, 0, 0.00319957, 0.248537, 0.005, 0.748263
