Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00270364, 0.244014, 0.005, 0.753283
0.25, 0, 0.00159155, 0.265071, 0.005, 0.733337
0.25, 0, 0.00152377, 0.243658, 0.005, 0.754818
0.25, 0, 0.00150267, 0.248497, 0.005, 0.75
0.25, 0, 0.00234057, 0.242158, 0.005, 0.755501
0.25, 0, 0.00279238, 0.246153, 0.005, 0.751054
0.25, 0, 0.0011617, 0.249513, 0.005, 0.749326
0.25, 0, 0.00363276, 0.246379, 0.005, 0.749988
0.25, 0, 0.00194844, 0.257704, 0.005, 0.740348
0.25, 0, 0.00233605, 0.24896, 0.005, 0.748704
0.25, 0, 0.00306458, 0.248746, 0.005, 0.74819
0.25, 0, 0.0024723, 0.25328, 0.005, 0.744248
0.25, 0, 0.00213928, 0.243089, 0.005, 0.754772
0.25, 0, 0.00192207, 0.252, 0.005, 0.746078
0.25, 0, 0.00177275, 0.241638, 0.005, 0.75659
0.25, 0, 0.00238473, 0.251853, 0.005, 0.745762
0.25, 0, 0.00206496, 0.242698, 0.005, 0.755237
0.25, 0, 0.00294408, 0.250604, 0.005, 0.746452
0.25, 0, 0.00320491, 0.249826, 0.005, 0.746969
0.25, 0, 0.00196108, 0.247872, 0.005, 0.750167
0.25, 0, 0.00130546, 0.262458, 0.005, 0.736236
0.25, 0, 0.00212437, 0.254661, 0.005, 0.743215
0.25, 0, 0.00211142, 0.247815, 0.005, 0.750073
0.25, 0, 0.00087671, 0.25468, 0.005, 0.744443
0.25, 0, 0.00173786, 0.26233, 0.005, 0.735932
0.25, 0, 0.001882, 0.250357, 0.005, 0.747761
0.25, 0, 0.0011537, 0.250142, 0.005, 0.748705
0.25, 0, 0.000887661, 0.251804, 0.005, 0.747309
0.25, 0, 0.00140134, 0.239754, 0.005, 0.758845
0.25, 0, 0.00239145, 0.25481, 0.005, 0.742799
0.25, 0, 0.00150577, 0.254819, 0.005, 0.743675
0.25, 0, 0.00178082, 0.254711, 0.005, 0.743508
0.25, 0, 0.00232097, 0.246012, 0.005, 0.751667
0.25, 0, 0.00205016, 0.245363, 0.005, 0.752587
0.25, 0, 0.00264943, 0.253913, 0.005, 0.743437
0.25, 0, 0.00244324, 0.251597, 0.005, 0.74596
0.25, 0, 0.00176107, 0.245402, 0.005, 0.752837
0.25, 0, 0.00196208, 0.251014, 0.005, 0.747024
0.25, 0, 0.00251383, 0.242054, 0.005, 0.755432
0.25, 0, 0.00208249, 0.252528, 0.005, 0.74539
0.25, 0, 0.00290248, 0.240616, 0.005, 0.756482
0.25, 0, 0.00325986, 0.252748, 0.005, 0.743992
0.25, 0, 0.00185548, 0.247124, 0.005, 0.751021
0.25, 0, 0.00105563, 0.262127, 0.005, 0.736817
0.25, 0, 0.00166861, 0.258414, 0.005, 0.739918
0.25, 0, 0.00169674, 0.246425, 0.005, 0.751878
0.25, 0, 0.00232462, 0.250491, 0.005, 0.747184
0.25, 0, 0.00191681, 0.253639, 0.005, 0.744444
0.25, 0, 0.00277162, 0.242246, 0.005, 0.754983
0.25, 0, 0.00291186, 0.253186, 0.005, 0.743902
0.25, 0, 0.00305393, 0.246993, 0.005, 0.749953
0.25, 0, 0.00305213, 0.252153, 0.005, 0.744794
0.25, 0, 0.00197259, 0.253636, 0.005, 0.744392
0.25, 0, 0.0020093, 0.255975, 0.005, 0.742015
0.25, 0, 0.00432378, 0.24176, 0.005, 0.753916
0.25, 0, 0.00169207, 0.242186, 0.005, 0.756122
0.25, 0, 0.000817417, 0.243386, 0.005, 0.755796
0.25, 0, 0.00189999, 0.250591, 0.005, 0.747509
0.25, 0, 0.000885637, 0.246939, 0.005, 0.752175
0.25, 0, 0.00281199, 0.246812, 0.005, 0.750376
0.25, 0, 0.00245125, 0.250049, 0.005, 0.7475
0.25, 0, 0.00204225, 0.248692, 0.005, 0.749265
0.25, 0, 0.00143062, 0.235308, 0.005, 0.763262
0.25, 0, 0.00395532, 0.245735, 0.005, 0.75031
0.25, 0, 0.00248254, 0.248688, 0.005, 0.74883
0.25, 0, 0.00120455, 0.258759, 0.005, 0.740036
0.25, 0, 0.00277213, 0.258951, 0.005, 0.738276
0.25, 0, 0.00259374, 0.252989, 0.005, 0.744417
0.25, 0, 0.00244366, 0.241163, 0.005, 0.756394
0.25, 0, 0.00205507, 0.237988, 0.005, 0.759957
0.25, 0, 0.00218652, 0.247136, 0.005, 0.750677
0.25, 0, 0.00257476, 0.24926, 0.005, 0.748166
0.25, 0, 0.00399575, 0.249707, 0.005, 0.746297
0.25, 0, 0.00255527, 0.258795, 0.005, 0.73865
0.25, 0, 0.00161443, 0.25259, 0.005, 0.745796
0.25, 0, 0.00138638, 0.249411, 0.005, 0.749202
0.25, 0, 0.00323689, 0.251476, 0.005, 0.745287
0.25, 0, 0.00160531, 0.246298, 0.005, 0.752097
0.25, 0, 0.00233122, 0.251434, 0.005, 0.746235
0.25, 0, 0.00318888, 0.242229, 0.005, 0.754582
0.25, 0, 0.00301174, 0.261846, 0.005, 0.735142
0.25, 0, 0.0014795, 0.248123, 0.005, 0.750398
0.25, 0, 0.00230073, 0.245609, 0.005, 0.75209
0.25, 0, 0.00177837, 0.235687, 0.005, 0.762535
0.25, 0, 0.00195331, 0.252053, 0.005, 0.745994
