Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.0019202, 0.251123, 0.005, 0.746956
0.25, 0, 0.00267595, 0.2515, 0.005, 0.745824
0.25, 0, 0.00209416, 0.253463, 0.005, 0.744443
0.25, 0, 0.00190819, 0.244174, 0.005, 0.753918
0.25, 0, 0.00284015, 0.24425, 0.005, 0.75291
0.25, 0, 0.00108764, 0.256985, 0.005, 0.741928
0.25, 0, 0.00353591, 0.251566, 0.005, 0.744898
0.25, 0, 0.00169296, 0.241674, 0.005, 0.756633
0.25, 0, 0.00222382, 0.245743, 0.005, 0.752033
0.25, 0, 0.00278362, 0.252573, 0.005, 0.744644
0.25, 0, 0.00197328, 0.248457, 0.005, 0.74957
0.25, 0, 0.00350842, 0.249952, 0.005, 0.746539
0.25, 0, 0.00314512, 0.262114, 0.005, 0.734741
0.25, 0, 0.00277444, 0.263136, 0.005, 0.73409
0.25, 0, 0.00299338, 0.251095, 0.005, 0.745912
0.25, 0, 0.00332902, 0.260483, 0.005, 0.736188
0.25, 0, 0.00208999, 0.252792, 0.005, 0.745118
0.25, 0, 0.00355589, 0.239559, 0.005, 0.756885
0.25, 0, 0.0019532, 0.249536, 0.005, 0.748511
0.25, 0, 0.00217003, 0.253956, 0.005, 0.743874
0.25, 0, 0.00334664, 0.236209, 0.005, 0.760444
0.25, 0, 0.00307809, 0.251325, 0.005, 0.745597
0.25, 0, 0.00285853, 0.24629, 0.005, 0.750851
0.25, 0, 0.00256423, 0.242478, 0.005, 0.754957
0.25, 0, 0.00212493, 0.247165, 0.005, 0.75071
0.25, 0, 0.0019205, 0.253728, 0.005, 0.744352
0.25, 0, 0.00175023, 0.251168, 0.005, 0.747082
0.25, 0, 0.00332845, 0.236363, 0.005, 0.760309
0.25, 0, 0.002866, 0.262158, 0.005, 0.734976
0.25, 0, 0.00125863, 0.242642, 0.005, 0.7561
0.25, 0, 0.00211157, 0.240616, 0.005, 0.757273
0.25, 0, 0.00185376, 0.257429, 0.005, 0.740718
0.25, 0, 0.003013, 0.255771, 0.005, 0.741216
0.25, 0, 0.00125697, 0.24596, 0.005, 0.752783
0.25, 0, 0.00151884, 0.251866, 0.005, 0.746615
0.25, 0, 0.00182043, 0.252666, 0.005, 0.745514
0.25, 0, 0.00201498, 0.252468, 0.005, 0.745517
0.25, 0, 0.00281815, 0.249291, 0.005, 0.747891
0.25, 0, 0.00220043, 0.244403, 0.005, 0.753396
0.25, 0, 0.00176915, 0.257914, 0.005, 0.740316
0.25, 0, 0.00284228, 0.250836, 0.005, 0.746322
0.25, 0, 0.000811654, 0.244054, 0.005, 0.755134
0.25, 0, 0.00213271, 0.250172, 0.005, 0.747695
0.25, 0, 0.00235911, 0.246865, 0.005, 0.750776
0.25, 0, 0.00189169, 0.254016, 0.005, 0.744092
