Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00311854, 0.241693, 0.005, 0.755188
0.25, 0, 0.00218603, 0.254883, 0.005, 0.742931
0.25, 0, 0.00182232, 0.258953, 0.005, 0.739225
0.25, 0, 0.00269745, 0.259484, 0.005, 0.737819
0.25, 0, 0.0010604, 0.247958, 0.005, 0.750982
0.25, 0, 0.00196216, 0.247224, 0.005, 0.750814
0.25, 0, 0.0018273, 0.243041, 0.005, 0.755131
0.25, 0, 0.00217262, 0.260755, 0.005, 0.737072
0.25, 0, 0.00107607, 0.256155, 0.005, 0.742769
0.25, 0, 0.00113629, 0.242813, 0.005, 0.756051
0.25, 0, 0.00346629, 0.252491, 0.005, 0.744043
0.25, 0, 0.00220476, 0.247823, 0.005, 0.749972
0.25, 0, 0.00310535, 0.263643, 0.005, 0.733251
0.25, 0, 0.00278871, 0.244671, 0.005, 0.75254
0.25, 0, 0.0022762, 0.252982, 0.005, 0.744742
0.25, 0, 0.0016481, 0.254619, 0.005, 0.743733
0.25, 0, 0.00264124, 0.253518, 0.005, 0.743841
0.25, 0, 0.00152475, 0.256556, 0.005, 0.741919
0.25, 0, 0.00321903, 0.247809, 0.005, 0.748972
0.25, 0, 0.00180432, 0.251672, 0.005, 0.746524
0.25, 0, 0.00136065, 0.251983, 0.005, 0.746657
0.25, 0, 0.00124037, 0.245757, 0.005, 0.753003
0.25, 0, 0.00188587, 0.248419, 0.005, 0.749695
0.25, 0, 0.00200654, 0.25719, 0.005, 0.740803
0.25, 0, 0.00183716, 0.248412, 0.005, 0.749751
0.25, 0, 0.00350886, 0.241246, 0.005, 0.755245
0.25, 0, 0.00325798, 0.237112, 0.005, 0.75963
0.25, 0, 0.002509, 0.242438, 0.005, 0.755053
0.25, 0, 0.00365967, 0.249619, 0.005, 0.746722
0.25, 0, 0.00198924, 0.252487, 0.005, 0.745523
0.25, 0, 0.00192084, 0.240528, 0.005, 0.757552
0.25, 0, 0.00322647, 0.255361, 0.005, 0.741412
0.25, 0, 0.00412474, 0.234883, 0.005, 0.760992
0.25, 0, 0.00164948, 0.256775, 0.005, 0.741576
0.25, 0, 0.00196897, 0.248543, 0.005, 0.749488
0.25, 0, 0.00319279, 0.245996, 0.005, 0.750812
0.25, 0, 0.00261589, 0.253931, 0.005, 0.743453
0.25, 0, 0.00235408, 0.245844, 0.005, 0.751802
0.25, 0, 0.00298531, 0.254055, 0.005, 0.74296
0.25, 0, 0.00185333, 0.245162, 0.005, 0.752985
0.25, 0, 0.00326379, 0.249946, 0.005, 0.74679
0.25, 0, 0.00177731, 0.257122, 0.005, 0.741101
0.25, 0, 0.00227446, 0.244026, 0.005, 0.753699
0.25, 0, 0.00176309, 0.249079, 0.005, 0.749158
0.25, 0, 0.00189738, 0.249963, 0.005, 0.74814
0.25, 0, 0.00180354, 0.245124, 0.005, 0.753073
0.25, 0, 0.00157525, 0.250958, 0.005, 0.747467
0.25, 0, 0.00269563, 0.247588, 0.005, 0.749717
0.25, 0, 0.0033642, 0.246695, 0.005, 0.749941
0.25, 0, 0.00166431, 0.247392, 0.005, 0.750944
0.25, 0, 0.00358584, 0.250652, 0.005, 0.745762
0.25, 0, 0.00215082, 0.255131, 0.005, 0.742718
0.25, 0, 0.00200068, 0.236372, 0.005, 0.761627
0.25, 0, 0.00179614, 0.257937, 0.005, 0.740267
0.25, 0, 0.00224942, 0.239043, 0.005, 0.758708
0.25, 0, 0.00216177, 0.251369, 0.005, 0.746469
0.25, 0, 0.00295688, 0.245348, 0.005, 0.751696
0.25, 0, 0.00156029, 0.246542, 0.005, 0.751898
0.25, 0, 0.00240337, 0.246581, 0.005, 0.751016
0.25, 0, 0.00209846, 0.249858, 0.005, 0.748043
0.25, 0, 0.00186593, 0.250327, 0.005, 0.747807
0.25, 0, 0.0016237, 0.253774, 0.005, 0.744602
0.25, 0, 0.00149483, 0.249977, 0.005, 0.748528
0.25, 0, 0.00361657, 0.253707, 0.005, 0.742676
0.25, 0, 0.00268681, 0.23548, 0.005, 0.761833
0.25, 0, 0.00131632, 0.246286, 0.005, 0.752398
0.25, 0, 0.00156189, 0.25359, 0.005, 0.744848
0.25, 0, 0.001369, 0.258678, 0.005, 0.739953
0.25, 0, 0.00346406, 0.252706, 0.005, 0.74383
0.25, 0, 0.00208032, 0.256699, 0.005, 0.741221
0.25, 0, 0.0014268, 0.237688, 0.005, 0.760885
0.25, 0, 0.00156461, 0.26192, 0.005, 0.736515
0.25, 0, 0.00219356, 0.257, 0.005, 0.740807
0.25, 0, 0.00285882, 0.259885, 0.005, 0.737256
0.25, 0, 0.00284326, 0.254923, 0.005, 0.742234
0.25, 0, 0.0032039, 0.24721, 0.005, 0.749586
0.25, 0, 0.00251329, 0.25579, 0.005, 0.741697
0.25, 0, 0.00194862, 0.250129, 0.005, 0.747922
0.25, 0, 0.00171457, 0.251113, 0.005, 0.747173
0.25, 0, 0.00256462, 0.254075, 0.005, 0.743361
0.25, 0, 0.00195496, 0.255653, 0.005, 0.742393
0.25, 0, 0.00253767, 0.253879, 0.005, 0.743583
0.25, 0, 0.00176458, 0.251882, 0.005, 0.746353
0.25, 0, 0.00197357, 0.241961, 0.005, 0.756066
0.25, 0, 0.00283163, 0.251574, 0.005, 0.745594
0.25, 0, 0.00250136, 0.243507, 0.005, 0.753992
0.25, 0, 0.00186084, 0.256885, 0.005, 0.741254
0.25, 0, 0.00244611, 0.244436, 0.005, 0.753118
0.25, 0, 0.00260991, 0.246653, 0.005, 0.750737
0.25, 0, 0.00105825, 0.247005, 0.005, 0.751937
0.25, 0, 0.00274716, 0.251285, 0.005, 0.745968
0.25, 0, 0.00217664, 0.254262, 0.005, 0.743561
0.25, 0, 0.00425093, 0.242414, 0.005, 0.753335
0.25, 0, 0.00282044, 0.255479, 0.005, 0.741701
0.25, 0, 0.00260454, 0.265216, 0.005, 0.732179
0.25, 0, 0.00175153, 0.237246, 0.005, 0.761003
0.25, 0, 0.00268078, 0.26778, 0.005, 0.72954
0.25, 0, 0.00250451, 0.252043, 0.005, 0.745453
0.25, 0, 0.00164413, 0.256559, 0.005, 0.741797
0.25, 0, 0.00255697, 0.244277, 0.005, 0.753166
