Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00364515, 0.248396, 0.005, 0.747959
0.25, 0, 0.00287147, 0.250328, 0.005, 0.746801
0.25, 0, 0.00220316, 0.24682, 0.005, 0.750977
0.25, 0, 0.00249227, 0.255144, 0.005, 0.742364
0.25, 0, 0.00141493, 0.254643, 0.005, 0.743942
0.25, 0, 0.00234274, 0.258677, 0.005, 0.738981
0.25, 0, 0.00233483, 0.254816, 0.005, 0.742849
0.25, 0, 0.00320764, 0.255774, 0.005, 0.741018
0.25, 0, 0.000788199, 0.257192, 0.005, 0.74202
0.25, 0, 0.00179582, 0.256414, 0.005, 0.74179
0.25, 0, 0.00307391, 0.242671, 0.005, 0.754255
0.25, 0, 0.00165275, 0.254734, 0.005, 0.743613
0.25, 0, 0.00231638, 0.245937, 0.005, 0.751746
0.25, 0, 0.00223874, 0.25194, 0.005, 0.745821
0.25, 0, 0.00205085, 0.251632, 0.005, 0.746317
0.25, 0, 0.00224564, 0.254252, 0.005, 0.743502
0.25, 0, 0.00287681, 0.251412, 0.005, 0.745712
0.25, 0, 0.0017423, 0.231212, 0.005, 0.767046
0.25, 0, 0.00252991, 0.257384, 0.005, 0.740086
0.25, 0, 0.00148772, 0.250555, 0.005, 0.747957
0.25, 0, 0.00204483, 0.243014, 0.005, 0.754941
0.25, 0, 0.0017431, 0.2482, 0.005, 0.750057
0.25, 0, 0.00148049, 0.251129, 0.005, 0.747391
0.25, 0, 0.00185071, 0.259722, 0.005, 0.738428
0.25, 0, 0.00435311, 0.242125, 0.005, 0.753522
0.25, 0, 0.00276425, 0.239696, 0.005, 0.757539
0.25, 0, 0.00118559, 0.242701, 0.005, 0.756114
0.25, 0, 0.00244937, 0.242921, 0.005, 0.754629
0.25, 0, 0.0021767, 0.247181, 0.005, 0.750643
0.25, 0, 0.00350656, 0.241495, 0.005, 0.754998
0.25, 0, 0.00132282, 0.243587, 0.005, 0.75509
0.25, 0, 0.00297422, 0.248977, 0.005, 0.748049
0.25, 0, 0.00212915, 0.243619, 0.005, 0.754252
0.25, 0, 0.00200729, 0.241312, 0.005, 0.75668
0.25, 0, 0.00219179, 0.248317, 0.005, 0.749491
0.25, 0, 0.00209536, 0.251894, 0.005, 0.746011
0.25, 0, 0.00125167, 0.254342, 0.005, 0.744406
0.25, 0, 0.00180048, 0.253232, 0.005, 0.744968
0.25, 0, 0.00236449, 0.243256, 0.005, 0.754379
0.25, 0, 0.00286664, 0.262816, 0.005, 0.734318
0.25, 0, 0.00174614, 0.242855, 0.005, 0.755399
0.25, 0, 0.00273457, 0.243588, 0.005, 0.753677
0.25, 0, 0.00171556, 0.258397, 0.005, 0.739888
0.25, 0, 0.00225152, 0.245138, 0.005, 0.75261
0.25, 0, 0.00210146, 0.252901, 0.005, 0.744998
0.25, 0, 0.00172999, 0.245378, 0.005, 0.752892
0.25, 0, 0.00146511, 0.249368, 0.005, 0.749166
0.25, 0, 0.00304532, 0.255232, 0.005, 0.741723
0.25, 0, 0.00152913, 0.248498, 0.005, 0.749973
0.25, 0, 0.0017049, 0.253442, 0.005, 0.744853
0.25, 0, 0.00354773, 0.247577, 0.005, 0.748875
0.25, 0, 0.00183624, 0.253728, 0.005, 0.744436
0.25, 0, 0.00213533, 0.243309, 0.005, 0.754555
0.25, 0, 0.00223398, 0.24359, 0.005, 0.754176
0.25, 0, 0.00308988, 0.25703, 0.005, 0.73988
0.25, 0, 0.00189049, 0.254184, 0.005, 0.743926
0.25, 0, 0.00215527, 0.244602, 0.005, 0.753243
0.25, 0, 0.00114366, 0.253053, 0.005, 0.745803
0.25, 0, 0.00220251, 0.24282, 0.005, 0.754977
0.25, 0, 0.00294933, 0.255666, 0.005, 0.741385
0.25, 0, 0.00142699, 0.24116, 0.005, 0.757413
0.25, 0, 0.00139417, 0.252488, 0.005, 0.746118
0.25, 0, 0.00259939, 0.252417, 0.005, 0.744984
0.25, 0, 0.00127034, 0.247306, 0.005, 0.751424
0.25, 0, 0.00238863, 0.237487, 0.005, 0.760124
0.25, 0, 0.00231154, 0.250254, 0.005, 0.747435
0.25, 0, 0.00139327, 0.247697, 0.005, 0.75091
0.25, 0, 0.00181525, 0.244616, 0.005, 0.753569
0.25, 0, 0.00226227, 0.248715, 0.005, 0.749022
0.25, 0, 0.000580153, 0.257467, 0.005, 0.741953
0.25, 0, 0.00350228, 0.234944, 0.005, 0.761553
