Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00133881, 0.250792, 0.005, 0.747869
0.25, 0, 0.0014276, 0.255199, 0.005, 0.743374
0.25, 0, 0.00267745, 0.249954, 0.005, 0.747368
0.25, 0, 0.00180952, 0.252051, 0.005, 0.746139
0.25, 0, 0.00187102, 0.24431, 0.005, 0.753819
0.25, 0, 0.00232603, 0.25317, 0.005, 0.744504
0.25, 0, 0.00170102, 0.257402, 0.005, 0.740897
0.25, 0, 0.00129653, 0.24815, 0.005, 0.750554
0.25, 0, 0.0019963, 0.247607, 0.005, 0.750396
0.25, 0, 0.00210691, 0.248725, 0.005, 0.749168
0.25, 0, 0.00362581, 0.255807, 0.005, 0.740567
0.25, 0, 0.00176664, 0.261103, 0.005, 0.737131
0.25, 0, 0.00238451, 0.258191, 0.005, 0.739424
0.25, 0, 0.00170543, 0.246775, 0.005, 0.751519
0.25, 0, 0.00205577, 0.253212, 0.005, 0.744732
0.25, 0, 0.00197124, 0.249726, 0.005, 0.748302
0.25, 0, 0.00252403, 0.247297, 0.005, 0.750179
0.25, 0, 0.00131188, 0.242357, 0.005, 0.756331
0.25, 0, 0.00273384, 0.237751, 0.005, 0.759515
0.25, 0, 0.00180586, 0.250256, 0.005, 0.747938
0.25, 0, 0.00280324, 0.249067, 0.005, 0.748129
0.25, 0, 0.00205866, 0.24397, 0.005, 0.753972
0.25, 0, 0.00196395, 0.245995, 0.005, 0.752041
0.25, 0, 0.00164262, 0.248597, 0.005, 0.749761
0.25, 0, 0.00198813, 0.252371, 0.005, 0.745641
0.25, 0, 0.00158735, 0.239018, 0.005, 0.759395
0.25, 0, 0.00257076, 0.251761, 0.005, 0.745668
0.25, 0, 0.00158072, 0.245893, 0.005, 0.752527
0.25, 0, 0.00154676, 0.253516, 0.005, 0.744938
0.25, 0, 0.00243809, 0.256712, 0.005, 0.74085
0.25, 0, 0.0014783, 0.245028, 0.005, 0.753494
0.25, 0, 0.00160973, 0.24367, 0.005, 0.75472
0.25, 0, 0.00180938, 0.239361, 0.005, 0.758829
0.25, 0, 0.00259992, 0.250535, 0.005, 0.746865
0.25, 0, 0.0016925, 0.253228, 0.005, 0.745079
0.25, 0, 0.00213404, 0.25306, 0.005, 0.744806
0.25, 0, 0.00219763, 0.263114, 0.005, 0.734689
0.25, 0, 0.00130899, 0.247952, 0.005, 0.750739
0.25, 0, 0.0018128, 0.249448, 0.005, 0.748739
0.25, 0, 0.00219233, 0.262098, 0.005, 0.735709
0.25, 0, 0.00206736, 0.254075, 0.005, 0.743857
0.25, 0, 0.00212948, 0.264878, 0.005, 0.732992
0.25, 0, 0.00197179, 0.246061, 0.005, 0.751967
0.25, 0, 0.00221235, 0.249036, 0.005, 0.748752
0.25, 0, 0.0016211, 0.262871, 0.005, 0.735508
0.25, 0, 0.00220645, 0.249925, 0.005, 0.747869
0.25, 0, 0.00116326, 0.256189, 0.005, 0.742648
0.25, 0, 0.00211547, 0.255503, 0.005, 0.742381
0.25, 0, 0.000971335, 0.248409, 0.005, 0.75062
0.25, 0, 0.000836525, 0.245062, 0.005, 0.754102
0.25, 0, 0.0016309, 0.243841, 0.005, 0.754528
0.25, 0, 0.00269018, 0.252595, 0.005, 0.744715
0.25, 0, 0.00195726, 0.245611, 0.005, 0.752431
0.25, 0, 0.00167396, 0.252638, 0.005, 0.745688
0.25, 0, 0.0011579, 0.245272, 0.005, 0.753571
0.25, 0, 0.00251665, 0.245477, 0.005, 0.752007
0.25, 0, 0.00251162, 0.246878, 0.005, 0.75061
0.25, 0, 0.00197144, 0.243066, 0.005, 0.754963
0.25, 0, 0.00233967, 0.255137, 0.005, 0.742523
0.25, 0, 0.00265596, 0.257002, 0.005, 0.740342
0.25, 0, 0.00219288, 0.250209, 0.005, 0.747598
0.25, 0, 0.00252925, 0.245182, 0.005, 0.752289
0.25, 0, 0.00198062, 0.251304, 0.005, 0.746716
0.25, 0, 0.00232371, 0.247724, 0.005, 0.749952
0.25, 0, 0.00216093, 0.247582, 0.005, 0.750257
0.25, 0, 0.00161838, 0.235255, 0.005, 0.763127
0.25, 0, 0.00192781, 0.244526, 0.005, 0.753546
0.25, 0, 0.0019044, 0.243698, 0.005, 0.754398
0.25, 0, 0.00256206, 0.251563, 0.005, 0.745874
0.25, 0, 0.00161723, 0.258522, 0.005, 0.739861
0.25, 0, 0.00284389, 0.239044, 0.005, 0.758112
0.25, 0, 0.00301161, 0.255706, 0.005, 0.741283
0.25, 0, 0.00172313, 0.240795, 0.005, 0.757482
0.25, 0, 0.00226175, 0.253406, 0.005, 0.744332
0.25, 0, 0.000850527, 0.246388, 0.005, 0.752762
0.25, 0, 0.00180254, 0.24037, 0.005, 0.757827
0.25, 0, 0.00204951, 0.256885, 0.005, 0.741065
0.25, 0, 0.00346592, 0.249974, 0.005, 0.74656
0.25, 0, 0.0024532, 0.24152, 0.005, 0.756026
0.25, 0, 0.0026292, 0.253579, 0.005, 0.743792
0.25, 0, 0.00242746, 0.246714, 0.005, 0.750859
0.25, 0, 0.00298961, 0.239615, 0.005, 0.757396
0.25, 0, 0.00196497, 0.244057, 0.005, 0.753978
0.25, 0, 0.00197374, 0.253891, 0.005, 0.744135
0.25, 0, 0.00142822, 0.244669, 0.005, 0.753902
0.25, 0, 0.00313653, 0.243015, 0.005, 0.753848
0.25, 0, 0.00141477, 0.244919, 0.005, 0.753666
0.25, 0, 0.00124453, 0.249216, 0.005, 0.74954
0.25, 0, 0.00158688, 0.246363, 0.005, 0.75205
0.25, 0, 0.00209883, 0.246257, 0.005, 0.751644
0.25, 0, 0.00156686, 0.239987, 0.005, 0.758446
0.25, 0, 0.00222453, 0.254666, 0.005, 0.74311
0.25, 0, 0.00187437, 0.252565, 0.005, 0.745561
0.25, 0, 0.00159515, 0.252539, 0.005, 0.745866
0.25, 0, 0.00193554, 0.254501, 0.005, 0.743563
0.25, 0, 0.00276319, 0.24321, 0.005, 0.754027
0.25, 0, 0.00107405, 0.263501, 0.005, 0.735425
0.25, 0, 0.00109739, 0.248473, 0.005, 0.75043
0.25, 0, 0.00174637, 0.239551, 0.005, 0.758703
0.25, 0, 0.00197873, 0.244858, 0.005, 0.753164
0.25, 0, 0.00525284, 0.242403, 0.01, 0.752345
0.25, 0, 0.00527698, 0.249887, 0.01, 0.744836
0.25, 0, 0.00461524, 0.249139, 0.01, 0.746246
0.25, 0, 0.00342491, 0.24774, 0.01, 0.748836
0.25, 0, 0.00385449, 0.269756, 0.01, 0.72639
0.25, 0, 0.00295468, 0.254238, 0.01, 0.742808
0.25, 0, 0.00412532, 0.24049, 0.01, 0.755385
0.25, 0, 0.00479221, 0.247103, 0.01, 0.748105
0.25, 0, 0.00392027, 0.244094, 0.01, 0.751986
0.25, 0, 0.00498624, 0.244761, 0.01, 0.750252
0.25, 0, 0.00473889, 0.244178, 0.01, 0.751083
0.25, 0, 0.00451576, 0.253545, 0.01, 0.741939
0.25, 0, 0.00358651, 0.242769, 0.01, 0.753645
0.25, 0, 0.00394153, 0.240538, 0.01, 0.75552
0.25, 0, 0.00426198, 0.255475, 0.01, 0.740263
0.25, 0, 0.00513467, 0.249407, 0.01, 0.745459
0.25, 0, 0.00388174, 0.241021, 0.01, 0.755097
0.25, 0, 0.00595696, 0.248457, 0.01, 0.745586
0.25, 0, 0.00545817, 0.247609, 0.01, 0.746932
0.25, 0, 0.00290272, 0.261189, 0.01, 0.735908
0.25, 0, 0.00483013, 0.247993, 0.01, 0.747177
0.25, 0, 0.00400524, 0.25366, 0.01, 0.742335
0.25, 0, 0.00374195, 0.241487, 0.01, 0.754771
0.25, 0, 0.00342931, 0.25243, 0.01, 0.74414
0.25, 0, 0.00386591, 0.243859, 0.01, 0.752275
0.25, 0, 0.00545123, 0.258157, 0.01, 0.736392
0.25, 0, 0.00389514, 0.243268, 0.01, 0.752837
0.25, 0, 0.00525117, 0.253651, 0.01, 0.741098
0.25, 0, 0.00402198, 0.254524, 0.01, 0.741454
0.25, 0, 0.00509509, 0.254261, 0.01, 0.740644
0.25, 0, 0.00344866, 0.252551, 0.01, 0.744
0.25, 0, 0.00449757, 0.252183, 0.01, 0.743319
0.25, 0, 0.00352602, 0.240061, 0.01, 0.756413
0.25, 0, 0.00345518, 0.242054, 0.01, 0.754491
0.25, 0, 0.00463268, 0.248786, 0.01, 0.746582
0.25, 0, 0.00486931, 0.237156, 0.01, 0.757975
0.25, 0, 0.00328726, 0.258791, 0.01, 0.737922
0.25, 0, 0.00600648, 0.245117, 0.01, 0.748876
0.25, 0, 0.00387804, 0.245721, 0.01, 0.750401
0.25, 0, 0.00502099, 0.253853, 0.01, 0.741126
0.25, 0, 0.00478628, 0.243724, 0.01, 0.75149
0.25, 0, 0.00465004, 0.240321, 0.01, 0.755029
0.25, 0, 0.00477256, 0.251607, 0.01, 0.74362
0.25, 0, 0.00567247, 0.241993, 0.01, 0.752334
0.25, 0, 0.0042767, 0.243999, 0.01, 0.751724
0.25, 0, 0.00290607, 0.258781, 0.01, 0.738313
0.25, 0, 0.00410232, 0.253636, 0.01, 0.742262
0.25, 0, 0.00434724, 0.25124, 0.01, 0.744413
0.25, 0, 0.00434835, 0.253143, 0.01, 0.742509
0.25, 0, 0.00448663, 0.248481, 0.01, 0.747033
0.25, 0, 0.00485989, 0.249612, 0.01, 0.745528
0.25, 0, 0.0048197, 0.251683, 0.01, 0.743497
0.25, 0, 0.003385, 0.257839, 0.01, 0.738776
0.25, 0, 0.00440844, 0.256344, 0.01, 0.739248
0.25, 0, 0.00253408, 0.254096, 0.01, 0.74337
0.25, 0, 0.00417134, 0.245787, 0.01, 0.750042
0.25, 0, 0.00574162, 0.249241, 0.01, 0.745018
0.25, 0, 0.00466362, 0.251654, 0.01, 0.743683
0.25, 0, 0.00364937, 0.244394, 0.01, 0.751957
0.25, 0, 0.00463625, 0.244384, 0.01, 0.75098
0.25, 0, 0.00381255, 0.253064, 0.01, 0.743124
0.25, 0, 0.006074, 0.244848, 0.01, 0.749078
0.25, 0, 0.00546668, 0.258553, 0.01, 0.73598
0.25, 0, 0.00477151, 0.250354, 0.01, 0.744875
0.25, 0, 0.00457657, 0.250072, 0.01, 0.745352
0.25, 0, 0.00492463, 0.232982, 0.01, 0.762093
0.25, 0, 0.00445111, 0.254899, 0.01, 0.74065
0.25, 0, 0.00409899, 0.250414, 0.01, 0.745487
0.25, 0, 0.00497216, 0.250596, 0.01, 0.744431
0.25, 0, 0.00347515, 0.258396, 0.01, 0.738129
0.25, 0, 0.00483503, 0.239471, 0.01, 0.755694
0.25, 0, 0.00376773, 0.252354, 0.01, 0.743878
0.25, 0, 0.00432771, 0.242038, 0.01, 0.753634
0.25, 0, 0.00627294, 0.251889, 0.01, 0.741838
0.25, 0, 0.00403209, 0.248205, 0.01, 0.747763
0.25, 0, 0.00496318, 0.25493, 0.01, 0.740107
0.25, 0, 0.00556768, 0.256833, 0.01, 0.737599
0.25, 0, 0.00433833, 0.252357, 0.01, 0.743304
0.25, 0, 0.00175882, 0.244311, 0.01, 0.753931
0.25, 0, 0.00444354, 0.251958, 0.01, 0.743598
0.25, 0, 0.00343438, 0.252972, 0.01, 0.743594
0.25, 0, 0.00458848, 0.251877, 0.01, 0.743534
0.25, 0, 0.00372684, 0.260837, 0.01, 0.735436
0.25, 0, 0.00470434, 0.242275, 0.01, 0.753021
0.25, 0, 0.00567798, 0.248792, 0.01, 0.74553
0.25, 0, 0.00548672, 0.238912, 0.01, 0.755601
0.25, 0, 0.00566193, 0.251521, 0.01, 0.742817
0.25, 0, 0.00290262, 0.248016, 0.01, 0.749081
0.25, 0, 0.00483104, 0.249023, 0.01, 0.746146
0.25, 0, 0.00450717, 0.242089, 0.01, 0.753404
0.25, 0, 0.00392737, 0.249777, 0.01, 0.746295
0.25, 0, 0.00270376, 0.248492, 0.01, 0.748804
0.25, 0, 0.0028603, 0.238873, 0.01, 0.758266
0.25, 0, 0.00449267, 0.245891, 0.01, 0.749617
0.25, 0, 0.00303327, 0.243161, 0.01, 0.753806
0.25, 0, 0.00403366, 0.248474, 0.01, 0.747492
0.25, 0, 0.00370459, 0.252522, 0.01, 0.743774
0.25, 0, 0.00340778, 0.254906, 0.01, 0.741686
0.25, 0, 0.0039969, 0.250969, 0.01, 0.745034
0.25, 0, 0.00339818, 0.248924, 0.01, 0.747677
0.25, 0, 0.0056491, 0.236696, 0.015, 0.757655
0.25, 0, 0.00437148, 0.243264, 0.015, 0.752365
0.25, 0, 0.00624589, 0.261009, 0.015, 0.732745
0.25, 0, 0.00513082, 0.248551, 0.015, 0.746318
0.25, 0, 0.00678224, 0.246831, 0.015, 0.746386
0.25, 0, 0.00708231, 0.248465, 0.015, 0.744452
0.25, 0, 0.0066655, 0.248808, 0.015, 0.744527
0.25, 0, 0.00708893, 0.257445, 0.015, 0.735466
0.25, 0, 0.00670423, 0.249518, 0.015, 0.743778
0.25, 0, 0.0061335, 0.258544, 0.015, 0.735323
0.25, 0, 0.00584255, 0.256992, 0.015, 0.737166
0.25, 0, 0.00517284, 0.252557, 0.015, 0.74227
0.25, 0, 0.00545359, 0.258072, 0.015, 0.736475
0.25, 0, 0.00398931, 0.248382, 0.015, 0.747629
0.25, 0, 0.00765511, 0.24881, 0.015, 0.743535
0.25, 0, 0.00857459, 0.243932, 0.015, 0.747493
0.25, 0, 0.00685697, 0.241291, 0.015, 0.751852
0.25, 0, 0.00558829, 0.261736, 0.015, 0.732675
0.25, 0, 0.00694959, 0.240222, 0.015, 0.752828
0.25, 0, 0.00395152, 0.249471, 0.015, 0.746578
0.25, 0, 0.00872424, 0.244194, 0.015, 0.747081
0.25, 0, 0.00666191, 0.251336, 0.015, 0.742002
0.25, 0, 0.00563494, 0.244307, 0.015, 0.750058
0.25, 0, 0.00596506, 0.245892, 0.015, 0.748143
0.25, 0, 0.0060868, 0.248754, 0.015, 0.745159
0.25, 0, 0.0069844, 0.249574, 0.015, 0.743441
0.25, 0, 0.00568571, 0.249228, 0.015, 0.745086
0.25, 0, 0.00719916, 0.259948, 0.015, 0.732853
0.25, 0, 0.00608776, 0.256193, 0.015, 0.73772
0.25, 0, 0.00684696, 0.24882, 0.015, 0.744333
0.25, 0, 0.00730192, 0.25075, 0.015, 0.741948
0.25, 0, 0.00541536, 0.241684, 0.015, 0.752901
0.25, 0, 0.00843339, 0.24574, 0.015, 0.745826
0.25, 0, 0.00776924, 0.253559, 0.015, 0.738672
0.25, 0, 0.00557995, 0.246685, 0.015, 0.747735
0.25, 0, 0.00845719, 0.250429, 0.015, 0.741114
0.25, 0, 0.0060175, 0.246437, 0.015, 0.747546
0.25, 0, 0.00748132, 0.250444, 0.015, 0.742074
0.25, 0, 0.00874076, 0.253081, 0.015, 0.738179
0.25, 0, 0.00842658, 0.242606, 0.015, 0.748967
0.25, 0, 0.00608584, 0.253133, 0.015, 0.740781
0.25, 0, 0.00693016, 0.25541, 0.015, 0.73766
0.25, 0, 0.00384963, 0.249354, 0.015, 0.746797
0.25, 0, 0.0076953, 0.249062, 0.015, 0.743243
0.25, 0, 0.00571113, 0.259576, 0.015, 0.734713
0.25, 0, 0.00672268, 0.252266, 0.015, 0.741012
0.25, 0, 0.00689878, 0.251023, 0.015, 0.742078
0.25, 0, 0.00674392, 0.245974, 0.015, 0.747282
0.25, 0, 0.00667148, 0.253806, 0.015, 0.739522
0.25, 0, 0.00600342, 0.25034, 0.015, 0.743656
0.25, 0, 0.00681141, 0.245459, 0.015, 0.747729
0.25, 0, 0.00531631, 0.257899, 0.015, 0.736784
0.25, 0, 0.00699519, 0.248452, 0.015, 0.744553
0.25, 0, 0.00760424, 0.242101, 0.015, 0.750295
0.25, 0, 0.00661425, 0.246645, 0.015, 0.746741
0.25, 0, 0.00655214, 0.250405, 0.015, 0.743043
0.25, 0, 0.0086334, 0.244935, 0.015, 0.746432
0.25, 0, 0.00515298, 0.251345, 0.015, 0.743502
0.25, 0, 0.00593863, 0.240304, 0.015, 0.753758
0.25, 0, 0.00759366, 0.250906, 0.015, 0.741501
0.25, 0, 0.00534549, 0.2601, 0.015, 0.734555
0.25, 0, 0.00599633, 0.253354, 0.015, 0.74065
0.25, 0, 0.00631459, 0.258861, 0.015, 0.734824
0.25, 0, 0.0065145, 0.252253, 0.015, 0.741232
0.25, 0, 0.00575993, 0.255229, 0.015, 0.739011
0.25, 0, 0.00694047, 0.243767, 0.015, 0.749293
0.25, 0, 0.00616858, 0.260213, 0.015, 0.733618
0.25, 0, 0.00664363, 0.258538, 0.015, 0.734818
0.25, 0, 0.00504195, 0.253201, 0.015, 0.741757
0.25, 0, 0.0103075, 0.237573, 0.015, 0.752119
0.25, 0, 0.00667628, 0.247801, 0.015, 0.745523
0.25, 0, 0.0054399, 0.257453, 0.015, 0.737107
0.25, 0, 0.00530912, 0.251524, 0.015, 0.743167
0.25, 0, 0.00614711, 0.239184, 0.015, 0.754669
0.25, 0, 0.00729662, 0.249374, 0.015, 0.743329
0.25, 0, 0.00538003, 0.247102, 0.015, 0.747518
0.25, 0, 0.00803453, 0.247026, 0.015, 0.744939
0.25, 0, 0.0068197, 0.246116, 0.015, 0.747064
0.25, 0, 0.00666793, 0.241434, 0.015, 0.751898
0.25, 0, 0.00642441, 0.259379, 0.015, 0.734196
0.25, 0, 0.00653838, 0.242938, 0.015, 0.750524
0.25, 0, 0.00773319, 0.247211, 0.015, 0.745056
0.25, 0, 0.00775703, 0.250393, 0.015, 0.74185
0.25, 0, 0.00526679, 0.253917, 0.015, 0.740816
0.25, 0, 0.00626967, 0.253513, 0.015, 0.740217
0.25, 0, 0.00787798, 0.234131, 0.015, 0.757991
0.25, 0, 0.00598419, 0.243529, 0.015, 0.750486
0.25, 0, 0.00579102, 0.249958, 0.015, 0.744251
0.25, 0, 0.00526498, 0.256612, 0.015, 0.738123
0.25, 0, 0.00679426, 0.253341, 0.015, 0.739864
0.25, 0, 0.00612867, 0.255899, 0.015, 0.737972
0.25, 0, 0.00435497, 0.252932, 0.015, 0.742714
0.25, 0, 0.00519084, 0.249285, 0.015, 0.745524
0.25, 0, 0.00593423, 0.251196, 0.015, 0.74287
0.25, 0, 0.00610554, 0.246131, 0.015, 0.747763
0.25, 0, 0.00746152, 0.254293, 0.015, 0.738246
0.25, 0, 0.00870981, 0.252511, 0.015, 0.73878
0.25, 0, 0.00706007, 0.247845, 0.015, 0.745094
0.25, 0, 0.00552264, 0.256532, 0.015, 0.737946
0.25, 0, 0.00615467, 0.250434, 0.015, 0.743411
0.25, 0, 0.00919548, 0.254536, 0.02, 0.736269
0.25, 0, 0.00870043, 0.248877, 0.02, 0.742422
0.25, 0, 0.00806951, 0.25162, 0.02, 0.740311
0.25, 0, 0.00784534, 0.248586, 0.02, 0.743568
0.25, 0, 0.00761953, 0.244492, 0.02, 0.747888
0.25, 0, 0.0107935, 0.249256, 0.02, 0.73995
0.25, 0, 0.00937181, 0.247239, 0.02, 0.743389
0.25, 0, 0.00750048, 0.251095, 0.02, 0.741405
0.25, 0, 0.0100898, 0.250565, 0.02, 0.739345
0.25, 0, 0.00957695, 0.254248, 0.02, 0.736175
0.25, 0, 0.0105897, 0.245708, 0.02, 0.743702
0.25, 0, 0.00840896, 0.257503, 0.02, 0.734088
0.25, 0, 0.00769152, 0.255739, 0.02, 0.73657
0.25, 0, 0.00730769, 0.248791, 0.02, 0.743902
0.25, 0, 0.0126352, 0.239081, 0.02, 0.748284
0.25, 0, 0.00960951, 0.25976, 0.02, 0.73063
0.25, 0, 0.00864817, 0.253012, 0.02, 0.73834
0.25, 0, 0.0103864, 0.254573, 0.02, 0.73504
0.25, 0, 0.00835188, 0.256396, 0.02, 0.735252
0.25, 0, 0.0082121, 0.245649, 0.02, 0.746139
0.25, 0, 0.00843754, 0.248105, 0.02, 0.743457
0.25, 0, 0.00857009, 0.243499, 0.02, 0.747931
0.25, 0, 0.00776995, 0.240805, 0.02, 0.751425
0.25, 0, 0.0073899, 0.236832, 0.02, 0.755778
0.25, 0, 0.00682216, 0.254097, 0.02, 0.739081
0.25, 0, 0.00732089, 0.237709, 0.02, 0.75497
0.25, 0, 0.00956918, 0.250881, 0.02, 0.73955
0.25, 0, 0.010019, 0.248088, 0.02, 0.741893
0.25, 0, 0.0089388, 0.251668, 0.02, 0.739393
0.25, 0, 0.00917494, 0.261588, 0.02, 0.729237
0.25, 0, 0.00906407, 0.251323, 0.02, 0.739613
0.25, 0, 0.0114414, 0.24685, 0.02, 0.741708
0.25, 0, 0.00799968, 0.250929, 0.02, 0.741072
0.25, 0, 0.0109014, 0.243964, 0.02, 0.745135
0.25, 0, 0.00689566, 0.255666, 0.02, 0.737438
0.25, 0, 0.0116896, 0.241103, 0.02, 0.747207
0.25, 0, 0.00818476, 0.235209, 0.02, 0.756606
0.25, 0, 0.00886418, 0.255113, 0.02, 0.736023
0.25, 0, 0.00784498, 0.249331, 0.02, 0.742824
0.25, 0, 0.0102983, 0.247733, 0.02, 0.741969
0.25, 0, 0.00885555, 0.25507, 0.02, 0.736075
0.25, 0, 0.00729245, 0.251074, 0.02, 0.741634
0.25, 0, 0.00797065, 0.239159, 0.02, 0.75287
0.25, 0, 0.00819431, 0.24602, 0.02, 0.745785
0.25, 0, 0.0092407, 0.242521, 0.02, 0.748239
0.25, 0, 0.0109472, 0.250455, 0.02, 0.738598
0.25, 0, 0.00707084, 0.247843, 0.02, 0.745086
0.25, 0, 0.00886063, 0.256594, 0.02, 0.734546
0.25, 0, 0.00865337, 0.252493, 0.02, 0.738853
0.25, 0, 0.00576322, 0.249914, 0.02, 0.744323
0.25, 0, 0.00778721, 0.249688, 0.02, 0.742525
0.25, 0, 0.00859218, 0.250873, 0.02, 0.740535
0.25, 0, 0.00715416, 0.238484, 0.02, 0.754362
0.25, 0, 0.00905689, 0.251693, 0.02, 0.73925
0.25, 0, 0.00871397, 0.255987, 0.02, 0.735299
0.25, 0, 0.00884501, 0.25409, 0.02, 0.737065
0.25, 0, 0.00682038, 0.25515, 0.02, 0.73803
0.25, 0, 0.0103793, 0.241678, 0.02, 0.747943
0.25, 0, 0.00806984, 0.252286, 0.02, 0.739644
0.25, 0, 0.009942, 0.243927, 0.02, 0.746131
0.25, 0, 0.00935649, 0.250993, 0.02, 0.739651
0.25, 0, 0.00852211, 0.254655, 0.02, 0.736823
0.25, 0, 0.00899502, 0.254377, 0.02, 0.736628
0.25, 0, 0.00954866, 0.23342, 0.02, 0.757032
0.25, 0, 0.00844678, 0.246923, 0.02, 0.74463
0.25, 0, 0.00749858, 0.237432, 0.02, 0.75507
0.25, 0, 0.00855941, 0.255675, 0.02, 0.735766
0.25, 0, 0.0118958, 0.239295, 0.02, 0.748809
0.25, 0, 0.00755059, 0.243841, 0.02, 0.748608
0.25, 0, 0.00786767, 0.256039, 0.02, 0.736093
0.25, 0, 0.00845953, 0.2432, 0.02, 0.748341
0.25, 0, 0.00799307, 0.254362, 0.02, 0.737645
0.25, 0, 0.00766495, 0.257097, 0.02, 0.735238
0.25, 0, 0.00966887, 0.240364, 0.02, 0.749967
0.25, 0, 0.010647, 0.256107, 0.02, 0.733246
0.25, 0, 0.00840335, 0.25477, 0.02, 0.736826
0.25, 0, 0.00981304, 0.255113, 0.02, 0.735074
0.25, 0, 0.0111713, 0.24511, 0.02, 0.743719
0.25, 0, 0.00983829, 0.260827, 0.02, 0.729335
0.25, 0, 0.00729336, 0.247544, 0.02, 0.745162
0.25, 0, 0.00955763, 0.251174, 0.02, 0.739269
