Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00231004, 0.246087, 0.005, 0.751603
0.25, 0, 0.00184484, 0.262942, 0.005, 0.735213
0.25, 0, 0.00295464, 0.249067, 0.005, 0.747978
0.25, 0, 0.00188379, 0.246964, 0.005, 0.751152
0.25, 0, 0.0016366, 0.253009, 0.005, 0.745354
0.25, 0, 0.00212199, 0.250756, 0.005, 0.747122
0.25, 0, 0.00118687, 0.257176, 0.005, 0.741637
0.25, 0, 0.00269645, 0.252547, 0.005, 0.744757
0.25, 0, 0.00264977, 0.253263, 0.005, 0.744087
0.25, 0, 0.00298611, 0.254505, 0.005, 0.742509
0.25, 0, 0.00148313, 0.254672, 0.005, 0.743845
0.25, 0, 0.00329949, 0.247818, 0.005, 0.748883
0.25, 0, 0.00251996, 0.237825, 0.005, 0.759655
0.25, 0, 0.00280026, 0.251696, 0.005, 0.745503
0.25, 0, 0.00255903, 0.253543, 0.005, 0.743898
0.25, 0, 0.00151832, 0.24339, 0.005, 0.755092
0.25, 0, 0.00239631, 0.25011, 0.005, 0.747493
0.25, 0, 0.00188479, 0.24993, 0.005, 0.748185
0.25, 0, 0.00164314, 0.245467, 0.005, 0.75289
0.25, 0, 0.00285822, 0.244041, 0.005, 0.753101
0.25, 0, 0.00179591, 0.251031, 0.005, 0.747173
0.25, 0, 0.00210735, 0.24838, 0.005, 0.749513
0.25, 0, 0.00224148, 0.247288, 0.005, 0.750471
0.25, 0, 0.00248954, 0.248454, 0.005, 0.749057
0.25, 0, 0.00211872, 0.247941, 0.005, 0.74994
0.25, 0, 0.00144551, 0.257078, 0.005, 0.741476
0.25, 0, 0.000763696, 0.238061, 0.005, 0.761175
0.25, 0, 0.00396193, 0.254649, 0.005, 0.741389
0.25, 0, 0.00135728, 0.263803, 0.005, 0.734839
0.25, 0, 0.0029219, 0.267601, 0.005, 0.729477
0.25, 0, 0.00155061, 0.247611, 0.005, 0.750839
0.25, 0, 0.00120042, 0.250993, 0.005, 0.747806
0.25, 0, 0.00284342, 0.261359, 0.005, 0.735797
0.25, 0, 0.00163127, 0.246618, 0.005, 0.751751
0.25, 0, 0.00185687, 0.25681, 0.005, 0.741333
0.25, 0, 0.00150669, 0.24728, 0.005, 0.751214
0.25, 0, 0.0020387, 0.256217, 0.005, 0.741744
0.25, 0, 0.00143473, 0.250592, 0.005, 0.747973
0.25, 0, 0.00234489, 0.24484, 0.005, 0.752815
0.25, 0, 0.00237416, 0.258755, 0.005, 0.738871
