Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00162317, 0.2474, 0.005, 0.750977
0.25, 0, 0.0025996, 0.241651, 0.005, 0.75575
0.25, 0, 0.00180461, 0.25361, 0.005, 0.744585
0.25, 0, 0.00241692, 0.24928, 0.005, 0.748303
0.25, 0, 0.00133709, 0.247065, 0.005, 0.751598
0.25, 0, 0.00188896, 0.242747, 0.005, 0.755364
0.25, 0, 0.00205408, 0.250056, 0.005, 0.74789
0.25, 0, 0.00250651, 0.238748, 0.005, 0.758746
0.25, 0, 0.00204516, 0.239312, 0.005, 0.758643
0.25, 0, 0.0023654, 0.246158, 0.005, 0.751476
0.25, 0, 0.00190021, 0.249924, 0.005, 0.748176
0.25, 0, 0.00105588, 0.248746, 0.005, 0.750198
0.25, 0, 0.00244934, 0.2464, 0.005, 0.751151
0.25, 0, 0.00131256, 0.256123, 0.005, 0.742565
0.25, 0, 0.00271252, 0.242487, 0.005, 0.7548
0.25, 0, 0.00293426, 0.252608, 0.005, 0.744458
0.25, 0, 0.00337908, 0.248947, 0.005, 0.747674
0.25, 0, 0.00264263, 0.245917, 0.005, 0.751441
0.25, 0, 0.00246195, 0.25426, 0.005, 0.743278
0.25, 0, 0.00276239, 0.245867, 0.005, 0.751371
0.25, 0, 0.00361703, 0.247055, 0.005, 0.749328
0.25, 0, 0.00196498, 0.252836, 0.005, 0.745199
0.25, 0, 0.00338867, 0.249361, 0.005, 0.74725
0.25, 0, 0.00212316, 0.248481, 0.005, 0.749396
0.25, 0, 0.00263154, 0.23885, 0.005, 0.758519
0.25, 0, 0.00260849, 0.263779, 0.005, 0.733613
0.25, 0, 0.00188712, 0.24526, 0.005, 0.752853
0.25, 0, 0.00274466, 0.246534, 0.005, 0.750721
0.25, 0, 0.00229002, 0.243744, 0.005, 0.753966
0.25, 0, 0.00255885, 0.252353, 0.005, 0.745088
0.25, 0, 0.00155345, 0.248894, 0.005, 0.749552
0.25, 0, 0.00188922, 0.244503, 0.005, 0.753608
0.25, 0, 0.00120939, 0.244744, 0.005, 0.754046
0.25, 0, 0.00192476, 0.258108, 0.005, 0.739967
0.25, 0, 0.00203767, 0.258665, 0.005, 0.739298
0.25, 0, 0.000763557, 0.249476, 0.005, 0.74976
0.25, 0, 0.00162117, 0.250941, 0.005, 0.747438
0.25, 0, 0.00125897, 0.251262, 0.005, 0.747479
0.25, 0, 0.00201997, 0.24313, 0.005, 0.75485
0.25, 0, 0.0021662, 0.241137, 0.005, 0.756697
0.25, 0, 0.00224504, 0.254788, 0.005, 0.742967
0.25, 0, 0.000969227, 0.248057, 0.005, 0.750974
0.25, 0, 0.00129947, 0.250484, 0.005, 0.748216
0.25, 0, 0.00173931, 0.243592, 0.005, 0.754669
