Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00294841, 0.241792, 0.005, 0.75526
0.25, 0, 0.00270437, 0.255604, 0.005, 0.741691
0.25, 0, 0.00229361, 0.249454, 0.005, 0.748253
0.25, 0, 0.00190493, 0.245127, 0.005, 0.752968
0.25, 0, 0.00246191, 0.253272, 0.005, 0.744266
0.25, 0, 0.0025217, 0.238247, 0.005, 0.759232
0.25, 0, 0.00195541, 0.249628, 0.005, 0.748417
0.25, 0, 0.00190343, 0.242473, 0.005, 0.755624
0.25, 0, 0.00265284, 0.250233, 0.005, 0.747114
0.25, 0, 0.00231502, 0.246494, 0.005, 0.751191
0.25, 0, 0.00262834, 0.242238, 0.005, 0.755133
0.25, 0, 0.00286823, 0.247526, 0.005, 0.749606
0.25, 0, 0.00222446, 0.251601, 0.005, 0.746174
0.25, 0, 0.00187265, 0.24874, 0.005, 0.749388
0.25, 0, 0.00113718, 0.246541, 0.005, 0.752322
0.25, 0, 0.00339727, 0.252584, 0.005, 0.744018
0.25, 0, 0.00208471, 0.258739, 0.005, 0.739176
0.25, 0, 0.00257583, 0.247001, 0.005, 0.750423
0.25, 0, 0.00292659, 0.251198, 0.005, 0.745875
0.25, 0, 0.00201742, 0.253525, 0.005, 0.744457
0.25, 0, 0.00222822, 0.247678, 0.005, 0.750094
0.25, 0, 0.002375, 0.254396, 0.005, 0.743229
0.25, 0, 0.00197806, 0.242843, 0.005, 0.755178
0.25, 0, 0.00255216, 0.255179, 0.005, 0.742269
0.25, 0, 0.00295688, 0.257071, 0.005, 0.739972
0.25, 0, 0.00210335, 0.254062, 0.005, 0.743835
0.25, 0, 0.000785993, 0.243249, 0.005, 0.755965
0.25, 0, 0.0017362, 0.248029, 0.005, 0.750235
0.25, 0, 0.00265367, 0.250478, 0.005, 0.746869
0.25, 0, 0.00225863, 0.249471, 0.005, 0.748271
0.25, 0, 0.00153296, 0.248257, 0.005, 0.75021
0.25, 0, 0.00172027, 0.23921, 0.005, 0.75907
0.25, 0, 0.00129885, 0.244121, 0.005, 0.75458
0.25, 0, 0.00152399, 0.248999, 0.005, 0.749477
0.25, 0, 0.00243298, 0.260858, 0.005, 0.736709
0.25, 0, 0.00176133, 0.249253, 0.005, 0.748986
0.25, 0, 0.00225063, 0.256252, 0.005, 0.741498
0.25, 0, 0.00237974, 0.248559, 0.005, 0.749062
0.25, 0, 0.00167842, 0.245122, 0.005, 0.753199
0.25, 0, 0.00248756, 0.250406, 0.005, 0.747106
0.25, 0, 0.00112202, 0.240468, 0.005, 0.75841
0.25, 0, 0.00126944, 0.250462, 0.005, 0.748268
0.25, 0, 0.00136695, 0.248479, 0.005, 0.750154
0.25, 0, 0.00183944, 0.252334, 0.005, 0.745826
0.25, 0, 0.00296608, 0.248319, 0.005, 0.748715
0.25, 0, 0.00133846, 0.251086, 0.005, 0.747575
0.25, 0, 0.00192078, 0.243117, 0.005, 0.754962
0.25, 0, 0.00132288, 0.24688, 0.005, 0.751797
0.25, 0, 0.00229219, 0.254453, 0.005, 0.743255
0.25, 0, 0.00204594, 0.243947, 0.005, 0.754007
0.25, 0, 0.00234226, 0.246682, 0.005, 0.750975
0.25, 0, 0.001999, 0.25233, 0.005, 0.745671
0.25, 0, 0.0019698, 0.249444, 0.005, 0.748586
0.25, 0, 0.00311837, 0.257672, 0.005, 0.73921
0.25, 0, 0.00312611, 0.246573, 0.005, 0.750301
0.25, 0, 0.00251602, 0.247434, 0.005, 0.75005
0.25, 0, 0.00211647, 0.246203, 0.005, 0.75168
0.25, 0, 0.00182652, 0.254309, 0.005, 0.743864
0.25, 0, 0.00215125, 0.253555, 0.005, 0.744294
0.25, 0, 0.00302614, 0.245405, 0.005, 0.751568
0.25, 0, 0.00261785, 0.246896, 0.005, 0.750486
0.25, 0, 0.00266707, 0.245298, 0.005, 0.752035
0.25, 0, 0.00137774, 0.249182, 0.005, 0.74944
0.25, 0, 0.00245412, 0.254129, 0.005, 0.743417
0.25, 0, 0.00229197, 0.257156, 0.005, 0.740552
0.25, 0, 0.00208421, 0.247655, 0.005, 0.750261
0.25, 0, 0.00153497, 0.244707, 0.005, 0.753758
0.25, 0, 0.00217237, 0.246244, 0.005, 0.751584
0.25, 0, 0.00200647, 0.245996, 0.005, 0.751998
0.25, 0, 0.00236444, 0.247927, 0.005, 0.749709
0.25, 0, 0.00175227, 0.244882, 0.005, 0.753366
0.25, 0, 0.00238978, 0.250574, 0.005, 0.747036
0.25, 0, 0.0019888, 0.257526, 0.005, 0.740485
0.25, 0, 0.0027148, 0.245916, 0.005, 0.751369
0.25, 0, 0.00257492, 0.252526, 0.005, 0.744899
0.25, 0, 0.00133492, 0.25796, 0.005, 0.740705
0.25, 0, 0.00206919, 0.253754, 0.005, 0.744176
0.25, 0, 0.0018916, 0.255562, 0.005, 0.742547
0.25, 0, 0.00206619, 0.256118, 0.005, 0.741815
0.25, 0, 0.00126796, 0.252582, 0.005, 0.74615
0.25, 0, 0.00291337, 0.249412, 0.005, 0.747675
0.25, 0, 0.00253795, 0.253526, 0.005, 0.743936
0.25, 0, 0.00258303, 0.252529, 0.005, 0.744888
0.25, 0, 0.00410586, 0.249699, 0.005, 0.746196
0.25, 0, 0.00152731, 0.249383, 0.005, 0.74909
0.25, 0, 0.00317387, 0.253018, 0.005, 0.743808
0.25, 0, 0.00136456, 0.235661, 0.005, 0.762974
0.25, 0, 0.00186554, 0.24259, 0.005, 0.755544
0.25, 0, 0.00178856, 0.260018, 0.005, 0.738193
0.25, 0, 0.00160107, 0.251293, 0.005, 0.747106
0.25, 0, 0.00257231, 0.249239, 0.005, 0.748189
0.25, 0, 0.00176838, 0.24681, 0.005, 0.751421
0.25, 0, 0.00192583, 0.259019, 0.005, 0.739055
0.25, 0, 0.00202994, 0.252762, 0.005, 0.745208
0.25, 0, 0.00240647, 0.24388, 0.005, 0.753713
0.25, 0, 0.00222696, 0.253709, 0.005, 0.744064
0.25, 0, 0.00211642, 0.257788, 0.005, 0.740096
0.25, 0, 0.00414893, 0.246776, 0.005, 0.749075
0.25, 0, 0.00183026, 0.263753, 0.005, 0.734417
0.25, 0, 0.00151724, 0.250462, 0.005, 0.748021
0.25, 0, 0.00288639, 0.25071, 0.01, 0.746403
0.25, 0, 0.00346416, 0.250359, 0.01, 0.746177
0.25, 0, 0.00446327, 0.234759, 0.01, 0.760777
0.25, 0, 0.00376159, 0.248886, 0.01, 0.747352
0.25, 0, 0.00448039, 0.256691, 0.01, 0.738829
0.25, 0, 0.0059977, 0.24365, 0.01, 0.750352
0.25, 0, 0.00324764, 0.24371, 0.01, 0.753042
0.25, 0, 0.0041942, 0.249851, 0.01, 0.745954
0.25, 0, 0.00393845, 0.238264, 0.01, 0.757798
0.25, 0, 0.00377414, 0.260837, 0.01, 0.735389
0.25, 0, 0.00575036, 0.253431, 0.01, 0.740819
0.25, 0, 0.00445584, 0.248127, 0.01, 0.747417
0.25, 0, 0.00316466, 0.251818, 0.01, 0.745017
0.25, 0, 0.00441563, 0.248813, 0.01, 0.746771
0.25, 0, 0.0034604, 0.261963, 0.01, 0.734577
0.25, 0, 0.00411723, 0.244831, 0.01, 0.751052
0.25, 0, 0.00394997, 0.248228, 0.01, 0.747822
0.25, 0, 0.00548062, 0.242712, 0.01, 0.751808
0.25, 0, 0.00453337, 0.246113, 0.01, 0.749354
0.25, 0, 0.00444361, 0.248677, 0.01, 0.74688
0.25, 0, 0.00512791, 0.249526, 0.01, 0.745346
0.25, 0, 0.00506134, 0.244822, 0.01, 0.750116
0.25, 0, 0.00465326, 0.249436, 0.01, 0.745911
0.25, 0, 0.00393111, 0.244068, 0.01, 0.752001
0.25, 0, 0.0043097, 0.250344, 0.01, 0.745346
0.25, 0, 0.00375605, 0.247409, 0.01, 0.748835
0.25, 0, 0.00498165, 0.241914, 0.01, 0.753104
0.25, 0, 0.0059505, 0.255954, 0.01, 0.738095
0.25, 0, 0.00338717, 0.238729, 0.01, 0.757883
0.25, 0, 0.00419747, 0.251198, 0.01, 0.744605
0.25, 0, 0.00406567, 0.258007, 0.01, 0.737928
0.25, 0, 0.00292292, 0.243788, 0.01, 0.753289
0.25, 0, 0.00410929, 0.246765, 0.01, 0.749126
0.25, 0, 0.00389276, 0.237476, 0.01, 0.758631
0.25, 0, 0.00420528, 0.25221, 0.01, 0.743585
0.25, 0, 0.00373739, 0.252624, 0.01, 0.743639
0.25, 0, 0.00548314, 0.244636, 0.01, 0.749881
0.25, 0, 0.00292341, 0.261506, 0.01, 0.73557
0.25, 0, 0.00566444, 0.256738, 0.01, 0.737597
0.25, 0, 0.00536553, 0.260911, 0.01, 0.733723
0.25, 0, 0.00413329, 0.242937, 0.01, 0.75293
0.25, 0, 0.00422004, 0.249524, 0.01, 0.746256
0.25, 0, 0.00325229, 0.239423, 0.01, 0.757324
0.25, 0, 0.00258324, 0.255726, 0.01, 0.74169
0.25, 0, 0.00402802, 0.249731, 0.01, 0.746241
0.25, 0, 0.00457526, 0.251253, 0.01, 0.744172
0.25, 0, 0.00520988, 0.239598, 0.01, 0.755192
0.25, 0, 0.0038816, 0.244259, 0.01, 0.75186
0.25, 0, 0.00532512, 0.259787, 0.01, 0.734888
0.25, 0, 0.00494141, 0.240822, 0.01, 0.754236
0.25, 0, 0.004446, 0.240129, 0.01, 0.755425
0.25, 0, 0.00436623, 0.250166, 0.01, 0.745467
0.25, 0, 0.0032407, 0.251544, 0.01, 0.745215
0.25, 0, 0.00466437, 0.25236, 0.01, 0.742975
0.25, 0, 0.00391708, 0.245358, 0.01, 0.750725
0.25, 0, 0.00314482, 0.252665, 0.01, 0.74419
0.25, 0, 0.00406185, 0.250154, 0.01, 0.745784
0.25, 0, 0.00340459, 0.255096, 0.01, 0.741499
0.25, 0, 0.00470376, 0.242192, 0.01, 0.753104
0.25, 0, 0.00348833, 0.254832, 0.01, 0.74168
0.25, 0, 0.00507284, 0.257733, 0.01, 0.737195
0.25, 0, 0.0031249, 0.253831, 0.01, 0.743044
0.25, 0, 0.005017, 0.244294, 0.01, 0.750689
0.25, 0, 0.00486486, 0.238995, 0.01, 0.75614
0.25, 0, 0.00453291, 0.252409, 0.01, 0.743058
0.25, 0, 0.00287648, 0.248305, 0.01, 0.748818
0.25, 0, 0.00347207, 0.254685, 0.01, 0.741843
0.25, 0, 0.00274183, 0.24871, 0.01, 0.748548
0.25, 0, 0.00453304, 0.24802, 0.01, 0.747447
0.25, 0, 0.00444296, 0.241545, 0.01, 0.754012
0.25, 0, 0.00515317, 0.249716, 0.01, 0.74513
0.25, 0, 0.00402036, 0.247548, 0.01, 0.748432
0.25, 0, 0.00439348, 0.252641, 0.01, 0.742965
0.25, 0, 0.00557544, 0.255509, 0.01, 0.738916
0.25, 0, 0.00340616, 0.246364, 0.01, 0.75023
0.25, 0, 0.00476608, 0.245805, 0.01, 0.749429
0.25, 0, 0.00334726, 0.246514, 0.01, 0.750138
0.25, 0, 0.00388818, 0.251685, 0.01, 0.744427
0.25, 0, 0.0027935, 0.244102, 0.01, 0.753104
0.25, 0, 0.00380488, 0.250017, 0.01, 0.746178
0.25, 0, 0.00595884, 0.255688, 0.01, 0.738353
0.25, 0, 0.00441563, 0.239609, 0.01, 0.755975
0.25, 0, 0.00465593, 0.250133, 0.01, 0.745211
0.25, 0, 0.00416266, 0.253643, 0.01, 0.742194
0.25, 0, 0.00409184, 0.241767, 0.01, 0.754141
0.25, 0, 0.00473237, 0.249672, 0.01, 0.745596
0.25, 0, 0.00419302, 0.246523, 0.01, 0.749284
0.25, 0, 0.00443075, 0.257026, 0.01, 0.738543
0.25, 0, 0.00430041, 0.247423, 0.01, 0.748276
0.25, 0, 0.0046155, 0.246264, 0.01, 0.749121
0.25, 0, 0.00397709, 0.252624, 0.01, 0.743399
0.25, 0, 0.00331836, 0.25453, 0.01, 0.742152
0.25, 0, 0.00505015, 0.245857, 0.01, 0.749092
0.25, 0, 0.00369026, 0.245891, 0.01, 0.750419
0.25, 0, 0.00438994, 0.249608, 0.01, 0.746002
0.25, 0, 0.00533701, 0.249045, 0.01, 0.745618
0.25, 0, 0.00629212, 0.243887, 0.01, 0.74982
0.25, 0, 0.00327166, 0.254733, 0.01, 0.741995
0.25, 0, 0.00485487, 0.255147, 0.01, 0.739998
0.25, 0, 0.00493082, 0.244915, 0.01, 0.750154
0.25, 0, 0.00841925, 0.247127, 0.015, 0.744453
