Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00212123, 0.251347, 0.005, 0.746532
0.25, 0, 0.00166939, 0.25288, 0.005, 0.745451
0.25, 0, 0.00146484, 0.244677, 0.005, 0.753858
0.25, 0, 0.00198206, 0.24607, 0.005, 0.751948
0.25, 0, 0.00139231, 0.252062, 0.005, 0.746546
0.25, 0, 0.00189922, 0.259346, 0.005, 0.738755
0.25, 0, 0.00173499, 0.251651, 0.005, 0.746614
0.25, 0, 0.00148354, 0.24366, 0.005, 0.754857
0.25, 0, 0.00182158, 0.246961, 0.005, 0.751217
0.25, 0, 0.00175958, 0.243396, 0.005, 0.754844
0.25, 0, 0.00220935, 0.252126, 0.005, 0.745665
0.25, 0, 0.00291485, 0.247544, 0.005, 0.749542
0.25, 0, 0.00174979, 0.246358, 0.005, 0.751893
0.25, 0, 0.00209267, 0.241386, 0.005, 0.756522
0.25, 0, 0.00152681, 0.246714, 0.005, 0.751759
0.25, 0, 0.00287651, 0.252808, 0.005, 0.744315
0.25, 0, 0.00215281, 0.254817, 0.005, 0.74303
0.25, 0, 0.00282034, 0.244039, 0.005, 0.75314
0.25, 0, 0.00208107, 0.248621, 0.005, 0.749298
0.25, 0, 0.00171486, 0.253383, 0.005, 0.744902
0.25, 0, 0.0016522, 0.252892, 0.005, 0.745456
0.25, 0, 0.00144339, 0.258881, 0.005, 0.739676
0.25, 0, 0.0017697, 0.265264, 0.005, 0.732966
0.25, 0, 0.00314367, 0.243264, 0.005, 0.753592
0.25, 0, 0.00238025, 0.262659, 0.005, 0.734961
0.25, 0, 0.00147406, 0.243208, 0.005, 0.755318
0.25, 0, 0.00153381, 0.248577, 0.005, 0.749889
0.25, 0, 0.00302859, 0.246063, 0.005, 0.750909
0.25, 0, 0.00291195, 0.248227, 0.005, 0.748861
0.25, 0, 0.00204405, 0.249805, 0.005, 0.748151
0.25, 0, 0.00272408, 0.249986, 0.005, 0.74729
0.25, 0, 0.00269404, 0.24864, 0.005, 0.748666
0.25, 0, 0.00194759, 0.257478, 0.005, 0.740574
0.25, 0, 0.00185726, 0.249323, 0.005, 0.74882
0.25, 0, 0.00259388, 0.238286, 0.005, 0.75912
0.25, 0, 0.00401073, 0.244275, 0.005, 0.751714
0.25, 0, 0.00160165, 0.25523, 0.005, 0.743168
0.25, 0, 0.00122675, 0.252899, 0.005, 0.745875
0.25, 0, 0.00201501, 0.24791, 0.005, 0.750075
0.25, 0, 0.00225343, 0.252741, 0.005, 0.745006
0.25, 0, 0.00232106, 0.241382, 0.005, 0.756297
0.25, 0, 0.00145769, 0.249011, 0.005, 0.749531
0.25, 0, 0.00251529, 0.245295, 0.005, 0.75219
0.25, 0, 0.00242383, 0.251609, 0.005, 0.745967
0.25, 0, 0.00234122, 0.24433, 0.005, 0.753328
0.25, 0, 0.00161009, 0.251559, 0.005, 0.746831
0.25, 0, 0.00163161, 0.249438, 0.005, 0.74893
0.25, 0, 0.00207087, 0.242624, 0.005, 0.755306
0.25, 0, 0.00144356, 0.245032, 0.005, 0.753525
0.25, 0, 0.00135411, 0.244924, 0.005, 0.753722
0.25, 0, 0.00206567, 0.25737, 0.005, 0.740565
0.25, 0, 0.0017214, 0.252088, 0.005, 0.74619
0.25, 0, 0.00133659, 0.24498, 0.005, 0.753683
0.25, 0, 0.0018241, 0.2494, 0.005, 0.748776
0.25, 0, 0.00192045, 0.243457, 0.005, 0.754622
0.25, 0, 0.00295707, 0.244365, 0.005, 0.752678
0.25, 0, 0.00169094, 0.245419, 0.005, 0.75289
0.25, 0, 0.00244651, 0.240345, 0.005, 0.757208
0.25, 0, 0.00234004, 0.249027, 0.005, 0.748633
0.25, 0, 0.00155907, 0.24683, 0.005, 0.751611
0.25, 0, 0.00220293, 0.254188, 0.005, 0.743609
0.25, 0, 0.00169382, 0.250751, 0.005, 0.747555
0.25, 0, 0.00283238, 0.248559, 0.005, 0.748608
0.25, 0, 0.00199036, 0.257617, 0.005, 0.740393
0.25, 0, 0.00233034, 0.265303, 0.005, 0.732366
0.25, 0, 0.00278027, 0.248497, 0.005, 0.748723
0.25, 0, 0.00252932, 0.254254, 0.005, 0.743217
0.25, 0, 0.00304073, 0.251958, 0.005, 0.745001
0.25, 0, 0.0016586, 0.254918, 0.005, 0.743424
0.25, 0, 0.00322602, 0.250268, 0.005, 0.746506
0.25, 0, 0.00254705, 0.249139, 0.005, 0.748314
0.25, 0, 0.00213455, 0.255688, 0.005, 0.742177
0.25, 0, 0.00217389, 0.254469, 0.005, 0.743357
0.25, 0, 0.00192542, 0.246191, 0.005, 0.751883
0.25, 0, 0.00237005, 0.252779, 0.005, 0.744851
0.25, 0, 0.00173951, 0.25177, 0.005, 0.746491
0.25, 0, 0.00276256, 0.246954, 0.005, 0.750283
0.25, 0, 0.00207029, 0.252411, 0.005, 0.745519
0.25, 0, 0.00197463, 0.253549, 0.005, 0.744476
0.25, 0, 0.00304066, 0.251769, 0.005, 0.74519
0.25, 0, 0.00124422, 0.243715, 0.005, 0.755041
0.25, 0, 0.00257022, 0.252619, 0.005, 0.744811
0.25, 0, 0.00159695, 0.260688, 0.005, 0.737715
0.25, 0, 0.00131471, 0.256696, 0.005, 0.741989
0.25, 0, 0.00134858, 0.235392, 0.005, 0.763259
0.25, 0, 0.00176379, 0.246289, 0.005, 0.751947
0.25, 0, 0.00249839, 0.241228, 0.005, 0.756274
0.25, 0, 0.00154989, 0.243316, 0.005, 0.755134
0.25, 0, 0.00196783, 0.240116, 0.005, 0.757916
0.25, 0, 0.00225837, 0.253053, 0.005, 0.744689
0.25, 0, 0.00205381, 0.248825, 0.005, 0.749121
0.25, 0, 0.00162053, 0.242756, 0.005, 0.755623
0.25, 0, 0.00174165, 0.250779, 0.005, 0.747479
0.25, 0, 0.0013346, 0.252226, 0.005, 0.74644
0.25, 0, 0.00284628, 0.256796, 0.005, 0.740357
0.25, 0, 0.00133624, 0.244244, 0.005, 0.75442
