Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00215483, 0.247258, 0.005, 0.750587
0.25, 0, 0.00232165, 0.242643, 0.005, 0.755035
0.25, 0, 0.00189951, 0.249179, 0.005, 0.748921
0.25, 0, 0.00264345, 0.256799, 0.005, 0.740558
0.25, 0, 0.0016021, 0.242164, 0.005, 0.756233
0.25, 0, 0.00298566, 0.254526, 0.005, 0.742488
0.25, 0, 0.00232071, 0.252713, 0.005, 0.744966
0.25, 0, 0.00226359, 0.252922, 0.005, 0.744814
0.25, 0, 0.002695, 0.252564, 0.005, 0.744741
0.25, 0, 0.00198188, 0.248882, 0.005, 0.749136
0.25, 0, 0.00182917, 0.251315, 0.005, 0.746855
0.25, 0, 0.00240046, 0.251957, 0.005, 0.745642
0.25, 0, 0.00237387, 0.251313, 0.005, 0.746313
0.25, 0, 0.00266591, 0.253345, 0.005, 0.743989
0.25, 0, 0.0012163, 0.251264, 0.005, 0.74752
0.25, 0, 0.00220584, 0.248177, 0.005, 0.749617
0.25, 0, 0.00202141, 0.254059, 0.005, 0.74392
0.25, 0, 0.00268049, 0.253801, 0.005, 0.743519
0.25, 0, 0.00273431, 0.255091, 0.005, 0.742175
0.25, 0, 0.0040036, 0.251175, 0.005, 0.744821
0.25, 0, 0.00239423, 0.252932, 0.005, 0.744674
0.25, 0, 0.00165012, 0.247991, 0.005, 0.750358
0.25, 0, 0.00180287, 0.245045, 0.005, 0.753152
0.25, 0, 0.00263298, 0.255259, 0.005, 0.742109
0.25, 0, 0.00187784, 0.239204, 0.005, 0.758918
0.25, 0, 0.00204219, 0.242151, 0.005, 0.755807
0.25, 0, 0.00245197, 0.246982, 0.005, 0.750566
0.25, 0, 0.00125536, 0.239743, 0.005, 0.759002
0.25, 0, 0.00281655, 0.24838, 0.005, 0.748803
0.25, 0, 0.00149786, 0.250174, 0.005, 0.748328
0.25, 0, 0.00227009, 0.240456, 0.005, 0.757274
0.25, 0, 0.00279665, 0.247832, 0.005, 0.749372
0.25, 0, 0.00157879, 0.256689, 0.005, 0.741732
0.25, 0, 0.000686616, 0.245016, 0.005, 0.754298
0.25, 0, 0.00137076, 0.237455, 0.005, 0.761174
0.25, 0, 0.00167037, 0.249882, 0.005, 0.748448
0.25, 0, 0.00258411, 0.238396, 0.005, 0.75902
0.25, 0, 0.00173586, 0.254122, 0.005, 0.744142
0.25, 0, 0.00210886, 0.250925, 0.005, 0.746966
0.25, 0, 0.00204324, 0.254419, 0.005, 0.743537
0.25, 0, 0.00188845, 0.238175, 0.005, 0.759936
0.25, 0, 0.00202961, 0.245165, 0.005, 0.752805
0.25, 0, 0.00272245, 0.258139, 0.005, 0.739138
0.25, 0, 0.00256457, 0.252312, 0.005, 0.745123
0.25, 0, 0.00136866, 0.254595, 0.005, 0.744036
0.25, 0, 0.00247326, 0.258123, 0.005, 0.739404
0.25, 0, 0.00272911, 0.246078, 0.005, 0.751193
0.25, 0, 0.00264054, 0.249181, 0.005, 0.748178
0.25, 0, 0.00119408, 0.252303, 0.005, 0.746503
0.25, 0, 0.00275152, 0.245156, 0.005, 0.752092
0.25, 0, 0.00106392, 0.249333, 0.005, 0.749603
0.25, 0, 0.00303119, 0.248943, 0.005, 0.748025
0.25, 0, 0.00169995, 0.252319, 0.005, 0.745981
0.25, 0, 0.00216457, 0.253136, 0.005, 0.7447
0.25, 0, 0.00174872, 0.241551, 0.005, 0.756701
0.25, 0, 0.00230458, 0.245662, 0.005, 0.752033
0.25, 0, 0.00231708, 0.244144, 0.005, 0.753539
0.25, 0, 0.00169571, 0.248617, 0.005, 0.749687
0.25, 0, 0.00156464, 0.247985, 0.005, 0.75045
