Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00138862, 0.250532, 0.005, 0.748079
0.25, 0, 0.00182341, 0.248486, 0.005, 0.74969
0.25, 0, 0.00230671, 0.248203, 0.005, 0.74949
0.25, 0, 0.00205022, 0.25299, 0.005, 0.74496
0.25, 0, 0.00148026, 0.250797, 0.005, 0.747723
0.25, 0, 0.00212794, 0.242407, 0.005, 0.755465
0.25, 0, 0.00205014, 0.250876, 0.005, 0.747074
0.25, 0, 0.00220308, 0.254676, 0.005, 0.743121
0.25, 0, 0.0010633, 0.252457, 0.005, 0.74648
0.25, 0, 0.00180232, 0.252854, 0.005, 0.745343
0.25, 0, 0.00188735, 0.243737, 0.005, 0.754375
0.25, 0, 0.00201261, 0.252363, 0.005, 0.745624
0.25, 0, 0.00225291, 0.243403, 0.005, 0.754344
0.25, 0, 0.00238621, 0.251809, 0.005, 0.745805
0.25, 0, 0.00205748, 0.244388, 0.005, 0.753554
0.25, 0, 0.00305993, 0.251578, 0.005, 0.745362
0.25, 0, 0.00322693, 0.252163, 0.005, 0.74461
0.25, 0, 0.00161848, 0.248756, 0.005, 0.749625
0.25, 0, 0.00167586, 0.243117, 0.005, 0.755207
0.25, 0, 0.00215321, 0.252182, 0.005, 0.745665
0.25, 0, 0.00274669, 0.25239, 0.005, 0.744863
0.25, 0, 0.00204428, 0.257985, 0.005, 0.739971
0.25, 0, 0.00143753, 0.250055, 0.005, 0.748508
0.25, 0, 0.00123909, 0.246718, 0.005, 0.752043
0.25, 0, 0.00234644, 0.245261, 0.005, 0.752392
0.25, 0, 0.00232311, 0.252206, 0.005, 0.745471
0.25, 0, 0.000888306, 0.250732, 0.005, 0.748379
0.25, 0, 0.00317596, 0.24887, 0.005, 0.747954
0.25, 0, 0.00400196, 0.25356, 0.005, 0.742438
0.25, 0, 0.00227273, 0.249394, 0.005, 0.748334
0.25, 0, 0.002555, 0.246154, 0.005, 0.751291
0.25, 0, 0.00116072, 0.257131, 0.005, 0.741709
0.25, 0, 0.00230574, 0.252489, 0.005, 0.745205
0.25, 0, 0.00234736, 0.244521, 0.005, 0.753132
0.25, 0, 0.00293372, 0.243678, 0.005, 0.753389
0.25, 0, 0.00205617, 0.25583, 0.005, 0.742114
0.25, 0, 0.00263351, 0.252768, 0.005, 0.744599
0.25, 0, 0.00210264, 0.250183, 0.005, 0.747715
0.25, 0, 0.00173866, 0.256919, 0.005, 0.741343
0.25, 0, 0.00285992, 0.254517, 0.005, 0.742623
0.25, 0, 0.00107664, 0.253779, 0.005, 0.745145
0.25, 0, 0.00176918, 0.250663, 0.005, 0.747568
0.25, 0, 0.00206681, 0.25758, 0.005, 0.740354
0.25, 0, 0.00145155, 0.239417, 0.005, 0.759132
0.25, 0, 0.0018304, 0.250784, 0.005, 0.747386
0.25, 0, 0.00310543, 0.249565, 0.005, 0.74733
0.25, 0, 0.00165248, 0.251975, 0.005, 0.746372
0.25, 0, 0.00191784, 0.249572, 0.005, 0.74851
0.25, 0, 0.00174113, 0.2409, 0.005, 0.757359
0.25, 0, 0.00215296, 0.248347, 0.005, 0.7495
0.25, 0, 0.00116036, 0.257041, 0.005, 0.741799
0.25, 0, 0.00158827, 0.254756, 0.005, 0.743655
0.25, 0, 0.00235579, 0.247689, 0.005, 0.749955
0.25, 0, 0.00302791, 0.24371, 0.005, 0.753262
0.25, 0, 0.0019851, 0.25028, 0.005, 0.747735
0.25, 0, 0.00225749, 0.245065, 0.005, 0.752677
0.25, 0, 0.00170452, 0.247081, 0.005, 0.751215
0.25, 0, 0.00255596, 0.250722, 0.005, 0.746722
0.25, 0, 0.00183067, 0.25328, 0.005, 0.744889
0.25, 0, 0.00259675, 0.250491, 0.005, 0.746912
0.25, 0, 0.00236715, 0.246794, 0.005, 0.750839
0.25, 0, 0.00223989, 0.25028, 0.005, 0.74748
0.25, 0, 0.00233108, 0.2494, 0.005, 0.748269
0.25, 0, 0.00180796, 0.245069, 0.005, 0.753123
0.25, 0, 0.00227948, 0.240306, 0.005, 0.757414
0.25, 0, 0.00231602, 0.247197, 0.005, 0.750487
0.25, 0, 0.00328104, 0.2417, 0.005, 0.755019
0.25, 0, 0.00160969, 0.255797, 0.005, 0.742594
0.25, 0, 0.00219568, 0.266692, 0.005, 0.731112
0.25, 0, 0.00248916, 0.250179, 0.005, 0.747332
0.25, 0, 0.0031134, 0.255173, 0.005, 0.741714
0.25, 0, 0.00160783, 0.241857, 0.005, 0.756535
0.25, 0, 0.00240225, 0.256264, 0.005, 0.741334
0.25, 0, 0.00123888, 0.249985, 0.005, 0.748776
0.25, 0, 0.00187566, 0.247306, 0.005, 0.750818
0.25, 0, 0.00126599, 0.236753, 0.005, 0.761981
0.25, 0, 0.0021842, 0.25391, 0.005, 0.743906
0.25, 0, 0.00345341, 0.2417, 0.005, 0.754847
0.25, 0, 0.0031653, 0.247228, 0.005, 0.749607
0.25, 0, 0.00268548, 0.245449, 0.005, 0.751865
0.25, 0, 0.00241572, 0.264344, 0.005, 0.73324
0.25, 0, 0.00291672, 0.249802, 0.005, 0.747282
0.25, 0, 0.00232675, 0.251071, 0.005, 0.746603
0.25, 0, 0.00151897, 0.23795, 0.005, 0.760532
0.25, 0, 0.00203072, 0.248508, 0.005, 0.749461
0.25, 0, 0.00170715, 0.253999, 0.005, 0.744294
0.25, 0, 0.00183141, 0.259935, 0.005, 0.738233
0.25, 0, 0.00234883, 0.256273, 0.005, 0.741378
0.25, 0, 0.00225176, 0.251878, 0.005, 0.74587
0.25, 0, 0.00133387, 0.250781, 0.005, 0.747886
0.25, 0, 0.0020718, 0.24667, 0.005, 0.751258
0.25, 0, 0.00277572, 0.256679, 0.005, 0.740546
0.25, 0, 0.00279789, 0.248391, 0.005, 0.748811
0.25, 0, 0.00219311, 0.250971, 0.005, 0.746835
0.25, 0, 0.00200227, 0.261253, 0.005, 0.736744
0.25, 0, 0.00232646, 0.25765, 0.005, 0.740023
0.25, 0, 0.00253287, 0.247397, 0.005, 0.75007
0.25, 0, 0.00198216, 0.246819, 0.005, 0.751198
0.25, 0, 0.00230672, 0.249739, 0.005, 0.747955
0.25, 0, 0.00183748, 0.249699, 0.005, 0.748463
0.25, 0, 0.00428928, 0.259824, 0.01, 0.735887
0.25, 0, 0.00431946, 0.246593, 0.01, 0.749088
0.25, 0, 0.00414046, 0.250005, 0.01, 0.745855
0.25, 0, 0.00554561, 0.250196, 0.01, 0.744258
0.25, 0, 0.00497797, 0.252669, 0.01, 0.742353
0.25, 0, 0.0042675, 0.243474, 0.01, 0.752258
0.25, 0, 0.00305487, 0.250695, 0.01, 0.74625
0.25, 0, 0.00486609, 0.251509, 0.01, 0.743625
0.25, 0, 0.00434784, 0.253592, 0.01, 0.74206
0.25, 0, 0.00352402, 0.256075, 0.01, 0.740401
0.25, 0, 0.00429988, 0.247167, 0.01, 0.748533
0.25, 0, 0.0033372, 0.246488, 0.01, 0.750175
0.25, 0, 0.00522753, 0.259052, 0.01, 0.735721
0.25, 0, 0.00594834, 0.248782, 0.01, 0.745269
0.25, 0, 0.00321469, 0.245637, 0.01, 0.751148
0.25, 0, 0.00414626, 0.253724, 0.01, 0.742129
0.25, 0, 0.00473243, 0.25187, 0.01, 0.743397
0.25, 0, 0.00309079, 0.24265, 0.01, 0.754259
0.25, 0, 0.00300506, 0.250658, 0.01, 0.746337
0.25, 0, 0.00537695, 0.245815, 0.01, 0.748808
0.25, 0, 0.00496943, 0.253321, 0.01, 0.741709
0.25, 0, 0.00495576, 0.256209, 0.01, 0.738835
0.25, 0, 0.00468238, 0.248141, 0.01, 0.747177
0.25, 0, 0.00512679, 0.247076, 0.01, 0.747797
0.25, 0, 0.00433348, 0.244109, 0.01, 0.751558
0.25, 0, 0.00334384, 0.258776, 0.01, 0.73788
0.25, 0, 0.00571356, 0.246474, 0.01, 0.747813
0.25, 0, 0.0048695, 0.244862, 0.01, 0.750269
0.25, 0, 0.00401615, 0.257898, 0.01, 0.738085
0.25, 0, 0.00421324, 0.25284, 0.01, 0.742947
0.25, 0, 0.00279381, 0.250396, 0.01, 0.74681
0.25, 0, 0.0043736, 0.258739, 0.01, 0.736887
0.25, 0, 0.00450783, 0.247751, 0.01, 0.747741
0.25, 0, 0.00450487, 0.254814, 0.01, 0.740681
0.25, 0, 0.0034281, 0.265024, 0.01, 0.731548
0.25, 0, 0.00417907, 0.249888, 0.01, 0.745933
0.25, 0, 0.00414874, 0.260196, 0.01, 0.735656
0.25, 0, 0.006469, 0.24535, 0.01, 0.748181
0.25, 0, 0.00485664, 0.248747, 0.01, 0.746396
0.25, 0, 0.00485218, 0.251239, 0.01, 0.743909
0.25, 0, 0.0054277, 0.253849, 0.01, 0.740723
0.25, 0, 0.00359716, 0.251665, 0.01, 0.744737
0.25, 0, 0.00582792, 0.246883, 0.01, 0.747289
0.25, 0, 0.00592782, 0.250693, 0.01, 0.74338
