Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00118514, 0.260786, 0.005, 0.738029
0.25, 0, 0.00195577, 0.247464, 0.005, 0.75058
0.25, 0, 0.0014784, 0.256217, 0.005, 0.742304
0.25, 0, 0.00220016, 0.259384, 0.005, 0.738416
0.25, 0, 0.00186729, 0.249528, 0.005, 0.748605
0.25, 0, 0.00277849, 0.244616, 0.005, 0.752605
0.25, 0, 0.0024687, 0.243523, 0.005, 0.754008
0.25, 0, 0.00161044, 0.24374, 0.005, 0.75465
0.25, 0, 0.00231624, 0.251262, 0.005, 0.746422
0.25, 0, 0.00184777, 0.250602, 0.005, 0.747551
0.25, 0, 0.00220053, 0.247352, 0.005, 0.750448
0.25, 0, 0.00307747, 0.245042, 0.005, 0.751881
0.25, 0, 0.00155189, 0.251475, 0.005, 0.746973
0.25, 0, 0.00248338, 0.244458, 0.005, 0.753059
0.25, 0, 0.00197625, 0.244701, 0.005, 0.753322
0.25, 0, 0.00358445, 0.24662, 0.005, 0.749795
0.25, 0, 0.00136463, 0.255408, 0.005, 0.743227
0.25, 0, 0.00132269, 0.245351, 0.005, 0.753326
0.25, 0, 0.00359381, 0.253522, 0.005, 0.742885
0.25, 0, 0.00345756, 0.246483, 0.005, 0.750059
0.25, 0, 0.0018796, 0.243494, 0.005, 0.754626
0.25, 0, 0.00178798, 0.24674, 0.005, 0.751472
0.25, 0, 0.00173541, 0.254924, 0.005, 0.743341
0.25, 0, 0.00173338, 0.250737, 0.005, 0.747529
0.25, 0, 0.00182873, 0.257666, 0.005, 0.740505
0.25, 0, 0.00299948, 0.243494, 0.005, 0.753506
0.25, 0, 0.00203881, 0.256447, 0.005, 0.741514
0.25, 0, 0.00256132, 0.24531, 0.005, 0.752129
0.25, 0, 0.00214299, 0.246082, 0.005, 0.751775
0.25, 0, 0.00229598, 0.257325, 0.005, 0.740379
0.25, 0, 0.00287965, 0.256726, 0.005, 0.740395
0.25, 0, 0.00324976, 0.250339, 0.005, 0.746411
0.25, 0, 0.00191887, 0.253466, 0.005, 0.744615
0.25, 0, 0.00289713, 0.24899, 0.005, 0.748113
0.25, 0, 0.00228413, 0.239345, 0.005, 0.758371
0.25, 0, 0.0025001, 0.249799, 0.005, 0.747701
0.25, 0, 0.00217732, 0.257626, 0.005, 0.740196
0.25, 0, 0.000970978, 0.247911, 0.005, 0.751118
0.25, 0, 0.00304018, 0.24915, 0.005, 0.74781
0.25, 0, 0.00180328, 0.249282, 0.005, 0.748915
0.25, 0, 0.00280154, 0.241917, 0.005, 0.755281
0.25, 0, 0.00176294, 0.259316, 0.005, 0.738921
0.25, 0, 0.00220063, 0.260792, 0.005, 0.737007
0.25, 0, 0.000845702, 0.245853, 0.005, 0.753301
0.25, 0, 0.00237723, 0.256953, 0.005, 0.74067
0.25, 0, 0.00152702, 0.25738, 0.005, 0.741093
0.25, 0, 0.00322932, 0.247625, 0.005, 0.749146
0.25, 0, 0.00291962, 0.254583, 0.005, 0.742497
0.25, 0, 0.00158847, 0.24573, 0.005, 0.752681
0.25, 0, 0.00319678, 0.250265, 0.005, 0.746539
0.25, 0, 0.00144344, 0.248939, 0.005, 0.749618
0.25, 0, 0.00186254, 0.257451, 0.005, 0.740686
0.25, 0, 0.00130537, 0.253744, 0.005, 0.744951
0.25, 0, 0.0009985, 0.253441, 0.005, 0.745561
0.25, 0, 0.00259597, 0.244871, 0.005, 0.752533
0.25, 0, 0.00207017, 0.251985, 0.005, 0.745945
0.25, 0, 0.00108503, 0.252372, 0.005, 0.746543
0.25, 0, 0.00334894, 0.255762, 0.005, 0.740889
0.25, 0, 0.0014569, 0.245183, 0.005, 0.75336
0.25, 0, 0.00278146, 0.247769, 0.005, 0.749449
0.25, 0, 0.00300371, 0.250442, 0.005, 0.746554
0.25, 0, 0.00176438, 0.244483, 0.005, 0.753753
0.25, 0, 0.00288258, 0.251213, 0.005, 0.745904
0.25, 0, 0.00346924, 0.252932, 0.005, 0.743598
0.25, 0, 0.00179194, 0.257053, 0.005, 0.741155
0.25, 0, 0.00118939, 0.258526, 0.005, 0.740284
0.25, 0, 0.00248642, 0.243997, 0.005, 0.753517
0.25, 0, 0.00172586, 0.244777, 0.005, 0.753497
0.25, 0, 0.0020707, 0.249907, 0.005, 0.748022
0.25, 0, 0.00144076, 0.254642, 0.005, 0.743918
0.25, 0, 0.00133553, 0.253743, 0.005, 0.744922
0.25, 0, 0.00165703, 0.253705, 0.005, 0.744638
0.25, 0, 0.00300479, 0.249382, 0.005, 0.747613
0.25, 0, 0.00264096, 0.238825, 0.005, 0.758534
0.25, 0, 0.00203713, 0.253589, 0.005, 0.744373
0.25, 0, 0.00222322, 0.254145, 0.005, 0.743632
0.25, 0, 0.00233388, 0.24611, 0.005, 0.751556
0.25, 0, 0.00221976, 0.246233, 0.005, 0.751547
0.25, 0, 0.00231229, 0.248763, 0.005, 0.748925
0.25, 0, 0.00183212, 0.262723, 0.005, 0.735445
0.25, 0, 0.00229228, 0.253104, 0.005, 0.744604
0.25, 0, 0.00112893, 0.237587, 0.005, 0.761284
0.25, 0, 0.0021597, 0.247391, 0.005, 0.750449
0.25, 0, 0.00300423, 0.256289, 0.005, 0.740707
0.25, 0, 0.00241231, 0.244933, 0.005, 0.752655
0.25, 0, 0.00114216, 0.250881, 0.005, 0.747977
0.25, 0, 0.00192311, 0.2561, 0.005, 0.741976
0.25, 0, 0.00240915, 0.244239, 0.005, 0.753352
0.25, 0, 0.00133079, 0.252286, 0.005, 0.746383
0.25, 0, 0.00108915, 0.258319, 0.005, 0.740591
0.25, 0, 0.00160799, 0.251125, 0.005, 0.747267
0.25, 0, 0.00175811, 0.248639, 0.005, 0.749603
0.25, 0, 0.00280247, 0.246631, 0.005, 0.750567
0.25, 0, 0.00227822, 0.24012, 0.005, 0.757602
0.25, 0, 0.00266421, 0.255624, 0.005, 0.741712
0.25, 0, 0.00262502, 0.248811, 0.005, 0.748564
0.25, 0, 0.00162485, 0.253284, 0.005, 0.745091
0.25, 0, 0.00157453, 0.247162, 0.005, 0.751264
