Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00208424, 0.251141, 0.005, 0.746775
0.25, 0, 0.0019108, 0.252093, 0.005, 0.745996
0.25, 0, 0.00275611, 0.252553, 0.005, 0.744691
0.25, 0, 0.00319219, 0.24622, 0.005, 0.750588
0.25, 0, 0.00165074, 0.26514, 0.005, 0.733209
0.25, 0, 0.00222366, 0.252732, 0.005, 0.745044
0.25, 0, 0.00147343, 0.259097, 0.005, 0.73943
0.25, 0, 0.00207832, 0.246805, 0.005, 0.751117
0.25, 0, 0.00212571, 0.254583, 0.005, 0.743291
0.25, 0, 0.00171971, 0.249815, 0.005, 0.748465
0.25, 0, 0.00275672, 0.249888, 0.005, 0.747356
0.25, 0, 0.00235189, 0.245571, 0.005, 0.752077
0.25, 0, 0.00224786, 0.253792, 0.005, 0.74396
0.25, 0, 0.00193544, 0.248621, 0.005, 0.749444
0.25, 0, 0.0022195, 0.25671, 0.005, 0.741071
0.25, 0, 0.0016579, 0.238903, 0.005, 0.759439
0.25, 0, 0.00216976, 0.256397, 0.005, 0.741433
0.25, 0, 0.00209761, 0.260768, 0.005, 0.737135
0.25, 0, 0.00238141, 0.258958, 0.005, 0.738661
0.25, 0, 0.00266243, 0.252819, 0.005, 0.744519
0.25, 0, 0.00225986, 0.250415, 0.005, 0.747325
0.25, 0, 0.00183271, 0.249783, 0.005, 0.748384
0.25, 0, 0.00197019, 0.245848, 0.005, 0.752182
0.25, 0, 0.00213035, 0.252512, 0.005, 0.745357
0.25, 0, 0.00227386, 0.251545, 0.005, 0.746181
0.25, 0, 0.00117632, 0.246645, 0.005, 0.752179
0.25, 0, 0.00193435, 0.260242, 0.005, 0.737824
0.25, 0, 0.00245824, 0.244462, 0.005, 0.753079
0.25, 0, 0.00171112, 0.237523, 0.005, 0.760766
0.25, 0, 0.00289225, 0.260274, 0.005, 0.736834
0.25, 0, 0.0035771, 0.249757, 0.005, 0.746666
0.25, 0, 0.00244385, 0.247385, 0.005, 0.750172
0.25, 0, 0.00208266, 0.242917, 0.005, 0.755
0.25, 0, 0.0021776, 0.262869, 0.005, 0.734954
0.25, 0, 0.00272479, 0.243221, 0.005, 0.754054
0.25, 0, 0.00196569, 0.256276, 0.005, 0.741759
0.25, 0, 0.00163546, 0.251653, 0.005, 0.746712
0.25, 0, 0.0018188, 0.239463, 0.005, 0.758718
0.25, 0, 0.0021331, 0.2454, 0.005, 0.752466
0.25, 0, 0.00190567, 0.257115, 0.005, 0.740979
0.25, 0, 0.00257079, 0.258488, 0.005, 0.738941
0.25, 0, 0.00204973, 0.243508, 0.005, 0.754442
0.25, 0, 0.00173429, 0.251065, 0.005, 0.7472
0.25, 0, 0.0015627, 0.246141, 0.005, 0.752297
0.25, 0, 0.00397888, 0.250708, 0.005, 0.745313
0.25, 0, 0.000993916, 0.251333, 0.005, 0.747673
