Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.0052321, 0.005, 0.994768
0.125, 0, 0.0048201, 0.005, 0.99518
0.125, 0, 0.00552005, 0.005, 0.99448
0.125, 0, 0.00692628, 0.005, 0.993074
0.125, 0, 0.00421982, 0.005, 0.99578
0.125, 0, 0.00559636, 0.005, 0.994404
0.125, 0, 0.00410198, 0.005, 0.995898
0.125, 0, 0.00732557, 0.005, 0.992674
0.125, 0, 0.00492741, 0.005, 0.995073
0.125, 0, 0.00514847, 0.005, 0.994852
0.125, 0, 0.00543292, 0.005, 0.994567
0.125, 0, 0.00454697, 0.005, 0.995453
0.125, 0, 0.00502241, 0.005, 0.994978
0.125, 0, 0.00548895, 0.005, 0.994511
0.125, 0, 0.0062087, 0.005, 0.993791
0.125, 0, 0.00526998, 0.005, 0.99473
0.125, 0, 0.0073649, 0.005, 0.992635
0.125, 0, 0.00467935, 0.005, 0.995321
0.125, 0, 0.00615921, 0.005, 0.993841
0.125, 0, 0.0046972, 0.005, 0.995303
0.125, 0, 0.00457193, 0.005, 0.995428
0.125, 0, 0.00431137, 0.005, 0.995689
0.125, 0, 0.00460314, 0.005, 0.995397
0.125, 0, 0.00839059, 0.005, 0.991609
0.125, 0, 0.00734066, 0.005, 0.992659
0.125, 0, 0.00505727, 0.005, 0.994943
0.125, 0, 0.00448343, 0.005, 0.995517
0.125, 0, 0.00566429, 0.005, 0.994336
0.125, 0, 0.00431785, 0.005, 0.995682
0.125, 0, 0.00317914, 0.005, 0.996821
0.125, 0, 0.00525203, 0.005, 0.994748
0.125, 0, 0.00350809, 0.005, 0.996492
0.125, 0, 0.00641187, 0.005, 0.993588
0.125, 0, 0.00555107, 0.005, 0.994449
0.125, 0, 0.00418133, 0.005, 0.995819
0.125, 0, 0.00492297, 0.005, 0.995077
0.125, 0, 0.00370946, 0.005, 0.996291
0.125, 0, 0.00509396, 0.005, 0.994906
0.125, 0, 0.00545774, 0.005, 0.994542
0.125, 0, 0.00642938, 0.005, 0.993571
0.125, 0, 0.00498244, 0.005, 0.995018
0.125, 0, 0.00561134, 0.005, 0.994389
0.125, 0, 0.00468631, 0.005, 0.995314
0.125, 0, 0.00603359, 0.005, 0.993966
0.125, 0, 0.00405776, 0.005, 0.995942
0.125, 0, 0.00680279, 0.005, 0.993197
0.125, 0, 0.00406182, 0.005, 0.995938
0.125, 0, 0.00603261, 0.005, 0.993967
0.125, 0, 0.00393451, 0.005, 0.996065
0.125, 0, 0.00578333, 0.005, 0.994217
0.125, 0, 0.0042888, 0.005, 0.995711
0.125, 0, 0.00540214, 0.005, 0.994598
0.125, 0, 0.00400831, 0.005, 0.995992
0.125, 0, 0.00607029, 0.005, 0.99393
0.125, 0, 0.00463784, 0.005, 0.995362
0.125, 0, 0.00364412, 0.005, 0.996356
0.125, 0, 0.00523619, 0.005, 0.994764
0.125, 0, 0.00407343, 0.005, 0.995927
0.125, 0, 0.00320798, 0.005, 0.996792
0.125, 0, 0.00658807, 0.005, 0.993412
0.125, 0, 0.0063532, 0.005, 0.993647
0.125, 0, 0.00456991, 0.005, 0.99543
0.125, 0, 0.00537187, 0.005, 0.994628
0.125, 0, 0.00500928, 0.005, 0.994991
0.125, 0, 0.00406812, 0.005, 0.995932
0.125, 0, 0.00508948, 0.005, 0.994911
0.125, 0, 0.00374397, 0.005, 0.996256
0.125, 0, 0.00361172, 0.005, 0.996388
0.125, 0, 0.00519876, 0.005, 0.994801
0.125, 0, 0.0062816, 0.005, 0.993718
0.125, 0, 0.00435927, 0.005, 0.995641
0.125, 0, 0.00604759, 0.005, 0.993952
0.125, 0, 0.00685751, 0.005, 0.993142
0.125, 0, 0.00380653, 0.005, 0.996193
0.125, 0, 0.00575933, 0.005, 0.994241
0.125, 0, 0.00452922, 0.005, 0.995471
0.125, 0, 0.00623508, 0.005, 0.993765
0.125, 0, 0.00632953, 0.005, 0.99367
0.125, 0, 0.00365355, 0.005, 0.996346
0.125, 0, 0.00676268, 0.005, 0.993237
0.125, 0, 0.00571309, 0.005, 0.994287
0.125, 0, 0.00453869, 0.005, 0.995461
0.125, 0, 0.00506794, 0.005, 0.994932
0.125, 0, 0.00532743, 0.005, 0.994673
0.125, 0, 0.00453085, 0.005, 0.995469
0.125, 0, 0.00474064, 0.005, 0.995259
0.125, 0, 0.00531125, 0.005, 0.994689
0.125, 0, 0.00506029, 0.005, 0.99494
0.125, 0, 0.00477282, 0.005, 0.995227
0.125, 0, 0.00436652, 0.005, 0.995633
0.125, 0, 0.00536868, 0.005, 0.994631
0.125, 0, 0.00377716, 0.005, 0.996223
0.125, 0, 0.00543883, 0.005, 0.994561
0.125, 0, 0.0054157, 0.005, 0.994584
0.125, 0, 0.00445164, 0.005, 0.995548
0.125, 0, 0.00528943, 0.005, 0.994711
0.125, 0, 0.00664411, 0.005, 0.993356
0.125, 0, 0.00250972, 0.005, 0.99749
0.125, 0, 0.00503602, 0.005, 0.994964
0.125, 0, 0.00603332, 0.005, 0.993967
0.125, 0, 0.0106793, 0.01, 0.989321
0.125, 0, 0.0110031, 0.01, 0.988997
0.125, 0, 0.0105643, 0.01, 0.989436
0.125, 0, 0.00906947, 0.01, 0.990931
0.125, 0, 0.008486, 0.01, 0.991514
0.125, 0, 0.00793915, 0.01, 0.992061
0.125, 0, 0.0108081, 0.01, 0.989192
0.125, 0, 0.0082507, 0.01, 0.991749
0.125, 0, 0.00679401, 0.01, 0.993206
0.125, 0, 0.00906445, 0.01, 0.990936
0.125, 0, 0.0105379, 0.01, 0.989462
0.125, 0, 0.00889627, 0.01, 0.991104
0.125, 0, 0.00897435, 0.01, 0.991026
0.125, 0, 0.010494, 0.01, 0.989506
0.125, 0, 0.00868415, 0.01, 0.991316
0.125, 0, 0.0101607, 0.01, 0.989839
0.125, 0, 0.00955631, 0.01, 0.990444
0.125, 0, 0.0120963, 0.01, 0.987904
0.125, 0, 0.0101387, 0.01, 0.989861
0.125, 0, 0.0102785, 0.01, 0.989721
0.125, 0, 0.00779952, 0.01, 0.9922
0.125, 0, 0.00750347, 0.01, 0.992497
0.125, 0, 0.0115673, 0.01, 0.988433
0.125, 0, 0.0105482, 0.01, 0.989452
0.125, 0, 0.0110692, 0.01, 0.988931
0.125, 0, 0.0106321, 0.01, 0.989368
0.125, 0, 0.00934191, 0.01, 0.990658
0.125, 0, 0.00963346, 0.01, 0.990367
0.125, 0, 0.00900477, 0.01, 0.990995
0.125, 0, 0.0087656, 0.01, 0.991234
0.125, 0, 0.0083802, 0.01, 0.99162
0.125, 0, 0.0104223, 0.01, 0.989578
0.125, 0, 0.00956147, 0.01, 0.990439
0.125, 0, 0.00937871, 0.01, 0.990621
0.125, 0, 0.0113649, 0.01, 0.988635
0.125, 0, 0.00853628, 0.01, 0.991464
0.125, 0, 0.00709632, 0.01, 0.992904
0.125, 0, 0.0111355, 0.01, 0.988865
0.125, 0, 0.00938538, 0.01, 0.990615
0.125, 0, 0.0111273, 0.01, 0.988873
0.125, 0, 0.00979444, 0.01, 0.990206
0.125, 0, 0.0120001, 0.01, 0.988
0.125, 0, 0.0108987, 0.01, 0.989101
0.125, 0, 0.00987029, 0.01, 0.99013
0.125, 0, 0.00951698, 0.01, 0.990483
0.125, 0, 0.0137722, 0.01, 0.986228
0.125, 0, 0.0109187, 0.01, 0.989081
0.125, 0, 0.00814672, 0.01, 0.991853
0.125, 0, 0.0097743, 0.01, 0.990226
0.125, 0, 0.0115911, 0.01, 0.988409
0.125, 0, 0.0101133, 0.01, 0.989887
0.125, 0, 0.0121916, 0.01, 0.987808
0.125, 0, 0.0109398, 0.01, 0.98906
0.125, 0, 0.00823517, 0.01, 0.991765
0.125, 0, 0.00886946, 0.01, 0.991131
0.125, 0, 0.00866217, 0.01, 0.991338
0.125, 0, 0.00685298, 0.01, 0.993147
0.125, 0, 0.0100718, 0.01, 0.989928
0.125, 0, 0.0121868, 0.01, 0.987813
0.125, 0, 0.00971201, 0.01, 0.990288
0.125, 0, 0.00967206, 0.01, 0.990328
0.125, 0, 0.00964061, 0.01, 0.990359
0.125, 0, 0.012474, 0.01, 0.987526
0.125, 0, 0.0122313, 0.01, 0.987769
0.125, 0, 0.0101596, 0.01, 0.98984
0.125, 0, 0.00827159, 0.01, 0.991728
0.125, 0, 0.00872473, 0.01, 0.991275
0.125, 0, 0.00666444, 0.01, 0.993336
0.125, 0, 0.00908203, 0.01, 0.990918
0.125, 0, 0.00906207, 0.01, 0.990938
0.125, 0, 0.0107165, 0.01, 0.989284
0.125, 0, 0.0104574, 0.01, 0.989543
0.125, 0, 0.0104148, 0.01, 0.989585
0.125, 0, 0.0128511, 0.01, 0.987149
0.125, 0, 0.00899031, 0.01, 0.99101
0.125, 0, 0.0112527, 0.01, 0.988747
0.125, 0, 0.0121716, 0.01, 0.987828
0.125, 0, 0.0091736, 0.01, 0.990826
0.125, 0, 0.0108582, 0.01, 0.989142
0.125, 0, 0.0102028, 0.01, 0.989797
0.125, 0, 0.0100507, 0.01, 0.989949
0.125, 0, 0.00840549, 0.01, 0.991595
0.125, 0, 0.0124458, 0.01, 0.987554
0.125, 0, 0.0088482, 0.01, 0.991152
0.125, 0, 0.00945631, 0.01, 0.990544
0.125, 0, 0.00891489, 0.01, 0.991085
0.125, 0, 0.0106851, 0.01, 0.989315
0.125, 0, 0.0129931, 0.01, 0.987007
0.125, 0, 0.0114961, 0.01, 0.988504
0.125, 0, 0.0111893, 0.01, 0.988811
0.125, 0, 0.0101561, 0.01, 0.989844
0.125, 0, 0.00966192, 0.01, 0.990338
0.125, 0, 0.00952411, 0.01, 0.990476
0.125, 0, 0.012617, 0.01, 0.987383
0.125, 0, 0.0115684, 0.01, 0.988432
0.125, 0, 0.00921249, 0.01, 0.990788
0.125, 0, 0.0101969, 0.01, 0.989803
0.125, 0, 0.0112224, 0.01, 0.988778
0.125, 0, 0.0104106, 0.01, 0.989589
0.125, 0, 0.00968814, 0.01, 0.990312
0.125, 0, 0.0143239, 0.015, 0.985676
0.125, 0, 0.0145673, 0.015, 0.985433
0.125, 0, 0.0146487, 0.015, 0.985351
0.125, 0, 0.0159106, 0.015, 0.984089
0.125, 0, 0.0141988, 0.015, 0.985801
0.125, 0, 0.0132476, 0.015, 0.986752
0.125, 0, 0.0161888, 0.015, 0.983811
0.125, 0, 0.0145023, 0.015, 0.985498
0.125, 0, 0.013836, 0.015, 0.986164
