Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00448801, 0.005, 0.995512
0.125, 0, 0.00495263, 0.005, 0.995047
0.125, 0, 0.0058375, 0.005, 0.994163
0.125, 0, 0.00629794, 0.005, 0.993702
0.125, 0, 0.00372197, 0.005, 0.996278
0.125, 0, 0.00522401, 0.005, 0.994776
0.125, 0, 0.00510117, 0.005, 0.994899
0.125, 0, 0.00507253, 0.005, 0.994927
0.125, 0, 0.00589179, 0.005, 0.994108
0.125, 0, 0.00488676, 0.005, 0.995113
0.125, 0, 0.0041922, 0.005, 0.995808
0.125, 0, 0.00543834, 0.005, 0.994562
0.125, 0, 0.0048478, 0.005, 0.995152
0.125, 0, 0.00382384, 0.005, 0.996176
0.125, 0, 0.00652695, 0.005, 0.993473
0.125, 0, 0.00305049, 0.005, 0.99695
0.125, 0, 0.00430391, 0.005, 0.995696
0.125, 0, 0.00543311, 0.005, 0.994567
0.125, 0, 0.0048713, 0.005, 0.995129
0.125, 0, 0.00482908, 0.005, 0.995171
0.125, 0, 0.00501954, 0.005, 0.99498
0.125, 0, 0.00429191, 0.005, 0.995708
0.125, 0, 0.00332833, 0.005, 0.996672
0.125, 0, 0.00511205, 0.005, 0.994888
0.125, 0, 0.00495271, 0.005, 0.995047
0.125, 0, 0.00433422, 0.005, 0.995666
0.125, 0, 0.00403771, 0.005, 0.995962
0.125, 0, 0.00566102, 0.005, 0.994339
0.125, 0, 0.00568336, 0.005, 0.994317
0.125, 0, 0.00468768, 0.005, 0.995312
0.125, 0, 0.00548671, 0.005, 0.994513
0.125, 0, 0.00487041, 0.005, 0.99513
0.125, 0, 0.00498752, 0.005, 0.995012
0.125, 0, 0.00446696, 0.005, 0.995533
0.125, 0, 0.00606915, 0.005, 0.993931
0.125, 0, 0.00332876, 0.005, 0.996671
0.125, 0, 0.0050583, 0.005, 0.994942
0.125, 0, 0.00491135, 0.005, 0.995089
0.125, 0, 0.00255878, 0.005, 0.997441
0.125, 0, 0.00551146, 0.005, 0.994489
0.125, 0, 0.00536825, 0.005, 0.994632
0.125, 0, 0.0049717, 0.005, 0.995028
0.125, 0, 0.00475029, 0.005, 0.99525
0.125, 0, 0.00540961, 0.005, 0.99459
0.125, 0, 0.00496269, 0.005, 0.995037
0.125, 0, 0.00428783, 0.005, 0.995712
0.125, 0, 0.00505527, 0.005, 0.994945
0.125, 0, 0.00630666, 0.005, 0.993693
0.125, 0, 0.00592908, 0.005, 0.994071
0.125, 0, 0.00395463, 0.005, 0.996045
0.125, 0, 0.00470649, 0.005, 0.995294
0.125, 0, 0.0046795, 0.005, 0.995321
0.125, 0, 0.00520664, 0.005, 0.994793
0.125, 0, 0.00430685, 0.005, 0.995693
0.125, 0, 0.00429714, 0.005, 0.995703
0.125, 0, 0.00604737, 0.005, 0.993953
0.125, 0, 0.00524737, 0.005, 0.994753
0.125, 0, 0.00374084, 0.005, 0.996259
0.125, 0, 0.0041919, 0.005, 0.995808
0.125, 0, 0.00355295, 0.005, 0.996447
0.125, 0, 0.00722449, 0.005, 0.992776
0.125, 0, 0.00618718, 0.005, 0.993813
0.125, 0, 0.00571577, 0.005, 0.994284
0.125, 0, 0.00740416, 0.005, 0.992596
0.125, 0, 0.00560488, 0.005, 0.994395
0.125, 0, 0.00514876, 0.005, 0.994851
0.125, 0, 0.00474279, 0.005, 0.995257
0.125, 0, 0.00713525, 0.005, 0.992865
0.125, 0, 0.00488664, 0.005, 0.995113
0.125, 0, 0.00439961, 0.005, 0.9956
0.125, 0, 0.00616025, 0.005, 0.99384
