Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00555791, 0.005, 0.994442
0.125, 0, 0.00473152, 0.005, 0.995268
0.125, 0, 0.00340966, 0.005, 0.99659
0.125, 0, 0.00473575, 0.005, 0.995264
0.125, 0, 0.00410825, 0.005, 0.995892
0.125, 0, 0.00407498, 0.005, 0.995925
0.125, 0, 0.00364531, 0.005, 0.996355
0.125, 0, 0.0042403, 0.005, 0.99576
0.125, 0, 0.00465514, 0.005, 0.995345
0.125, 0, 0.00555211, 0.005, 0.994448
0.125, 0, 0.00456155, 0.005, 0.995438
0.125, 0, 0.00722367, 0.005, 0.992776
0.125, 0, 0.00679666, 0.005, 0.993203
0.125, 0, 0.00470355, 0.005, 0.995296
0.125, 0, 0.00554427, 0.005, 0.994456
0.125, 0, 0.00622804, 0.005, 0.993772
0.125, 0, 0.00603792, 0.005, 0.993962
0.125, 0, 0.00383506, 0.005, 0.996165
0.125, 0, 0.00488596, 0.005, 0.995114
0.125, 0, 0.00336417, 0.005, 0.996636
0.125, 0, 0.00527697, 0.005, 0.994723
0.125, 0, 0.0065889, 0.005, 0.993411
0.125, 0, 0.00491696, 0.005, 0.995083
0.125, 0, 0.0051346, 0.005, 0.994865
0.125, 0, 0.00542598, 0.005, 0.994574
0.125, 0, 0.00415586, 0.005, 0.995844
0.125, 0, 0.00379104, 0.005, 0.996209
0.125, 0, 0.00494948, 0.005, 0.995051
0.125, 0, 0.00472796, 0.005, 0.995272
0.125, 0, 0.00545772, 0.005, 0.994542
0.125, 0, 0.00430543, 0.005, 0.995695
0.125, 0, 0.00401956, 0.005, 0.99598
0.125, 0, 0.00586013, 0.005, 0.99414
0.125, 0, 0.00374577, 0.005, 0.996254
0.125, 0, 0.00665027, 0.005, 0.99335
0.125, 0, 0.00482901, 0.005, 0.995171
0.125, 0, 0.00447974, 0.005, 0.99552
0.125, 0, 0.00513507, 0.005, 0.994865
0.125, 0, 0.00517257, 0.005, 0.994827
0.125, 0, 0.00442133, 0.005, 0.995579
0.125, 0, 0.00546903, 0.005, 0.994531
0.125, 0, 0.00493962, 0.005, 0.99506
0.125, 0, 0.00662922, 0.005, 0.993371
0.125, 0, 0.00576673, 0.005, 0.994233
0.125, 0, 0.00709168, 0.005, 0.992908
0.125, 0, 0.00429901, 0.005, 0.995701
0.125, 0, 0.00360601, 0.005, 0.996394
0.125, 0, 0.00450157, 0.005, 0.995498
0.125, 0, 0.00480998, 0.005, 0.99519
0.125, 0, 0.00599312, 0.005, 0.994007
0.125, 0, 0.00350674, 0.005, 0.996493
0.125, 0, 0.00541856, 0.005, 0.994581
0.125, 0, 0.00640598, 0.005, 0.993594
0.125, 0, 0.00426582, 0.005, 0.995734
0.125, 0, 0.00385622, 0.005, 0.996144
0.125, 0, 0.00430118, 0.005, 0.995699
0.125, 0, 0.00438136, 0.005, 0.995619
0.125, 0, 0.00434162, 0.005, 0.995658
0.125, 0, 0.00612161, 0.005, 0.993878
0.125, 0, 0.00441075, 0.005, 0.995589
0.125, 0, 0.0051387, 0.005, 0.994861
0.125, 0, 0.00660209, 0.005, 0.993398
0.125, 0, 0.0055858, 0.005, 0.994414
0.125, 0, 0.00522802, 0.005, 0.994772
0.125, 0, 0.00483848, 0.005, 0.995162
0.125, 0, 0.00567264, 0.005, 0.994327
0.125, 0, 0.00468508, 0.005, 0.995315
0.125, 0, 0.00477543, 0.005, 0.995225
0.125, 0, 0.00449286, 0.005, 0.995507
0.125, 0, 0.00674796, 0.005, 0.993252
0.125, 0, 0.0058986, 0.005, 0.994101
0.125, 0, 0.00433421, 0.005, 0.995666
0.125, 0, 0.00397688, 0.005, 0.996023
0.125, 0, 0.00577919, 0.005, 0.994221
0.125, 0, 0.00547083, 0.005, 0.994529
0.125, 0, 0.00516428, 0.005, 0.994836
0.125, 0, 0.00504444, 0.005, 0.994956
0.125, 0, 0.00484713, 0.005, 0.995153
0.125, 0, 0.00462374, 0.005, 0.995376
0.125, 0, 0.00564854, 0.005, 0.994351
0.125, 0, 0.00368277, 0.005, 0.996317
0.125, 0, 0.00483675, 0.005, 0.995163
0.125, 0, 0.0037506, 0.005, 0.996249
0.125, 0, 0.00484078, 0.005, 0.995159
0.125, 0, 0.00553118, 0.005, 0.994469
0.125, 0, 0.00681568, 0.005, 0.993184
0.125, 0, 0.00626588, 0.005, 0.993734
0.125, 0, 0.00484376, 0.005, 0.995156
0.125, 0, 0.00560032, 0.005, 0.9944
0.125, 0, 0.00340953, 0.005, 0.99659
0.125, 0, 0.00384916, 0.005, 0.996151
0.125, 0, 0.00423674, 0.005, 0.995763
0.125, 0, 0.00631267, 0.005, 0.993687
0.125, 0, 0.0050364, 0.005, 0.994964
0.125, 0, 0.00549225, 0.005, 0.994508
0.125, 0, 0.00497064, 0.005, 0.995029
0.125, 0, 0.00560637, 0.005, 0.994394
0.125, 0, 0.00618316, 0.005, 0.993817
0.125, 0, 0.00448897, 0.005, 0.995511
0.125, 0, 0.00388881, 0.005, 0.996111
0.125, 0, 0.00931029, 0.01, 0.99069
0.125, 0, 0.00834459, 0.01, 0.991655
0.125, 0, 0.0114656, 0.01, 0.988534
0.125, 0, 0.00882147, 0.01, 0.991179
0.125, 0, 0.00914584, 0.01, 0.990854
0.125, 0, 0.00977316, 0.01, 0.990227
0.125, 0, 0.00971694, 0.01, 0.990283
0.125, 0, 0.00820038, 0.01, 0.9918
0.125, 0, 0.0107564, 0.01, 0.989244
0.125, 0, 0.00976746, 0.01, 0.990233
0.125, 0, 0.0072016, 0.01, 0.992798
0.125, 0, 0.0098916, 0.01, 0.990108
0.125, 0, 0.00986717, 0.01, 0.990133
0.125, 0, 0.00868109, 0.01, 0.991319
0.125, 0, 0.00890232, 0.01, 0.991098
0.125, 0, 0.0134628, 0.01, 0.986537
0.125, 0, 0.00954946, 0.01, 0.990451
0.125, 0, 0.0112896, 0.01, 0.98871
0.125, 0, 0.0103145, 0.01, 0.989685
0.125, 0, 0.0107519, 0.01, 0.989248
0.125, 0, 0.00809302, 0.01, 0.991907
0.125, 0, 0.0116336, 0.01, 0.988366
0.125, 0, 0.00915689, 0.01, 0.990843
0.125, 0, 0.0114262, 0.01, 0.988574
0.125, 0, 0.0120482, 0.01, 0.987952
0.125, 0, 0.00941904, 0.01, 0.990581
0.125, 0, 0.00936431, 0.01, 0.990636
0.125, 0, 0.0109654, 0.01, 0.989035
0.125, 0, 0.00984847, 0.01, 0.990152
0.125, 0, 0.0130912, 0.01, 0.986909
0.125, 0, 0.0133007, 0.01, 0.986699
0.125, 0, 0.00923425, 0.01, 0.990766
0.125, 0, 0.00885965, 0.01, 0.99114
0.125, 0, 0.00940875, 0.01, 0.990591
0.125, 0, 0.00912074, 0.01, 0.990879
0.125, 0, 0.00951043, 0.01, 0.99049
0.125, 0, 0.00959067, 0.01, 0.990409
0.125, 0, 0.00868381, 0.01, 0.991316
0.125, 0, 0.00831822, 0.01, 0.991682
0.125, 0, 0.00886168, 0.01, 0.991138
0.125, 0, 0.00907975, 0.01, 0.99092
0.125, 0, 0.00844954, 0.01, 0.99155
0.125, 0, 0.00932303, 0.01, 0.990677
0.125, 0, 0.0106366, 0.01, 0.989363
0.125, 0, 0.0113858, 0.01, 0.988614
0.125, 0, 0.0109813, 0.01, 0.989019
0.125, 0, 0.0084008, 0.01, 0.991599
0.125, 0, 0.0105626, 0.01, 0.989437
0.125, 0, 0.0111705, 0.01, 0.98883
0.125, 0, 0.00965829, 0.01, 0.990342
0.125, 0, 0.00974131, 0.01, 0.990259
0.125, 0, 0.00808672, 0.01, 0.991913
0.125, 0, 0.00958885, 0.01, 0.990411
0.125, 0, 0.00948387, 0.01, 0.990516
0.125, 0, 0.00886166, 0.01, 0.991138
0.125, 0, 0.0076094, 0.01, 0.992391
0.125, 0, 0.0067544, 0.01, 0.993246
0.125, 0, 0.0100879, 0.01, 0.989912
0.125, 0, 0.0102024, 0.01, 0.989798
0.125, 0, 0.00799514, 0.01, 0.992005
0.125, 0, 0.0100413, 0.01, 0.989959
0.125, 0, 0.00678332, 0.01, 0.993217
0.125, 0, 0.0109755, 0.01, 0.989024
0.125, 0, 0.00984575, 0.01, 0.990154
0.125, 0, 0.00865487, 0.01, 0.991345
0.125, 0, 0.0105611, 0.01, 0.989439
0.125, 0, 0.00903556, 0.01, 0.990964
0.125, 0, 0.00955761, 0.01, 0.990442
0.125, 0, 0.0117921, 0.01, 0.988208
0.125, 0, 0.0092629, 0.01, 0.990737
0.125, 0, 0.00945434, 0.01, 0.990546
0.125, 0, 0.011842, 0.01, 0.988158
0.125, 0, 0.0116649, 0.01, 0.988335
0.125, 0, 0.00901014, 0.01, 0.99099
0.125, 0, 0.0102018, 0.01, 0.989798
0.125, 0, 0.0108957, 0.01, 0.989104
0.125, 0, 0.0107738, 0.01, 0.989226
0.125, 0, 0.00935483, 0.01, 0.990645
0.125, 0, 0.0092042, 0.01, 0.990796
0.125, 0, 0.0103076, 0.01, 0.989692
0.125, 0, 0.0103253, 0.01, 0.989675
0.125, 0, 0.00781419, 0.01, 0.992186
0.125, 0, 0.0121007, 0.01, 0.987899
0.125, 0, 0.00815073, 0.01, 0.991849
0.125, 0, 0.0103328, 0.01, 0.989667
0.125, 0, 0.0116517, 0.01, 0.988348
0.125, 0, 0.0101883, 0.01, 0.989812
0.125, 0, 0.00941868, 0.01, 0.990581
0.125, 0, 0.00916372, 0.01, 0.990836
0.125, 0, 0.00719365, 0.01, 0.992806
0.125, 0, 0.00902382, 0.01, 0.990976
0.125, 0, 0.00881884, 0.01, 0.991181
0.125, 0, 0.0121099, 0.01, 0.98789
0.125, 0, 0.0107061, 0.01, 0.989294
0.125, 0, 0.00927486, 0.01, 0.990725
