Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00485328, 0.005, 0.995147
0.125, 0, 0.00569175, 0.005, 0.994308
0.125, 0, 0.0061594, 0.005, 0.993841
0.125, 0, 0.00374229, 0.005, 0.996258
0.125, 0, 0.00478185, 0.005, 0.995218
0.125, 0, 0.00315123, 0.005, 0.996849
0.125, 0, 0.00475974, 0.005, 0.99524
0.125, 0, 0.00421747, 0.005, 0.995783
0.125, 0, 0.00486396, 0.005, 0.995136
0.125, 0, 0.00594624, 0.005, 0.994054
0.125, 0, 0.00419265, 0.005, 0.995807
0.125, 0, 0.00419625, 0.005, 0.995804
0.125, 0, 0.00551185, 0.005, 0.994488
0.125, 0, 0.00471389, 0.005, 0.995286
0.125, 0, 0.003913, 0.005, 0.996087
0.125, 0, 0.00480877, 0.005, 0.995191
0.125, 0, 0.00379424, 0.005, 0.996206
0.125, 0, 0.0046924, 0.005, 0.995308
0.125, 0, 0.00456544, 0.005, 0.995435
0.125, 0, 0.00352395, 0.005, 0.996476
0.125, 0, 0.00541826, 0.005, 0.994582
0.125, 0, 0.00505849, 0.005, 0.994942
0.125, 0, 0.00580661, 0.005, 0.994193
0.125, 0, 0.00560481, 0.005, 0.994395
0.125, 0, 0.00311176, 0.005, 0.996888
0.125, 0, 0.0052787, 0.005, 0.994721
0.125, 0, 0.00736281, 0.005, 0.992637
0.125, 0, 0.00351571, 0.005, 0.996484
0.125, 0, 0.00520386, 0.005, 0.994796
0.125, 0, 0.00674608, 0.005, 0.993254
0.125, 0, 0.00253822, 0.005, 0.997462
0.125, 0, 0.00778567, 0.005, 0.992214
0.125, 0, 0.00505497, 0.005, 0.994945
0.125, 0, 0.00474913, 0.005, 0.995251
0.125, 0, 0.00513251, 0.005, 0.994867
0.125, 0, 0.00533529, 0.005, 0.994665
0.125, 0, 0.00465552, 0.005, 0.995344
0.125, 0, 0.0068784, 0.005, 0.993122
0.125, 0, 0.00534239, 0.005, 0.994658
0.125, 0, 0.00565473, 0.005, 0.994345
0.125, 0, 0.00385948, 0.005, 0.996141
0.125, 0, 0.00451389, 0.005, 0.995486
0.125, 0, 0.00658327, 0.005, 0.993417
0.125, 0, 0.00415835, 0.005, 0.995842
0.125, 0, 0.00365231, 0.005, 0.996348
0.125, 0, 0.00497895, 0.005, 0.995021
0.125, 0, 0.00555212, 0.005, 0.994448
0.125, 0, 0.00455639, 0.005, 0.995444
0.125, 0, 0.0032558, 0.005, 0.996744
0.125, 0, 0.00528637, 0.005, 0.994714
0.125, 0, 0.00389168, 0.005, 0.996108
0.125, 0, 0.00474929, 0.005, 0.995251
0.125, 0, 0.00439598, 0.005, 0.995604
0.125, 0, 0.0047279, 0.005, 0.995272
0.125, 0, 0.00489664, 0.005, 0.995103
0.125, 0, 0.00572486, 0.005, 0.994275
0.125, 0, 0.0052581, 0.005, 0.994742
0.125, 0, 0.00473339, 0.005, 0.995267
0.125, 0, 0.00376313, 0.005, 0.996237
0.125, 0, 0.00379766, 0.005, 0.996202
0.125, 0, 0.00525674, 0.005, 0.994743
0.125, 0, 0.00482779, 0.005, 0.995172
0.125, 0, 0.0062917, 0.005, 0.993708
0.125, 0, 0.00363113, 0.005, 0.996369
0.125, 0, 0.00506337, 0.005, 0.994937
0.125, 0, 0.00579184, 0.005, 0.994208
0.125, 0, 0.00409322, 0.005, 0.995907
0.125, 0, 0.00419273, 0.005, 0.995807
0.125, 0, 0.00298297, 0.005, 0.997017
0.125, 0, 0.00489226, 0.005, 0.995108
0.125, 0, 0.00489397, 0.005, 0.995106
0.125, 0, 0.00502507, 0.005, 0.994975
0.125, 0, 0.00570406, 0.005, 0.994296
0.125, 0, 0.00500281, 0.005, 0.994997
0.125, 0, 0.00633128, 0.005, 0.993669
0.125, 0, 0.00431781, 0.005, 0.995682
0.125, 0, 0.00619573, 0.005, 0.993804
0.125, 0, 0.00568482, 0.005, 0.994315
0.125, 0, 0.00475169, 0.005, 0.995248
0.125, 0, 0.0046897, 0.005, 0.99531
0.125, 0, 0.00552823, 0.005, 0.994472
0.125, 0, 0.00522133, 0.005, 0.994779
0.125, 0, 0.00502802, 0.005, 0.994972
0.125, 0, 0.003759, 0.005, 0.996241
0.125, 0, 0.00690939, 0.005, 0.993091
0.125, 0, 0.00614348, 0.005, 0.993857
0.125, 0, 0.006654, 0.005, 0.993346
0.125, 0, 0.00458341, 0.005, 0.995417
0.125, 0, 0.00402346, 0.005, 0.995977
0.125, 0, 0.00493843, 0.005, 0.995062
0.125, 0, 0.00531427, 0.005, 0.994686
0.125, 0, 0.00483394, 0.005, 0.995166
0.125, 0, 0.00486991, 0.005, 0.99513
0.125, 0, 0.0048633, 0.005, 0.995137
0.125, 0, 0.00498269, 0.005, 0.995017
0.125, 0, 0.00568946, 0.005, 0.994311
0.125, 0, 0.00566398, 0.005, 0.994336
0.125, 0, 0.00568446, 0.005, 0.994316
0.125, 0, 0.00580959, 0.005, 0.99419
0.125, 0, 0.00506096, 0.005, 0.994939
0.125, 0, 0.00969223, 0.01, 0.990308
0.125, 0, 0.0109766, 0.01, 0.989023
0.125, 0, 0.0102784, 0.01, 0.989722
0.125, 0, 0.0093669, 0.01, 0.990633
0.125, 0, 0.00970034, 0.01, 0.9903
0.125, 0, 0.0115035, 0.01, 0.988497
0.125, 0, 0.00877421, 0.01, 0.991226
0.125, 0, 0.00945905, 0.01, 0.990541
0.125, 0, 0.0111681, 0.01, 0.988832
0.125, 0, 0.00989604, 0.01, 0.990104
0.125, 0, 0.0101707, 0.01, 0.989829
0.125, 0, 0.0103793, 0.01, 0.989621
0.125, 0, 0.0102883, 0.01, 0.989712
