Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00401051, 0.005, 0.995989
0.125, 0, 0.00567011, 0.005, 0.99433
0.125, 0, 0.0076031, 0.005, 0.992397
0.125, 0, 0.00581159, 0.005, 0.994188
0.125, 0, 0.00428931, 0.005, 0.995711
0.125, 0, 0.00546939, 0.005, 0.994531
0.125, 0, 0.0040264, 0.005, 0.995974
0.125, 0, 0.00587764, 0.005, 0.994122
0.125, 0, 0.00457974, 0.005, 0.99542
0.125, 0, 0.00457196, 0.005, 0.995428
0.125, 0, 0.00544765, 0.005, 0.994552
0.125, 0, 0.00456771, 0.005, 0.995432
0.125, 0, 0.00516834, 0.005, 0.994832
0.125, 0, 0.00281196, 0.005, 0.997188
0.125, 0, 0.00355208, 0.005, 0.996448
0.125, 0, 0.00452944, 0.005, 0.995471
0.125, 0, 0.00444588, 0.005, 0.995554
0.125, 0, 0.00431883, 0.005, 0.995681
0.125, 0, 0.00492156, 0.005, 0.995078
0.125, 0, 0.0035118, 0.005, 0.996488
0.125, 0, 0.00536405, 0.005, 0.994636
0.125, 0, 0.00464438, 0.005, 0.995356
0.125, 0, 0.00596576, 0.005, 0.994034
0.125, 0, 0.00379532, 0.005, 0.996205
0.125, 0, 0.00489956, 0.005, 0.9951
0.125, 0, 0.00470037, 0.005, 0.9953
0.125, 0, 0.0064709, 0.005, 0.993529
0.125, 0, 0.00605533, 0.005, 0.993945
0.125, 0, 0.00456231, 0.005, 0.995438
0.125, 0, 0.00260173, 0.005, 0.997398
0.125, 0, 0.00450847, 0.005, 0.995492
0.125, 0, 0.00658765, 0.005, 0.993412
0.125, 0, 0.00430953, 0.005, 0.99569
0.125, 0, 0.00507163, 0.005, 0.994928
0.125, 0, 0.00594978, 0.005, 0.99405
0.125, 0, 0.00596698, 0.005, 0.994033
0.125, 0, 0.00600975, 0.005, 0.99399
0.125, 0, 0.00464245, 0.005, 0.995358
0.125, 0, 0.00564051, 0.005, 0.994359
0.125, 0, 0.00392961, 0.005, 0.99607
0.125, 0, 0.00521081, 0.005, 0.994789
0.125, 0, 0.00372975, 0.005, 0.99627
0.125, 0, 0.00367737, 0.005, 0.996323
0.125, 0, 0.00397661, 0.005, 0.996023
0.125, 0, 0.00439535, 0.005, 0.995605
0.125, 0, 0.00619014, 0.005, 0.99381
0.125, 0, 0.00490178, 0.005, 0.995098
0.125, 0, 0.00388109, 0.005, 0.996119
0.125, 0, 0.00590551, 0.005, 0.994094
0.125, 0, 0.00473426, 0.005, 0.995266
0.125, 0, 0.00641144, 0.005, 0.993589
0.125, 0, 0.00280162, 0.005, 0.997198
0.125, 0, 0.00566728, 0.005, 0.994333
0.125, 0, 0.00509842, 0.005, 0.994902
0.125, 0, 0.00327984, 0.005, 0.99672
0.125, 0, 0.00294368, 0.005, 0.997056
0.125, 0, 0.00485925, 0.005, 0.995141
0.125, 0, 0.00464486, 0.005, 0.995355
0.125, 0, 0.00389204, 0.005, 0.996108
0.125, 0, 0.00614524, 0.005, 0.993855
0.125, 0, 0.00560893, 0.005, 0.994391
0.125, 0, 0.00481098, 0.005, 0.995189
0.125, 0, 0.00657601, 0.005, 0.993424
0.125, 0, 0.00343012, 0.005, 0.99657
0.125, 0, 0.00446928, 0.005, 0.995531
0.125, 0, 0.00552947, 0.005, 0.994471
0.125, 0, 0.00573584, 0.005, 0.994264
0.125, 0, 0.00444209, 0.005, 0.995558
0.125, 0, 0.00413109, 0.005, 0.995869
0.125, 0, 0.00430561, 0.005, 0.995694
0.125, 0, 0.00585672, 0.005, 0.994143
0.125, 0, 0.00457925, 0.005, 0.995421
0.125, 0, 0.00577629, 0.005, 0.994224
0.125, 0, 0.0055722, 0.005, 0.994428
0.125, 0, 0.00578823, 0.005, 0.994212
0.125, 0, 0.00593711, 0.005, 0.994063
0.125, 0, 0.00523516, 0.005, 0.994765
0.125, 0, 0.00379147, 0.005, 0.996209
0.125, 0, 0.00457638, 0.005, 0.995424
0.125, 0, 0.00451292, 0.005, 0.995487
0.125, 0, 0.00353458, 0.005, 0.996465
0.125, 0, 0.00470427, 0.005, 0.995296
0.125, 0, 0.00592908, 0.005, 0.994071
0.125, 0, 0.0040422, 0.005, 0.995958
0.125, 0, 0.00551591, 0.005, 0.994484
0.125, 0, 0.00552997, 0.005, 0.99447
0.125, 0, 0.00528858, 0.005, 0.994711
0.125, 0, 0.00475174, 0.005, 0.995248
0.125, 0, 0.00490365, 0.005, 0.995096
0.125, 0, 0.00533398, 0.005, 0.994666
0.125, 0, 0.00437282, 0.005, 0.995627
0.125, 0, 0.0045296, 0.005, 0.99547
0.125, 0, 0.00422944, 0.005, 0.995771
0.125, 0, 0.00509265, 0.005, 0.994907
0.125, 0, 0.00396412, 0.005, 0.996036
0.125, 0, 0.00354491, 0.005, 0.996455
0.125, 0, 0.00551878, 0.005, 0.994481
0.125, 0, 0.00453975, 0.005, 0.99546
0.125, 0, 0.00384502, 0.005, 0.996155
0.125, 0, 0.00448647, 0.005, 0.995514
0.125, 0, 0.00816969, 0.01, 0.99183
0.125, 0, 0.00972244, 0.01, 0.990278
0.125, 0, 0.00938807, 0.01, 0.990612
0.125, 0, 0.007408, 0.01, 0.992592
0.125, 0, 0.0118587, 0.01, 0.988141
0.125, 0, 0.00946493, 0.01, 0.990535
0.125, 0, 0.0123699, 0.01, 0.98763
0.125, 0, 0.0118586, 0.01, 0.988141
0.125, 0, 0.0080128, 0.01, 0.991987
0.125, 0, 0.00945601, 0.01, 0.990544
0.125, 0, 0.0093414, 0.01, 0.990659
