Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00601268, 0.005, 0.993987
0.125, 0, 0.00414607, 0.005, 0.995854
0.125, 0, 0.00378799, 0.005, 0.996212
0.125, 0, 0.00443131, 0.005, 0.995569
0.125, 0, 0.00518158, 0.005, 0.994818
0.125, 0, 0.00490031, 0.005, 0.9951
0.125, 0, 0.00414038, 0.005, 0.99586
0.125, 0, 0.00512549, 0.005, 0.994875
0.125, 0, 0.00523986, 0.005, 0.99476
0.125, 0, 0.00444889, 0.005, 0.995551
0.125, 0, 0.00465404, 0.005, 0.995346
0.125, 0, 0.004676, 0.005, 0.995324
0.125, 0, 0.0033793, 0.005, 0.996621
0.125, 0, 0.00348148, 0.005, 0.996519
0.125, 0, 0.00648673, 0.005, 0.993513
0.125, 0, 0.00668708, 0.005, 0.993313
0.125, 0, 0.00493601, 0.005, 0.995064
0.125, 0, 0.00613016, 0.005, 0.99387
0.125, 0, 0.00583521, 0.005, 0.994165
0.125, 0, 0.00378569, 0.005, 0.996214
0.125, 0, 0.0036347, 0.005, 0.996365
0.125, 0, 0.00470411, 0.005, 0.995296
0.125, 0, 0.00382159, 0.005, 0.996178
0.125, 0, 0.00493507, 0.005, 0.995065
0.125, 0, 0.00438664, 0.005, 0.995613
0.125, 0, 0.00462598, 0.005, 0.995374
0.125, 0, 0.00384694, 0.005, 0.996153
0.125, 0, 0.00501568, 0.005, 0.994984
0.125, 0, 0.00466628, 0.005, 0.995334
0.125, 0, 0.00545206, 0.005, 0.994548
0.125, 0, 0.00631241, 0.005, 0.993688
0.125, 0, 0.00532687, 0.005, 0.994673
0.125, 0, 0.00531927, 0.005, 0.994681
0.125, 0, 0.0042533, 0.005, 0.995747
0.125, 0, 0.00409958, 0.005, 0.9959
0.125, 0, 0.00708079, 0.005, 0.992919
0.125, 0, 0.00517572, 0.005, 0.994824
0.125, 0, 0.00433144, 0.005, 0.995669
0.125, 0, 0.00647452, 0.005, 0.993525
0.125, 0, 0.00407985, 0.005, 0.99592
0.125, 0, 0.00333912, 0.005, 0.996661
0.125, 0, 0.00497292, 0.005, 0.995027
0.125, 0, 0.00488138, 0.005, 0.995119
0.125, 0, 0.00504101, 0.005, 0.994959
0.125, 0, 0.00421982, 0.005, 0.99578
0.125, 0, 0.00465087, 0.005, 0.995349
0.125, 0, 0.00540859, 0.005, 0.994591
0.125, 0, 0.00455672, 0.005, 0.995443
0.125, 0, 0.00371588, 0.005, 0.996284
0.125, 0, 0.00626414, 0.005, 0.993736
0.125, 0, 0.00559486, 0.005, 0.994405
0.125, 0, 0.00522123, 0.005, 0.994779
0.125, 0, 0.00292771, 0.005, 0.997072
0.125, 0, 0.00454014, 0.005, 0.99546
0.125, 0, 0.00413127, 0.005, 0.995869
0.125, 0, 0.00778097, 0.005, 0.992219
0.125, 0, 0.00468549, 0.005, 0.995315
0.125, 0, 0.00436622, 0.005, 0.995634
0.125, 0, 0.00341944, 0.005, 0.996581
0.125, 0, 0.00356829, 0.005, 0.996432
0.125, 0, 0.00357267, 0.005, 0.996427
0.125, 0, 0.00472322, 0.005, 0.995277
0.125, 0, 0.00590974, 0.005, 0.99409
0.125, 0, 0.00564973, 0.005, 0.99435
0.125, 0, 0.00602778, 0.005, 0.993972
0.125, 0, 0.00478472, 0.005, 0.995215
0.125, 0, 0.00645903, 0.005, 0.993541
0.125, 0, 0.00520445, 0.005, 0.994796
0.125, 0, 0.00362178, 0.005, 0.996378
0.125, 0, 0.00567051, 0.005, 0.994329
0.125, 0, 0.00324497, 0.005, 0.996755
0.125, 0, 0.0055694, 0.005, 0.994431
0.125, 0, 0.00772115, 0.005, 0.992279
0.125, 0, 0.00464503, 0.005, 0.995355
0.125, 0, 0.00307752, 0.005, 0.996922
0.125, 0, 0.00386485, 0.005, 0.996135
0.125, 0, 0.00605836, 0.005, 0.993942
0.125, 0, 0.00532678, 0.005, 0.994673
0.125, 0, 0.00421952, 0.005, 0.99578
0.125, 0, 0.00644373, 0.005, 0.993556
0.125, 0, 0.00513188, 0.005, 0.994868
0.125, 0, 0.00451245, 0.005, 0.995488
0.125, 0, 0.00333063, 0.005, 0.996669
0.125, 0, 0.00515733, 0.005, 0.994843
0.125, 0, 0.00595276, 0.005, 0.994047
0.125, 0, 0.00436564, 0.005, 0.995634
0.125, 0, 0.00758504, 0.005, 0.992415
0.125, 0, 0.00363499, 0.005, 0.996365
0.125, 0, 0.00624002, 0.005, 0.99376
0.125, 0, 0.00490942, 0.005, 0.995091
0.125, 0, 0.00575556, 0.005, 0.994244
0.125, 0, 0.00337482, 0.005, 0.996625
0.125, 0, 0.00439207, 0.005, 0.995608
0.125, 0, 0.00446252, 0.005, 0.995537
0.125, 0, 0.00592704, 0.005, 0.994073
0.125, 0, 0.00515523, 0.005, 0.994845
0.125, 0, 0.00403819, 0.005, 0.995962
0.125, 0, 0.00368769, 0.005, 0.996312
0.125, 0, 0.00510863, 0.005, 0.994891
0.125, 0, 0.00552731, 0.005, 0.994473
0.125, 0, 0.00842701, 0.01, 0.991573
0.125, 0, 0.0105319, 0.01, 0.989468
0.125, 0, 0.00954509, 0.01, 0.990455
0.125, 0, 0.0101982, 0.01, 0.989802
0.125, 0, 0.0113555, 0.01, 0.988645
0.125, 0, 0.00946529, 0.01, 0.990535
0.125, 0, 0.00944547, 0.01, 0.990555
0.125, 0, 0.0100792, 0.01, 0.989921
0.125, 0, 0.010152, 0.01, 0.989848
0.125, 0, 0.0119815, 0.01, 0.988019
0.125, 0, 0.00912119, 0.01, 0.990879
0.125, 0, 0.0110049, 0.01, 0.988995
0.125, 0, 0.0114809, 0.01, 0.988519
0.125, 0, 0.010491, 0.01, 0.989509
0.125, 0, 0.00861038, 0.01, 0.99139
0.125, 0, 0.00860946, 0.01, 0.991391
0.125, 0, 0.0107553, 0.01, 0.989245
0.125, 0, 0.0103784, 0.01, 0.989622
0.125, 0, 0.0090732, 0.01, 0.990927
0.125, 0, 0.00970244, 0.01, 0.990298
0.125, 0, 0.0101638, 0.01, 0.989836
0.125, 0, 0.00982391, 0.01, 0.990176
0.125, 0, 0.00973959, 0.01, 0.99026
0.125, 0, 0.0101178, 0.01, 0.989882
0.125, 0, 0.00944568, 0.01, 0.990554
0.125, 0, 0.0116594, 0.01, 0.988341
0.125, 0, 0.00779802, 0.01, 0.992202
0.125, 0, 0.0104522, 0.01, 0.989548
0.125, 0, 0.00958226, 0.01, 0.990418
0.125, 0, 0.0116638, 0.01, 0.988336
0.125, 0, 0.00900637, 0.01, 0.990994
0.125, 0, 0.00799826, 0.01, 0.992002
0.125, 0, 0.0118873, 0.01, 0.988113
0.125, 0, 0.0101527, 0.01, 0.989847
0.125, 0, 0.00934097, 0.01, 0.990659
0.125, 0, 0.00885676, 0.01, 0.991143
0.125, 0, 0.00924576, 0.01, 0.990754
0.125, 0, 0.0106947, 0.01, 0.989305
0.125, 0, 0.00859333, 0.01, 0.991407
0.125, 0, 0.0106212, 0.01, 0.989379
0.125, 0, 0.00949666, 0.01, 0.990503
0.125, 0, 0.0095942, 0.01, 0.990406
0.125, 0, 0.00955726, 0.01, 0.990443
0.125, 0, 0.00897154, 0.01, 0.991028
0.125, 0, 0.0124201, 0.01, 0.98758
0.125, 0, 0.0104588, 0.01, 0.989541
0.125, 0, 0.0106816, 0.01, 0.989318
0.125, 0, 0.0104626, 0.01, 0.989537
0.125, 0, 0.00989937, 0.01, 0.990101
0.125, 0, 0.0096433, 0.01, 0.990357
0.125, 0, 0.0102738, 0.01, 0.989726
0.125, 0, 0.0122825, 0.01, 0.987717
0.125, 0, 0.00774712, 0.01, 0.992253
0.125, 0, 0.0101444, 0.01, 0.989856
0.125, 0, 0.0104062, 0.01, 0.989594
0.125, 0, 0.00931668, 0.01, 0.990683
0.125, 0, 0.0125319, 0.01, 0.987468
0.125, 0, 0.00918711, 0.01, 0.990813
0.125, 0, 0.00919902, 0.01, 0.990801
0.125, 0, 0.0103699, 0.01, 0.98963
0.125, 0, 0.00709074, 0.01, 0.992909
0.125, 0, 0.00886858, 0.01, 0.991131
0.125, 0, 0.0118699, 0.01, 0.98813
0.125, 0, 0.0103121, 0.01, 0.989688
0.125, 0, 0.0108044, 0.01, 0.989196
0.125, 0, 0.00850163, 0.01, 0.991498
0.125, 0, 0.00871951, 0.01, 0.99128
0.125, 0, 0.0106455, 0.01, 0.989355
0.125, 0, 0.00997408, 0.01, 0.990026
0.125, 0, 0.0079916, 0.01, 0.992008
0.125, 0, 0.00928485, 0.01, 0.990715
0.125, 0, 0.00882671, 0.01, 0.991173
0.125, 0, 0.0113048, 0.01, 0.988695
0.125, 0, 0.0124847, 0.01, 0.987515
0.125, 0, 0.0108929, 0.01, 0.989107
0.125, 0, 0.00998259, 0.01, 0.990017
0.125, 0, 0.00938689, 0.01, 0.990613
0.125, 0, 0.0113608, 0.01, 0.988639
0.125, 0, 0.0105382, 0.01, 0.989462
0.125, 0, 0.00777763, 0.01, 0.992222
0.125, 0, 0.0133487, 0.01, 0.986651
0.125, 0, 0.0101926, 0.01, 0.989807
0.125, 0, 0.00934494, 0.01, 0.990655
0.125, 0, 0.00926189, 0.01, 0.990738
0.125, 0, 0.0110242, 0.01, 0.988976
0.125, 0, 0.0126399, 0.01, 0.98736
0.125, 0, 0.00979394, 0.01, 0.990206
0.125, 0, 0.0101141, 0.01, 0.989886
0.125, 0, 0.0128057, 0.01, 0.987194
0.125, 0, 0.00933921, 0.01, 0.990661
0.125, 0, 0.0116793, 0.01, 0.988321
0.125, 0, 0.0081235, 0.01, 0.991876
0.125, 0, 0.00864652, 0.01, 0.991353
0.125, 0, 0.0126374, 0.01, 0.987363
0.125, 0, 0.00868031, 0.01, 0.99132
0.125, 0, 0.00910609, 0.01, 0.990894
0.125, 0, 0.00953466, 0.01, 0.990465
0.125, 0, 0.00874817, 0.01, 0.991252
0.125, 0, 0.0101457, 0.01, 0.989854
0.125, 0, 0.0111249, 0.01, 0.988875
0.125, 0, 0.0145303, 0.015, 0.98547
0.125, 0, 0.0173513, 0.015, 0.982649
0.125, 0, 0.0160082, 0.015, 0.983992
0.125, 0, 0.0135627, 0.015, 0.986437
0.125, 0, 0.0170699, 0.015, 0.98293
0.125, 0, 0.0177649, 0.015, 0.982235
0.125, 0, 0.0133318, 0.015, 0.986668
0.125, 0, 0.016517, 0.015, 0.983483
0.125, 0, 0.0163172, 0.015, 0.983683
0.125, 0, 0.0166616, 0.015, 0.983338
0.125, 0, 0.0141934, 0.015, 0.985807
0.125, 0, 0.0144139, 0.015, 0.985586
0.125, 0, 0.0140833, 0.015, 0.985917
0.125, 0, 0.0176977, 0.015, 0.982302
0.125, 0, 0.0125669, 0.015, 0.987433
0.125, 0, 0.016028, 0.015, 0.983972
0.125, 0, 0.0151293, 0.015, 0.984871
0.125, 0, 0.0134086, 0.015, 0.986591
0.125, 0, 0.0174616, 0.015, 0.982538
0.125, 0, 0.0133187, 0.015, 0.986681
0.125, 0, 0.0152632, 0.015, 0.984737
0.125, 0, 0.0179274, 0.015, 0.982073
0.125, 0, 0.0140624, 0.015, 0.985938
0.125, 0, 0.0134022, 0.015, 0.986598
0.125, 0, 0.0177137, 0.015, 0.982286
0.125, 0, 0.0137417, 0.015, 0.986258
0.125, 0, 0.0149419, 0.015, 0.985058
0.125, 0, 0.0159755, 0.015, 0.984024
0.125, 0, 0.0137692, 0.015, 0.986231
0.125, 0, 0.0159358, 0.015, 0.984064
0.125, 0, 0.0154574, 0.015, 0.984543
0.125, 0, 0.0122586, 0.015, 0.987741
0.125, 0, 0.0152078, 0.015, 0.984792
0.125, 0, 0.0156947, 0.015, 0.984305
0.125, 0, 0.0151287, 0.015, 0.984871
0.125, 0, 0.0148934, 0.015, 0.985107
0.125, 0, 0.0163609, 0.015, 0.983639
0.125, 0, 0.0163285, 0.015, 0.983672
0.125, 0, 0.016595, 0.015, 0.983405
0.125, 0, 0.0125005, 0.015, 0.987499
0.125, 0, 0.0153678, 0.015, 0.984632
0.125, 0, 0.0136936, 0.015, 0.986306
0.125, 0, 0.0162702, 0.015, 0.98373
0.125, 0, 0.0163121, 0.015, 0.983688
0.125, 0, 0.0149427, 0.015, 0.985057
0.125, 0, 0.0141864, 0.015, 0.985814
0.125, 0, 0.0128712, 0.015, 0.987129
0.125, 0, 0.0138812, 0.015, 0.986119
0.125, 0, 0.0138009, 0.015, 0.986199
0.125, 0, 0.0132676, 0.015, 0.986732
0.125, 0, 0.0171568, 0.015, 0.982843
0.125, 0, 0.0139277, 0.015, 0.986072
0.125, 0, 0.0154385, 0.015, 0.984562
0.125, 0, 0.0158319, 0.015, 0.984168
0.125, 0, 0.0156898, 0.015, 0.98431
