Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00574347, 0.005, 0.994257
0.125, 0, 0.0056665, 0.005, 0.994333
0.125, 0, 0.00241501, 0.005, 0.997585
0.125, 0, 0.00490905, 0.005, 0.995091
0.125, 0, 0.00430009, 0.005, 0.9957
0.125, 0, 0.00384282, 0.005, 0.996157
0.125, 0, 0.00561574, 0.005, 0.994384
0.125, 0, 0.00472193, 0.005, 0.995278
0.125, 0, 0.00603718, 0.005, 0.993963
0.125, 0, 0.00538201, 0.005, 0.994618
0.125, 0, 0.00385212, 0.005, 0.996148
0.125, 0, 0.00624576, 0.005, 0.993754
0.125, 0, 0.00518542, 0.005, 0.994815
0.125, 0, 0.00658766, 0.005, 0.993412
0.125, 0, 0.00519359, 0.005, 0.994806
0.125, 0, 0.00641506, 0.005, 0.993585
0.125, 0, 0.00389695, 0.005, 0.996103
0.125, 0, 0.00455525, 0.005, 0.995445
0.125, 0, 0.00517082, 0.005, 0.994829
0.125, 0, 0.0055159, 0.005, 0.994484
0.125, 0, 0.00470286, 0.005, 0.995297
0.125, 0, 0.00470599, 0.005, 0.995294
0.125, 0, 0.00566536, 0.005, 0.994335
0.125, 0, 0.0061751, 0.005, 0.993825
0.125, 0, 0.00448001, 0.005, 0.99552
0.125, 0, 0.0054665, 0.005, 0.994534
0.125, 0, 0.00565834, 0.005, 0.994342
0.125, 0, 0.00564847, 0.005, 0.994352
0.125, 0, 0.00449779, 0.005, 0.995502
0.125, 0, 0.00387676, 0.005, 0.996123
0.125, 0, 0.00412516, 0.005, 0.995875
0.125, 0, 0.00807715, 0.005, 0.991923
0.125, 0, 0.0046533, 0.005, 0.995347
0.125, 0, 0.00403752, 0.005, 0.995962
0.125, 0, 0.00425899, 0.005, 0.995741
0.125, 0, 0.0051035, 0.005, 0.994896
0.125, 0, 0.00595413, 0.005, 0.994046
0.125, 0, 0.00649701, 0.005, 0.993503
0.125, 0, 0.0047804, 0.005, 0.99522
0.125, 0, 0.00578245, 0.005, 0.994218
0.125, 0, 0.00559273, 0.005, 0.994407
0.125, 0, 0.00497688, 0.005, 0.995023
0.125, 0, 0.00522959, 0.005, 0.99477
0.125, 0, 0.00450182, 0.005, 0.995498
0.125, 0, 0.00412213, 0.005, 0.995878
0.125, 0, 0.0050969, 0.005, 0.994903
0.125, 0, 0.00543267, 0.005, 0.994567
0.125, 0, 0.00623487, 0.005, 0.993765
0.125, 0, 0.00482882, 0.005, 0.995171
0.125, 0, 0.00425437, 0.005, 0.995746
0.125, 0, 0.00435657, 0.005, 0.995643
0.125, 0, 0.00473163, 0.005, 0.995268
0.125, 0, 0.00528744, 0.005, 0.994713
0.125, 0, 0.00379817, 0.005, 0.996202
0.125, 0, 0.00619643, 0.005, 0.993804
0.125, 0, 0.0038454, 0.005, 0.996155
0.125, 0, 0.00448276, 0.005, 0.995517
0.125, 0, 0.00409902, 0.005, 0.995901
0.125, 0, 0.00529112, 0.005, 0.994709
0.125, 0, 0.00567273, 0.005, 0.994327
0.125, 0, 0.0052626, 0.005, 0.994737
0.125, 0, 0.00633053, 0.005, 0.993669
0.125, 0, 0.00473299, 0.005, 0.995267
0.125, 0, 0.00558873, 0.005, 0.994411
0.125, 0, 0.00548884, 0.005, 0.994511
0.125, 0, 0.00582484, 0.005, 0.994175
0.125, 0, 0.00584118, 0.005, 0.994159
0.125, 0, 0.00533287, 0.005, 0.994667
0.125, 0, 0.0055391, 0.005, 0.994461
0.125, 0, 0.00474253, 0.005, 0.995257
0.125, 0, 0.00379831, 0.005, 0.996202
0.125, 0, 0.00514776, 0.005, 0.994852
0.125, 0, 0.00468627, 0.005, 0.995314
0.125, 0, 0.00420992, 0.005, 0.99579
0.125, 0, 0.00442399, 0.005, 0.995576
0.125, 0, 0.00631674, 0.005, 0.993683
0.125, 0, 0.00511073, 0.005, 0.994889
0.125, 0, 0.0042608, 0.005, 0.995739
0.125, 0, 0.00511924, 0.005, 0.994881
0.125, 0, 0.00435889, 0.005, 0.995641
0.125, 0, 0.00604812, 0.005, 0.993952
0.125, 0, 0.00348857, 0.005, 0.996511
0.125, 0, 0.00349347, 0.005, 0.996507
0.125, 0, 0.00553256, 0.005, 0.994467
0.125, 0, 0.00601918, 0.005, 0.993981
0.125, 0, 0.00481463, 0.005, 0.995185
0.125, 0, 0.00832417, 0.005, 0.991676
0.125, 0, 0.00495948, 0.005, 0.995041
0.125, 0, 0.004919, 0.005, 0.995081
0.125, 0, 0.00516963, 0.005, 0.99483
0.125, 0, 0.00282037, 0.005, 0.99718
0.125, 0, 0.00432572, 0.005, 0.995674
0.125, 0, 0.003725, 0.005, 0.996275
0.125, 0, 0.00615861, 0.005, 0.993841
0.125, 0, 0.0044485, 0.005, 0.995551
0.125, 0, 0.00344291, 0.005, 0.996557
0.125, 0, 0.0047973, 0.005, 0.995203
0.125, 0, 0.00428906, 0.005, 0.995711
0.125, 0, 0.00477852, 0.005, 0.995221
0.125, 0, 0.00549231, 0.005, 0.994508
0.125, 0, 0.00863165, 0.01, 0.991368
0.125, 0, 0.0100243, 0.01, 0.989976
0.125, 0, 0.00803019, 0.01, 0.99197
0.125, 0, 0.0109118, 0.01, 0.989088
0.125, 0, 0.00890669, 0.01, 0.991093
0.125, 0, 0.0113016, 0.01, 0.988698
0.125, 0, 0.0089286, 0.01, 0.991071
0.125, 0, 0.0126816, 0.01, 0.987318
0.125, 0, 0.00824218, 0.01, 0.991758
0.125, 0, 0.0102065, 0.01, 0.989794
0.125, 0, 0.00843599, 0.01, 0.991564
0.125, 0, 0.00831802, 0.01, 0.991682
0.125, 0, 0.00983349, 0.01, 0.990167
0.125, 0, 0.00873561, 0.01, 0.991264
0.125, 0, 0.00883374, 0.01, 0.991166
0.125, 0, 0.0113581, 0.01, 0.988642
0.125, 0, 0.0097078, 0.01, 0.990292
0.125, 0, 0.00640524, 0.01, 0.993595
0.125, 0, 0.013804, 0.01, 0.986196
0.125, 0, 0.0112085, 0.01, 0.988792
0.125, 0, 0.00740009, 0.01, 0.9926
0.125, 0, 0.010336, 0.01, 0.989664
0.125, 0, 0.00994444, 0.01, 0.990056
0.125, 0, 0.0083221, 0.01, 0.991678
0.125, 0, 0.0108396, 0.01, 0.98916
0.125, 0, 0.0105767, 0.01, 0.989423
0.125, 0, 0.00842924, 0.01, 0.991571
0.125, 0, 0.00978685, 0.01, 0.990213
0.125, 0, 0.00861042, 0.01, 0.99139
0.125, 0, 0.011824, 0.01, 0.988176
0.125, 0, 0.00999697, 0.01, 0.990003
0.125, 0, 0.0103217, 0.01, 0.989678
0.125, 0, 0.011061, 0.01, 0.988939
0.125, 0, 0.00895599, 0.01, 0.991044
0.125, 0, 0.01002, 0.01, 0.98998
0.125, 0, 0.0118486, 0.01, 0.988151
0.125, 0, 0.0106572, 0.01, 0.989343
0.125, 0, 0.00957715, 0.01, 0.990423
0.125, 0, 0.0092456, 0.01, 0.990754
0.125, 0, 0.00933612, 0.01, 0.990664
0.125, 0, 0.0105374, 0.01, 0.989463
0.125, 0, 0.0101605, 0.01, 0.98984
0.125, 0, 0.00655633, 0.01, 0.993444
0.125, 0, 0.0104406, 0.01, 0.989559
0.125, 0, 0.00926698, 0.01, 0.990733
0.125, 0, 0.00985708, 0.01, 0.990143
0.125, 0, 0.0111243, 0.01, 0.988876
0.125, 0, 0.00857207, 0.01, 0.991428
0.125, 0, 0.0116044, 0.01, 0.988396
0.125, 0, 0.00830502, 0.01, 0.991695
0.125, 0, 0.00949776, 0.01, 0.990502
0.125, 0, 0.0106156, 0.01, 0.989384
0.125, 0, 0.0086967, 0.01, 0.991303
0.125, 0, 0.0118577, 0.01, 0.988142
0.125, 0, 0.0109718, 0.01, 0.989028
0.125, 0, 0.0107232, 0.01, 0.989277
0.125, 0, 0.0106179, 0.01, 0.989382
0.125, 0, 0.0115004, 0.01, 0.9885
0.125, 0, 0.010801, 0.01, 0.989199
0.125, 0, 0.0090379, 0.01, 0.990962
0.125, 0, 0.0103573, 0.01, 0.989643
0.125, 0, 0.0111066, 0.01, 0.988893
0.125, 0, 0.00913758, 0.01, 0.990862
0.125, 0, 0.00760206, 0.01, 0.992398
0.125, 0, 0.0076592, 0.01, 0.992341
0.125, 0, 0.0113518, 0.01, 0.988648
0.125, 0, 0.0100363, 0.01, 0.989964
0.125, 0, 0.0109244, 0.01, 0.989076
0.125, 0, 0.0105402, 0.01, 0.98946
0.125, 0, 0.00894057, 0.01, 0.991059
0.125, 0, 0.00848469, 0.01, 0.991515
0.125, 0, 0.00921812, 0.01, 0.990782
0.125, 0, 0.0113349, 0.01, 0.988665
0.125, 0, 0.0100092, 0.01, 0.989991
0.125, 0, 0.0103194, 0.01, 0.989681
0.125, 0, 0.0103322, 0.01, 0.989668
0.125, 0, 0.0105427, 0.01, 0.989457
0.125, 0, 0.0125984, 0.01, 0.987402
0.125, 0, 0.00931385, 0.01, 0.990686
0.125, 0, 0.00922234, 0.01, 0.990778
0.125, 0, 0.0085623, 0.01, 0.991438
0.125, 0, 0.0114984, 0.01, 0.988502
0.125, 0, 0.0117645, 0.01, 0.988235
0.125, 0, 0.0107581, 0.01, 0.989242
0.125, 0, 0.0128705, 0.01, 0.987129
0.125, 0, 0.010714, 0.01, 0.989286
0.125, 0, 0.00872837, 0.01, 0.991272
0.125, 0, 0.011455, 0.01, 0.988545
0.125, 0, 0.00948183, 0.01, 0.990518
0.125, 0, 0.0115743, 0.01, 0.988426
0.125, 0, 0.00987633, 0.01, 0.990124
0.125, 0, 0.00929922, 0.01, 0.990701
0.125, 0, 0.00908373, 0.01, 0.990916
0.125, 0, 0.00859823, 0.01, 0.991402
0.125, 0, 0.00971081, 0.01, 0.990289
0.125, 0, 0.00929474, 0.01, 0.990705
0.125, 0, 0.0103378, 0.01, 0.989662
0.125, 0, 0.00956859, 0.01, 0.990431
0.125, 0, 0.0110028, 0.01, 0.988997
0.125, 0, 0.00869781, 0.01, 0.991302
0.125, 0, 0.017502, 0.015, 0.982498
0.125, 0, 0.0157868, 0.015, 0.984213
0.125, 0, 0.0168556, 0.015, 0.983144
0.125, 0, 0.0152439, 0.015, 0.984756
0.125, 0, 0.0149206, 0.015, 0.985079
0.125, 0, 0.0128719, 0.015, 0.987128
0.125, 0, 0.0130966, 0.015, 0.986903
0.125, 0, 0.0140906, 0.015, 0.985909
0.125, 0, 0.0172688, 0.015, 0.982731
0.125, 0, 0.0150088, 0.015, 0.984991
0.125, 0, 0.0178853, 0.015, 0.982115
0.125, 0, 0.0138775, 0.015, 0.986122
0.125, 0, 0.014223, 0.015, 0.985777
0.125, 0, 0.0166721, 0.015, 0.983328
0.125, 0, 0.0164391, 0.015, 0.983561
0.125, 0, 0.0151195, 0.015, 0.984881
0.125, 0, 0.0136487, 0.015, 0.986351
0.125, 0, 0.0158084, 0.015, 0.984192
0.125, 0, 0.0142472, 0.015, 0.985753
0.125, 0, 0.0176813, 0.015, 0.982319
