Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00293358, 0.005, 0.997066
0.125, 0, 0.00422646, 0.005, 0.995774
0.125, 0, 0.00405469, 0.005, 0.995945
0.125, 0, 0.00376141, 0.005, 0.996239
0.125, 0, 0.00582513, 0.005, 0.994175
0.125, 0, 0.00608818, 0.005, 0.993912
0.125, 0, 0.00423757, 0.005, 0.995762
0.125, 0, 0.00397294, 0.005, 0.996027
0.125, 0, 0.00394033, 0.005, 0.99606
0.125, 0, 0.00595444, 0.005, 0.994046
0.125, 0, 0.0051331, 0.005, 0.994867
0.125, 0, 0.00379056, 0.005, 0.996209
0.125, 0, 0.00604967, 0.005, 0.99395
0.125, 0, 0.00370706, 0.005, 0.996293
0.125, 0, 0.00437099, 0.005, 0.995629
0.125, 0, 0.00543286, 0.005, 0.994567
0.125, 0, 0.00386393, 0.005, 0.996136
0.125, 0, 0.00343517, 0.005, 0.996565
0.125, 0, 0.00459973, 0.005, 0.9954
0.125, 0, 0.00554517, 0.005, 0.994455
0.125, 0, 0.00398256, 0.005, 0.996017
0.125, 0, 0.00492528, 0.005, 0.995075
0.125, 0, 0.00510422, 0.005, 0.994896
0.125, 0, 0.00595484, 0.005, 0.994045
0.125, 0, 0.00358463, 0.005, 0.996415
0.125, 0, 0.00360839, 0.005, 0.996392
0.125, 0, 0.00460148, 0.005, 0.995399
0.125, 0, 0.00532954, 0.005, 0.99467
0.125, 0, 0.00484496, 0.005, 0.995155
0.125, 0, 0.00650568, 0.005, 0.993494
0.125, 0, 0.00587467, 0.005, 0.994125
0.125, 0, 0.00533294, 0.005, 0.994667
0.125, 0, 0.00478204, 0.005, 0.995218
0.125, 0, 0.00650387, 0.005, 0.993496
0.125, 0, 0.00639244, 0.005, 0.993608
0.125, 0, 0.0038416, 0.005, 0.996158
0.125, 0, 0.00430597, 0.005, 0.995694
0.125, 0, 0.00670841, 0.005, 0.993292
0.125, 0, 0.00531622, 0.005, 0.994684
0.125, 0, 0.00615449, 0.005, 0.993846
0.125, 0, 0.00420754, 0.005, 0.995792
0.125, 0, 0.0057017, 0.005, 0.994298
0.125, 0, 0.00548966, 0.005, 0.99451
0.125, 0, 0.00503573, 0.005, 0.994964
0.125, 0, 0.00495125, 0.005, 0.995049
0.125, 0, 0.00472275, 0.005, 0.995277
0.125, 0, 0.00319847, 0.005, 0.996802
0.125, 0, 0.0054943, 0.005, 0.994506
0.125, 0, 0.00507969, 0.005, 0.99492
0.125, 0, 0.0040343, 0.005, 0.995966
0.125, 0, 0.00351292, 0.005, 0.996487
0.125, 0, 0.0059304, 0.005, 0.99407
0.125, 0, 0.00586592, 0.005, 0.994134
0.125, 0, 0.00373303, 0.005, 0.996267
0.125, 0, 0.00352942, 0.005, 0.996471
0.125, 0, 0.0054693, 0.005, 0.994531
0.125, 0, 0.00530758, 0.005, 0.994692
0.125, 0, 0.004375, 0.005, 0.995625
0.125, 0, 0.00486463, 0.005, 0.995135
0.125, 0, 0.00474918, 0.005, 0.995251
0.125, 0, 0.00487437, 0.005, 0.995126
0.125, 0, 0.00514072, 0.005, 0.994859
0.125, 0, 0.00507862, 0.005, 0.994921
0.125, 0, 0.00491735, 0.005, 0.995083
0.125, 0, 0.00434721, 0.005, 0.995653
0.125, 0, 0.00471027, 0.005, 0.99529
0.125, 0, 0.00463798, 0.005, 0.995362
0.125, 0, 0.00569582, 0.005, 0.994304
0.125, 0, 0.0047546, 0.005, 0.995245
0.125, 0, 0.00754519, 0.005, 0.992455
0.125, 0, 0.00565091, 0.005, 0.994349
0.125, 0, 0.00506539, 0.005, 0.994935
0.125, 0, 0.0042621, 0.005, 0.995738
0.125, 0, 0.00465066, 0.005, 0.995349
0.125, 0, 0.00417796, 0.005, 0.995822
0.125, 0, 0.0058881, 0.005, 0.994112
0.125, 0, 0.00412107, 0.005, 0.995879
0.125, 0, 0.005419, 0.005, 0.994581
0.125, 0, 0.0042344, 0.005, 0.995766
0.125, 0, 0.00514887, 0.005, 0.994851
0.125, 0, 0.00497958, 0.005, 0.99502
0.125, 0, 0.00454675, 0.005, 0.995453
0.125, 0, 0.00629542, 0.005, 0.993705
0.125, 0, 0.00441375, 0.005, 0.995586
0.125, 0, 0.00372703, 0.005, 0.996273
0.125, 0, 0.00423864, 0.005, 0.995761
0.125, 0, 0.00381188, 0.005, 0.996188
0.125, 0, 0.00527906, 0.005, 0.994721
0.125, 0, 0.0036918, 0.005, 0.996308
0.125, 0, 0.00510107, 0.005, 0.994899
0.125, 0, 0.0052642, 0.005, 0.994736
0.125, 0, 0.00445102, 0.005, 0.995549
0.125, 0, 0.0055584, 0.005, 0.994442
0.125, 0, 0.00547483, 0.005, 0.994525
0.125, 0, 0.00769977, 0.005, 0.9923
0.125, 0, 0.00543373, 0.005, 0.994566
0.125, 0, 0.00420644, 0.005, 0.995794
0.125, 0, 0.00677867, 0.005, 0.993221
0.125, 0, 0.00554436, 0.005, 0.994456
0.125, 0, 0.00628883, 0.005, 0.993711
0.125, 0, 0.0125615, 0.01, 0.987438
0.125, 0, 0.00993709, 0.01, 0.990063
0.125, 0, 0.00929058, 0.01, 0.990709
0.125, 0, 0.00932045, 0.01, 0.99068
0.125, 0, 0.0090774, 0.01, 0.990923
0.125, 0, 0.0114815, 0.01, 0.988518
0.125, 0, 0.00877787, 0.01, 0.991222
0.125, 0, 0.00948467, 0.01, 0.990515
0.125, 0, 0.00983151, 0.01, 0.990168
0.125, 0, 0.00892127, 0.01, 0.991079
