Cutoff,Gamma,Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.125, 0, 0.00401478, 0.005, 0.995985
0.125, 0, 0.00461027, 0.005, 0.99539
0.125, 0, 0.00526753, 0.005, 0.994732
0.125, 0, 0.00465555, 0.005, 0.995344
0.125, 0, 0.00556859, 0.005, 0.994431
0.125, 0, 0.00647769, 0.005, 0.993522
0.125, 0, 0.00468213, 0.005, 0.995318
0.125, 0, 0.00478738, 0.005, 0.995213
0.125, 0, 0.00422391, 0.005, 0.995776
0.125, 0, 0.0048927, 0.005, 0.995107
0.125, 0, 0.00588354, 0.005, 0.994116
0.125, 0, 0.00491805, 0.005, 0.995082
0.125, 0, 0.00556716, 0.005, 0.994433
0.125, 0, 0.00685739, 0.005, 0.993143
0.125, 0, 0.00571378, 0.005, 0.994286
0.125, 0, 0.00435074, 0.005, 0.995649
0.125, 0, 0.00399598, 0.005, 0.996004
0.125, 0, 0.00361671, 0.005, 0.996383
0.125, 0, 0.00544289, 0.005, 0.994557
0.125, 0, 0.00365991, 0.005, 0.99634
0.125, 0, 0.00571676, 0.005, 0.994283
0.125, 0, 0.00542933, 0.005, 0.994571
0.125, 0, 0.00493709, 0.005, 0.995063
0.125, 0, 0.00405028, 0.005, 0.99595
0.125, 0, 0.00452608, 0.005, 0.995474
0.125, 0, 0.00533775, 0.005, 0.994662
0.125, 0, 0.00695327, 0.005, 0.993047
0.125, 0, 0.00583466, 0.005, 0.994165
0.125, 0, 0.00458425, 0.005, 0.995416
0.125, 0, 0.00423679, 0.005, 0.995763
0.125, 0, 0.00542066, 0.005, 0.994579
0.125, 0, 0.00503218, 0.005, 0.994968
0.125, 0, 0.00459286, 0.005, 0.995407
0.125, 0, 0.00479465, 0.005, 0.995205
0.125, 0, 0.00491089, 0.005, 0.995089
0.125, 0, 0.00680848, 0.005, 0.993192
0.125, 0, 0.00527446, 0.005, 0.994726
0.125, 0, 0.00560026, 0.005, 0.9944
0.125, 0, 0.00485228, 0.005, 0.995148
0.125, 0, 0.00516292, 0.005, 0.994837
0.125, 0, 0.00370269, 0.005, 0.996297
0.125, 0, 0.0042558, 0.005, 0.995744
0.125, 0, 0.00392693, 0.005, 0.996073
0.125, 0, 0.00630782, 0.005, 0.993692
0.125, 0, 0.00368511, 0.005, 0.996315
0.125, 0, 0.00565338, 0.005, 0.994347
0.125, 0, 0.00520459, 0.005, 0.994795
0.125, 0, 0.0059654, 0.005, 0.994035
0.125, 0, 0.00554663, 0.005, 0.994453
0.125, 0, 0.00545954, 0.005, 0.99454
0.125, 0, 0.00337479, 0.005, 0.996625
0.125, 0, 0.00456189, 0.005, 0.995438
0.125, 0, 0.00430482, 0.005, 0.995695
0.125, 0, 0.0038637, 0.005, 0.996136
0.125, 0, 0.00540401, 0.005, 0.994596
0.125, 0, 0.00346124, 0.005, 0.996539
0.125, 0, 0.00373263, 0.005, 0.996267
0.125, 0, 0.0049081, 0.005, 0.995092
0.125, 0, 0.00460386, 0.005, 0.995396
0.125, 0, 0.00582722, 0.005, 0.994173
0.125, 0, 0.00432521, 0.005, 0.995675
0.125, 0, 0.00502303, 0.005, 0.994977
0.125, 0, 0.00572827, 0.005, 0.994272
0.125, 0, 0.00423895, 0.005, 0.995761
0.125, 0, 0.00485756, 0.005, 0.995142
0.125, 0, 0.00731421, 0.005, 0.992686
0.125, 0, 0.00616513, 0.005, 0.993835
0.125, 0, 0.0059043, 0.005, 0.994096
0.125, 0, 0.00698899, 0.005, 0.993011
0.125, 0, 0.00440603, 0.005, 0.995594
0.125, 0, 0.00632036, 0.005, 0.99368
0.125, 0, 0.00384899, 0.005, 0.996151
0.125, 0, 0.00423443, 0.005, 0.995766
0.125, 0, 0.0062254, 0.005, 0.993775
0.125, 0, 0.0059054, 0.005, 0.994095
0.125, 0, 0.00570836, 0.005, 0.994292
0.125, 0, 0.00540539, 0.005, 0.994595
0.125, 0, 0.00427736, 0.005, 0.995723
0.125, 0, 0.00403296, 0.005, 0.995967
0.125, 0, 0.0046166, 0.005, 0.995383
0.125, 0, 0.00454429, 0.005, 0.995456
0.125, 0, 0.00473481, 0.005, 0.995265
0.125, 0, 0.00502681, 0.005, 0.994973
0.125, 0, 0.00540959, 0.005, 0.99459
0.125, 0, 0.00511893, 0.005, 0.994881
0.125, 0, 0.00385153, 0.005, 0.996148
0.125, 0, 0.0051761, 0.005, 0.994824
0.125, 0, 0.00486534, 0.005, 0.995135
0.125, 0, 0.00498848, 0.005, 0.995012
0.125, 0, 0.00646095, 0.005, 0.993539
0.125, 0, 0.00451786, 0.005, 0.995482
0.125, 0, 0.00406885, 0.005, 0.995931
0.125, 0, 0.00283222, 0.005, 0.997168
