Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0.000330656, 0, 0.1, 0.999669
0, 0.000112332, 0, 0.1, 0.999888
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0.000210384, 0.1, 0.99979
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0.000327812, 0, 0.1, 0.999672
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0.000167498, 0, 0.1, 0.999833
0, 0, 5.12487e-05, 0.1, 0.999949
0, 0, 0, 0.1, 1
0, 9.64094e-05, 0, 0.1, 0.999904
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0.00034353, 0.1, 0.999656
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 7.52457e-05, 0.000109494, 0.1, 0.999815
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0.000102743, 0, 0.1, 0.999897
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 3.50825e-05, 0, 0.1, 0.999965
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 9.6748e-05, 0, 0.1, 0.999903
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
0, 0, 0, 0.1, 1
