Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.00207755, 0.0087841, 0.1, 0.989138
0, 0.00291289, 0.00591295, 0.1, 0.991174
0, 0.00242925, 0.0108572, 0.1, 0.986714
0, 0.00444267, 0.0093929, 0.1, 0.986164
0, 0.00235827, 0.00884857, 0.1, 0.988793
0, 0.00284324, 0.0113423, 0.1, 0.985814
0, 0.00290396, 0.0106258, 0.1, 0.98647
0, 0.00161429, 0.00986157, 0.1, 0.988524
0, 0.00239465, 0.00966734, 0.1, 0.987938
0, 0.00210158, 0.00802695, 0.1, 0.989871
0, 0.00239656, 0.0120208, 0.1, 0.985583
0, 0.00246282, 0.00803505, 0.1, 0.989502
0, 0.00212754, 0.00973107, 0.1, 0.988141
0, 0.00208574, 0.00953568, 0.1, 0.988379
0, 0.00223231, 0.010124, 0.1, 0.987644
0, 0.00258179, 0.0078851, 0.1, 0.989533
0, 0.00359645, 0.00887137, 0.1, 0.987532
0, 0.00215324, 0.00937505, 0.1, 0.988472
0, 0.00153383, 0.00958399, 0.1, 0.988882
0, 0.0016675, 0.0110354, 0.1, 0.987297
0, 0.00190108, 0.00953365, 0.1, 0.988565
0, 0.00244823, 0.00918686, 0.1, 0.988365
0, 0.00477774, 0.0109233, 0.1, 0.984299
0, 0.00337782, 0.0101779, 0.1, 0.986444
0, 0.00196629, 0.00938165, 0.1, 0.988652
0, 0.00270124, 0.00884777, 0.1, 0.988451
0, 0.00214575, 0.00901366, 0.1, 0.988841
0, 0.00265045, 0.0107686, 0.1, 0.986581
0, 0.00211756, 0.00783541, 0.1, 0.990047
0, 0.00157592, 0.00946095, 0.1, 0.988963
0, 0.00373279, 0.00727875, 0.1, 0.988988
0, 0.00242238, 0.0104811, 0.1, 0.987097
0, 0.00250483, 0.0100962, 0.1, 0.987399
0, 0.00373851, 0.0102633, 0.1, 0.985998
0, 0.0030412, 0.00830973, 0.1, 0.988649
0, 0.002814, 0.00831642, 0.1, 0.98887
0, 0.0028935, 0.0120252, 0.1, 0.985081
0, 0.00196397, 0.00895461, 0.1, 0.989081
0, 0.00141513, 0.00758905, 0.1, 0.990996
0, 0.00117648, 0.00901164, 0.1, 0.989812
0, 0.00159575, 0.00749594, 0.1, 0.990908
0, 0.00258447, 0.0101404, 0.1, 0.987275
0, 0.00265689, 0.00717467, 0.1, 0.990168
0, 0.00157625, 0.00899468, 0.1, 0.989429
0, 0.00384673, 0.0136772, 0.1, 0.982476
0, 0.00126523, 0.0079996, 0.1, 0.990735
0, 0.0019773, 0.00795622, 0.1, 0.990066
0, 0.00206246, 0.0090816, 0.1, 0.988856
0, 0.00192945, 0.00783419, 0.1, 0.990236
0, 0.00386435, 0.0112441, 0.1, 0.984892
0, 0.00214871, 0.00862277, 0.1, 0.989229
0, 0.00295715, 0.00846028, 0.1, 0.988583
0, 0.0029878, 0.00763911, 0.1, 0.989373
0, 0.00116374, 0.00821095, 0.1, 0.990625
0, 0.00148348, 0.0069979, 0.1, 0.991519
0, 0.00106315, 0.0112015, 0.1, 0.987735
0, 0.00105213, 0.0106478, 0.1, 0.9883
0, 0.00302236, 0.0121615, 0.1, 0.984816
0, 0.00253399, 0.00947634, 0.1, 0.98799
0, 0.00381623, 0.00960469, 0.1, 0.986579
0, 0.00296655, 0.0124986, 0.1, 0.984535
0, 0.00235668, 0.00980053, 0.1, 0.987843
0, 0.00375625, 0.00989433, 0.1, 0.986349
0, 0.00273827, 0.0075273, 0.1, 0.989734
0, 0.000721082, 0.00980815, 0.1, 0.989471
0, 0.00259458, 0.00952157, 0.1, 0.987884
0, 0.00239379, 0.00757392, 0.1, 0.990032
0, 0.00271938, 0.0107238, 0.1, 0.986557
0, 0.00253658, 0.00941832, 0.1, 0.988045
0, 0.00172558, 0.0113539, 0.1, 0.986921
0, 0.00182184, 0.00857636, 0.1, 0.989602
0, 0.00367415, 0.00861703, 0.1, 0.987709
0, 0.00230206, 0.00792268, 0.1, 0.989775
0, 0.00155541, 0.00842059, 0.1, 0.990024
0, 0.00405982, 0.00933296, 0.1, 0.986607
0, 0.00201307, 0.012672, 0.1, 0.985315
0, 0.00249019, 0.0104115, 0.1, 0.987098
0, 0.00297526, 0.00956976, 0.1, 0.987455
0, 0.00256747, 0.00954163, 0.1, 0.987891
0, 0.00158808, 0.0101289, 0.1, 0.988283
0, 0.00172415, 0.0108714, 0.1, 0.987404
0, 0.00230073, 0.00965491, 0.1, 0.988044
0, 0.00165556, 0.00828399, 0.1, 0.99006
0, 0.00208273, 0.00953948, 0.1, 0.988378
0, 0.00276516, 0.0109926, 0.1, 0.986242
0, 0.00292492, 0.0112639, 0.1, 0.985811
0, 0.00216808, 0.00967062, 0.1, 0.988161
0, 0.00184884, 0.010144, 0.1, 0.988007
0, 0.00263313, 0.00820222, 0.1, 0.989165
0, 0.00372324, 0.00994877, 0.1, 0.986328
0, 0.00207035, 0.0118453, 0.1, 0.986084
0, 0.00162466, 0.0106465, 0.1, 0.987729
0, 0.00269138, 0.010421, 0.1, 0.986888
0, 0.00339165, 0.00801348, 0.1, 0.988595
0, 0.00291846, 0.00611849, 0.1, 0.990963
0, 0.00279638, 0.0121999, 0.1, 0.985004
0, 0.00251656, 0.0109789, 0.1, 0.986505
0, 0.00182145, 0.009248, 0.1, 0.988931
0, 0.00263183, 0.00750732, 0.1, 0.989861
0, 0.00119883, 0.00933049, 0.1, 0.989471
0, 0.00286696, 0.0124281, 0.105, 0.984705
0, 0.00135812, 0.0107549, 0.105, 0.987887
0, 0.00236068, 0.00831783, 0.105, 0.989321
0, 0.0022828, 0.0126358, 0.105, 0.985081
0, 0.00228245, 0.0154437, 0.105, 0.982274
0, 0.00372532, 0.00703349, 0.105, 0.989241
0, 0.00240517, 0.0090406, 0.105, 0.988554
0, 0.00258763, 0.0127831, 0.105, 0.984629
0, 0.00270003, 0.0119266, 0.105, 0.985373
0, 0.00254704, 0.00894862, 0.105, 0.988504
0, 0.00293675, 0.0136416, 0.105, 0.983422
0, 0.00214689, 0.0127498, 0.105, 0.985103
0, 0.00349871, 0.0124852, 0.105, 0.984016
0, 0.00304457, 0.0145772, 0.105, 0.982378
0, 0.0014315, 0.0115157, 0.105, 0.987053
0, 0.00156404, 0.0110123, 0.105, 0.987424
0, 0.00306168, 0.0140069, 0.105, 0.982931
0, 0.0024341, 0.0127284, 0.105, 0.984838
0, 0.00228123, 0.00882488, 0.105, 0.988894
0, 0.00215063, 0.0130954, 0.105, 0.984754
0, 0.00178127, 0.0122758, 0.105, 0.985943
0, 0.0025674, 0.00921561, 0.105, 0.988217
0, 0.0029789, 0.0115491, 0.105, 0.985472
0, 0.00186299, 0.0123223, 0.105, 0.985815
0, 0.00347219, 0.00931861, 0.105, 0.987209
0, 0.00331416, 0.0125391, 0.105, 0.984147
0, 0.00292811, 0.0124455, 0.105, 0.984626
0, 0.00389772, 0.0110952, 0.105, 0.985007
0, 0.00425344, 0.0165956, 0.105, 0.979151
0, 0.00262511, 0.0117861, 0.105, 0.985589
0, 0.00452427, 0.0104138, 0.105, 0.985062
0, 0.0032237, 0.012361, 0.105, 0.984415
0, 0.00335474, 0.0116177, 0.105, 0.985028
0, 0.0020112, 0.014358, 0.105, 0.983631
0, 0.00160219, 0.0124374, 0.105, 0.98596
0, 0.00291192, 0.0114318, 0.105, 0.985656
0, 0.0034817, 0.0134057, 0.105, 0.983113
0, 0.00274105, 0.0114425, 0.105, 0.985816
0, 0.00156924, 0.010464, 0.105, 0.987967
0, 0.00346857, 0.00927297, 0.105, 0.987258
0, 0.00300736, 0.00753432, 0.105, 0.989458
0, 0.00300061, 0.0137672, 0.105, 0.983232
0, 0.00376201, 0.0103522, 0.105, 0.985886
0, 0.00237651, 0.0104757, 0.105, 0.987148
0, 0.00274929, 0.00864394, 0.105, 0.988607
0, 0.0024774, 0.0109186, 0.105, 0.986604
0, 0.00301698, 0.00989294, 0.105, 0.98709
0, 0.00239624, 0.0136512, 0.105, 0.983953
0, 0.00444211, 0.0111651, 0.105, 0.984393
0, 0.00337218, 0.0118058, 0.105, 0.984822
0, 0.00306447, 0.0108594, 0.105, 0.986076
0, 0.00166793, 0.00992219, 0.105, 0.98841
0, 0.00274764, 0.00834357, 0.105, 0.988909
0, 0.00309267, 0.0120421, 0.105, 0.984865
0, 0.00209225, 0.0084845, 0.105, 0.989423
0, 0.0034392, 0.0122889, 0.105, 0.984272
0, 0.00315298, 0.0123164, 0.105, 0.984531
0, 0.00210709, 0.0109568, 0.105, 0.986936
0, 0.00179541, 0.0114804, 0.105, 0.986724
0, 0.00202316, 0.00968953, 0.105, 0.988287
0, 0.00395752, 0.0130887, 0.105, 0.982954
0, 0.00303801, 0.00988569, 0.105, 0.987076
0, 0.00151099, 0.00973286, 0.105, 0.988756
