Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0105615, 0.048137, 0.1, 0.941301
0, 0.0144359, 0.0516269, 0.1, 0.933937
0, 0.0139118, 0.0537273, 0.1, 0.932361
0, 0.0144583, 0.0538549, 0.1, 0.931687
0, 0.0141757, 0.0540135, 0.1, 0.931811
0, 0.0111999, 0.0505197, 0.1, 0.93828
0, 0.0134735, 0.0520347, 0.1, 0.934492
0, 0.012826, 0.0495287, 0.1, 0.937645
0, 0.0129343, 0.0532083, 0.1, 0.933857
0, 0.0130505, 0.0539488, 0.1, 0.933001
0, 0.0118653, 0.0478573, 0.1, 0.940277
0, 0.0122908, 0.051647, 0.1, 0.936062
0, 0.0158065, 0.05193, 0.1, 0.932263
0, 0.0136341, 0.046351, 0.1, 0.940015
0, 0.0137306, 0.0512643, 0.1, 0.935005
0, 0.0158203, 0.0501534, 0.1, 0.934026
0, 0.0150475, 0.0481286, 0.1, 0.936824
0, 0.00989659, 0.0485265, 0.1, 0.941577
0, 0.0113444, 0.0471507, 0.1, 0.941505
0, 0.0128981, 0.0543766, 0.1, 0.932725
0, 0.0115784, 0.0472436, 0.1, 0.941178
0, 0.014322, 0.0548695, 0.1, 0.930809
0, 0.018574, 0.0536983, 0.1, 0.927728
0, 0.0147606, 0.0491238, 0.1, 0.936116
0, 0.0141337, 0.0456147, 0.1, 0.940252
0, 0.0149019, 0.053929, 0.1, 0.931169
0, 0.0135579, 0.05467, 0.1, 0.931772
0, 0.0182071, 0.0474836, 0.1, 0.934309
0, 0.013343, 0.0525078, 0.1, 0.934149
0, 0.0155504, 0.0519619, 0.1, 0.932488
0, 0.0130649, 0.0471625, 0.1, 0.939773
0, 0.0141854, 0.0522743, 0.1, 0.93354
0, 0.0147872, 0.0487218, 0.1, 0.936491
0, 0.0162988, 0.0501111, 0.1, 0.93359
0, 0.0145643, 0.0537802, 0.1, 0.931655
0, 0.0152499, 0.0545144, 0.1, 0.930236
0, 0.0140571, 0.0523758, 0.1, 0.933567
0, 0.0130052, 0.0457068, 0.1, 0.941288
0, 0.0142409, 0.0466178, 0.1, 0.939141
0, 0.0158342, 0.0587866, 0.1, 0.925379
0, 0.0142123, 0.0507506, 0.1, 0.935037
0, 0.0125367, 0.0499564, 0.1, 0.937507
0, 0.0121296, 0.0489307, 0.1, 0.93894
0, 0.0150187, 0.0524311, 0.1, 0.93255
0, 0.0129714, 0.0519612, 0.1, 0.935067
0, 0.0157631, 0.0598441, 0.1, 0.924393
0, 0.0119098, 0.0486418, 0.1, 0.939448
0, 0.0140317, 0.0503847, 0.1, 0.935584
0, 0.0163903, 0.0570071, 0.1, 0.926603
0, 0.0129581, 0.0473729, 0.1, 0.939669
0, 0.0115358, 0.0485881, 0.1, 0.939876
0, 0.014415, 0.0561018, 0.1, 0.929483
0, 0.0121905, 0.0534354, 0.1, 0.934374
0, 0.0116147, 0.0488055, 0.1, 0.93958
0, 0.014175, 0.0522642, 0.1, 0.933561
0, 0.0156121, 0.0529956, 0.1, 0.931392
0, 0.0152656, 0.0495277, 0.1, 0.935207
0, 0.0122517, 0.0440718, 0.1, 0.943676
0, 0.0111366, 0.0500598, 0.1, 0.938804
0, 0.0147531, 0.0535941, 0.1, 0.931653
0, 0.0157484, 0.0505589, 0.1, 0.933693
0, 0.0153952, 0.0486933, 0.1, 0.935912
0, 0.0128281, 0.0515732, 0.1, 0.935599
0, 0.0148728, 0.0534718, 0.1, 0.931655
0, 0.015063, 0.0568051, 0.1, 0.928132
0, 0.0130567, 0.053477, 0.1, 0.933466
0, 0.0143619, 0.0531669, 0.1, 0.932471
0, 0.0154721, 0.0490026, 0.1, 0.935525
0, 0.0129103, 0.0484982, 0.1, 0.938592
0, 0.0108824, 0.0578249, 0.1, 0.931293
0, 0.0109829, 0.0515461, 0.1, 0.937471
0, 0.0105805, 0.0489903, 0.1, 0.940429
0, 0.0146491, 0.052707, 0.1, 0.932644
0, 0.0137109, 0.0527107, 0.1, 0.933578
0, 0.0102429, 0.0505492, 0.1, 0.939208
0, 0.0148068, 0.0504978, 0.1, 0.934695
0, 0.0107591, 0.0492411, 0.1, 0.94
0, 0.0136632, 0.0512121, 0.1, 0.935125
0, 0.0123646, 0.0506732, 0.1, 0.936962
0, 0.014261, 0.045945, 0.1, 0.939794
0, 0.01503, 0.0545394, 0.1, 0.930431
0, 0.0159156, 0.0502961, 0.1, 0.933788
0, 0.0125369, 0.0479605, 0.1, 0.939503
0, 0.0137567, 0.0498547, 0.1, 0.936389
0, 0.0152273, 0.049066, 0.1, 0.935707
0, 0.0111371, 0.0506175, 0.1, 0.938245
0, 0.0145909, 0.0550028, 0.1, 0.930406
0, 0.0145734, 0.052086, 0.1, 0.933341
0, 0.0122538, 0.0470891, 0.1, 0.940657
0, 0.0158374, 0.0513224, 0.1, 0.93284
0, 0.0146944, 0.0532805, 0.1, 0.932025
0, 0.0138605, 0.0575858, 0.1, 0.928554
0, 0.0143594, 0.0528039, 0.1, 0.932837
0, 0.0137818, 0.0544305, 0.1, 0.931788
0, 0.0145544, 0.0515514, 0.1, 0.933894
0, 0.0128597, 0.0572138, 0.1, 0.929927
0, 0.0133898, 0.049618, 0.1, 0.936992
0, 0.0116432, 0.0503, 0.1, 0.938057
0, 0.0151043, 0.0509743, 0.1, 0.933921
0, 0.0133107, 0.0529691, 0.1, 0.93372
0, 0.0153789, 0.0547495, 0.105, 0.929872
0, 0.0153578, 0.0568691, 0.105, 0.927773
0, 0.0136193, 0.0547901, 0.105, 0.931591
0, 0.0131713, 0.0594787, 0.105, 0.92735
0, 0.0137576, 0.0526227, 0.105, 0.93362
0, 0.0172855, 0.0531697, 0.105, 0.929545
0, 0.0162147, 0.0600562, 0.105, 0.923729
0, 0.0140815, 0.0588835, 0.105, 0.927035
0, 0.0164574, 0.057341, 0.105, 0.926202
0, 0.0188059, 0.0591933, 0.105, 0.922001
0, 0.018347, 0.0541142, 0.105, 0.927539
0, 0.0163052, 0.0560488, 0.105, 0.927646
0, 0.0174475, 0.0618757, 0.105, 0.920677
0, 0.0166029, 0.0530767, 0.105, 0.93032
0, 0.0171086, 0.0551229, 0.105, 0.927769
0, 0.0169405, 0.0504297, 0.105, 0.93263
0, 0.0185732, 0.0607611, 0.105, 0.920666
0, 0.0184954, 0.0599362, 0.105, 0.921568
0, 0.0141443, 0.0530114, 0.105, 0.932844
0, 0.0143435, 0.054315, 0.105, 0.931342
0, 0.0147337, 0.0557231, 0.105, 0.929543
0, 0.0141184, 0.0586955, 0.105, 0.927186
0, 0.0166789, 0.054493, 0.105, 0.928828
0, 0.0182066, 0.055754, 0.105, 0.926039
0, 0.01478, 0.0509717, 0.105, 0.934248
0, 0.0161761, 0.0528479, 0.105, 0.930976
0, 0.0166963, 0.0551839, 0.105, 0.92812
0, 0.0144421, 0.0513397, 0.105, 0.934218
0, 0.0150068, 0.0602464, 0.105, 0.924747
0, 0.0190794, 0.0631917, 0.105, 0.917729
0, 0.0160973, 0.0538458, 0.105, 0.930057
0, 0.0117083, 0.0572253, 0.105, 0.931066
0, 0.0153025, 0.0585302, 0.105, 0.926167
0, 0.0128268, 0.0581717, 0.105, 0.929001
0, 0.0140465, 0.0524791, 0.105, 0.933474
0, 0.0182008, 0.0617815, 0.105, 0.920018
0, 0.0147282, 0.0550316, 0.105, 0.93024
0, 0.0180764, 0.0581127, 0.105, 0.923811
0, 0.0173565, 0.0527573, 0.105, 0.929886
0, 0.0136024, 0.0562993, 0.105, 0.930098
0, 0.0175325, 0.0553302, 0.105, 0.927137
0, 0.0146849, 0.0604531, 0.105, 0.924862
0, 0.0165047, 0.060466, 0.105, 0.923029
0, 0.015595, 0.0580318, 0.105, 0.926373
0, 0.0157679, 0.0551717, 0.105, 0.92906
0, 0.0159478, 0.0564694, 0.105, 0.927583
0, 0.015494, 0.053975, 0.105, 0.930531
0, 0.020111, 0.061529, 0.105, 0.91836
0, 0.0178223, 0.0531743, 0.105, 0.929003
0, 0.0132492, 0.0579671, 0.105, 0.928784
0, 0.0149985, 0.0546805, 0.105, 0.930321
0, 0.0151683, 0.0545968, 0.105, 0.930235
0, 0.0167728, 0.0577918, 0.105, 0.925435
0, 0.0175346, 0.0593738, 0.105, 0.923092
0, 0.0147218, 0.0563426, 0.105, 0.928936
0, 0.0183558, 0.0601614, 0.105, 0.921483
0, 0.015558, 0.0560898, 0.105, 0.928352
0, 0.0170937, 0.05739, 0.105, 0.925516
0, 0.0175461, 0.0579124, 0.105, 0.924542
0, 0.0163582, 0.0633136, 0.105, 0.920328
0, 0.0147064, 0.0542228, 0.105, 0.931071
0, 0.0146155, 0.058671, 0.105, 0.926713
0, 0.016104, 0.0584284, 0.105, 0.925468
0, 0.0149074, 0.055654, 0.105, 0.929439
0, 0.0153084, 0.0545544, 0.105, 0.930137
0, 0.0142374, 0.0550178, 0.105, 0.930745
0, 0.0151658, 0.0544848, 0.105, 0.930349
0, 0.0173256, 0.0541498, 0.105, 0.928525
0, 0.0170215, 0.0592032, 0.105, 0.923775
0, 0.0176509, 0.0565262, 0.105, 0.925823
0, 0.0144078, 0.0563724, 0.105, 0.92922
0, 0.0143007, 0.0554887, 0.105, 0.930211
0, 0.0183837, 0.0533755, 0.105, 0.928241
0, 0.0154617, 0.0553272, 0.105, 0.929211
0, 0.0100993, 0.0520234, 0.105, 0.937877
0, 0.0148813, 0.0600455, 0.105, 0.925073
0, 0.0162304, 0.0581397, 0.105, 0.92563
0, 0.0143633, 0.0548002, 0.105, 0.930837
0, 0.0185141, 0.0575903, 0.105, 0.923896
0, 0.0179705, 0.05737, 0.105, 0.92466
0, 0.0161635, 0.061069, 0.105, 0.922767
0, 0.0186346, 0.0543613, 0.105, 0.927004
0, 0.0211394, 0.0572719, 0.105, 0.921589
0, 0.0151637, 0.0520781, 0.105, 0.932758
0, 0.014141, 0.0631518, 0.105, 0.922707
0, 0.0146795, 0.0530597, 0.105, 0.932261
0, 0.0174458, 0.0570732, 0.105, 0.925481
0, 0.0166788, 0.0588415, 0.105, 0.92448
0, 0.014985, 0.0582083, 0.105, 0.926807
0, 0.01501, 0.0635288, 0.105, 0.921461
0, 0.0190948, 0.0551222, 0.105, 0.925783
0, 0.0165139, 0.0538228, 0.105, 0.929663
0, 0.0154302, 0.0491053, 0.105, 0.935465
0, 0.0155003, 0.0592861, 0.105, 0.925214
0, 0.0158697, 0.0585304, 0.105, 0.9256
0, 0.0175769, 0.0637198, 0.105, 0.918703
0, 0.0173886, 0.0531461, 0.105, 0.929465
0, 0.0150079, 0.0586434, 0.105, 0.926349
0, 0.0125072, 0.0511723, 0.105, 0.936321
0, 0.0163714, 0.0537335, 0.105, 0.929895
0, 0.0198118, 0.0588517, 0.11, 0.921336
0, 0.0190323, 0.0624073, 0.11, 0.91856
0, 0.0172474, 0.0615548, 0.11, 0.921198
0, 0.0167464, 0.0587093, 0.11, 0.924544
0, 0.015246, 0.0613197, 0.11, 0.923434
0, 0.0176596, 0.062783, 0.11, 0.919557
0, 0.0175921, 0.0678546, 0.11, 0.914553
0, 0.0179588, 0.0632194, 0.11, 0.918822
0, 0.0180925, 0.0605667, 0.11, 0.921341
0, 0.0189618, 0.0577478, 0.11, 0.92329
0, 0.018607, 0.0596524, 0.11, 0.921741
0, 0.0195599, 0.0637919, 0.11, 0.916648
0, 0.0200614, 0.0607199, 0.11, 0.919219
0, 0.0161733, 0.0613584, 0.11, 0.922468
0, 0.0189749, 0.0543045, 0.11, 0.926721
0, 0.0147483, 0.0618745, 0.11, 0.923377
0, 0.0213308, 0.0572468, 0.11, 0.921422
0, 0.0203426, 0.0584639, 0.11, 0.921194
0, 0.0199923, 0.0596261, 0.11, 0.920382
0, 0.0187065, 0.0562527, 0.11, 0.925041
0, 0.0171489, 0.0579874, 0.11, 0.924864
0, 0.015077, 0.0670696, 0.11, 0.917853
0, 0.0164415, 0.05706, 0.11, 0.926498
0, 0.013665, 0.0622349, 0.11, 0.9241
0, 0.0182083, 0.0578423, 0.11, 0.923949
0, 0.0160528, 0.0643476, 0.11, 0.9196
0, 0.0177478, 0.0620465, 0.11, 0.920206
0, 0.0163487, 0.0656687, 0.11, 0.917983
0, 0.0179376, 0.0634572, 0.11, 0.918605
0, 0.018113, 0.0571835, 0.11, 0.924703
0, 0.0185391, 0.0630065, 0.11, 0.918454
0, 0.0171217, 0.0599315, 0.11, 0.922947
0, 0.0163366, 0.0604944, 0.11, 0.923169
0, 0.0198603, 0.0643866, 0.11, 0.915753
0, 0.0178637, 0.0613032, 0.11, 0.920833
0, 0.0210733, 0.0597606, 0.11, 0.919166
0, 0.0161172, 0.057799, 0.11, 0.926084
0, 0.0212278, 0.0602503, 0.11, 0.918522
0, 0.0171359, 0.0618152, 0.11, 0.921049
0, 0.0180047, 0.0586413, 0.11, 0.923354
0, 0.0207685, 0.0588647, 0.11, 0.920367
0, 0.0194505, 0.0588338, 0.11, 0.921716
0, 0.0214506, 0.0575144, 0.11, 0.921035
0, 0.0190963, 0.0607687, 0.11, 0.920135
0, 0.0177316, 0.0587744, 0.11, 0.923494
0, 0.0169255, 0.0543399, 0.11, 0.928735
0, 0.0200098, 0.0618363, 0.11, 0.918154
0, 0.0169857, 0.0618721, 0.11, 0.921142
0, 0.0193422, 0.0634954, 0.11, 0.917162
0, 0.0173588, 0.0615081, 0.11, 0.921133
0, 0.0161349, 0.0564813, 0.11, 0.927384
0, 0.0140796, 0.0569595, 0.11, 0.928961
0, 0.0203456, 0.0658804, 0.11, 0.913774
0, 0.0163553, 0.0578684, 0.11, 0.925776
0, 0.0216915, 0.0582542, 0.11, 0.920054
0, 0.0177426, 0.063572, 0.11, 0.918685
0, 0.0193268, 0.0605855, 0.11, 0.920088
0, 0.0169673, 0.0704435, 0.11, 0.912589
0, 0.0170445, 0.0620621, 0.11, 0.920893
0, 0.0185489, 0.0604525, 0.11, 0.920999
0, 0.0195669, 0.0632519, 0.11, 0.917181
0, 0.0171691, 0.0549214, 0.11, 0.927909
0, 0.0170049, 0.0586735, 0.11, 0.924322
0, 0.0180135, 0.0559521, 0.11, 0.926034
