Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0139678, 0.047161, 0.1, 0.938871
0, 0.0117065, 0.0569468, 0.1, 0.931347
0, 0.0104908, 0.0533892, 0.1, 0.93612
0, 0.0128268, 0.0496197, 0.1, 0.937554
0, 0.0122301, 0.0558434, 0.1, 0.931926
0, 0.0140244, 0.0552999, 0.1, 0.930676
0, 0.0113727, 0.0520126, 0.1, 0.936615
0, 0.014934, 0.0504022, 0.1, 0.934664
0, 0.0122455, 0.0462093, 0.1, 0.941545
0, 0.0129352, 0.0552283, 0.1, 0.931836
0, 0.0145019, 0.0478179, 0.1, 0.93768
0, 0.00894234, 0.0507425, 0.1, 0.940315
0, 0.0139532, 0.0472158, 0.1, 0.938831
0, 0.013736, 0.054384, 0.1, 0.93188
0, 0.0124304, 0.0496706, 0.1, 0.937899
0, 0.0126617, 0.0535489, 0.1, 0.933789
0, 0.0094749, 0.0516674, 0.1, 0.938858
0, 0.0114849, 0.0482326, 0.1, 0.940282
0, 0.0120548, 0.0520367, 0.1, 0.935908
0, 0.0122612, 0.0530059, 0.1, 0.934733
0, 0.0112026, 0.0518001, 0.1, 0.936997
0, 0.0136433, 0.0497366, 0.1, 0.93662
0, 0.0115404, 0.054737, 0.1, 0.933723
0, 0.012629, 0.048092, 0.1, 0.939279
0, 0.0145265, 0.053737, 0.1, 0.931736
0, 0.0108819, 0.0538608, 0.1, 0.935257
0, 0.0155981, 0.0572972, 0.1, 0.927105
0, 0.0122692, 0.047172, 0.1, 0.940559
0, 0.0116954, 0.0527113, 0.1, 0.935593
0, 0.0110645, 0.051154, 0.1, 0.937782
0, 0.0148159, 0.0520899, 0.1, 0.933094
0, 0.0148973, 0.0496595, 0.1, 0.935443
0, 0.0109153, 0.0497321, 0.1, 0.939353
0, 0.0128898, 0.0542973, 0.1, 0.932813
0, 0.0123187, 0.0491229, 0.1, 0.938558
0, 0.0124003, 0.0538091, 0.1, 0.933791
0, 0.0131006, 0.0487594, 0.1, 0.93814
0, 0.0140138, 0.0514276, 0.1, 0.934559
0, 0.0141332, 0.0501104, 0.1, 0.935756
0, 0.0131429, 0.0523002, 0.1, 0.934557
0, 0.0118168, 0.0542381, 0.1, 0.933945
0, 0.0111885, 0.0516863, 0.1, 0.937125
0, 0.0141578, 0.0468679, 0.1, 0.938974
0, 0.0158432, 0.0450495, 0.1, 0.939107
0, 0.0113816, 0.0473817, 0.1, 0.941237
0, 0.0121331, 0.051947, 0.1, 0.93592
0, 0.0107857, 0.0558018, 0.1, 0.933413
0, 0.0116889, 0.0496875, 0.1, 0.938624
0, 0.0156604, 0.0496842, 0.1, 0.934655
0, 0.0127751, 0.0500408, 0.1, 0.937184
0, 0.0100843, 0.0518644, 0.1, 0.938051
0, 0.0125064, 0.0511205, 0.1, 0.936373
0, 0.0160017, 0.0496059, 0.1, 0.934392
0, 0.0127702, 0.0525044, 0.1, 0.934725
