Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0377346, 0.0141874, 0.1, 0.948078
0, 0.0374601, 0.0165732, 0.1, 0.945967
0, 0.032379, 0.0125818, 0.1, 0.955039
0, 0.038125, 0.0134494, 0.1, 0.948426
0, 0.0407601, 0.0141352, 0.1, 0.945105
0, 0.038714, 0.0152713, 0.1, 0.946015
0, 0.0362729, 0.0135069, 0.1, 0.95022
0, 0.0354158, 0.0123278, 0.1, 0.952256
0, 0.0419173, 0.0134647, 0.1, 0.944618
0, 0.0419135, 0.0137837, 0.1, 0.944303
0, 0.0351947, 0.0150999, 0.1, 0.949705
0, 0.0399405, 0.0125608, 0.1, 0.947499
0, 0.0334955, 0.0124557, 0.1, 0.954049
0, 0.0382134, 0.00943015, 0.1, 0.952356
0, 0.0371572, 0.0144294, 0.1, 0.948413
0, 0.0367289, 0.015087, 0.1, 0.948184
0, 0.0390261, 0.0125695, 0.1, 0.948404
0, 0.0339667, 0.0114859, 0.1, 0.954547
0, 0.0358041, 0.015212, 0.1, 0.948984
0, 0.0411478, 0.0139241, 0.1, 0.944928
0, 0.0364311, 0.0152342, 0.1, 0.948335
0, 0.0367594, 0.00967422, 0.1, 0.953566
0, 0.0420711, 0.014076, 0.1, 0.943853
0, 0.0403059, 0.0123548, 0.1, 0.947339
0, 0.0391196, 0.0126284, 0.1, 0.948252
0, 0.0363507, 0.0122856, 0.1, 0.951364
0, 0.0389051, 0.011927, 0.1, 0.949168
0, 0.036721, 0.0124025, 0.1, 0.950876
0, 0.0379408, 0.0130211, 0.1, 0.949038
0, 0.0399125, 0.0124537, 0.1, 0.947634
0, 0.0365883, 0.0120687, 0.1, 0.951343
0, 0.0320207, 0.0126762, 0.1, 0.955303
0, 0.0344562, 0.0109024, 0.1, 0.954641
0, 0.0390029, 0.0140238, 0.1, 0.946973
0, 0.0390918, 0.0127184, 0.1, 0.94819
0, 0.0371642, 0.00898738, 0.1, 0.953848
0, 0.0384384, 0.0135792, 0.1, 0.947982
0, 0.0388456, 0.0144978, 0.1, 0.946657
0, 0.039943, 0.0102885, 0.1, 0.949768
0, 0.0359549, 0.0138532, 0.1, 0.950192
0, 0.0334005, 0.0134271, 0.1, 0.953172
0, 0.0403247, 0.00939047, 0.1, 0.950285
0, 0.039336, 0.0112706, 0.1, 0.949393
0, 0.0408883, 0.01325, 0.1, 0.945862
0, 0.0365664, 0.0113807, 0.1, 0.952053
0, 0.0387109, 0.0101014, 0.1, 0.951188
0, 0.0369191, 0.0125421, 0.1, 0.950539
