Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0421926, 0.0444291, 0.1, 0.913378
0, 0.039628, 0.042187, 0.1, 0.918185
0, 0.0403813, 0.039952, 0.1, 0.919667
0, 0.039969, 0.0377977, 0.1, 0.922233
0, 0.0390027, 0.0406679, 0.1, 0.920329
0, 0.0474872, 0.0391339, 0.1, 0.913379
0, 0.0429974, 0.0418443, 0.1, 0.915158
0, 0.041889, 0.0433502, 0.1, 0.914761
0, 0.0445517, 0.0399359, 0.1, 0.915512
0, 0.0418575, 0.037146, 0.1, 0.920996
0, 0.044293, 0.0390287, 0.1, 0.916678
0, 0.0399331, 0.0441473, 0.1, 0.91592
0, 0.0439324, 0.0395947, 0.1, 0.916473
0, 0.0385116, 0.0413897, 0.1, 0.920099
0, 0.0379727, 0.040555, 0.1, 0.921472
0, 0.0423456, 0.0427147, 0.1, 0.91494
0, 0.0395065, 0.0387438, 0.1, 0.92175
0, 0.0432191, 0.0378843, 0.1, 0.918897
0, 0.0430554, 0.0437102, 0.1, 0.913234
0, 0.0368421, 0.0404363, 0.1, 0.922722
0, 0.0377985, 0.0417099, 0.1, 0.920492
0, 0.0393547, 0.040651, 0.1, 0.919994
0, 0.0411631, 0.0404488, 0.1, 0.918388
0, 0.0439773, 0.0359375, 0.1, 0.920085
0, 0.0369408, 0.0407182, 0.1, 0.922341
0, 0.0387006, 0.0392979, 0.1, 0.922001
0, 0.0419989, 0.0412593, 0.1, 0.916742
0, 0.0393602, 0.0409328, 0.1, 0.919707
0, 0.0389199, 0.0405849, 0.1, 0.920495
0, 0.0453112, 0.0392772, 0.1, 0.915412
0, 0.0485919, 0.0417482, 0.1, 0.90966
0, 0.0414267, 0.0436178, 0.1, 0.914956
0, 0.0428692, 0.0371934, 0.1, 0.919937
0, 0.042463, 0.0413034, 0.1, 0.916234
0, 0.0417367, 0.0441019, 0.1, 0.914161
0, 0.038828, 0.044909, 0.1, 0.916263
0, 0.0362468, 0.046041, 0.1, 0.917712
0, 0.0453713, 0.0454334, 0.1, 0.909195
0, 0.0442001, 0.0395969, 0.1, 0.916203
0, 0.035578, 0.0370848, 0.1, 0.927337
0, 0.0380881, 0.04482, 0.1, 0.917092
0, 0.0431774, 0.038014, 0.1, 0.918809
0, 0.0432636, 0.0412204, 0.1, 0.915516
0, 0.0409163, 0.0400387, 0.1, 0.919045
0, 0.0389822, 0.0387213, 0.1, 0.922297
0, 0.0425687, 0.0447952, 0.1, 0.912636
0, 0.0469372, 0.0375885, 0.1, 0.915474
0, 0.0411558, 0.0398836, 0.1, 0.918961
0, 0.0378165, 0.041078, 0.1, 0.921105
0, 0.041007, 0.0407152, 0.1, 0.918278
0, 0.0373381, 0.0411556, 0.1, 0.921506
0, 0.0420777, 0.0481775, 0.1, 0.909745
0, 0.0373309, 0.0395181, 0.1, 0.923151
0, 0.0423445, 0.0366866, 0.1, 0.920969
0, 0.0385477, 0.0452348, 0.1, 0.916217
0, 0.0377633, 0.0354251, 0.1, 0.926812
0, 0.041011, 0.0399045, 0.1, 0.919085
0, 0.0446832, 0.0411903, 0.1, 0.914127
0, 0.0457189, 0.0413027, 0.1, 0.912978
0, 0.0370573, 0.0418376, 0.1, 0.921105
0, 0.039011, 0.0418509, 0.1, 0.919138
0, 0.04559, 0.0388748, 0.1, 0.915535
0, 0.0439131, 0.0336829, 0.1, 0.922404
0, 0.042893, 0.0412153, 0.1, 0.915892
0, 0.0438267, 0.044932, 0.1, 0.911241
0, 0.0422176, 0.0406002, 0.1, 0.917182
0, 0.0415819, 0.0435951, 0.1, 0.914823
0, 0.0443048, 0.0458256, 0.1, 0.90987
0, 0.0416756, 0.040522, 0.1, 0.917802
0, 0.0421275, 0.04201, 0.1, 0.915863
0, 0.0383651, 0.0409856, 0.1, 0.920649
0, 0.0455808, 0.0422649, 0.1, 0.912154
0, 0.0474782, 0.0415357, 0.1, 0.910986
0, 0.0398836, 0.0433013, 0.1, 0.916815
0, 0.0392529, 0.04001, 0.1, 0.920737
0, 0.0420634, 0.0428536, 0.1, 0.915083
0, 0.0410696, 0.0384529, 0.1, 0.920477
0, 0.0390624, 0.0360665, 0.1, 0.924871
0, 0.0367994, 0.0388048, 0.1, 0.924396
0, 0.0413856, 0.045128, 0.1, 0.913486
0, 0.0416935, 0.0426033, 0.1, 0.915703
0, 0.0388794, 0.0388984, 0.1, 0.922222
0, 0.0378824, 0.0412423, 0.1, 0.920875
0, 0.0429905, 0.0404922, 0.1, 0.916517
0, 0.0377569, 0.0407612, 0.1, 0.921482
0, 0.0404125, 0.043186, 0.1, 0.916402
0, 0.041045, 0.0413855, 0.1, 0.91757
0, 0.0389819, 0.0430101, 0.1, 0.918008
0, 0.038709, 0.0402266, 0.1, 0.921064
0, 0.0419636, 0.0413064, 0.1, 0.91673
0, 0.0414335, 0.0385616, 0.1, 0.920005
0, 0.0399607, 0.0474021, 0.1, 0.912637
0, 0.0413463, 0.0393658, 0.1, 0.919288
0, 0.0429789, 0.0382997, 0.1, 0.918721
0, 0.0375499, 0.0433929, 0.1, 0.919057
0, 0.0424727, 0.0448988, 0.1, 0.912628
0, 0.0433543, 0.0426355, 0.1, 0.91401
0, 0.0404387, 0.0413135, 0.1, 0.918248
0, 0.0375761, 0.0460456, 0.1, 0.916378
0, 0.0392816, 0.0385739, 0.1, 0.922145
0, 0.043134, 0.0465559, 0.105, 0.91031
0, 0.0449031, 0.0484054, 0.105, 0.906691
0, 0.0463343, 0.0407722, 0.105, 0.912893
0, 0.0396556, 0.0428427, 0.105, 0.917502
0, 0.0428708, 0.042396, 0.105, 0.914733
0, 0.0345764, 0.0424345, 0.105, 0.922989
0, 0.048899, 0.0508061, 0.105, 0.900295
0, 0.0448669, 0.0411414, 0.105, 0.913992
0, 0.0382721, 0.0432956, 0.105, 0.918432
0, 0.0469971, 0.0409617, 0.105, 0.912041
0, 0.0404003, 0.044107, 0.105, 0.915493
0, 0.0520376, 0.0481055, 0.105, 0.899857
0, 0.0490596, 0.0454131, 0.105, 0.905527
0, 0.0448957, 0.0499627, 0.105, 0.905142
0, 0.0382999, 0.037477, 0.105, 0.924223
0, 0.0441478, 0.0444567, 0.105, 0.911395
0, 0.0466802, 0.0438505, 0.105, 0.909469
0, 0.0445515, 0.045116, 0.105, 0.910332
0, 0.0501839, 0.0443318, 0.105, 0.905484
0, 0.0412336, 0.0442578, 0.105, 0.914509
0, 0.0483662, 0.0466567, 0.105, 0.904977
0, 0.0443282, 0.0402434, 0.105, 0.915428
0, 0.0474042, 0.0452578, 0.105, 0.907338
0, 0.0425257, 0.0471968, 0.105, 0.910277
0, 0.0468173, 0.0490816, 0.105, 0.904101
0, 0.0414462, 0.0476575, 0.105, 0.910896
0, 0.0452041, 0.0449308, 0.105, 0.909865
0, 0.041701, 0.044293, 0.105, 0.914006
0, 0.0407913, 0.0442598, 0.105, 0.914949
0, 0.0431456, 0.0472533, 0.105, 0.909601
0, 0.0462906, 0.0457434, 0.105, 0.907966
0, 0.0448206, 0.043653, 0.105, 0.911526
0, 0.0442541, 0.0443358, 0.105, 0.91141
0, 0.0476391, 0.0489807, 0.105, 0.90338
0, 0.046042, 0.0401481, 0.105, 0.91381
0, 0.0421798, 0.0479487, 0.105, 0.909871
0, 0.0437127, 0.0469824, 0.105, 0.909305
0, 0.0485623, 0.0437306, 0.105, 0.907707
0, 0.0487755, 0.0498131, 0.105, 0.901411
0, 0.0444004, 0.0482345, 0.105, 0.907365
0, 0.0447344, 0.0433973, 0.105, 0.911868
0, 0.0427287, 0.0464151, 0.105, 0.910856
0, 0.0433733, 0.0430311, 0.105, 0.913596
0, 0.0448062, 0.0437839, 0.105, 0.91141
0, 0.0466104, 0.0451567, 0.105, 0.908233
0, 0.0430389, 0.0431794, 0.105, 0.913782
0, 0.0471704, 0.0481085, 0.105, 0.904721
0, 0.0485818, 0.0445224, 0.105, 0.906896
0, 0.0471776, 0.0445448, 0.105, 0.908278
0, 0.0427667, 0.0464963, 0.105, 0.910737
0, 0.0493865, 0.0457641, 0.105, 0.904849
0, 0.0467644, 0.0468203, 0.105, 0.906415
0, 0.0420906, 0.0385154, 0.105, 0.919394
0, 0.0406607, 0.0442995, 0.105, 0.91504
