Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0398278, 0.0226733, 0.1, 0.937499
0, 0.0410931, 0.0195894, 0.1, 0.939317
0, 0.0382782, 0.0182557, 0.1, 0.943466
0, 0.0390975, 0.0181208, 0.1, 0.942782
0, 0.0362459, 0.0185972, 0.1, 0.945157
0, 0.0378718, 0.0213229, 0.1, 0.940805
0, 0.0410269, 0.0187496, 0.1, 0.940224
0, 0.0385026, 0.0185291, 0.1, 0.942968
0, 0.0412147, 0.0203678, 0.1, 0.938417
0, 0.039218, 0.0205215, 0.1, 0.94026
0, 0.0442613, 0.0182401, 0.1, 0.937499
0, 0.0394913, 0.0182051, 0.1, 0.942304
0, 0.0397696, 0.0203064, 0.1, 0.939924
0, 0.0377915, 0.0182727, 0.1, 0.943936
0, 0.0400144, 0.0189346, 0.1, 0.941051
0, 0.0367968, 0.0214933, 0.1, 0.94171
0, 0.0393682, 0.0208479, 0.1, 0.939784
0, 0.039951, 0.0198021, 0.1, 0.940247
0, 0.0368639, 0.0128899, 0.1, 0.950246
0, 0.0393266, 0.0152718, 0.1, 0.945402
0, 0.0410732, 0.0182647, 0.1, 0.940662
0, 0.0376984, 0.0182619, 0.1, 0.94404
0, 0.0422379, 0.0198395, 0.1, 0.937923
0, 0.0406908, 0.019166, 0.1, 0.940143
0, 0.0410306, 0.0150043, 0.1, 0.943965
0, 0.0368583, 0.0187767, 0.1, 0.944365
0, 0.0374932, 0.0222415, 0.1, 0.940265
0, 0.0372615, 0.0184989, 0.1, 0.94424
0, 0.0363905, 0.0199454, 0.1, 0.943664
0, 0.0375559, 0.0198272, 0.1, 0.942617
0, 0.0413484, 0.0205501, 0.1, 0.938101
0, 0.0442515, 0.0189703, 0.1, 0.936778
0, 0.0394592, 0.0158805, 0.1, 0.94466
0, 0.0364274, 0.0209831, 0.1, 0.942589
0, 0.0368164, 0.0190064, 0.1, 0.944177
0, 0.0334536, 0.0214366, 0.1, 0.94511
0, 0.0390002, 0.0220332, 0.1, 0.938967
0, 0.0437791, 0.0185673, 0.1, 0.937654
0, 0.0423353, 0.019148, 0.1, 0.938517
0, 0.0428665, 0.0195561, 0.1, 0.937577
0, 0.0388559, 0.0185808, 0.1, 0.942563
0, 0.0403705, 0.0211549, 0.1, 0.938475
