Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0429828, 0.0510489, 0.1, 0.905968
0, 0.0406705, 0.0531978, 0.1, 0.906132
0, 0.0445537, 0.0519948, 0.1, 0.903452
0, 0.0416361, 0.0512618, 0.1, 0.907102
0, 0.0425058, 0.0482123, 0.1, 0.909282
0, 0.0406414, 0.0542781, 0.1, 0.905081
0, 0.0379191, 0.0487882, 0.1, 0.913293
0, 0.0338397, 0.0516878, 0.1, 0.914473
0, 0.037609, 0.0505319, 0.1, 0.911859
0, 0.0396047, 0.0538074, 0.1, 0.906588
0, 0.0383655, 0.0580353, 0.1, 0.903599
0, 0.0428325, 0.0527605, 0.1, 0.904407
0, 0.0367618, 0.0534884, 0.1, 0.90975
0, 0.0448297, 0.0530982, 0.1, 0.902072
0, 0.0421634, 0.0504426, 0.1, 0.907394
0, 0.0438164, 0.0520758, 0.1, 0.904108
0, 0.0424292, 0.0523846, 0.1, 0.905186
0, 0.0406558, 0.0520652, 0.1, 0.907279
0, 0.0389361, 0.0517177, 0.1, 0.909346
0, 0.0389637, 0.0513342, 0.1, 0.909702
0, 0.0473883, 0.0511996, 0.1, 0.901412
0, 0.0415928, 0.0502724, 0.1, 0.908135
0, 0.0460594, 0.0527412, 0.1, 0.901199
0, 0.0439408, 0.0493067, 0.1, 0.906753
0, 0.0417035, 0.0499112, 0.1, 0.908385
0, 0.0426936, 0.049432, 0.1, 0.907874
0, 0.0403918, 0.0562624, 0.1, 0.903346
0, 0.0419419, 0.05213, 0.1, 0.905928
0, 0.0445699, 0.0507231, 0.1, 0.904707
0, 0.0381024, 0.05339, 0.1, 0.908508
0, 0.038743, 0.055264, 0.1, 0.905993
0, 0.0400813, 0.0610457, 0.1, 0.898873
0, 0.03831, 0.0516628, 0.1, 0.910027
0, 0.0359138, 0.052691, 0.1, 0.911395
0, 0.0419583, 0.0556765, 0.1, 0.902365
0, 0.0426293, 0.0468168, 0.1, 0.910554
0, 0.0430111, 0.0525125, 0.1, 0.904476
0, 0.0344478, 0.0515398, 0.1, 0.914012
0, 0.0404441, 0.0508466, 0.1, 0.908709
0, 0.0471431, 0.0502756, 0.1, 0.902581
0, 0.0400003, 0.0521202, 0.1, 0.90788
0, 0.0433544, 0.0495679, 0.1, 0.907078
0, 0.0400376, 0.0500653, 0.1, 0.909897
0, 0.040447, 0.0528594, 0.1, 0.906694
0, 0.0446876, 0.054914, 0.1, 0.900398
0, 0.0374981, 0.0495912, 0.1, 0.912911
0, 0.0385196, 0.0546861, 0.1, 0.906794
0, 0.0455222, 0.0512947, 0.1, 0.903183
0, 0.0468684, 0.0566689, 0.1, 0.896463
0, 0.0420797, 0.0482999, 0.1, 0.90962
0, 0.0446705, 0.0466211, 0.1, 0.908708
0, 0.0424749, 0.0545839, 0.1, 0.902941
0, 0.0462567, 0.0489168, 0.1, 0.904826
0, 0.0426195, 0.0532289, 0.1, 0.904152
0, 0.0434324, 0.0528562, 0.1, 0.903711
0, 0.0403642, 0.0513537, 0.1, 0.908282
0, 0.0423979, 0.0555483, 0.1, 0.902054
0, 0.0357602, 0.0528592, 0.1, 0.911381
0, 0.0404436, 0.0559013, 0.1, 0.903655
0, 0.0370239, 0.0579742, 0.1, 0.905002
0, 0.0391686, 0.051691, 0.1, 0.90914
0, 0.0368906, 0.0552185, 0.1, 0.907891
0, 0.0423488, 0.0500426, 0.1, 0.907609
0, 0.0398198, 0.0520801, 0.1, 0.9081
0, 0.0424052, 0.0510728, 0.1, 0.906522
0, 0.03989, 0.0534227, 0.1, 0.906687
0, 0.0396995, 0.0585485, 0.1, 0.901752
0, 0.0425481, 0.0532987, 0.1, 0.904153
0, 0.0407369, 0.0520925, 0.1, 0.907171
0, 0.0364064, 0.0505272, 0.1, 0.913066
0, 0.0379447, 0.0575531, 0.1, 0.904502
0, 0.0412734, 0.0539724, 0.1, 0.904754
0, 0.0440011, 0.0537794, 0.1, 0.902219
0, 0.0431108, 0.0536642, 0.1, 0.903225
0, 0.0417756, 0.0494531, 0.1, 0.908771
0, 0.0432134, 0.0523564, 0.1, 0.90443
0, 0.0420654, 0.0494468, 0.1, 0.908488
0, 0.0425809, 0.0489376, 0.1, 0.908482
0, 0.0412468, 0.0471873, 0.1, 0.911566
0, 0.0433643, 0.051387, 0.1, 0.905249
0, 0.0396593, 0.0536085, 0.1, 0.906732
0, 0.0379005, 0.0532466, 0.1, 0.908853
0, 0.0409792, 0.053802, 0.1, 0.905219
0, 0.0400879, 0.0524539, 0.1, 0.907458
0, 0.039561, 0.060512, 0.1, 0.899927
0, 0.0398233, 0.0515598, 0.1, 0.908617
0, 0.0430572, 0.0504285, 0.1, 0.906514
0, 0.040326, 0.0566361, 0.1, 0.903038
0, 0.0416979, 0.0517923, 0.1, 0.90651
0, 0.0421796, 0.0534309, 0.1, 0.904389
0, 0.0403752, 0.0511789, 0.1, 0.908446
0, 0.0415738, 0.0511386, 0.1, 0.907288
0, 0.0425964, 0.0515071, 0.1, 0.905896
0, 0.0400927, 0.0509019, 0.1, 0.909005
0, 0.0407614, 0.0504813, 0.1, 0.908757
0, 0.0459736, 0.0494348, 0.1, 0.904592
0, 0.0370461, 0.0481231, 0.1, 0.914831
0, 0.0403592, 0.0512647, 0.1, 0.908376
0, 0.0419283, 0.0516558, 0.1, 0.906416
0, 0.0468909, 0.0564769, 0.1, 0.896632
0, 0.0440914, 0.0606204, 0.105, 0.895288
0, 0.04243, 0.0621019, 0.105, 0.895468
0, 0.0471654, 0.0572006, 0.105, 0.895634
0, 0.0476996, 0.0583655, 0.105, 0.893935
0, 0.0438604, 0.063698, 0.105, 0.892442
0, 0.0512266, 0.0615708, 0.105, 0.887203
0, 0.0467878, 0.0643084, 0.105, 0.888904
0, 0.043611, 0.0567626, 0.105, 0.899626
0, 0.0416774, 0.0556678, 0.105, 0.902655
0, 0.043393, 0.0553836, 0.105, 0.901223
0, 0.0542901, 0.0570659, 0.105, 0.888644
0, 0.0440146, 0.0616196, 0.105, 0.894366
0, 0.0497342, 0.0519928, 0.105, 0.898273
0, 0.0475666, 0.0606974, 0.105, 0.891736
0, 0.0470568, 0.064753, 0.105, 0.88819
0, 0.0473866, 0.0629821, 0.105, 0.889631
0, 0.048629, 0.0558821, 0.105, 0.895489
0, 0.0453712, 0.0552774, 0.105, 0.899351
0, 0.0439853, 0.0577656, 0.105, 0.898249
0, 0.0491753, 0.0582639, 0.105, 0.892561
0, 0.0458419, 0.061579, 0.105, 0.892579
0, 0.0448955, 0.0539913, 0.105, 0.901113
0, 0.0438663, 0.0573487, 0.105, 0.898785
0, 0.0431841, 0.0574968, 0.105, 0.899319
0, 0.0436661, 0.0562663, 0.105, 0.900068
0, 0.0459325, 0.0578094, 0.105, 0.896258
0, 0.044036, 0.0585068, 0.105, 0.897457
0, 0.0413181, 0.0546078, 0.105, 0.904074
0, 0.0447951, 0.0560962, 0.105, 0.899109
0, 0.0439387, 0.0575227, 0.105, 0.898539
0, 0.0446486, 0.0549688, 0.105, 0.900383
0, 0.043759, 0.0596075, 0.105, 0.896633
