Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0427619, 0.0517249, 0.1, 0.905513
0, 0.0428143, 0.0528681, 0.1, 0.904318
0, 0.0363833, 0.0514479, 0.1, 0.912169
0, 0.0400835, 0.0548886, 0.1, 0.905028
0, 0.0454674, 0.0514103, 0.1, 0.903122
0, 0.0398685, 0.0495576, 0.1, 0.910574
0, 0.0441268, 0.0603261, 0.1, 0.895547
0, 0.0402951, 0.0517858, 0.1, 0.907919
0, 0.0428306, 0.0523979, 0.1, 0.904772
0, 0.0413321, 0.0501922, 0.1, 0.908476
0, 0.0409917, 0.0554408, 0.1, 0.903567
0, 0.0430353, 0.0528543, 0.1, 0.90411
0, 0.0407888, 0.0574466, 0.1, 0.901765
0, 0.0402007, 0.0521718, 0.1, 0.907628
0, 0.0384782, 0.0551508, 0.1, 0.906371
0, 0.0443974, 0.0523798, 0.1, 0.903223
0, 0.0394899, 0.0507831, 0.1, 0.909727
0, 0.0380912, 0.0574356, 0.1, 0.904473
0, 0.0459864, 0.0495841, 0.1, 0.904429
0, 0.0421471, 0.0461024, 0.1, 0.91175
0, 0.0419108, 0.0545792, 0.1, 0.90351
0, 0.0443518, 0.0541429, 0.1, 0.901505
0, 0.0485693, 0.0556427, 0.1, 0.895788
0, 0.0455479, 0.0513616, 0.1, 0.903091
0, 0.0423644, 0.0568054, 0.1, 0.90083
0, 0.0411125, 0.0525304, 0.1, 0.906357
0, 0.0336813, 0.0566038, 0.1, 0.909715
0, 0.0442849, 0.0541754, 0.1, 0.90154
0, 0.0420304, 0.0544475, 0.1, 0.903522
0, 0.0383001, 0.0539853, 0.1, 0.907715
0, 0.0404135, 0.0537426, 0.1, 0.905844
0, 0.039132, 0.0509008, 0.1, 0.909967
0, 0.0447577, 0.053892, 0.1, 0.90135
0, 0.0438588, 0.0533956, 0.1, 0.902746
0, 0.0411352, 0.0505222, 0.1, 0.908343
0, 0.0400693, 0.0555144, 0.1, 0.904416
0, 0.0473814, 0.0449834, 0.1, 0.907635
0, 0.038443, 0.0490754, 0.1, 0.912482
0, 0.0423268, 0.0530239, 0.1, 0.904649
0, 0.0404089, 0.0531524, 0.1, 0.906439
0, 0.0491387, 0.0548455, 0.1, 0.896016
0, 0.0404127, 0.0545742, 0.1, 0.905013
0, 0.044267, 0.0527042, 0.1, 0.903029
0, 0.0458162, 0.05424, 0.1, 0.899944
0, 0.0467251, 0.0513771, 0.1, 0.901898
0, 0.0366968, 0.0535275, 0.1, 0.909776
0, 0.0393115, 0.0540878, 0.1, 0.906601
0, 0.0420942, 0.0530805, 0.1, 0.904825
0, 0.0454902, 0.0511552, 0.1, 0.903355
0, 0.0427283, 0.0546042, 0.1, 0.902667
0, 0.0394392, 0.0496621, 0.1, 0.910899
0, 0.0449782, 0.0556419, 0.1, 0.89938
0, 0.0412224, 0.048886, 0.1, 0.909892
0, 0.0419847, 0.0515782, 0.1, 0.906437
0, 0.0432988, 0.0584771, 0.1, 0.898224
0, 0.0400609, 0.0511308, 0.1, 0.908808
0, 0.042873, 0.053716, 0.1, 0.903411
0, 0.04545, 0.0495754, 0.1, 0.904975
0, 0.043092, 0.0524455, 0.1, 0.904463
0, 0.0492323, 0.0538538, 0.1, 0.896914
0, 0.0429485, 0.0549692, 0.1, 0.902082
0, 0.0380461, 0.0539022, 0.1, 0.908052
0, 0.0452078, 0.0540099, 0.1, 0.900782
0, 0.04308, 0.0520772, 0.1, 0.904843
0, 0.0450978, 0.0513945, 0.1, 0.903508
0, 0.0402363, 0.0487915, 0.1, 0.910972
0, 0.0419878, 0.0532079, 0.1, 0.904804
0, 0.0436024, 0.0554315, 0.1, 0.900966
0, 0.0455223, 0.0535649, 0.1, 0.900913
0, 0.0408725, 0.0489777, 0.1, 0.91015
0, 0.0448664, 0.0509118, 0.1, 0.904222
0, 0.0426615, 0.0525835, 0.1, 0.904755
0, 0.0453668, 0.0556269, 0.1, 0.899006
0, 0.0424745, 0.0486121, 0.1, 0.908913
0, 0.0425287, 0.0543602, 0.1, 0.903111
0, 0.0426666, 0.0480587, 0.1, 0.909275
0, 0.0417056, 0.057464, 0.1, 0.90083
0, 0.0442186, 0.0477159, 0.1, 0.908066
0, 0.0443015, 0.0530959, 0.1, 0.902603
0, 0.0367773, 0.053419, 0.1, 0.909804
0, 0.043518, 0.047449, 0.1, 0.909033
0, 0.0407919, 0.0516421, 0.1, 0.907566
0, 0.0430935, 0.0508071, 0.1, 0.906099
0, 0.0376631, 0.0507132, 0.1, 0.911624
0, 0.0387376, 0.0531572, 0.1, 0.908105
0, 0.0451552, 0.0509971, 0.1, 0.903848
0, 0.0408353, 0.0494658, 0.1, 0.909699
0, 0.0404314, 0.0493578, 0.1, 0.910211
0, 0.0440254, 0.0508838, 0.1, 0.905091
0, 0.0416392, 0.0533978, 0.1, 0.904963
0, 0.0399305, 0.0522339, 0.1, 0.907836
0, 0.0389231, 0.0519475, 0.1, 0.909129
0, 0.0403746, 0.0513809, 0.1, 0.908244
0, 0.0434034, 0.0552984, 0.1, 0.901298
0, 0.0375598, 0.0501445, 0.1, 0.912296
0, 0.04127, 0.0538106, 0.1, 0.904919
0, 0.0413412, 0.0509155, 0.1, 0.907743
0, 0.0427161, 0.0534598, 0.1, 0.903824
0, 0.0416712, 0.0506145, 0.1, 0.907714
0, 0.0410284, 0.0485078, 0.1, 0.910464
0, 0.0436615, 0.0559346, 0.105, 0.900404
0, 0.0440318, 0.0560009, 0.105, 0.899967
0, 0.0466061, 0.0589786, 0.105, 0.894415
0, 0.0489682, 0.0529808, 0.105, 0.898051
0, 0.0493997, 0.0652854, 0.105, 0.885315
0, 0.0497098, 0.0569748, 0.105, 0.893315
0, 0.045318, 0.0536224, 0.105, 0.90106
0, 0.0394309, 0.0600667, 0.105, 0.900502
0, 0.0460454, 0.0583888, 0.105, 0.895566
0, 0.0471602, 0.0556109, 0.105, 0.897229
0, 0.0471782, 0.0605699, 0.105, 0.892252
0, 0.047715, 0.0571332, 0.105, 0.895152
0, 0.045698, 0.0578171, 0.105, 0.896485
0, 0.0503888, 0.0634969, 0.105, 0.886114
0, 0.0456845, 0.059708, 0.105, 0.894607
0, 0.0451921, 0.0546476, 0.105, 0.90016
0, 0.0458075, 0.0567069, 0.105, 0.897486
0, 0.0503168, 0.0545973, 0.105, 0.895086
0, 0.0460193, 0.0528843, 0.105, 0.901096
0, 0.0468886, 0.0564294, 0.105, 0.896682
0, 0.0446998, 0.0562837, 0.105, 0.899016
0, 0.051612, 0.0574303, 0.105, 0.890958
0, 0.0442397, 0.0503629, 0.105, 0.905397
0, 0.0492933, 0.0608978, 0.105, 0.889809
0, 0.0447552, 0.0532785, 0.105, 0.901966
0, 0.0438036, 0.0509414, 0.105, 0.905255
0, 0.0441594, 0.060968, 0.105, 0.894873
0, 0.047488, 0.0561072, 0.105, 0.896405
0, 0.0446907, 0.0591942, 0.105, 0.896115
0, 0.0424451, 0.0546796, 0.105, 0.902875
0, 0.046981, 0.054804, 0.105, 0.898215
0, 0.0479298, 0.0575414, 0.105, 0.894529
0, 0.0475712, 0.0638724, 0.105, 0.888556
0, 0.0439222, 0.0590486, 0.105, 0.897029
0, 0.0465477, 0.0519339, 0.105, 0.901518
0, 0.0392536, 0.0536139, 0.105, 0.907132
0, 0.0472113, 0.0512677, 0.105, 0.901521
0, 0.0448905, 0.0567636, 0.105, 0.898346
0, 0.0472013, 0.0540621, 0.105, 0.898737
0, 0.0490819, 0.0542937, 0.105, 0.896624
0, 0.0508374, 0.0583259, 0.105, 0.890837
0, 0.042224, 0.0565253, 0.105, 0.901251
0, 0.0457264, 0.0624428, 0.105, 0.891831
0, 0.0473861, 0.0552321, 0.105, 0.897382
0, 0.04903, 0.0589533, 0.105, 0.892017
0, 0.0411424, 0.0597848, 0.105, 0.899073
0, 0.0451436, 0.0551304, 0.105, 0.899726
0, 0.0454001, 0.0590849, 0.105, 0.895515
0, 0.0419916, 0.0533337, 0.105, 0.904675
0, 0.0459153, 0.0589488, 0.105, 0.895136
0, 0.0470941, 0.0606768, 0.105, 0.892229
0, 0.0400225, 0.057296, 0.105, 0.902682
0, 0.0444168, 0.06021, 0.105, 0.895373
0, 0.051648, 0.0586755, 0.105, 0.889677
0, 0.0457227, 0.0535511, 0.105, 0.900726
0, 0.0434311, 0.0564172, 0.105, 0.900152
0, 0.0492968, 0.0566305, 0.105, 0.894073
0, 0.0466841, 0.0587658, 0.105, 0.89455
0, 0.0446145, 0.063069, 0.105, 0.892316
0, 0.0447351, 0.0528584, 0.105, 0.902406
0, 0.0482872, 0.0650525, 0.105, 0.88666
0, 0.0424362, 0.0488974, 0.105, 0.908666
0, 0.0469757, 0.0565158, 0.105, 0.896509
0, 0.0425804, 0.054154, 0.105, 0.903266
0, 0.0479155, 0.0530229, 0.105, 0.899062
0, 0.0474722, 0.0594563, 0.105, 0.893071
0, 0.0462402, 0.0582396, 0.105, 0.89552
0, 0.0482821, 0.0549701, 0.105, 0.896748
0, 0.0463542, 0.0571863, 0.105, 0.896459
