Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0441788, 0.0506078, 0.1, 0.905213
0, 0.0427122, 0.0565161, 0.1, 0.900772
0, 0.0468749, 0.0589548, 0.1, 0.89417
0, 0.0376946, 0.0542933, 0.1, 0.908012
0, 0.0412518, 0.0524517, 0.1, 0.906296
0, 0.0398067, 0.0502647, 0.1, 0.909929
0, 0.044326, 0.0512587, 0.1, 0.904415
0, 0.0373946, 0.0555203, 0.1, 0.907085
0, 0.0479223, 0.0474143, 0.1, 0.904663
0, 0.0393085, 0.0552893, 0.1, 0.905402
0, 0.0431663, 0.0577329, 0.1, 0.899101
0, 0.036141, 0.0492962, 0.1, 0.914563
0, 0.043184, 0.0561538, 0.1, 0.900662
0, 0.0382781, 0.053344, 0.1, 0.908378
0, 0.0405549, 0.0538997, 0.1, 0.905545
0, 0.0452194, 0.0567605, 0.1, 0.89802
0, 0.0457694, 0.053664, 0.1, 0.900567
0, 0.0413586, 0.0523166, 0.1, 0.906325
0, 0.0396033, 0.0617408, 0.1, 0.898656
0, 0.0423232, 0.0537002, 0.1, 0.903977
0, 0.0440989, 0.0533666, 0.1, 0.902535
0, 0.0376253, 0.0554658, 0.1, 0.906909
0, 0.0394724, 0.058402, 0.1, 0.902126
0, 0.0386882, 0.051948, 0.1, 0.909364
0, 0.0419689, 0.0492462, 0.1, 0.908785
0, 0.0425151, 0.0528085, 0.1, 0.904676
0, 0.0430683, 0.0570808, 0.1, 0.899851
0, 0.0430636, 0.0577513, 0.1, 0.899185
0, 0.0407401, 0.0524724, 0.1, 0.906787
0, 0.0450139, 0.0565155, 0.1, 0.898471
0, 0.0413516, 0.0518596, 0.1, 0.906789
0, 0.0426939, 0.0525379, 0.1, 0.904768
0, 0.0419193, 0.0542761, 0.1, 0.903805
0, 0.0345042, 0.0515841, 0.1, 0.913912
0, 0.0380869, 0.049432, 0.1, 0.912481
0, 0.0385634, 0.0526193, 0.1, 0.908817
0, 0.0408285, 0.0516481, 0.1, 0.907523
0, 0.0499094, 0.0492243, 0.1, 0.900866
0, 0.041007, 0.0508016, 0.1, 0.908191
0, 0.040908, 0.0543867, 0.1, 0.904705
0, 0.0422926, 0.0530151, 0.1, 0.904692
0, 0.0375452, 0.0539767, 0.1, 0.908478
0, 0.0418096, 0.0475541, 0.1, 0.910636
0, 0.0413638, 0.0547653, 0.1, 0.903871
0, 0.0454803, 0.0520935, 0.1, 0.902426
0, 0.0392709, 0.0507246, 0.1, 0.910004
0, 0.0409547, 0.0490343, 0.1, 0.910011
0, 0.0438432, 0.0508334, 0.1, 0.905323
0, 0.0438504, 0.0516791, 0.1, 0.904471
0, 0.0401959, 0.0476356, 0.1, 0.912169
0, 0.0364683, 0.0506753, 0.1, 0.912856
0, 0.0430008, 0.0530277, 0.1, 0.903972
0, 0.0491344, 0.0545217, 0.1, 0.896344
0, 0.040885, 0.0519618, 0.1, 0.907153
0, 0.0418419, 0.053676, 0.1, 0.904482
0, 0.0443554, 0.0512379, 0.1, 0.904407
0, 0.0403394, 0.0502816, 0.1, 0.909379
0, 0.0453461, 0.0496761, 0.1, 0.904978
0, 0.0389257, 0.0562119, 0.1, 0.904862
0, 0.0450334, 0.0524443, 0.1, 0.902522
0, 0.0414616, 0.0556132, 0.1, 0.902925
0, 0.0482749, 0.0557736, 0.1, 0.895951
0, 0.0452059, 0.0609002, 0.1, 0.893894
0, 0.0384907, 0.0494138, 0.1, 0.912095
0, 0.0445591, 0.0515813, 0.1, 0.90386
0, 0.043331, 0.0528904, 0.1, 0.903779
0, 0.0380859, 0.0584633, 0.1, 0.903451
0, 0.0438349, 0.0498828, 0.1, 0.906282
0, 0.0471535, 0.0526638, 0.1, 0.900183
0, 0.0449141, 0.047171, 0.1, 0.907915
0, 0.048084, 0.0559513, 0.1, 0.895965
0, 0.0471759, 0.0527016, 0.1, 0.900123
0, 0.043575, 0.0468345, 0.1, 0.90959
0, 0.0404268, 0.0517646, 0.1, 0.907809
0, 0.038142, 0.0505253, 0.1, 0.911333
0, 0.0395103, 0.0518057, 0.1, 0.908684
0, 0.0466476, 0.0590696, 0.1, 0.894283
0, 0.044479, 0.054101, 0.1, 0.90142
0, 0.0467727, 0.0495853, 0.1, 0.903642
0, 0.0390612, 0.0511882, 0.1, 0.909751
0, 0.0405235, 0.0550902, 0.1, 0.904386
0, 0.0421772, 0.0554003, 0.1, 0.902423
0, 0.0427021, 0.0516499, 0.1, 0.905648
0, 0.0438874, 0.0523932, 0.1, 0.903719
0, 0.0435608, 0.0543166, 0.1, 0.902123
0, 0.0430263, 0.0564396, 0.1, 0.900534
0, 0.0395633, 0.0509176, 0.1, 0.909519
0, 0.0418492, 0.0529729, 0.1, 0.905178
0, 0.0435034, 0.0524833, 0.1, 0.904013
0, 0.0393927, 0.0531377, 0.1, 0.90747
0, 0.0371064, 0.0494771, 0.1, 0.913416
0, 0.0400296, 0.055753, 0.1, 0.904217
0, 0.0461182, 0.0531381, 0.1, 0.900744
0, 0.0445486, 0.0515084, 0.1, 0.903943
0, 0.0379178, 0.0527017, 0.1, 0.90938
0, 0.038312, 0.0559188, 0.1, 0.905769
0, 0.0448636, 0.0543357, 0.1, 0.900801
0, 0.0432818, 0.0509534, 0.1, 0.905765
0, 0.0408113, 0.0535696, 0.1, 0.905619
0, 0.0429055, 0.0474843, 0.1, 0.90961
0, 0.0431667, 0.0598006, 0.105, 0.897033
0, 0.0457769, 0.0561998, 0.105, 0.898023
0, 0.04514, 0.0562866, 0.105, 0.898573
0, 0.0499557, 0.0582538, 0.105, 0.891791
0, 0.0493309, 0.0580899, 0.105, 0.892579
0, 0.0477063, 0.0536697, 0.105, 0.898624
0, 0.0445821, 0.0640151, 0.105, 0.891403
0, 0.0410292, 0.0558764, 0.105, 0.903094
0, 0.0454132, 0.0550598, 0.105, 0.899527
0, 0.0536832, 0.054777, 0.105, 0.89154
0, 0.0497603, 0.0573327, 0.105, 0.892907
0, 0.0443157, 0.0547941, 0.105, 0.90089
0, 0.043778, 0.0563737, 0.105, 0.899848
0, 0.0418047, 0.0525219, 0.105, 0.905673
0, 0.0455155, 0.0606347, 0.105, 0.89385
0, 0.0465474, 0.0631103, 0.105, 0.890342
0, 0.0458526, 0.0563437, 0.105, 0.897804
0, 0.0453584, 0.0605952, 0.105, 0.894046
0, 0.0473686, 0.0594462, 0.105, 0.893185
0, 0.0483505, 0.0521007, 0.105, 0.899549
0, 0.0465812, 0.0557829, 0.105, 0.897636
0, 0.042687, 0.0621983, 0.105, 0.895115
0, 0.0475864, 0.0597611, 0.105, 0.892652
0, 0.0423826, 0.0592282, 0.105, 0.898389
0, 0.0430959, 0.0531962, 0.105, 0.903708
0, 0.0492372, 0.0582437, 0.105, 0.892519
0, 0.0465312, 0.0544502, 0.105, 0.899019
0, 0.0505462, 0.0608382, 0.105, 0.888616
0, 0.0460499, 0.0567266, 0.105, 0.897224
0, 0.0480748, 0.0562142, 0.105, 0.895711
0, 0.0480729, 0.0541144, 0.105, 0.897813
0, 0.0460975, 0.0503826, 0.105, 0.90352
0, 0.0434404, 0.0552105, 0.105, 0.901349
0, 0.0448552, 0.0595637, 0.105, 0.895581
0, 0.0469077, 0.0561779, 0.105, 0.896914
