Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.00890584, 0.00140757, 0.1, 0.989687
0, 0.00832039, 0.00227372, 0.1, 0.989406
0, 0.0137577, 0.00252619, 0.1, 0.983716
0, 0.00721341, 0.00196824, 0.1, 0.990818
0, 0.00983565, 0.00262997, 0.1, 0.987534
0, 0.0118688, 0.00449486, 0.1, 0.983636
0, 0.0117801, 0.00410292, 0.1, 0.984117
0, 0.0117419, 0.00186984, 0.1, 0.986388
0, 0.00928652, 0.00141381, 0.1, 0.9893
0, 0.0103239, 0.0022538, 0.1, 0.987422
0, 0.00701326, 0.00123366, 0.1, 0.991753
0, 0.0103648, 0.00178182, 0.1, 0.987853
0, 0.0118714, 0.00123608, 0.1, 0.986893
0, 0.0074625, 0.00406956, 0.1, 0.988468
0, 0.00947131, 0.00113583, 0.1, 0.989393
0, 0.011488, 0.0032553, 0.1, 0.985257
0, 0.00926786, 0.00346381, 0.1, 0.987268
0, 0.0122015, 0.00278234, 0.1, 0.985016
0, 0.00765103, 0.00208414, 0.1, 0.990265
0, 0.0111747, 0.00148857, 0.1, 0.987337
0, 0.00967608, 0.00219432, 0.1, 0.98813
0, 0.0105625, 0.00114282, 0.1, 0.988295
0, 0.00953732, 0.00126881, 0.1, 0.989194
0, 0.00982237, 0.00185896, 0.1, 0.988319
0, 0.00979358, 0.00327133, 0.1, 0.986935
0, 0.00837246, 0.00305179, 0.1, 0.988576
0, 0.00934348, 0.00315966, 0.1, 0.987497
0, 0.0115764, 0.00222832, 0.1, 0.986195
0, 0.0126396, 0.00265543, 0.1, 0.984705
0, 0.00869403, 0.00186012, 0.1, 0.989446
0, 0.0113792, 0.00156531, 0.1, 0.987056
0, 0.00947837, 0.00217006, 0.1, 0.988352
0, 0.0115618, 0.00127923, 0.1, 0.987159
0, 0.010232, 0.00346617, 0.1, 0.986302
0, 0.00904615, 0.00119295, 0.1, 0.989761
0, 0.00972429, 0.00301693, 0.1, 0.987259
0, 0.00969665, 0.00363998, 0.1, 0.986663
0, 0.0115794, 0.0012491, 0.1, 0.987172
0, 0.00956117, 0.00274144, 0.1, 0.987697
0, 0.00779795, 0.00210196, 0.1, 0.9901
0, 0.00877672, 0.00261178, 0.1, 0.988612
0, 0.00918665, 0.00290019, 0.1, 0.987913
0, 0.00887424, 0.00343267, 0.1, 0.987693
0, 0.00704569, 0.0030807, 0.1, 0.989874
0, 0.009617, 0.00366124, 0.1, 0.986722
0, 0.0134204, 0.00289679, 0.1, 0.983683
0, 0.00844794, 0.00203814, 0.1, 0.989514
0, 0.010612, 0.00297497, 0.1, 0.986413
0, 0.00988351, 0.00186316, 0.1, 0.988253
0, 0.00975704, 0.00206337, 0.1, 0.98818
0, 0.00862283, 0.00245382, 0.1, 0.988923
0, 0.00972132, 0.00195081, 0.1, 0.988328
0, 0.0101218, 0.00214359, 0.1, 0.987735
0, 0.00902323, 0.0012009, 0.1, 0.989776
0, 0.00897904, 0.00207249, 0.1, 0.988948
0, 0.00905081, 0.00348431, 0.1, 0.987465
0, 0.0112005, 0.0028185, 0.1, 0.985981
0, 0.0113529, 0.00160505, 0.1, 0.987042
0, 0.0116226, 0.00158423, 0.1, 0.986793
0, 0.00956164, 0.0013375, 0.1, 0.989101
0, 0.0110693, 0.00241448, 0.1, 0.986516
0, 0.00817625, 0.00336611, 0.1, 0.988458
0, 0.0110959, 0.00328116, 0.1, 0.985623
0, 0.0120711, 0.00242222, 0.1, 0.985507
0, 0.00929161, 0.00176575, 0.1, 0.988943
0, 0.00780287, 0.00350135, 0.1, 0.988696
0, 0.0108705, 0.00358056, 0.1, 0.985549
0, 0.00888594, 0.00230837, 0.1, 0.988806
0, 0.0118891, 0.00252571, 0.1, 0.985585
0, 0.0103034, 0.00271157, 0.1, 0.986985
0, 0.0111795, 0.00310133, 0.1, 0.985719
0, 0.0104636, 0.00302389, 0.1, 0.986513
0, 0.0117321, 0.0020867, 0.1, 0.986181
0, 0.00891113, 0.00310407, 0.1, 0.987985
0, 0.00961499, 0.00199649, 0.1, 0.988389
0, 0.0090627, 0.00276473, 0.1, 0.988173
0, 0.0112825, 0.00349807, 0.1, 0.985219
0, 0.0085666, 0.00344891, 0.1, 0.987984
0, 0.00825347, 0.000686484, 0.1, 0.99106
0, 0.0100256, 0.00184447, 0.1, 0.98813
0, 0.0092756, 0.0023328, 0.1, 0.988392
0, 0.00510095, 0.00191656, 0.1, 0.992982
0, 0.010244, 0.00217873, 0.1, 0.987577
0, 0.00761569, 0.00242696, 0.1, 0.989957
0, 0.0103465, 0.00291872, 0.1, 0.986735
0, 0.00855284, 0.00297319, 0.1, 0.988474
0, 0.00853633, 0.0025967, 0.1, 0.988867
0, 0.0106319, 0.00202082, 0.1, 0.987347
0, 0.011939, 0.0021379, 0.1, 0.985923
0, 0.0113143, 0.00326149, 0.1, 0.985424
0, 0.0113507, 0.000984963, 0.1, 0.987664
0, 0.00946214, 0.00191099, 0.1, 0.988627
