Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0219429, 0.0345431, 0.1, 0.943514
0, 0.0207616, 0.0402825, 0.1, 0.938956
0, 0.0189519, 0.0401548, 0.1, 0.940893
0, 0.020191, 0.0391272, 0.1, 0.940682
0, 0.0205871, 0.0437065, 0.1, 0.935706
0, 0.0220545, 0.0385086, 0.1, 0.939437
0, 0.0180862, 0.0390561, 0.1, 0.942858
0, 0.013605, 0.0356129, 0.1, 0.950782
0, 0.0206086, 0.0404986, 0.1, 0.938893
0, 0.0179628, 0.0379413, 0.1, 0.944096
0, 0.0174684, 0.0410533, 0.1, 0.941478
0, 0.018128, 0.0413357, 0.1, 0.940536
0, 0.0208604, 0.0366335, 0.1, 0.942506
0, 0.0181351, 0.037945, 0.1, 0.94392
0, 0.0208835, 0.0403583, 0.1, 0.938758
0, 0.0187586, 0.0384155, 0.1, 0.942826
0, 0.0192526, 0.0333032, 0.1, 0.947444
0, 0.0176348, 0.0429732, 0.1, 0.939392
0, 0.018187, 0.0430155, 0.1, 0.938798
0, 0.0210823, 0.0438589, 0.1, 0.935059
0, 0.0179951, 0.032948, 0.1, 0.949057
0, 0.0186346, 0.0422426, 0.1, 0.939123
0, 0.0230977, 0.0334612, 0.1, 0.943441
0, 0.0196898, 0.0376578, 0.1, 0.942652
0, 0.0209118, 0.0418794, 0.1, 0.937209
0, 0.0174871, 0.0388513, 0.1, 0.943662
0, 0.0197691, 0.0438099, 0.1, 0.936421
0, 0.0209265, 0.0383037, 0.1, 0.94077
0, 0.01672, 0.0381642, 0.1, 0.945116
0, 0.0180179, 0.0438197, 0.1, 0.938162
0, 0.017475, 0.0365289, 0.1, 0.945996
0, 0.0215559, 0.0409886, 0.1, 0.937456
0, 0.0224396, 0.0409646, 0.1, 0.936596
0, 0.0235106, 0.0389644, 0.1, 0.937525
0, 0.0158945, 0.038543, 0.1, 0.945563
0, 0.0177896, 0.0361699, 0.1, 0.946041
0, 0.019549, 0.0382621, 0.1, 0.942189
0, 0.0176351, 0.042526, 0.1, 0.939839
0, 0.0177678, 0.0398574, 0.1, 0.942375
0, 0.0181674, 0.0418707, 0.1, 0.939962
0, 0.0207619, 0.0359993, 0.1, 0.943239
0, 0.0176809, 0.0412075, 0.1, 0.941112
0, 0.0191134, 0.0415559, 0.1, 0.939331
0, 0.0220419, 0.0428131, 0.1, 0.935145
0, 0.0212836, 0.0387921, 0.1, 0.939924
0, 0.0191804, 0.0390115, 0.1, 0.941808
0, 0.0184314, 0.0379721, 0.1, 0.943597
0, 0.0207131, 0.0426393, 0.1, 0.936648
0, 0.0208757, 0.0378831, 0.1, 0.941241
0, 0.0199356, 0.0387304, 0.1, 0.941334
0, 0.02127, 0.0372744, 0.1, 0.941456
0, 0.0163116, 0.0365285, 0.1, 0.94716
0, 0.0188088, 0.0392105, 0.1, 0.941981
0, 0.0167968, 0.0382545, 0.1, 0.944949
0, 0.0234233, 0.0401207, 0.1, 0.936456
0, 0.0222193, 0.0385396, 0.1, 0.939241
0, 0.0201275, 0.0369907, 0.1, 0.942882
0, 0.0223739, 0.0367142, 0.1, 0.940912
0, 0.0204993, 0.0368046, 0.1, 0.942696
0, 0.0160366, 0.0398866, 0.1, 0.944077
0, 0.0236149, 0.039938, 0.1, 0.936447
0, 0.0221241, 0.0390659, 0.1, 0.93881
0, 0.0242222, 0.0378209, 0.1, 0.937957
0, 0.015422, 0.0403714, 0.1, 0.944207
0, 0.0188468, 0.0354709, 0.1, 0.945682
0, 0.0182878, 0.0412112, 0.1, 0.940501
0, 0.0220589, 0.0433738, 0.1, 0.934567
0, 0.0164274, 0.036781, 0.1, 0.946792
0, 0.0208985, 0.0371929, 0.1, 0.941909
0, 0.0181161, 0.0420441, 0.1, 0.93984
0, 0.0185547, 0.0353232, 0.1, 0.946122
0, 0.017381, 0.040034, 0.1, 0.942585
0, 0.0174152, 0.0418562, 0.1, 0.940729
0, 0.0166076, 0.0395092, 0.1, 0.943883
0, 0.0179774, 0.0408317, 0.1, 0.941191
0, 0.0200732, 0.0393768, 0.1, 0.94055
0, 0.0212578, 0.0370665, 0.1, 0.941676
0, 0.0184825, 0.0356477, 0.1, 0.94587
0, 0.0224806, 0.0362073, 0.1, 0.941312
0, 0.0169663, 0.0443363, 0.1, 0.938697
0, 0.0232176, 0.0384836, 0.1, 0.938299
0, 0.0177123, 0.0417085, 0.1, 0.940579
0, 0.0204081, 0.0415546, 0.1, 0.938037
0, 0.0203582, 0.0384412, 0.1, 0.941201
0, 0.0148038, 0.0340302, 0.1, 0.951166
0, 0.0161348, 0.0429683, 0.1, 0.940897
0, 0.0214048, 0.0384721, 0.1, 0.940123
0, 0.0173236, 0.0336884, 0.1, 0.948988
0, 0.0175011, 0.0432131, 0.1, 0.939286
0, 0.0207985, 0.0351168, 0.1, 0.944085
0, 0.0189084, 0.0426217, 0.1, 0.93847
0, 0.0207248, 0.034225, 0.1, 0.94505
0, 0.0203841, 0.03895, 0.1, 0.940666
0, 0.019549, 0.0416955, 0.1, 0.938755
0, 0.0213849, 0.041679, 0.1, 0.936936
0, 0.0198432, 0.0402961, 0.1, 0.939861
0, 0.0188055, 0.0378374, 0.1, 0.943357
0, 0.0195921, 0.041147, 0.1, 0.939261
0, 0.0215269, 0.0440136, 0.1, 0.934459
