Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0.5, 0.0596909, 0.0633656, 0.1, 0.876944
0.5, 0.0654561, 0.0649606, 0.1, 0.869583
0.5, 0.0677481, 0.0654668, 0.1, 0.866785
0.5, 0.0659636, 0.0578969, 0.1, 0.876139
0.5, 0.0611243, 0.0653662, 0.1, 0.87351
0.5, 0.0625565, 0.0593503, 0.1, 0.878093
0.5, 0.0596271, 0.0639873, 0.1, 0.876386
0.5, 0.0687015, 0.0619292, 0.1, 0.869369
0.5, 0.0645039, 0.0638096, 0.1, 0.871686
0.5, 0.0660474, 0.0594841, 0.1, 0.874468
0.5, 0.066844, 0.061584, 0.1, 0.871572
0.5, 0.0608877, 0.0624145, 0.1, 0.876698
0.5, 0.0640891, 0.0596891, 0.1, 0.876222
0.5, 0.0633871, 0.0633104, 0.1, 0.873303
0.5, 0.0646138, 0.0624986, 0.1, 0.872888
0.5, 0.0612607, 0.0618811, 0.1, 0.876858
0.5, 0.071306, 0.0633798, 0.1, 0.865314
0.5, 0.0659631, 0.0652495, 0.1, 0.868787
0.5, 0.0610746, 0.0606145, 0.1, 0.878311
0.5, 0.0675812, 0.0643984, 0.1, 0.86802
0.5, 0.0595933, 0.0585062, 0.1, 0.8819
0.5, 0.0620214, 0.0623449, 0.1, 0.875634
0.5, 0.059161, 0.0631722, 0.1, 0.877667
0.5, 0.0677793, 0.065157, 0.1, 0.867064
0.5, 0.0647663, 0.0685529, 0.1, 0.866681
0.5, 0.0574043, 0.0652838, 0.1, 0.877312
0.5, 0.0634919, 0.068353, 0.1, 0.868155
0.5, 0.0673688, 0.0659509, 0.1, 0.86668
0.5, 0.0680876, 0.0613168, 0.1, 0.870596
0.5, 0.0666149, 0.0665021, 0.1, 0.866883
0.5, 0.0611905, 0.0613373, 0.1, 0.877472
0.5, 0.0690147, 0.0660038, 0.1, 0.864981
0.5, 0.0662423, 0.0650866, 0.1, 0.868671
0.5, 0.0643233, 0.0611186, 0.1, 0.874558
0.5, 0.0643475, 0.0639367, 0.1, 0.871716
0.5, 0.0619868, 0.062728, 0.1, 0.875285
0.5, 0.0649589, 0.0632522, 0.1, 0.871789
0.5, 0.0624046, 0.0624138, 0.1, 0.875182
0.5, 0.0621261, 0.0644781, 0.1, 0.873396
0.5, 0.064401, 0.0582583, 0.1, 0.877341
0.5, 0.0610802, 0.0596326, 0.1, 0.879287
0.5, 0.068421, 0.0600822, 0.1, 0.871497
0.5, 0.0645305, 0.0666769, 0.1, 0.868793
0.5, 0.0636561, 0.0631521, 0.1, 0.873192
0.5, 0.0683146, 0.0613315, 0.1, 0.870354
0.5, 0.0708627, 0.0643267, 0.1, 0.864811
0.5, 0.0644904, 0.065139, 0.1, 0.870371
0.5, 0.0635877, 0.0592401, 0.1, 0.877172
0.5, 0.0641839, 0.0667152, 0.1, 0.869101
0.5, 0.0651816, 0.0658827, 0.1, 0.868936
0.5, 0.0659942, 0.0655992, 0.1, 0.868407
0.5, 0.0633167, 0.0568464, 0.1, 0.879837
0.5, 0.0628614, 0.0602894, 0.1, 0.876849
0.5, 0.0634015, 0.0617459, 0.1, 0.874853
0.5, 0.0633138, 0.0625879, 0.1, 0.874098
0.5, 0.0591099, 0.0616848, 0.1, 0.879205
0.5, 0.0663542, 0.0672518, 0.1, 0.866394
0.5, 0.0611339, 0.061123, 0.1, 0.877743
0.5, 0.0675871, 0.0673695, 0.1, 0.865043
0.5, 0.0610701, 0.0665148, 0.1, 0.872415
0.5, 0.0592569, 0.0646542, 0.1, 0.876089
0.5, 0.0573584, 0.0652592, 0.1, 0.877382
0.5, 0.058032, 0.0591268, 0.1, 0.882841
0.5, 0.062532, 0.0698848, 0.1, 0.867583
0.5, 0.0604023, 0.0624499, 0.1, 0.877148
0.5, 0.0664175, 0.0665932, 0.1, 0.866989
0.5, 0.0674501, 0.0599664, 0.1, 0.872583
0.5, 0.0645864, 0.063831, 0.1, 0.871583
0.5, 0.0572945, 0.0617562, 0.1, 0.880949
0.5, 0.0604402, 0.058321, 0.1, 0.881239
0.5, 0.0617049, 0.0628596, 0.1, 0.875436
0.5, 0.0692861, 0.0619953, 0.1, 0.868719
0.5, 0.0661887, 0.0616111, 0.1, 0.8722
0.5, 0.0724209, 0.0656007, 0.1, 0.861978
