Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0208181, 0.0473154, 0.1, 0.931867
0, 0.0195535, 0.0512915, 0.1, 0.929155
0, 0.0216123, 0.0517411, 0.1, 0.926647
0, 0.0218807, 0.0571239, 0.1, 0.920995
0, 0.0192256, 0.0505159, 0.1, 0.930258
0, 0.0182493, 0.0483699, 0.1, 0.933381
0, 0.0178748, 0.0516855, 0.1, 0.93044
0, 0.0212516, 0.0534938, 0.1, 0.925255
0, 0.0183951, 0.0508835, 0.1, 0.930721
0, 0.019543, 0.0507346, 0.1, 0.929722
0, 0.0166536, 0.0542073, 0.1, 0.929139
0, 0.0207072, 0.0542965, 0.1, 0.924996
0, 0.0201379, 0.0544742, 0.1, 0.925388
0, 0.0191231, 0.0521361, 0.1, 0.928741
0, 0.0184842, 0.0472944, 0.1, 0.934221
0, 0.0223341, 0.0510539, 0.1, 0.926612
0, 0.0240438, 0.0463551, 0.1, 0.929601
0, 0.022234, 0.0521527, 0.1, 0.925613
0, 0.0226982, 0.053196, 0.1, 0.924106
0, 0.0169995, 0.0479946, 0.1, 0.935006
0, 0.0184663, 0.051053, 0.1, 0.930481
0, 0.0178525, 0.0528029, 0.1, 0.929345
0, 0.0158544, 0.0487152, 0.1, 0.93543
0, 0.0182717, 0.0496603, 0.1, 0.932068
0, 0.0219068, 0.0531338, 0.1, 0.924959
0, 0.0207939, 0.0556286, 0.1, 0.923577
0, 0.0185086, 0.0523223, 0.1, 0.929169
0, 0.015472, 0.0483008, 0.1, 0.936227
0, 0.0225759, 0.0509693, 0.1, 0.926455
0, 0.0190289, 0.0506717, 0.1, 0.930299
0, 0.0217657, 0.0509935, 0.1, 0.927241
0, 0.0241535, 0.0513833, 0.1, 0.924463
0, 0.0157712, 0.0573338, 0.1, 0.926895
0, 0.0216149, 0.0563382, 0.1, 0.922047
0, 0.0195302, 0.0489279, 0.1, 0.931542
0, 0.0228374, 0.0533436, 0.1, 0.923819
0, 0.020731, 0.0557018, 0.1, 0.923567
0, 0.0188873, 0.05839, 0.1, 0.922723
0, 0.0220164, 0.0507827, 0.1, 0.927201
0, 0.0181688, 0.0564557, 0.1, 0.925375
0, 0.0198426, 0.0517511, 0.1, 0.928406
0, 0.0203684, 0.0531899, 0.1, 0.926442
0, 0.0229, 0.0550536, 0.1, 0.922046
0, 0.0191437, 0.0487953, 0.1, 0.932061
0, 0.0209135, 0.0570124, 0.1, 0.922074
0, 0.0230607, 0.0532857, 0.1, 0.923654
0, 0.019411, 0.0532914, 0.1, 0.927298
0, 0.0198238, 0.0528398, 0.1, 0.927336
0, 0.0197468, 0.0534645, 0.1, 0.926789
0, 0.016269, 0.0534944, 0.1, 0.930237
0, 0.0195713, 0.0494265, 0.1, 0.931002
0, 0.0168129, 0.0562523, 0.1, 0.926935
0, 0.0163123, 0.0481066, 0.1, 0.935581
0, 0.0170425, 0.0521387, 0.1, 0.930819
0, 0.0213337, 0.0595294, 0.1, 0.919137
0, 0.019149, 0.0507275, 0.1, 0.930123
0, 0.0176331, 0.0497062, 0.1, 0.932661
0, 0.0162881, 0.0451831, 0.1, 0.938529
0, 0.0205514, 0.0522085, 0.1, 0.92724
0, 0.0193851, 0.0563836, 0.1, 0.924231
0, 0.0181762, 0.0546075, 0.1, 0.927216
0, 0.0181247, 0.0534558, 0.1, 0.92842
0, 0.01799, 0.0550515, 0.1, 0.926958
0, 0.0177918, 0.0475844, 0.1, 0.934624
0, 0.0222343, 0.05064, 0.1, 0.927126
0, 0.0173559, 0.056801, 0.1, 0.925843
0, 0.0192254, 0.0507946, 0.1, 0.92998
0, 0.019291, 0.050173, 0.1, 0.930536
0, 0.0170137, 0.0492903, 0.1, 0.933696
0, 0.0207158, 0.0563787, 0.1, 0.922906
0, 0.0181393, 0.0546465, 0.1, 0.927214
0, 0.0162645, 0.0502412, 0.1, 0.933494
0, 0.0204626, 0.0517064, 0.1, 0.927831
0, 0.0190468, 0.0525772, 0.1, 0.928376
0, 0.0213528, 0.0542306, 0.1, 0.924417
0, 0.0205401, 0.0541632, 0.1, 0.925297
0, 0.0173993, 0.0523741, 0.1, 0.930227
0, 0.0211095, 0.0509307, 0.1, 0.92796
0, 0.0161355, 0.049485, 0.1, 0.93438
0, 0.0200972, 0.0494338, 0.1, 0.930469
0, 0.0236937, 0.051684, 0.1, 0.924622
0, 0.0217791, 0.0548035, 0.1, 0.923417
