Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0156834, 0.0553542, 0.1, 0.928962
0, 0.0202195, 0.0570764, 0.1, 0.922704
0, 0.0226777, 0.0458667, 0.1, 0.931456
0, 0.0191486, 0.0483283, 0.1, 0.932523
0, 0.0222241, 0.0470152, 0.1, 0.930761
0, 0.016407, 0.0559454, 0.1, 0.927648
0, 0.0183748, 0.0491453, 0.1, 0.93248
0, 0.0204742, 0.0461138, 0.1, 0.933412
0, 0.018931, 0.0452371, 0.1, 0.935832
0, 0.0206592, 0.0501016, 0.1, 0.929239
0, 0.0171879, 0.0511398, 0.1, 0.931672
0, 0.0175791, 0.0486512, 0.1, 0.93377
0, 0.0207679, 0.0465055, 0.1, 0.932727
0, 0.0187173, 0.0542609, 0.1, 0.927022
0, 0.0167908, 0.0454681, 0.1, 0.937741
0, 0.0189526, 0.0473955, 0.1, 0.933652
0, 0.0225786, 0.050007, 0.1, 0.927414
0, 0.0196298, 0.0503328, 0.1, 0.930037
0, 0.0209246, 0.0448879, 0.1, 0.934188
0, 0.0213379, 0.0482075, 0.1, 0.930455
0, 0.019673, 0.0472873, 0.1, 0.93304
0, 0.0177847, 0.0508621, 0.1, 0.931353
0, 0.0165063, 0.0454218, 0.1, 0.938072
0, 0.0190566, 0.0477785, 0.1, 0.933165
0, 0.0191184, 0.0490021, 0.1, 0.93188
0, 0.0186282, 0.0505469, 0.1, 0.930825
0, 0.0230446, 0.0496374, 0.1, 0.927318
0, 0.0176935, 0.0449357, 0.1, 0.937371
0, 0.0228445, 0.0461182, 0.1, 0.931037
0, 0.0235954, 0.0453211, 0.1, 0.931083
0, 0.0157756, 0.0457175, 0.1, 0.938507
0, 0.0183398, 0.0470695, 0.1, 0.934591
0, 0.0217553, 0.0489556, 0.1, 0.929289
0, 0.0178976, 0.048864, 0.1, 0.933238
0, 0.0198622, 0.050305, 0.1, 0.929833
0, 0.0205336, 0.0470923, 0.1, 0.932374
0, 0.0178513, 0.0458968, 0.1, 0.936252
0, 0.0201081, 0.044184, 0.1, 0.935708
0, 0.0123653, 0.045138, 0.1, 0.942497
0, 0.0192503, 0.0482034, 0.1, 0.932546
0, 0.0188194, 0.047564, 0.1, 0.933617
0, 0.0188601, 0.046698, 0.1, 0.934442
0, 0.018037, 0.0473705, 0.1, 0.934592
0, 0.0164858, 0.0536234, 0.1, 0.929891
0, 0.0190193, 0.0501044, 0.1, 0.930876
0, 0.0179938, 0.0489452, 0.1, 0.933061
0, 0.0162977, 0.0448208, 0.1, 0.938882
0, 0.0173093, 0.0478269, 0.1, 0.934864
0, 0.0150407, 0.0465441, 0.1, 0.938415
0, 0.0193921, 0.0504205, 0.1, 0.930187
0, 0.0178265, 0.0484823, 0.1, 0.933691
0, 0.022862, 0.0457344, 0.1, 0.931404
0, 0.0188534, 0.0502917, 0.1, 0.930855
0, 0.0198496, 0.0494645, 0.1, 0.930686
0, 0.0220374, 0.0542336, 0.1, 0.923729
0, 0.021331, 0.0516525, 0.1, 0.927017
0, 0.020797, 0.0495055, 0.1, 0.929698
0, 0.0191718, 0.0515303, 0.1, 0.929298
0, 0.0178249, 0.0467071, 0.1, 0.935468
0, 0.0191657, 0.0532287, 0.1, 0.927606
0, 0.0186329, 0.0470041, 0.1, 0.934363
0, 0.0183208, 0.0461815, 0.1, 0.935498
0, 0.0199062, 0.0471563, 0.1, 0.932938
0, 0.0217413, 0.0526714, 0.1, 0.925587
0, 0.0164626, 0.0426758, 0.1, 0.940862
0, 0.0188393, 0.0449449, 0.1, 0.936216
0, 0.0205955, 0.0477928, 0.1, 0.931612
0, 0.0200958, 0.0487221, 0.1, 0.931182
0, 0.0199581, 0.0476512, 0.1, 0.932391
0, 0.0175613, 0.0464775, 0.1, 0.935961
0, 0.0177565, 0.047512, 0.1, 0.934731
0, 0.0206595, 0.0544582, 0.1, 0.924882
0, 0.017822, 0.0487311, 0.1, 0.933447
0, 0.0157538, 0.0431448, 0.1, 0.941101
0, 0.0183048, 0.0552736, 0.1, 0.926422
0, 0.0208347, 0.0461309, 0.1, 0.933034
0, 0.0186069, 0.0476977, 0.1, 0.933695
0, 0.0205954, 0.0485313, 0.1, 0.930873
0, 0.0200872, 0.0488234, 0.1, 0.931089
0, 0.0186724, 0.0503022, 0.1, 0.931025
0, 0.0189962, 0.0482547, 0.1, 0.932749
0, 0.0145577, 0.0537773, 0.1, 0.931665
0, 0.016327, 0.0537851, 0.1, 0.929888
0, 0.0160128, 0.0508011, 0.1, 0.933186
0, 0.0162588, 0.0434308, 0.1, 0.94031
0, 0.0141316, 0.0527662, 0.1, 0.933102
0, 0.0281998, 0.0496912, 0.1, 0.922109
0, 0.0174201, 0.0474515, 0.1, 0.935128
0, 0.0209108, 0.0497795, 0.1, 0.92931
0, 0.0181648, 0.0496196, 0.1, 0.932216
0, 0.0201191, 0.0455501, 0.1, 0.934331
0, 0.0221742, 0.0516339, 0.1, 0.926192
0, 0.0155374, 0.0523663, 0.1, 0.932096
0, 0.0189044, 0.0517579, 0.1, 0.929338
0, 0.0202731, 0.0510634, 0.1, 0.928664
