Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0500459, 0.0562711, 0.1, 0.893683
0, 0.0524118, 0.0522125, 0.1, 0.895376
0, 0.0573122, 0.0586756, 0.1, 0.884012
0, 0.0563361, 0.0478603, 0.1, 0.895804
0, 0.0510282, 0.0517602, 0.1, 0.897212
0, 0.049931, 0.0547859, 0.1, 0.895283
0, 0.0535044, 0.0567414, 0.1, 0.889754
0, 0.0536354, 0.052947, 0.1, 0.893418
0, 0.0559917, 0.049132, 0.1, 0.894876
0, 0.0500563, 0.0530661, 0.1, 0.896878
0, 0.0529896, 0.0477349, 0.1, 0.899276
0, 0.052433, 0.050557, 0.1, 0.89701
0, 0.0526368, 0.0487573, 0.1, 0.898606
0, 0.0513876, 0.0509207, 0.1, 0.897692
0, 0.0559311, 0.0534036, 0.1, 0.890665
0, 0.0587085, 0.0482381, 0.1, 0.893053
0, 0.054528, 0.0531784, 0.1, 0.892294
0, 0.0554527, 0.052194, 0.1, 0.892353
0, 0.0537713, 0.0551418, 0.1, 0.891087
0, 0.0545686, 0.0493221, 0.1, 0.896109
0, 0.0582396, 0.049119, 0.1, 0.892641
0, 0.050662, 0.05495, 0.1, 0.894388
0, 0.0514357, 0.0519881, 0.1, 0.896576
0, 0.051004, 0.0511821, 0.1, 0.897814
0, 0.0557455, 0.0548584, 0.1, 0.889396
0, 0.0539223, 0.0539674, 0.1, 0.89211
0, 0.0493633, 0.0528468, 0.1, 0.89779
0, 0.0504447, 0.0494451, 0.1, 0.90011
0, 0.0516353, 0.0496895, 0.1, 0.898675
0, 0.0541606, 0.045478, 0.1, 0.900361
0, 0.0516531, 0.0548403, 0.1, 0.893507
0, 0.0495853, 0.0518066, 0.1, 0.898608
0, 0.055605, 0.0551531, 0.1, 0.889242
0, 0.0521255, 0.0505116, 0.1, 0.897363
0, 0.0527701, 0.053503, 0.1, 0.893727
0, 0.0528306, 0.0517254, 0.1, 0.895444
0, 0.0530002, 0.060635, 0.1, 0.886365
0, 0.0514254, 0.0578161, 0.1, 0.890759
0, 0.055407, 0.0548714, 0.1, 0.889722
0, 0.0523954, 0.0478824, 0.1, 0.899722
0, 0.0532459, 0.0533779, 0.1, 0.893376
0, 0.0549015, 0.0535753, 0.1, 0.891523
0, 0.0513897, 0.0503139, 0.1, 0.898296
0, 0.051866, 0.0519361, 0.1, 0.896198
0, 0.052849, 0.0537343, 0.1, 0.893417
0, 0.0533763, 0.0523141, 0.1, 0.89431
0, 0.056045, 0.0493878, 0.1, 0.894567
0, 0.0526556, 0.0599534, 0.1, 0.887391
0, 0.0518775, 0.0506275, 0.1, 0.897495
