Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0503097, 0.0181909, 0.1, 0.931499
0, 0.0529017, 0.0207034, 0.1, 0.926395
0, 0.0500717, 0.0182419, 0.1, 0.931686
0, 0.0546625, 0.0205201, 0.1, 0.924817
0, 0.0611731, 0.0179229, 0.1, 0.920904
0, 0.0538539, 0.0196353, 0.1, 0.926511
0, 0.0537873, 0.018818, 0.1, 0.927395
0, 0.052419, 0.0161062, 0.1, 0.931475
0, 0.0525935, 0.0220803, 0.1, 0.925326
0, 0.0502329, 0.0180262, 0.1, 0.931741
0, 0.0531292, 0.0191377, 0.1, 0.927733
0, 0.0589335, 0.0232328, 0.1, 0.917834
0, 0.0546651, 0.0156972, 0.1, 0.929638
0, 0.0506043, 0.0203122, 0.1, 0.929084
0, 0.051135, 0.0174035, 0.1, 0.931462
0, 0.0540457, 0.0186284, 0.1, 0.927326
0, 0.0579802, 0.0167714, 0.1, 0.925248
0, 0.0535179, 0.0165645, 0.1, 0.929918
0, 0.0456222, 0.0206364, 0.1, 0.933741
0, 0.0558495, 0.0187532, 0.1, 0.925397
0, 0.0550043, 0.0192962, 0.1, 0.9257
0, 0.0578197, 0.0205167, 0.1, 0.921664
0, 0.0508928, 0.0203432, 0.1, 0.928764
0, 0.0525885, 0.018863, 0.1, 0.928549
0, 0.0495249, 0.0205602, 0.1, 0.929915
0, 0.0554628, 0.0188971, 0.1, 0.92564
0, 0.0490233, 0.0174815, 0.1, 0.933495
0, 0.0537802, 0.0224997, 0.1, 0.92372
0, 0.0476878, 0.0215421, 0.1, 0.93077
0, 0.055064, 0.0176025, 0.1, 0.927334
0, 0.0523323, 0.0165146, 0.1, 0.931153
0, 0.0489334, 0.0205808, 0.1, 0.930486
0, 0.0533343, 0.0175848, 0.1, 0.929081
0, 0.0504297, 0.0180168, 0.1, 0.931554
0, 0.0562603, 0.0191576, 0.1, 0.924582
0, 0.0533549, 0.0199887, 0.1, 0.926656
0, 0.0555503, 0.0201975, 0.1, 0.924252
0, 0.0537378, 0.0196474, 0.1, 0.926615
0, 0.0538926, 0.0206971, 0.1, 0.92541
0, 0.0543601, 0.0243904, 0.1, 0.92125
0, 0.0541795, 0.020393, 0.1, 0.925427
0, 0.0537688, 0.0212846, 0.1, 0.924947
0, 0.0503222, 0.0209894, 0.1, 0.928688
0, 0.0579231, 0.0215982, 0.1, 0.920479
0, 0.0544642, 0.0174566, 0.1, 0.928079
0, 0.0577276, 0.0207695, 0.1, 0.921503
