Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0580873, 0.0492938, 0.1, 0.892619
0, 0.0510138, 0.0522281, 0.1, 0.896758
0, 0.0565805, 0.0515634, 0.1, 0.891856
0, 0.0489931, 0.0536767, 0.1, 0.89733
0, 0.0538807, 0.054532, 0.1, 0.891587
0, 0.0562089, 0.0537128, 0.1, 0.890078
0, 0.0538003, 0.0498491, 0.1, 0.896351
0, 0.0497375, 0.0583854, 0.1, 0.891877
0, 0.0525261, 0.0532347, 0.1, 0.894239
0, 0.0564708, 0.0491173, 0.1, 0.894412
0, 0.0538491, 0.052483, 0.1, 0.893668
0, 0.0511899, 0.0552222, 0.1, 0.893588
0, 0.0514281, 0.0501493, 0.1, 0.898423
0, 0.0472521, 0.0520424, 0.1, 0.900705
0, 0.0500485, 0.0511647, 0.1, 0.898787
0, 0.0542611, 0.0539736, 0.1, 0.891765
0, 0.0458462, 0.0526046, 0.1, 0.901549
0, 0.0579459, 0.0525308, 0.1, 0.889523
0, 0.0561178, 0.0492088, 0.1, 0.894673
0, 0.0546348, 0.0498058, 0.1, 0.895559
0, 0.0529897, 0.0505445, 0.1, 0.896466
0, 0.0508073, 0.0490527, 0.1, 0.90014
0, 0.0532143, 0.0543485, 0.1, 0.892437
0, 0.0528458, 0.0499514, 0.1, 0.897203
0, 0.054765, 0.053271, 0.1, 0.891964
0, 0.057, 0.0580456, 0.1, 0.884954
0, 0.0501737, 0.0554179, 0.1, 0.894408
0, 0.0472734, 0.0484703, 0.1, 0.904256
0, 0.0551341, 0.05145, 0.1, 0.893416
0, 0.051965, 0.055344, 0.1, 0.892691
0, 0.0538098, 0.0517542, 0.1, 0.894436
0, 0.052254, 0.0587613, 0.1, 0.888985
0, 0.0573824, 0.0547575, 0.1, 0.88786
0, 0.051422, 0.0477681, 0.1, 0.90081
0, 0.0626958, 0.0510134, 0.1, 0.886291
0, 0.0523407, 0.0525332, 0.1, 0.895126
0, 0.0497275, 0.0520417, 0.1, 0.898231
0, 0.0516113, 0.054067, 0.1, 0.894322
0, 0.0519277, 0.0541045, 0.1, 0.893968
0, 0.0556646, 0.0521954, 0.1, 0.89214
0, 0.0551754, 0.0540196, 0.1, 0.890805
0, 0.0545922, 0.052187, 0.1, 0.893221
0, 0.0512047, 0.0537704, 0.1, 0.895025
0, 0.0513123, 0.0469082, 0.1, 0.90178
0, 0.0563508, 0.053076, 0.1, 0.890573
0, 0.0539773, 0.0525808, 0.1, 0.893442
0, 0.052917, 0.0547955, 0.1, 0.892287
0, 0.0545454, 0.0442226, 0.1, 0.901232
0, 0.0501558, 0.0544472, 0.1, 0.895397
0, 0.0508109, 0.052372, 0.1, 0.896817
0, 0.0505997, 0.0494591, 0.1, 0.899941
0, 0.060644, 0.05119, 0.1, 0.888166
0, 0.0565033, 0.0493929, 0.1, 0.894104
0, 0.0521746, 0.0548364, 0.1, 0.892989
0, 0.0495229, 0.0555377, 0.1, 0.894939
0, 0.0470011, 0.0482749, 0.1, 0.904724
0, 0.0506645, 0.0561103, 0.1, 0.893225
0, 0.0529223, 0.0498388, 0.1, 0.897239
0, 0.0503042, 0.0485927, 0.1, 0.901103
0, 0.0567631, 0.0482034, 0.1, 0.895033
0, 0.0487539, 0.049865, 0.1, 0.901381
0, 0.0554801, 0.0519599, 0.1, 0.89256
0, 0.0566688, 0.0491117, 0.1, 0.894219
0, 0.0548884, 0.0552863, 0.1, 0.889825
0, 0.0517517, 0.0533559, 0.1, 0.894892
0, 0.0465168, 0.053505, 0.1, 0.899978
0, 0.0525761, 0.0518585, 0.1, 0.895565
0, 0.0529725, 0.050817, 0.1, 0.896211
0, 0.05517, 0.0537815, 0.1, 0.891048
0, 0.0500442, 0.0518034, 0.1, 0.898152
0, 0.050776, 0.0533616, 0.1, 0.895862
0, 0.0491812, 0.0554514, 0.1, 0.895367
0, 0.0555759, 0.0560986, 0.1, 0.888325
0, 0.0533632, 0.0568711, 0.1, 0.889766
0, 0.0535073, 0.0544188, 0.1, 0.892074
0, 0.0500405, 0.0514038, 0.1, 0.898556
0, 0.0583327, 0.0530706, 0.1, 0.888597
0, 0.0506212, 0.0536987, 0.1, 0.89568
0, 0.0552115, 0.0580675, 0.1, 0.886721
0, 0.0496973, 0.05966, 0.1, 0.890643
0, 0.0472928, 0.0551249, 0.1, 0.897582
0, 0.0496553, 0.052089, 0.1, 0.898256
0, 0.0495359, 0.0542239, 0.1, 0.89624
0, 0.0527866, 0.0482564, 0.1, 0.898957
0, 0.0538493, 0.0587036, 0.1, 0.887447
0, 0.0505799, 0.0500869, 0.1, 0.899333
0, 0.0563813, 0.0579697, 0.1, 0.885649
0, 0.0493978, 0.0566391, 0.1, 0.893963
0, 0.0543135, 0.0549867, 0.1, 0.8907
0, 0.0502633, 0.0543684, 0.1, 0.895368
0, 0.0503558, 0.0580654, 0.1, 0.891579
0, 0.0561025, 0.0560787, 0.1, 0.887819
0, 0.0566201, 0.0521416, 0.1, 0.891238
0, 0.0565306, 0.0544099, 0.1, 0.889059
0, 0.0538485, 0.0509065, 0.1, 0.895245
0, 0.0507248, 0.0491361, 0.1, 0.900139
0, 0.0545487, 0.0541734, 0.1, 0.891278
0, 0.051934, 0.0518716, 0.1, 0.896194
0, 0.047468, 0.0507847, 0.1, 0.901747
0, 0.0575655, 0.0560852, 0.1, 0.886349
0, 0.0532409, 0.059039, 0.105, 0.88772
0, 0.0555131, 0.0535798, 0.105, 0.890907
0, 0.0594088, 0.0589159, 0.105, 0.881675
0, 0.0571008, 0.0577518, 0.105, 0.885147
0, 0.0556349, 0.0587087, 0.105, 0.885656
0, 0.0586401, 0.0530628, 0.105, 0.888297
0, 0.0590373, 0.05934, 0.105, 0.881623
0, 0.0583775, 0.0523322, 0.105, 0.88929
0, 0.0589229, 0.0490358, 0.105, 0.892041
0, 0.0591793, 0.0557713, 0.105, 0.885049
0, 0.0600632, 0.0555559, 0.105, 0.884381
0, 0.0550732, 0.0581666, 0.105, 0.88676
0, 0.0553172, 0.0628047, 0.105, 0.881878
0, 0.061304, 0.0533197, 0.105, 0.885376
0, 0.0573312, 0.057046, 0.105, 0.885623
0, 0.0577001, 0.0549733, 0.105, 0.887327
0, 0.0598792, 0.0587352, 0.105, 0.881386
