Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0501149, 0.0136323, 0.1, 0.936253
0, 0.0513436, 0.0141425, 0.1, 0.934514
0, 0.0498273, 0.0115111, 0.1, 0.938662
0, 0.0518992, 0.0132702, 0.1, 0.934831
0, 0.0542459, 0.0120485, 0.1, 0.933706
0, 0.0497053, 0.0128143, 0.1, 0.93748
0, 0.0474316, 0.0162231, 0.1, 0.936345
0, 0.0557294, 0.0165002, 0.1, 0.92777
0, 0.0497778, 0.0117454, 0.1, 0.938477
0, 0.0470893, 0.0125456, 0.1, 0.940365
0, 0.0452817, 0.0146853, 0.1, 0.940033
0, 0.0525762, 0.0103115, 0.1, 0.937112
0, 0.0520585, 0.0135127, 0.1, 0.934429
0, 0.0482423, 0.0156299, 0.1, 0.936128
0, 0.0537685, 0.0146705, 0.1, 0.931561
0, 0.0553163, 0.0139148, 0.1, 0.930769
0, 0.0543622, 0.0168244, 0.1, 0.928813
0, 0.0554695, 0.0157247, 0.1, 0.928806
0, 0.0535271, 0.0156473, 0.1, 0.930826
0, 0.0533252, 0.0168431, 0.1, 0.929832
0, 0.050355, 0.0107585, 0.1, 0.938886
0, 0.0522638, 0.013377, 0.1, 0.934359
0, 0.0528179, 0.0162752, 0.1, 0.930907
0, 0.050807, 0.00950172, 0.1, 0.939691
0, 0.0545207, 0.0121774, 0.1, 0.933302
0, 0.0501914, 0.0120719, 0.1, 0.937737
0, 0.0485614, 0.0117674, 0.1, 0.939671
0, 0.0526472, 0.0119165, 0.1, 0.935436
0, 0.0522148, 0.0140984, 0.1, 0.933687
0, 0.0511278, 0.0150241, 0.1, 0.933848
0, 0.0572113, 0.0112503, 0.1, 0.931538
0, 0.0502198, 0.0130502, 0.1, 0.93673
0, 0.0479414, 0.0114224, 0.1, 0.940636
0, 0.0492411, 0.0140411, 0.1, 0.936718
0, 0.0479473, 0.0160928, 0.1, 0.93596
0, 0.0536408, 0.0163202, 0.1, 0.930039
0, 0.0525112, 0.0156309, 0.1, 0.931858
0, 0.0472961, 0.012793, 0.1, 0.939911
0, 0.0496759, 0.0116145, 0.1, 0.93871
0, 0.0576578, 0.0150237, 0.1, 0.927318
0, 0.0505972, 0.0134261, 0.1, 0.935977
0, 0.0515612, 0.0132758, 0.1, 0.935163
0, 0.0511435, 0.0184964, 0.1, 0.93036
0, 0.0545233, 0.0121607, 0.1, 0.933316
0, 0.0515418, 0.0145097, 0.1, 0.933949
0, 0.047359, 0.0126807, 0.1, 0.93996
0, 0.0642298, 0.0139466, 0.1, 0.921824
0, 0.0524987, 0.00967598, 0.1, 0.937825
0, 0.0485228, 0.0115465, 0.1, 0.939931
