Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0578816, 0.0216839, 0.1, 0.920434
0, 0.0548769, 0.0175344, 0.1, 0.927589
0, 0.05773, 0.020293, 0.1, 0.921977
0, 0.0528406, 0.0223823, 0.1, 0.924777
0, 0.0605201, 0.0170929, 0.1, 0.922387
0, 0.0497351, 0.0201583, 0.1, 0.930107
0, 0.0557495, 0.0213414, 0.1, 0.922909
0, 0.0537197, 0.0168056, 0.1, 0.929475
0, 0.0582148, 0.0196343, 0.1, 0.922151
0, 0.0500519, 0.0192672, 0.1, 0.930681
0, 0.0535987, 0.0205829, 0.1, 0.925818
0, 0.0536115, 0.0200259, 0.1, 0.926363
0, 0.0546853, 0.017087, 0.1, 0.928228
0, 0.0534641, 0.0142676, 0.1, 0.932268
0, 0.0555672, 0.0204123, 0.1, 0.92402
0, 0.0557742, 0.0198231, 0.1, 0.924403
0, 0.0535858, 0.0187588, 0.1, 0.927655
0, 0.0485869, 0.0212432, 0.1, 0.93017
0, 0.0549558, 0.0201541, 0.1, 0.92489
0, 0.0514272, 0.0191744, 0.1, 0.929398
0, 0.0531936, 0.0195355, 0.1, 0.927271
0, 0.0493165, 0.0148226, 0.1, 0.935861
0, 0.0497473, 0.0199751, 0.1, 0.930278
0, 0.0510914, 0.0181103, 0.1, 0.930798
0, 0.0488796, 0.0208809, 0.1, 0.930239
0, 0.0558204, 0.0199869, 0.1, 0.924193
0, 0.0535591, 0.013998, 0.1, 0.932443
0, 0.0480494, 0.0186218, 0.1, 0.933329
0, 0.050089, 0.019236, 0.1, 0.930675
0, 0.0580736, 0.0194454, 0.1, 0.922481
0, 0.0532472, 0.0209635, 0.1, 0.925789
0, 0.0554895, 0.0156948, 0.1, 0.928816
0, 0.0455932, 0.0170423, 0.1, 0.937364
0, 0.0511836, 0.0208422, 0.1, 0.927974
0, 0.0541273, 0.0183677, 0.1, 0.927505
0, 0.0537312, 0.018434, 0.1, 0.927835
0, 0.0567917, 0.020237, 0.1, 0.922971
0, 0.0508984, 0.0187582, 0.1, 0.930343
0, 0.0528751, 0.0155362, 0.1, 0.931589
0, 0.0498973, 0.0181329, 0.1, 0.93197
0, 0.0527193, 0.0200121, 0.1, 0.927269
0, 0.0535846, 0.0195568, 0.1, 0.926859
0, 0.0572718, 0.0198134, 0.1, 0.922915
0, 0.0459134, 0.0189121, 0.1, 0.935175
0, 0.0547402, 0.0184231, 0.1, 0.926837
0, 0.0586049, 0.0162261, 0.1, 0.925169
0, 0.0575694, 0.0182442, 0.1, 0.924186
0, 0.0563376, 0.0166044, 0.1, 0.927058
0, 0.0541522, 0.0170537, 0.1, 0.928794
0, 0.0507576, 0.01861, 0.1, 0.930632
0, 0.054512, 0.018485, 0.1, 0.927003
0, 0.0548246, 0.020444, 0.1, 0.924731
0, 0.0614045, 0.0211627, 0.1, 0.917433
0, 0.0530535, 0.0199703, 0.1, 0.926976
0, 0.0522574, 0.0197493, 0.1, 0.927993
0, 0.0480748, 0.020606, 0.1, 0.931319
0, 0.052385, 0.0184879, 0.1, 0.929127
0, 0.0536137, 0.0226121, 0.1, 0.923774
0, 0.0539195, 0.0194861, 0.1, 0.926594
0, 0.047445, 0.0213818, 0.1, 0.931173
0, 0.055574, 0.0224917, 0.1, 0.921934
0, 0.0523168, 0.0201659, 0.1, 0.927517
0, 0.0490232, 0.01943, 0.1, 0.931547
0, 0.0525104, 0.0179953, 0.1, 0.929494
0, 0.0502815, 0.0168297, 0.1, 0.932889
0, 0.0467106, 0.0178501, 0.1, 0.935439
0, 0.0547835, 0.0210636, 0.1, 0.924153
0, 0.0512031, 0.0159513, 0.1, 0.932846
0, 0.0485692, 0.0173712, 0.1, 0.93406
0, 0.0540594, 0.0211708, 0.1, 0.92477
0, 0.0551145, 0.0219305, 0.1, 0.922955
0, 0.059475, 0.0184647, 0.1, 0.92206
0, 0.0473593, 0.0194942, 0.1, 0.933146
0, 0.0534018, 0.0187445, 0.1, 0.927854
0, 0.0566863, 0.0187467, 0.1, 0.924567
0, 0.0527561, 0.022322, 0.1, 0.924922
0, 0.0583816, 0.0208106, 0.1, 0.920808
0, 0.0519727, 0.0200549, 0.1, 0.927972
0, 0.0474068, 0.0208612, 0.1, 0.931732
0, 0.0561764, 0.0195488, 0.1, 0.924275
0, 0.0547888, 0.0191158, 0.1, 0.926095
0, 0.0506169, 0.0182348, 0.1, 0.931148
0, 0.052576, 0.0175998, 0.1, 0.929824
0, 0.0557178, 0.0183073, 0.1, 0.925975
0, 0.0499907, 0.0210515, 0.1, 0.928958
0, 0.0505977, 0.021112, 0.1, 0.92829
0, 0.0524797, 0.0179477, 0.1, 0.929573
0, 0.0531831, 0.0209846, 0.1, 0.925832
0, 0.0508631, 0.0182779, 0.1, 0.930859
0, 0.0491708, 0.0183689, 0.1, 0.93246
0, 0.0490226, 0.0220803, 0.1, 0.928897
0, 0.050621, 0.0165666, 0.1, 0.932812
0, 0.0548257, 0.0207078, 0.1, 0.924467
0, 0.0532544, 0.0165258, 0.1, 0.93022
0, 0.0511976, 0.0151964, 0.1, 0.933606
0, 0.0530851, 0.020758, 0.1, 0.926157
0, 0.0459106, 0.0153947, 0.1, 0.938695
0, 0.0484524, 0.0189016, 0.1, 0.932646
0, 0.0552806, 0.0171894, 0.1, 0.92753
0, 0.0531419, 0.0186677, 0.1, 0.92819
0, 0.0545488, 0.0222536, 0.105, 0.923198
0, 0.0523635, 0.0216607, 0.105, 0.925976
0, 0.0621041, 0.0239536, 0.105, 0.913942
0, 0.0616493, 0.023854, 0.105, 0.914497
0, 0.0589537, 0.0219272, 0.105, 0.919119
0, 0.0578011, 0.0233461, 0.105, 0.918853
0, 0.062547, 0.0203873, 0.105, 0.917066
0, 0.0548033, 0.0222573, 0.105, 0.922939
0, 0.0590917, 0.0233508, 0.105, 0.917557
0, 0.0581028, 0.0193245, 0.105, 0.922573
0, 0.0550113, 0.0203042, 0.105, 0.924685
0, 0.0538925, 0.0218158, 0.105, 0.924292
0, 0.0520264, 0.0248823, 0.105, 0.923091
0, 0.0594638, 0.0218819, 0.105, 0.918654
0, 0.05628, 0.0238178, 0.105, 0.919902
0, 0.0566193, 0.0203846, 0.105, 0.922996
0, 0.0602073, 0.0196716, 0.105, 0.920121
0, 0.0589326, 0.022605, 0.105, 0.918462
0, 0.063149, 0.0191061, 0.105, 0.917745
0, 0.0571514, 0.0216606, 0.105, 0.921188
0, 0.0549354, 0.020799, 0.105, 0.924266
