Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0510993, 0.0523387, 0.1, 0.896562
0, 0.0571379, 0.049413, 0.1, 0.893449
0, 0.0550371, 0.0518452, 0.1, 0.893118
0, 0.0528844, 0.0518623, 0.1, 0.895253
0, 0.0492656, 0.0526033, 0.1, 0.898131
0, 0.0492924, 0.053769, 0.1, 0.896939
0, 0.0538224, 0.0495913, 0.1, 0.896586
0, 0.0510159, 0.0525797, 0.1, 0.896404
0, 0.0554067, 0.0503839, 0.1, 0.894209
0, 0.0509926, 0.0502415, 0.1, 0.898766
0, 0.0572945, 0.0572215, 0.1, 0.885484
0, 0.0553516, 0.0519829, 0.1, 0.892665
0, 0.0552303, 0.0525052, 0.1, 0.892265
0, 0.0510768, 0.0531648, 0.1, 0.895758
0, 0.0546347, 0.0494389, 0.1, 0.895926
0, 0.051717, 0.0531142, 0.1, 0.895169
0, 0.0489652, 0.058458, 0.1, 0.892577
0, 0.0541883, 0.0527288, 0.1, 0.893083
0, 0.0518063, 0.0543051, 0.1, 0.893889
0, 0.0506368, 0.0552505, 0.1, 0.894113
0, 0.0543841, 0.0490435, 0.1, 0.896572
0, 0.052907, 0.0488172, 0.1, 0.898276
0, 0.0544885, 0.0505803, 0.1, 0.894931
0, 0.0532313, 0.0515603, 0.1, 0.895208
0, 0.0545692, 0.04782, 0.1, 0.897611
0, 0.0556258, 0.0500354, 0.1, 0.894339
0, 0.0602566, 0.0490726, 0.1, 0.890671
0, 0.0540511, 0.050531, 0.1, 0.895418
0, 0.0513084, 0.0545728, 0.1, 0.894119
0, 0.0504281, 0.0514898, 0.1, 0.898082
0, 0.056335, 0.0603238, 0.1, 0.883341
0, 0.0536782, 0.0545209, 0.1, 0.891801
0, 0.0538806, 0.0514814, 0.1, 0.894638
0, 0.0512649, 0.0542282, 0.1, 0.894507
0, 0.0514997, 0.056193, 0.1, 0.892307
0, 0.0510849, 0.051406, 0.1, 0.897509
0, 0.0529254, 0.0505509, 0.1, 0.896524
0, 0.0515071, 0.0556267, 0.1, 0.892866
0, 0.0532724, 0.0493055, 0.1, 0.897422
0, 0.0470423, 0.0528605, 0.1, 0.900097
0, 0.0484744, 0.0522895, 0.1, 0.899236
0, 0.057502, 0.0478643, 0.1, 0.894634
0, 0.0523023, 0.0560816, 0.1, 0.891616
0, 0.04931, 0.0563076, 0.1, 0.894382
0, 0.0537681, 0.0508443, 0.1, 0.895388
0, 0.0524681, 0.0559688, 0.1, 0.891563
0, 0.049101, 0.0576303, 0.1, 0.893269
0, 0.0491025, 0.0510523, 0.1, 0.899845
0, 0.0573654, 0.0546201, 0.1, 0.888014
0, 0.0505663, 0.0519714, 0.1, 0.897462
0, 0.0490332, 0.0544656, 0.1, 0.896501
