Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0475518, 0.0536757, 0.1, 0.898772
0, 0.0532586, 0.0571147, 0.1, 0.889627
0, 0.0575444, 0.0512415, 0.1, 0.891214
0, 0.0532239, 0.0566723, 0.1, 0.890104
0, 0.0504954, 0.0533132, 0.1, 0.896191
0, 0.0588482, 0.0497161, 0.1, 0.891436
0, 0.0567753, 0.0502167, 0.1, 0.893008
0, 0.053048, 0.0523034, 0.1, 0.894649
0, 0.0573715, 0.0539998, 0.1, 0.888629
0, 0.0484581, 0.0492173, 0.1, 0.902325
0, 0.0503109, 0.0558594, 0.1, 0.89383
0, 0.0486069, 0.0520383, 0.1, 0.899355
0, 0.055199, 0.0489514, 0.1, 0.89585
0, 0.0564454, 0.0547393, 0.1, 0.888815
0, 0.0511908, 0.0519413, 0.1, 0.896868
0, 0.0488334, 0.0515497, 0.1, 0.899617
0, 0.0552123, 0.0495564, 0.1, 0.895231
0, 0.0518389, 0.055013, 0.1, 0.893148
0, 0.0521456, 0.0536456, 0.1, 0.894209
0, 0.0522137, 0.0523319, 0.1, 0.895454
0, 0.0500118, 0.0551067, 0.1, 0.894881
0, 0.0495294, 0.0539588, 0.1, 0.896512
0, 0.0516097, 0.0544509, 0.1, 0.893939
0, 0.0503046, 0.055752, 0.1, 0.893943
0, 0.0534995, 0.055472, 0.1, 0.891028
0, 0.0521858, 0.0527728, 0.1, 0.895041
0, 0.0536597, 0.0502505, 0.1, 0.89609
0, 0.0599834, 0.0513206, 0.1, 0.888696
0, 0.0507056, 0.0518433, 0.1, 0.897451
0, 0.0498554, 0.0536384, 0.1, 0.896506
0, 0.0518683, 0.0557444, 0.1, 0.892387
0, 0.0519138, 0.0500284, 0.1, 0.898058
0, 0.0520837, 0.0543836, 0.1, 0.893533
0, 0.0540832, 0.0557843, 0.1, 0.890133
0, 0.0512828, 0.053703, 0.1, 0.895014
0, 0.0469571, 0.0490074, 0.1, 0.904035
0, 0.0506566, 0.0496859, 0.1, 0.899658
0, 0.0540578, 0.0539138, 0.1, 0.892028
0, 0.0524824, 0.0513344, 0.1, 0.896183
0, 0.0516683, 0.0539521, 0.1, 0.89438
