Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0523375, 0.0527194, 0.1, 0.894943
0, 0.0571916, 0.0550931, 0.1, 0.887715
0, 0.0505919, 0.0524086, 0.1, 0.897
0, 0.0551491, 0.0506507, 0.1, 0.8942
0, 0.0495938, 0.0511994, 0.1, 0.899207
0, 0.0506303, 0.0533515, 0.1, 0.896018
0, 0.0512968, 0.0536403, 0.1, 0.895063
0, 0.0543291, 0.0523607, 0.1, 0.89331
0, 0.0475427, 0.0510307, 0.1, 0.901427
0, 0.0479108, 0.0523504, 0.1, 0.899739
0, 0.0516814, 0.0457337, 0.1, 0.902585
0, 0.0534675, 0.051407, 0.1, 0.895126
0, 0.0558539, 0.0538885, 0.1, 0.890258
0, 0.0571704, 0.0535873, 0.1, 0.889242
0, 0.0588822, 0.0552331, 0.1, 0.885885
0, 0.0539058, 0.0500221, 0.1, 0.896072
0, 0.0535445, 0.0498696, 0.1, 0.896586
0, 0.0522843, 0.0503561, 0.1, 0.89736
0, 0.0507474, 0.0474795, 0.1, 0.901773
0, 0.0551351, 0.0517545, 0.1, 0.89311
0, 0.053046, 0.0563106, 0.1, 0.890643
0, 0.0512795, 0.055353, 0.1, 0.893367
0, 0.0546894, 0.0578313, 0.1, 0.887479
0, 0.0506309, 0.0566189, 0.1, 0.89275
0, 0.0503951, 0.0529366, 0.1, 0.896668
0, 0.0586909, 0.0535467, 0.1, 0.887762
0, 0.0536914, 0.048261, 0.1, 0.898048
0, 0.0501866, 0.0526979, 0.1, 0.897115
0, 0.0518655, 0.0538144, 0.1, 0.89432
0, 0.0570449, 0.0544388, 0.1, 0.888516
0, 0.0445372, 0.0510209, 0.1, 0.904442
0, 0.060244, 0.0530519, 0.1, 0.886704
0, 0.0535928, 0.0555812, 0.1, 0.890826
0, 0.0505612, 0.0499297, 0.1, 0.899509
0, 0.0520246, 0.0571022, 0.1, 0.890873
0, 0.0559657, 0.051097, 0.1, 0.892937
0, 0.0556521, 0.0529334, 0.1, 0.891415
0, 0.0589559, 0.0567119, 0.1, 0.884332
0, 0.0543202, 0.0523113, 0.1, 0.893368
0, 0.0556336, 0.0486715, 0.1, 0.895695
0, 0.0484396, 0.0476996, 0.1, 0.903861
0, 0.052823, 0.0561106, 0.1, 0.891066
0, 0.0576451, 0.0489844, 0.1, 0.89337
0, 0.0526937, 0.0548487, 0.1, 0.892458
0, 0.0492266, 0.0534513, 0.1, 0.897322
0, 0.0544062, 0.0515299, 0.1, 0.894064
0, 0.0538668, 0.0529014, 0.1, 0.893232
0, 0.0510482, 0.0602144, 0.1, 0.888737
0, 0.0482278, 0.054658, 0.1, 0.897114
0, 0.0524644, 0.0535106, 0.1, 0.894025
0, 0.0565836, 0.0527006, 0.1, 0.890716
0, 0.0487947, 0.0536085, 0.1, 0.897597
0, 0.0503085, 0.049347, 0.1, 0.900345
0, 0.0484433, 0.0535334, 0.1, 0.898023
0, 0.0471432, 0.0495364, 0.1, 0.90332
0, 0.0515005, 0.0538287, 0.1, 0.894671
0, 0.0552486, 0.0531225, 0.1, 0.891629
0, 0.0552537, 0.049587, 0.1, 0.895159
0, 0.0526278, 0.0550453, 0.1, 0.892327
0, 0.0507672, 0.0513982, 0.1, 0.897835
0, 0.0542853, 0.0543348, 0.1, 0.89138
0, 0.0513899, 0.0558498, 0.1, 0.89276
0, 0.0522495, 0.0530926, 0.1, 0.894658
0, 0.0569491, 0.0556265, 0.1, 0.887424
0, 0.0489104, 0.0523883, 0.1, 0.898701
0, 0.0507949, 0.0525745, 0.1, 0.896631
0, 0.0522294, 0.051544, 0.1, 0.896227
0, 0.0528497, 0.0533495, 0.1, 0.893801
0, 0.0532669, 0.0568349, 0.1, 0.889898
0, 0.0494799, 0.0544737, 0.1, 0.896046
