Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0517376, 0.053156, 0.1, 0.895106
0, 0.0548144, 0.053075, 0.1, 0.892111
0, 0.0456703, 0.0476028, 0.1, 0.906727
0, 0.0507863, 0.0539043, 0.1, 0.895309
0, 0.0543505, 0.0578227, 0.1, 0.887827
0, 0.0557421, 0.0563848, 0.1, 0.887873
0, 0.0568894, 0.0507621, 0.1, 0.892348
0, 0.0536583, 0.0501359, 0.1, 0.896206
0, 0.0498999, 0.0497747, 0.1, 0.900325
0, 0.0604657, 0.0512106, 0.1, 0.888324
0, 0.05009, 0.0549943, 0.1, 0.894916
0, 0.057645, 0.052785, 0.1, 0.88957
0, 0.0507596, 0.0528462, 0.1, 0.896394
0, 0.0537237, 0.0512341, 0.1, 0.895042
0, 0.0565824, 0.0509207, 0.1, 0.892497
0, 0.0546495, 0.0472062, 0.1, 0.898144
0, 0.0559406, 0.0541041, 0.1, 0.889955
0, 0.0549365, 0.0498583, 0.1, 0.895205
0, 0.0472727, 0.0559042, 0.1, 0.896823
0, 0.0563543, 0.0493074, 0.1, 0.894338
0, 0.0532524, 0.0562721, 0.1, 0.890475
0, 0.0505952, 0.0526012, 0.1, 0.896804
0, 0.0555696, 0.0500437, 0.1, 0.894387
0, 0.0551067, 0.0567185, 0.1, 0.888175
0, 0.0528597, 0.0512675, 0.1, 0.895873
0, 0.0534413, 0.0469888, 0.1, 0.89957
0, 0.0482494, 0.0565554, 0.1, 0.895195
0, 0.0542207, 0.0462051, 0.1, 0.899574
0, 0.0539546, 0.0521353, 0.1, 0.89391
0, 0.052942, 0.0544483, 0.1, 0.89261
0, 0.0524904, 0.0549614, 0.1, 0.892548
0, 0.0522289, 0.0572821, 0.1, 0.890489
0, 0.0539872, 0.0585232, 0.1, 0.88749
0, 0.0530138, 0.0534841, 0.1, 0.893502
0, 0.0537268, 0.0583987, 0.1, 0.887874
0, 0.0599551, 0.0487282, 0.1, 0.891317
0, 0.0554312, 0.0550843, 0.1, 0.889485
0, 0.0542466, 0.0532304, 0.1, 0.892523
0, 0.051774, 0.0488171, 0.1, 0.899409
0, 0.0459186, 0.0562096, 0.1, 0.897872
0, 0.053532, 0.0532235, 0.1, 0.893245
0, 0.0580705, 0.0573878, 0.1, 0.884542
0, 0.0544593, 0.0534035, 0.1, 0.892137
0, 0.0542804, 0.0547728, 0.1, 0.890947
0, 0.0475812, 0.0541779, 0.1, 0.898241
0, 0.0533951, 0.0495563, 0.1, 0.897049
0, 0.0498609, 0.0520036, 0.1, 0.898135
0, 0.0515414, 0.05293, 0.1, 0.895529
0, 0.0554175, 0.0509211, 0.1, 0.893661
0, 0.0501461, 0.0489102, 0.1, 0.900944
0, 0.048535, 0.0553112, 0.1, 0.896154
0, 0.0502206, 0.0510098, 0.1, 0.89877
0, 0.0462643, 0.0577527, 0.1, 0.895983
0, 0.0522658, 0.0508715, 0.1, 0.896863
