Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0439207, 0.0204664, 0.1, 0.935613
0, 0.0468393, 0.0203185, 0.1, 0.932842
0, 0.0511803, 0.0200622, 0.1, 0.928758
0, 0.0489003, 0.0158867, 0.1, 0.935213
0, 0.0500467, 0.0210596, 0.1, 0.928894
0, 0.0530588, 0.0187007, 0.1, 0.92824
0, 0.044826, 0.0197928, 0.1, 0.935381
0, 0.0489169, 0.0184462, 0.1, 0.932637
0, 0.0497235, 0.0186222, 0.1, 0.931654
0, 0.0478978, 0.0172756, 0.1, 0.934827
0, 0.0435636, 0.0215806, 0.1, 0.934856
0, 0.0486689, 0.0161368, 0.1, 0.935194
0, 0.0512838, 0.0201414, 0.1, 0.928575
0, 0.0484066, 0.0183472, 0.1, 0.933246
0, 0.049048, 0.0148859, 0.1, 0.936066
0, 0.047902, 0.0186135, 0.1, 0.933485
0, 0.0462833, 0.0160521, 0.1, 0.937665
0, 0.0510592, 0.0179305, 0.1, 0.93101
0, 0.0522349, 0.0197603, 0.1, 0.928005
0, 0.0500044, 0.0185988, 0.1, 0.931397
0, 0.0511768, 0.0201605, 0.1, 0.928663
0, 0.0500581, 0.0205496, 0.1, 0.929392
0, 0.0508332, 0.0186401, 0.1, 0.930527
0, 0.0494284, 0.018976, 0.1, 0.931596
0, 0.0459599, 0.0174526, 0.1, 0.936588
0, 0.0451919, 0.0192129, 0.1, 0.935595
0, 0.0496126, 0.0175233, 0.1, 0.932864
0, 0.047808, 0.0189695, 0.1, 0.933222
0, 0.0483813, 0.0203976, 0.1, 0.931221
0, 0.0452626, 0.0177967, 0.1, 0.936941
0, 0.0482971, 0.0181102, 0.1, 0.933593
0, 0.0497103, 0.0168604, 0.1, 0.933429
0, 0.052282, 0.0215697, 0.1, 0.926148
0, 0.0538023, 0.0201743, 0.1, 0.926023
0, 0.0493687, 0.0187746, 0.1, 0.931857
0, 0.0452722, 0.0226277, 0.1, 0.9321
0, 0.0488691, 0.0178663, 0.1, 0.933265
0, 0.0523672, 0.0200423, 0.1, 0.927591
0, 0.0431924, 0.0171982, 0.1, 0.939609
0, 0.048408, 0.0192266, 0.1, 0.932365
0, 0.0502271, 0.0163778, 0.1, 0.933395
0, 0.0547747, 0.0179492, 0.1, 0.927276
0, 0.0427108, 0.0231151, 0.1, 0.934174
0, 0.0509225, 0.0245879, 0.1, 0.92449
0, 0.0506714, 0.0213558, 0.1, 0.927973
0, 0.0483699, 0.0185938, 0.1, 0.933036
0, 0.0500433, 0.0211326, 0.1, 0.928824
0, 0.0512204, 0.0197135, 0.1, 0.929066
0, 0.052243, 0.0170552, 0.1, 0.930702
0, 0.0477745, 0.0222505, 0.1, 0.929975
0, 0.053408, 0.0188715, 0.1, 0.927721
0, 0.0503431, 0.0189535, 0.1, 0.930703
0, 0.0484918, 0.0198056, 0.1, 0.931703
0, 0.0483365, 0.0211397, 0.1, 0.930524
0, 0.0510771, 0.0212927, 0.1, 0.92763
0, 0.0481734, 0.0211163, 0.1, 0.93071
0, 0.0517617, 0.0194396, 0.1, 0.928799
0, 0.0496724, 0.0183478, 0.1, 0.93198
0, 0.0522523, 0.0202502, 0.1, 0.927498
0, 0.0440433, 0.021092, 0.1, 0.934865
0, 0.0493649, 0.0234404, 0.1, 0.927195
0, 0.0456837, 0.0177398, 0.1, 0.936576
0, 0.041804, 0.0185684, 0.1, 0.939628
0, 0.0460377, 0.0190947, 0.1, 0.934868
0, 0.0499103, 0.018261, 0.1, 0.931829
0, 0.0509028, 0.0184316, 0.1, 0.930666
0, 0.054431, 0.0207985, 0.1, 0.924771
0, 0.0444978, 0.0222503, 0.1, 0.933252
0, 0.0530609, 0.0165611, 0.1, 0.930378
0, 0.0562334, 0.0192985, 0.1, 0.924468
0, 0.0468709, 0.0171572, 0.1, 0.935972
0, 0.0466091, 0.0196151, 0.1, 0.933776
0, 0.0491839, 0.020769, 0.1, 0.930047
0, 0.0444812, 0.0194176, 0.1, 0.936101
0, 0.0508085, 0.0210131, 0.1, 0.928178
0, 0.0456058, 0.0198575, 0.1, 0.934537
0, 0.0512664, 0.0180949, 0.1, 0.930639
0, 0.0410951, 0.0180731, 0.1, 0.940832
0, 0.0500229, 0.0197116, 0.1, 0.930265
0, 0.0453502, 0.0201942, 0.1, 0.934456
0, 0.0491303, 0.0148885, 0.1, 0.935981
0, 0.0540036, 0.0204625, 0.1, 0.925534
0, 0.0503888, 0.0196543, 0.1, 0.929957
0, 0.0507678, 0.0190794, 0.1, 0.930153
0, 0.0476023, 0.0179227, 0.1, 0.934475
0, 0.050365, 0.0247629, 0.1, 0.924872
0, 0.0479442, 0.0198552, 0.1, 0.932201
0, 0.0459486, 0.0207181, 0.1, 0.933333
0, 0.0520687, 0.0157687, 0.1, 0.932163
0, 0.0496423, 0.0194989, 0.1, 0.930859
0, 0.052902, 0.0165721, 0.1, 0.930526
0, 0.0506397, 0.0205731, 0.1, 0.928787
0, 0.0502854, 0.0189146, 0.1, 0.9308
0, 0.0433501, 0.0162926, 0.1, 0.940357
0, 0.0466808, 0.0211271, 0.1, 0.932192
0, 0.0459242, 0.0157415, 0.1, 0.938334
0, 0.0470892, 0.0205196, 0.1, 0.932391
0, 0.0468276, 0.0182225, 0.1, 0.93495
0, 0.0531786, 0.0148425, 0.1, 0.931979
0, 0.0445815, 0.0170829, 0.1, 0.938336
0, 0.0484465, 0.0243352, 0.105, 0.927218
0, 0.0557244, 0.022443, 0.105, 0.921833
0, 0.0480968, 0.0188282, 0.105, 0.933075
0, 0.0508572, 0.0206599, 0.105, 0.928483
0, 0.0507881, 0.0202973, 0.105, 0.928915
0, 0.0567898, 0.0209677, 0.105, 0.922242
0, 0.0514184, 0.0208641, 0.105, 0.927717
0, 0.0536317, 0.0243505, 0.105, 0.922018
0, 0.0503668, 0.0211988, 0.105, 0.928434
0, 0.0548138, 0.0224912, 0.105, 0.922695
0, 0.05361, 0.0215226, 0.105, 0.924867
0, 0.0518341, 0.0214217, 0.105, 0.926744
0, 0.0569586, 0.0197776, 0.105, 0.923264
0, 0.0532852, 0.0211965, 0.105, 0.925518
0, 0.052881, 0.0236297, 0.105, 0.923489
0, 0.051027, 0.0215354, 0.105, 0.927438
0, 0.0531238, 0.0223428, 0.105, 0.924533
0, 0.0551053, 0.0225113, 0.105, 0.922383
0, 0.0562414, 0.0249696, 0.105, 0.918789
0, 0.0489064, 0.0203959, 0.105, 0.930698
0, 0.0542564, 0.0214182, 0.105, 0.924325
0, 0.0548871, 0.0238344, 0.105, 0.921279
0, 0.0510338, 0.0181304, 0.105, 0.930836
0, 0.0555414, 0.0186042, 0.105, 0.925854
0, 0.0537492, 0.0188415, 0.105, 0.927409
0, 0.0524971, 0.0214084, 0.105, 0.926095
0, 0.0521474, 0.0200438, 0.105, 0.927809
0, 0.0469061, 0.0205081, 0.105, 0.932586
0, 0.0536322, 0.018845, 0.105, 0.927523
0, 0.0548793, 0.0230123, 0.105, 0.922108
0, 0.0509156, 0.0210115, 0.105, 0.928073
0, 0.0545591, 0.0222947, 0.105, 0.923146
0, 0.0496423, 0.0225463, 0.105, 0.927811
0, 0.0594984, 0.0201464, 0.105, 0.920355
0, 0.0580611, 0.0237853, 0.105, 0.918154
0, 0.051846, 0.0214414, 0.105, 0.926713
0, 0.0547043, 0.0196818, 0.105, 0.925614
0, 0.0562671, 0.0203269, 0.105, 0.923406
0, 0.0537552, 0.0174065, 0.105, 0.928838
0, 0.0532702, 0.020711, 0.105, 0.926019
0, 0.0506192, 0.0217878, 0.105, 0.927593
0, 0.0591103, 0.0201517, 0.105, 0.920738
0, 0.0547379, 0.0208867, 0.105, 0.924375
0, 0.0535072, 0.0196072, 0.105, 0.926886
0, 0.0540713, 0.0256474, 0.105, 0.920281
0, 0.0566251, 0.0219254, 0.105, 0.921449
0, 0.0541009, 0.0187178, 0.105, 0.927181
0, 0.0593906, 0.0191432, 0.105, 0.921466
0, 0.053865, 0.020203, 0.105, 0.925932
0, 0.0527862, 0.0235142, 0.105, 0.9237
0, 0.0501682, 0.0216062, 0.105, 0.928226
0, 0.0478755, 0.0231774, 0.105, 0.928947
0, 0.0522228, 0.0195808, 0.105, 0.928196
0, 0.0572925, 0.0225054, 0.105, 0.920202
0, 0.0529457, 0.0235951, 0.105, 0.923459
0, 0.0494387, 0.0201103, 0.105, 0.930451
0, 0.0496092, 0.0191574, 0.105, 0.931233
0, 0.0543001, 0.0210683, 0.105, 0.924632
0, 0.0583585, 0.0217977, 0.105, 0.919844
0, 0.0551462, 0.0201582, 0.105, 0.924696
0, 0.048043, 0.0209153, 0.105, 0.931042
0, 0.053655, 0.0197435, 0.105, 0.926601
0, 0.0543515, 0.023771, 0.105, 0.921878
0, 0.0512191, 0.0202201, 0.105, 0.928561
0, 0.0534098, 0.0211683, 0.105, 0.925422
0, 0.0502236, 0.0207539, 0.105, 0.929023
0, 0.0539858, 0.0226615, 0.105, 0.923353
0, 0.0508042, 0.0237666, 0.105, 0.925429
0, 0.0481642, 0.0202321, 0.105, 0.931604
0, 0.0514128, 0.0258069, 0.105, 0.92278
0, 0.0534046, 0.0218796, 0.105, 0.924716
0, 0.0525256, 0.0211478, 0.105, 0.926327
0, 0.0501018, 0.0214839, 0.105, 0.928414
0, 0.0484207, 0.0203621, 0.105, 0.931217
0, 0.0571622, 0.0244109, 0.105, 0.918427
0, 0.0494315, 0.023146, 0.105, 0.927423
0, 0.0608102, 0.0205278, 0.105, 0.918662
0, 0.0530469, 0.0228491, 0.105, 0.924104
0, 0.0491409, 0.0214766, 0.105, 0.929383
0, 0.0537335, 0.0216886, 0.105, 0.924578
0, 0.051309, 0.0240124, 0.105, 0.924679
0, 0.0540105, 0.0216259, 0.105, 0.924364
0, 0.0514826, 0.0228618, 0.105, 0.925656
0, 0.0533029, 0.0184207, 0.105, 0.928276
0, 0.052715, 0.0197875, 0.105, 0.927498
0, 0.0558335, 0.022197, 0.105, 0.921969
0, 0.0550944, 0.0217397, 0.105, 0.923166
0, 0.0573453, 0.0206842, 0.105, 0.92197
0, 0.0516535, 0.0225687, 0.105, 0.925778
0, 0.055396, 0.01967, 0.105, 0.924934
0, 0.0557693, 0.0217897, 0.105, 0.922441
0, 0.0499425, 0.0242717, 0.105, 0.925786
0, 0.0504786, 0.021053, 0.105, 0.928468
0, 0.050214, 0.0186082, 0.105, 0.931178
0, 0.0515226, 0.0229966, 0.105, 0.925481
0, 0.055984, 0.0221156, 0.105, 0.9219
0, 0.0540982, 0.0256549, 0.105, 0.920247
0, 0.0562615, 0.0256426, 0.105, 0.918096
0, 0.0556807, 0.0186729, 0.105, 0.925646
0, 0.0494401, 0.0218929, 0.105, 0.928667
0, 0.0600123, 0.0237727, 0.11, 0.916215
0, 0.0560216, 0.0268062, 0.11, 0.917172
0, 0.0562592, 0.0215464, 0.11, 0.922194
0, 0.0617916, 0.0242057, 0.11, 0.914003
0, 0.0589463, 0.0232794, 0.11, 0.917774
0, 0.0588098, 0.0223445, 0.11, 0.918846
0, 0.0579247, 0.0233058, 0.11, 0.91877
0, 0.0599898, 0.0261725, 0.11, 0.913838
0, 0.0567672, 0.0203477, 0.11, 0.922885
0, 0.0588299, 0.0263529, 0.11, 0.914817
0, 0.0608123, 0.023209, 0.11, 0.915979
0, 0.0605003, 0.0268078, 0.11, 0.912692
0, 0.0528661, 0.0214432, 0.11, 0.925691
0, 0.0514124, 0.0230862, 0.11, 0.925501
