Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0498198, 0.0535527, 0.1, 0.896627
0, 0.0530019, 0.0519381, 0.1, 0.89506
0, 0.051056, 0.0478194, 0.1, 0.901125
0, 0.0473448, 0.049819, 0.1, 0.902836
0, 0.0503285, 0.0537948, 0.1, 0.895877
0, 0.0532412, 0.054301, 0.1, 0.892458
0, 0.0463061, 0.0530814, 0.1, 0.900612
0, 0.0480714, 0.0511524, 0.1, 0.900776
0, 0.049675, 0.0498217, 0.1, 0.900503
0, 0.0538724, 0.0535321, 0.1, 0.892595
0, 0.048975, 0.0553989, 0.1, 0.895626
0, 0.0468978, 0.0553468, 0.1, 0.897755
0, 0.0477201, 0.0564742, 0.1, 0.895806
0, 0.0515233, 0.0544438, 0.1, 0.894033
0, 0.0480491, 0.0544487, 0.1, 0.897502
0, 0.0497661, 0.0516897, 0.1, 0.898544
0, 0.0474203, 0.0569624, 0.1, 0.895617
0, 0.0498615, 0.0500287, 0.1, 0.90011
0, 0.0500259, 0.0561495, 0.1, 0.893825
0, 0.0524819, 0.0480666, 0.1, 0.899451
0, 0.0502652, 0.0546365, 0.1, 0.895098
0, 0.0534981, 0.0525849, 0.1, 0.893917
0, 0.0519901, 0.0500677, 0.1, 0.897942
0, 0.0479039, 0.055146, 0.1, 0.89695
0, 0.0542203, 0.0505532, 0.1, 0.895227
0, 0.050682, 0.0518681, 0.1, 0.89745
0, 0.0523035, 0.0437403, 0.1, 0.903956
0, 0.0537453, 0.0592914, 0.1, 0.886963
0, 0.0519568, 0.0558455, 0.1, 0.892198
0, 0.0537202, 0.0537349, 0.1, 0.892545
0, 0.0511357, 0.0582838, 0.1, 0.89058
0, 0.048489, 0.0533452, 0.1, 0.898166
0, 0.0481316, 0.052604, 0.1, 0.899264
0, 0.0454556, 0.0583775, 0.1, 0.896167
0, 0.0473906, 0.0492087, 0.1, 0.903401
0, 0.0518772, 0.0545053, 0.1, 0.893618
0, 0.0560195, 0.0566081, 0.1, 0.887372
