Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0538961, 0.011442, 0.1, 0.934662
0, 0.0499703, 0.0134635, 0.1, 0.936566
0, 0.0514987, 0.0113434, 0.1, 0.937158
0, 0.0573945, 0.00932999, 0.1, 0.933275
0, 0.0525579, 0.0116668, 0.1, 0.935775
0, 0.0437105, 0.0138398, 0.1, 0.94245
0, 0.0542732, 0.00988164, 0.1, 0.935845
0, 0.0446729, 0.01107, 0.1, 0.944257
0, 0.0551469, 0.0128011, 0.1, 0.932052
0, 0.0593165, 0.0105444, 0.1, 0.930139
0, 0.0517663, 0.012354, 0.1, 0.93588
0, 0.0468623, 0.0140119, 0.1, 0.939126
0, 0.0521665, 0.0130769, 0.1, 0.934757
0, 0.0516815, 0.0136903, 0.1, 0.934628
0, 0.0499085, 0.0129437, 0.1, 0.937148
0, 0.0476493, 0.0125477, 0.1, 0.939803
0, 0.0532708, 0.0151012, 0.1, 0.931628
0, 0.0445272, 0.0111367, 0.1, 0.944336
0, 0.0582133, 0.0121596, 0.1, 0.929627
0, 0.05053, 0.0113367, 0.1, 0.938133
0, 0.0511578, 0.0101572, 0.1, 0.938685
0, 0.0517122, 0.011819, 0.1, 0.936469
0, 0.0564665, 0.0103035, 0.1, 0.93323
0, 0.0569324, 0.0106011, 0.1, 0.932467
0, 0.0475181, 0.0100982, 0.1, 0.942384
0, 0.0524228, 0.0119607, 0.1, 0.935617
0, 0.0444241, 0.0140592, 0.1, 0.941517
0, 0.0509456, 0.0122065, 0.1, 0.936848
0, 0.0510966, 0.0120955, 0.1, 0.936808
0, 0.0551947, 0.0123102, 0.1, 0.932495
0, 0.0534309, 0.0116827, 0.1, 0.934886
0, 0.0548338, 0.0125267, 0.1, 0.93264
0, 0.0445687, 0.00965162, 0.1, 0.94578
0, 0.0515208, 0.0131083, 0.1, 0.935371
0, 0.0517102, 0.0127164, 0.1, 0.935573
0, 0.0560862, 0.0148391, 0.1, 0.929075
0, 0.0528523, 0.0141504, 0.1, 0.932997
0, 0.0538095, 0.0134856, 0.1, 0.932705
0, 0.0494831, 0.0122751, 0.1, 0.938242
0, 0.0509215, 0.0118659, 0.1, 0.937213
0, 0.0494128, 0.0114121, 0.1, 0.939175
0, 0.0529437, 0.0132143, 0.1, 0.933842
0, 0.0500568, 0.0113661, 0.1, 0.938577
0, 0.0525316, 0.0111574, 0.1, 0.936311
0, 0.0465406, 0.0135392, 0.1, 0.93992
0, 0.063922, 0.0129939, 0.1, 0.923084
0, 0.0491061, 0.0122384, 0.1, 0.938655
0, 0.0497267, 0.01147, 0.1, 0.938803
0, 0.0538065, 0.0119415, 0.1, 0.934252
0, 0.0506682, 0.0128958, 0.1, 0.936436
0, 0.0557689, 0.0125609, 0.1, 0.93167
0, 0.0525529, 0.0124696, 0.1, 0.934978
0, 0.0564819, 0.0135709, 0.1, 0.929947
0, 0.0527281, 0.0125478, 0.1, 0.934724
0, 0.0529389, 0.0123847, 0.1, 0.934676
0, 0.052637, 0.0160428, 0.1, 0.93132
0, 0.0469251, 0.00909717, 0.1, 0.943978
0, 0.0528662, 0.0126454, 0.1, 0.934488
0, 0.0541817, 0.0128045, 0.1, 0.933014
0, 0.0527321, 0.0111021, 0.1, 0.936166
0, 0.0537108, 0.0127169, 0.1, 0.933572
0, 0.0551522, 0.0117, 0.1, 0.933148
0, 0.0501196, 0.0100717, 0.1, 0.939809
0, 0.0491961, 0.0135603, 0.1, 0.937244
0, 0.0497708, 0.0131307, 0.1, 0.937098
0, 0.0521047, 0.0111948, 0.1, 0.9367
0, 0.0566958, 0.0111961, 0.1, 0.932108
0, 0.0490062, 0.0114128, 0.1, 0.939581
0, 0.0543552, 0.0144124, 0.1, 0.931232
0, 0.0578927, 0.0143372, 0.1, 0.92777
0, 0.0538853, 0.0111163, 0.1, 0.934998
0, 0.0521109, 0.0126791, 0.1, 0.93521
0, 0.0581314, 0.0131841, 0.1, 0.928685
0, 0.0573951, 0.0137224, 0.1, 0.928882
0, 0.0485661, 0.012485, 0.1, 0.938949
