Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0530453, 0.0548908, 0.1, 0.892064
0, 0.0531508, 0.0530994, 0.1, 0.89375
0, 0.0534734, 0.0532903, 0.1, 0.893236
0, 0.053281, 0.049133, 0.1, 0.897586
0, 0.0551224, 0.0585637, 0.1, 0.886314
0, 0.0555388, 0.0527157, 0.1, 0.891746
0, 0.052357, 0.055047, 0.1, 0.892596
0, 0.0516714, 0.05412, 0.1, 0.894209
0, 0.0523961, 0.0558671, 0.1, 0.891737
0, 0.0539302, 0.0534134, 0.1, 0.892656
0, 0.0471922, 0.0509833, 0.1, 0.901824
0, 0.0527699, 0.0518615, 0.1, 0.895369
0, 0.0528178, 0.0517433, 0.1, 0.895439
0, 0.0521465, 0.0487796, 0.1, 0.899074
0, 0.0550179, 0.0550017, 0.1, 0.88998
0, 0.0540906, 0.0596839, 0.1, 0.886226
0, 0.0527066, 0.0545558, 0.1, 0.892738
0, 0.0514317, 0.0560988, 0.1, 0.89247
0, 0.0504819, 0.0592558, 0.1, 0.890262
0, 0.0498993, 0.0596736, 0.1, 0.890427
0, 0.0559217, 0.0595856, 0.1, 0.884493
0, 0.0533419, 0.0535809, 0.1, 0.893077
0, 0.0529482, 0.0544682, 0.1, 0.892584
0, 0.0523159, 0.0545228, 0.1, 0.893161
0, 0.0517744, 0.0473236, 0.1, 0.900902
0, 0.0499751, 0.0504203, 0.1, 0.899605
0, 0.0527605, 0.0465448, 0.1, 0.900695
0, 0.0475104, 0.0538968, 0.1, 0.898593
0, 0.0509457, 0.0540843, 0.1, 0.89497
0, 0.0532486, 0.0552928, 0.1, 0.891459
0, 0.055547, 0.054738, 0.1, 0.889715
0, 0.0519283, 0.0521822, 0.1, 0.89589
0, 0.0489543, 0.0563525, 0.1, 0.894693
0, 0.0485619, 0.0483066, 0.1, 0.903132
0, 0.0569574, 0.0527832, 0.1, 0.890259
0, 0.0551193, 0.0511893, 0.1, 0.893691
0, 0.0594436, 0.0531977, 0.1, 0.887359
0, 0.0520473, 0.0586221, 0.1, 0.889331
0, 0.0513313, 0.0504698, 0.1, 0.898199
0, 0.0539072, 0.0540084, 0.1, 0.892084
0, 0.0530525, 0.0530586, 0.1, 0.893889
0, 0.0532619, 0.0558848, 0.1, 0.890853
0, 0.0445931, 0.0532905, 0.1, 0.902116
0, 0.0505697, 0.0478155, 0.1, 0.901615
0, 0.0538195, 0.0571633, 0.1, 0.889017
0, 0.0499942, 0.0547994, 0.1, 0.895206
0, 0.0500146, 0.0546398, 0.1, 0.895346
0, 0.046055, 0.0553182, 0.1, 0.898627
0, 0.0517638, 0.0516063, 0.1, 0.89663
0, 0.05366, 0.0505877, 0.1, 0.895752
0, 0.0543722, 0.0535396, 0.1, 0.892088
0, 0.0488689, 0.0508687, 0.1, 0.900262
0, 0.0481835, 0.0574126, 0.1, 0.894404
0, 0.0544946, 0.0492395, 0.1, 0.896266
0, 0.0504154, 0.054532, 0.1, 0.895053
0, 0.0505872, 0.0521605, 0.1, 0.897252
0, 0.0524288, 0.0568505, 0.1, 0.890721
0, 0.055515, 0.0546835, 0.1, 0.889802
0, 0.0587919, 0.0465768, 0.1, 0.894631
0, 0.0528796, 0.053335, 0.1, 0.893785
0, 0.0546953, 0.0484497, 0.1, 0.896855
0, 0.0534195, 0.055617, 0.1, 0.890964
0, 0.0494235, 0.0563557, 0.1, 0.894221
0, 0.0565976, 0.0528285, 0.1, 0.890574
0, 0.0556326, 0.047486, 0.1, 0.896881
0, 0.0543839, 0.0574076, 0.1, 0.888208
0, 0.0529575, 0.052508, 0.1, 0.894534
0, 0.0516447, 0.0546446, 0.1, 0.893711
0, 0.0585305, 0.0532771, 0.1, 0.888192
0, 0.0522266, 0.0543548, 0.1, 0.893419
0, 0.0536189, 0.0510025, 0.1, 0.895379
0, 0.0517464, 0.0551265, 0.1, 0.893127
0, 0.0539878, 0.0504908, 0.1, 0.895521
0, 0.0572789, 0.0533693, 0.1, 0.889352
0, 0.0528675, 0.0502313, 0.1, 0.896901
0, 0.0519521, 0.0557955, 0.1, 0.892252
0, 0.0554385, 0.0499228, 0.1, 0.894639
0, 0.0524717, 0.0551074, 0.1, 0.892421
0, 0.0525455, 0.0535259, 0.1, 0.893929
0, 0.0528135, 0.0533795, 0.1, 0.893807
