Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.0510074, 0.0503034, 0.1, 0.898689
0, 0.0498575, 0.0596576, 0.1, 0.890485
0, 0.0521291, 0.0549193, 0.1, 0.892952
0, 0.0476335, 0.0507277, 0.1, 0.901639
0, 0.0566858, 0.0502806, 0.1, 0.893034
0, 0.0490068, 0.0502715, 0.1, 0.900722
0, 0.0497989, 0.0551753, 0.1, 0.895026
0, 0.0542013, 0.0542934, 0.1, 0.891505
0, 0.0529485, 0.049741, 0.1, 0.897311
0, 0.0522432, 0.0517658, 0.1, 0.895991
0, 0.053648, 0.0559413, 0.1, 0.890411
0, 0.054595, 0.053416, 0.1, 0.891989
0, 0.0506715, 0.0554476, 0.1, 0.893881
0, 0.050227, 0.0538682, 0.1, 0.895905
0, 0.0537751, 0.0525947, 0.1, 0.89363
0, 0.0513032, 0.0615367, 0.1, 0.88716
0, 0.0504254, 0.0524324, 0.1, 0.897142
0, 0.0520157, 0.0494279, 0.1, 0.898556
0, 0.0543795, 0.0491372, 0.1, 0.896483
0, 0.0544433, 0.0484268, 0.1, 0.89713
0, 0.0529784, 0.0563755, 0.1, 0.890646
0, 0.0564106, 0.0568977, 0.1, 0.886692
0, 0.0540751, 0.0501249, 0.1, 0.8958
0, 0.0528828, 0.0555228, 0.1, 0.891594
0, 0.0571679, 0.0518912, 0.1, 0.890941
0, 0.0532369, 0.0558145, 0.1, 0.890949
0, 0.0498839, 0.0537489, 0.1, 0.896367
0, 0.0566412, 0.0524748, 0.1, 0.890884
0, 0.0552457, 0.0528968, 0.1, 0.891858
0, 0.0573121, 0.0571354, 0.1, 0.885553
0, 0.0567322, 0.0490601, 0.1, 0.894208
0, 0.0594296, 0.0525438, 0.1, 0.888027
0, 0.0522082, 0.0525443, 0.1, 0.895247
0, 0.0527241, 0.0546417, 0.1, 0.892634
0, 0.0490124, 0.051519, 0.1, 0.899469
0, 0.0537793, 0.0489992, 0.1, 0.897222
0, 0.0499491, 0.0571778, 0.1, 0.892873
0, 0.0539212, 0.0551607, 0.1, 0.890918
0, 0.0525917, 0.0517577, 0.1, 0.895651
0, 0.0500659, 0.0537198, 0.1, 0.896214
0, 0.0522582, 0.057039, 0.1, 0.890703
0, 0.0496908, 0.0502869, 0.1, 0.900022
0, 0.0568803, 0.0554083, 0.1, 0.887711
0, 0.0546341, 0.0525996, 0.1, 0.892766
0, 0.0540294, 0.0503684, 0.1, 0.895602
0, 0.0567113, 0.0577189, 0.1, 0.88557
0, 0.049087, 0.0551363, 0.1, 0.895777
0, 0.0530352, 0.0487105, 0.1, 0.898254
0, 0.0538713, 0.0538998, 0.1, 0.892229
0, 0.0508696, 0.0543404, 0.1, 0.89479
0, 0.0550464, 0.0548822, 0.1, 0.890071
0, 0.0514388, 0.056653, 0.1, 0.891908
0, 0.0570327, 0.0592128, 0.1, 0.883754
0, 0.0576306, 0.0478724, 0.1, 0.894497
0, 0.0533201, 0.0545972, 0.1, 0.892083
0, 0.0522191, 0.0483858, 0.1, 0.899395
0, 0.0494778, 0.0600701, 0.1, 0.890452
0, 0.0533211, 0.0528271, 0.1, 0.893852
0, 0.0502911, 0.0531832, 0.1, 0.896526
0, 0.0552974, 0.0545676, 0.1, 0.890135
0, 0.0528518, 0.0524778, 0.1, 0.89467
0, 0.0511658, 0.0548656, 0.1, 0.893969
0, 0.0522622, 0.0465362, 0.1, 0.901202
0, 0.0543036, 0.0544656, 0.1, 0.891231
0, 0.0538548, 0.0489242, 0.1, 0.897221
0, 0.0486258, 0.0545435, 0.1, 0.896831
0, 0.0529481, 0.052122, 0.1, 0.89493
0, 0.0500495, 0.0533583, 0.1, 0.896592
0, 0.0529731, 0.0509136, 0.1, 0.896113
0, 0.052728, 0.0462786, 0.1, 0.900993
0, 0.0488686, 0.0564616, 0.1, 0.89467
0, 0.0488206, 0.058307, 0.1, 0.892872
0, 0.0534751, 0.0534919, 0.1, 0.893033
0, 0.0526835, 0.0592485, 0.1, 0.888068
0, 0.0513817, 0.0538682, 0.1, 0.89475
0, 0.0518685, 0.0493068, 0.1, 0.898825
0, 0.0486879, 0.0526196, 0.1, 0.898693
0, 0.0537972, 0.0579411, 0.1, 0.888262
0, 0.056694, 0.051815, 0.1, 0.891491
0, 0.0554383, 0.0554195, 0.1, 0.889142
0, 0.0470531, 0.0536222, 0.1, 0.899325
0, 0.0499512, 0.0506685, 0.1, 0.89938
0, 0.0558828, 0.0485243, 0.1, 0.895593
0, 0.059605, 0.049949, 0.1, 0.890446
0, 0.0522667, 0.0572112, 0.1, 0.890522
0, 0.0544338, 0.0562728, 0.1, 0.889293
0, 0.0481683, 0.0549398, 0.1, 0.896892
0, 0.0539568, 0.0513718, 0.1, 0.894671
0, 0.0530828, 0.0545814, 0.1, 0.892336
0, 0.0545253, 0.0547689, 0.1, 0.890706
0, 0.0513501, 0.0541463, 0.1, 0.894504
0, 0.0577622, 0.0531915, 0.1, 0.889046
0, 0.053674, 0.0532781, 0.1, 0.893048
0, 0.0551282, 0.0575144, 0.1, 0.887357
0, 0.0535554, 0.0443497, 0.1, 0.902095
0, 0.0560875, 0.0524559, 0.1, 0.891457
0, 0.0514335, 0.0587938, 0.1, 0.889773
0, 0.0573171, 0.0510996, 0.1, 0.891583
0, 0.0495699, 0.052805, 0.1, 0.897625
0, 0.0561022, 0.0514807, 0.1, 0.892417
0, 0.0602138, 0.0589017, 0.105, 0.880885
0, 0.0593268, 0.0576548, 0.105, 0.883018
0, 0.0563278, 0.0633698, 0.105, 0.880302
0, 0.057538, 0.0590196, 0.105, 0.883442
0, 0.0571207, 0.0553924, 0.105, 0.887487
0, 0.0616199, 0.0571015, 0.105, 0.881279
0, 0.0629553, 0.0597049, 0.105, 0.87734
0, 0.0593585, 0.0565957, 0.105, 0.884046
0, 0.0615137, 0.0591121, 0.105, 0.879374
0, 0.0552199, 0.0567901, 0.105, 0.88799
0, 0.0572879, 0.0596633, 0.105, 0.883049
0, 0.0605994, 0.0616468, 0.105, 0.877754
0, 0.0575398, 0.0600863, 0.105, 0.882374
