Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Honest Profit
0, 0.057101, 0.0507496, 0.1, 0.892149
0, 0.0565864, 0.0539157, 0.1, 0.889498
0, 0.0573035, 0.0515728, 0.1, 0.891124
0, 0.0493544, 0.0449929, 0.1, 0.905653
0, 0.0509716, 0.0495896, 0.1, 0.899439
0, 0.0540809, 0.0465971, 0.1, 0.899322
0, 0.0553601, 0.0510757, 0.1, 0.893564
0, 0.0593404, 0.047906, 0.1, 0.892754
0, 0.0547177, 0.0493579, 0.1, 0.895924
0, 0.0444705, 0.0506073, 0.1, 0.904922
0, 0.0619115, 0.0491912, 0.1, 0.888897
0, 0.0564837, 0.0517661, 0.1, 0.89175
0, 0.0559607, 0.0500914, 0.1, 0.893948
0, 0.0511191, 0.0517796, 0.1, 0.897101
0, 0.0497653, 0.0554516, 0.1, 0.894783
0, 0.0552637, 0.0523568, 0.1, 0.892379
0, 0.0499794, 0.0537592, 0.1, 0.896261
0, 0.0524056, 0.0467508, 0.1, 0.900844
0, 0.0528562, 0.0492671, 0.1, 0.897877
0, 0.0546489, 0.046213, 0.1, 0.899138
0, 0.0547384, 0.0488205, 0.1, 0.896441
0, 0.0552766, 0.0456486, 0.1, 0.899075
0, 0.0528304, 0.0509991, 0.1, 0.89617
0, 0.0512426, 0.0491503, 0.1, 0.899607
0, 0.049349, 0.044565, 0.1, 0.906086
0, 0.049519, 0.0497311, 0.1, 0.90075
0, 0.0523212, 0.0472587, 0.1, 0.90042
0, 0.0517833, 0.0511633, 0.1, 0.897053
0, 0.0581493, 0.048098, 0.1, 0.893753
0, 0.0482343, 0.0529071, 0.1, 0.898859
0, 0.0520468, 0.0494934, 0.1, 0.89846
0, 0.0493367, 0.0487873, 0.1, 0.901876
0, 0.0539425, 0.0535499, 0.1, 0.892508
0, 0.0531308, 0.0454393, 0.1, 0.90143
0, 0.0475113, 0.0510807, 0.1, 0.901408
0, 0.0571099, 0.0510856, 0.1, 0.891804
0, 0.0520962, 0.0420087, 0.1, 0.905895
0, 0.0487948, 0.0476787, 0.1, 0.903527
0, 0.0554159, 0.048452, 0.1, 0.896132
0, 0.0543641, 0.0485397, 0.1, 0.897096
0, 0.0533547, 0.050236, 0.1, 0.896409
0, 0.0512103, 0.0525187, 0.1, 0.896271
0, 0.0524099, 0.0527751, 0.1, 0.894815
0, 0.054546, 0.0457953, 0.1, 0.899659
0, 0.049025, 0.0485256, 0.1, 0.902449
