RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0213855, 0.0236744, 0.05, 0.259643, 0.695297
0.25, 0, 0.0221226, 0.0213343, 0.05, 0.253587, 0.702956
0.25, 0, 0.0226737, 0.0196842, 0.05, 0.261018, 0.696624
0.25, 0, 0.0242622, 0.0244759, 0.05, 0.248588, 0.702674
0.25, 0, 0.0212003, 0.0226252, 0.05, 0.26122, 0.694954
0.25, 0, 0.0237974, 0.0218046, 0.05, 0.255882, 0.698516
0.25, 0, 0.0208457, 0.0186262, 0.05, 0.260706, 0.699822
0.25, 0, 0.0215573, 0.0227279, 0.05, 0.256555, 0.69916
0.25, 0, 0.0217816, 0.0200891, 0.05, 0.256385, 0.701744
0.25, 0, 0.0213682, 0.0229096, 0.05, 0.252267, 0.703456
0.25, 0, 0.0216735, 0.0203586, 0.05, 0.24893, 0.709038
0.25, 0, 0.0204921, 0.0217876, 0.05, 0.264754, 0.692966
0.25, 0, 0.0224153, 0.0241513, 0.05, 0.253201, 0.700233
0.25, 0, 0.0213049, 0.0207562, 0.05, 0.254035, 0.703904
0.25, 0, 0.0219089, 0.0215124, 0.05, 0.253997, 0.702581
0.25, 0, 0.0242697, 0.0211606, 0.05, 0.252113, 0.702457
0.25, 0, 0.022515, 0.0251249, 0.05, 0.26236, 0.69
0.25, 0, 0.0242181, 0.0191097, 0.05, 0.252141, 0.704531
0.25, 0, 0.0226452, 0.0210568, 0.05, 0.250782, 0.705516
0.25, 0, 0.0217994, 0.0261302, 0.05, 0.25044, 0.70163
0.25, 0, 0.0192756, 0.0229572, 0.05, 0.263438, 0.694329
0.25, 0, 0.020171, 0.0207716, 0.05, 0.255439, 0.703618
0.25, 0, 0.0214687, 0.0217082, 0.05, 0.260471, 0.696352
0.25, 0, 0.0217615, 0.0224033, 0.05, 0.256185, 0.69965
0.25, 0, 0.0216404, 0.0219984, 0.05, 0.260593, 0.695768
0.25, 0, 0.0256457, 0.0207738, 0.05, 0.23674, 0.71684
0.25, 0, 0.0222929, 0.0242165, 0.05, 0.252133, 0.701358
0.25, 0, 0.0206114, 0.0212966, 0.05, 0.248448, 0.709645
0.25, 0, 0.0240818, 0.0206435, 0.05, 0.253291, 0.701984
0.25, 0, 0.0214936, 0.0229969, 0.05, 0.262639, 0.692871
0.25, 0, 0.020082, 0.0220593, 0.05, 0.265114, 0.692745
0.25, 0, 0.0239575, 0.0237883, 0.05, 0.25806, 0.694194
0.25, 0, 0.0241618, 0.0185067, 0.05, 0.25853, 0.698802
0.25, 0, 0.023884, 0.0237376, 0.05, 0.247978, 0.704401
0.25, 0, 0.0215731, 0.021538, 0.05, 0.259908, 0.696981
0.25, 0, 0.0226908, 0.0221799, 0.05, 0.254397, 0.700732
0.25, 0, 0.0236053, 0.0221305, 0.05, 0.255664, 0.6986
0.25, 0, 0.0204363, 0.0210277, 0.05, 0.259106, 0.69943
0.25, 0, 0.0203024, 0.0193034, 0.05, 0.258294, 0.7021
0.25, 0, 0.0240241, 0.018931, 0.05, 0.257455, 0.69959
0.25, 0, 0.0241835, 0.0228265, 0.05, 0.25216, 0.70083
0.25, 0, 0.0215647, 0.0213649, 0.05, 0.254928, 0.702142
0.25, 0, 0.0199489, 0.0186998, 0.05, 0.269183, 0.692169
0.25, 0, 0.0197845, 0.0218893, 0.05, 0.254914, 0.703412
0.25, 0, 0.0216892, 0.0215595, 0.05, 0.269626, 0.687125
0.25, 0, 0.0243681, 0.0196724, 0.05, 0.258774, 0.697186
0.25, 0, 0.0229592, 0.0212459, 0.05, 0.262014, 0.693781
