RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0196571, 0.0246085, 0.05, 0.254481, 0.701253
0.25, 0, 0.0230854, 0.0267233, 0.05, 0.257526, 0.692665
0.25, 0, 0.0232319, 0.0301978, 0.05, 0.252892, 0.693679
0.25, 0, 0.0218454, 0.0266558, 0.05, 0.25431, 0.697189
0.25, 0, 0.022815, 0.0267749, 0.05, 0.259701, 0.690709
0.25, 0, 0.0218209, 0.0314681, 0.05, 0.260366, 0.686345
0.25, 0, 0.0221136, 0.0248843, 0.05, 0.255809, 0.697193
0.25, 0, 0.0231657, 0.0253386, 0.05, 0.251586, 0.699909
0.25, 0, 0.0251773, 0.0277034, 0.05, 0.247861, 0.699259
0.25, 0, 0.0221198, 0.0269563, 0.05, 0.251181, 0.699743
0.25, 0, 0.0237015, 0.02636, 0.05, 0.258809, 0.691129
0.25, 0, 0.0228768, 0.0302019, 0.05, 0.25987, 0.687051
0.25, 0, 0.022423, 0.0269442, 0.05, 0.258021, 0.692612
0.25, 0, 0.0237203, 0.0243482, 0.05, 0.264358, 0.687573
0.25, 0, 0.0244649, 0.025295, 0.05, 0.256398, 0.693842
0.25, 0, 0.0213829, 0.0268698, 0.05, 0.260156, 0.691591
0.25, 0, 0.0230846, 0.023889, 0.05, 0.2493, 0.703726
0.25, 0, 0.0261651, 0.0241389, 0.05, 0.252654, 0.697042
0.25, 0, 0.0241059, 0.026292, 0.05, 0.248769, 0.700833
0.25, 0, 0.0245706, 0.0262166, 0.05, 0.242546, 0.706666
0.25, 0, 0.0242871, 0.0250233, 0.05, 0.253235, 0.697454
0.25, 0, 0.0240186, 0.023484, 0.05, 0.252049, 0.700448
0.25, 0, 0.0253182, 0.026593, 0.05, 0.257771, 0.690318
0.25, 0, 0.0211082, 0.0267531, 0.05, 0.256704, 0.695435
0.25, 0, 0.0221643, 0.0290125, 0.05, 0.255198, 0.693625
0.25, 0, 0.0242241, 0.0243789, 0.05, 0.257244, 0.694153
0.25, 0, 0.0236372, 0.0234024, 0.05, 0.257945, 0.695016
0.25, 0, 0.0228197, 0.0305834, 0.05, 0.257024, 0.689573
0.25, 0, 0.0202083, 0.0266815, 0.05, 0.252457, 0.700653
0.25, 0, 0.0233733, 0.0260838, 0.05, 0.26109, 0.689453
0.25, 0, 0.0225464, 0.02481, 0.05, 0.255163, 0.697481
0.25, 0, 0.0240679, 0.0250324, 0.05, 0.266207, 0.684693
0.25, 0, 0.0268873, 0.0238825, 0.05, 0.256815, 0.692415
0.25, 0, 0.0193589, 0.0263026, 0.05, 0.247282, 0.707056
0.25, 0, 0.0241049, 0.0260161, 0.05, 0.261378, 0.688501
0.25, 0, 0.0242268, 0.0272225, 0.05, 0.252401, 0.696149
0.25, 0, 0.0227184, 0.0258822, 0.05, 0.258656, 0.692743
0.25, 0, 0.0214927, 0.0257564, 0.05, 0.256163, 0.696587
0.25, 0, 0.0237919, 0.0291242, 0.05, 0.259766, 0.687318
0.25, 0, 0.0209043, 0.0269272, 0.05, 0.253824, 0.698345
0.25, 0, 0.0224763, 0.0251292, 0.05, 0.250177, 0.702218
0.25, 0, 0.0229777, 0.0281311, 0.05, 0.25408, 0.694811
0.25, 0, 0.0212915, 0.0262599, 0.05, 0.260608, 0.691841
0.25, 0, 0.0218356, 0.0288335, 0.05, 0.252919, 0.696412
0.25, 0, 0.0205036, 0.0310936, 0.05, 0.26107, 0.687333
0.25, 0, 0.0210106, 0.0303251, 0.05, 0.255958, 0.692706
0.25, 0, 0.0221222, 0.0301979, 0.05, 0.252601, 0.695079
0.25, 0, 0.0218741, 0.0250311, 0.05, 0.261241, 0.691854
0.25, 0, 0.0227562, 0.0290228, 0.05, 0.251543, 0.696678
0.25, 0, 0.0214704, 0.02714, 0.05, 0.259408, 0.691982
0.25, 0, 0.0218373, 0.0310963, 0.05, 0.259876, 0.68719
0.25, 0, 0.0209926, 0.0280778, 0.05, 0.252194, 0.698736
0.25, 0, 0.0229178, 0.0278389, 0.05, 0.251398, 0.697845
0.25, 0, 0.0216893, 0.0273254, 0.05, 0.261038, 0.689947
0.25, 0, 0.0194582, 0.029101, 0.05, 0.257825, 0.693616
0.25, 0, 0.0228453, 0.0265899, 0.05, 0.258577, 0.691988
0.25, 0, 0.0237872, 0.0272917, 0.05, 0.25598, 0.692941
0.25, 0, 0.0215014, 0.0266167, 0.05, 0.257884, 0.693998
0.25, 0, 0.0194253, 0.0280943, 0.05, 0.255186, 0.697294
0.25, 0, 0.0246402, 0.0279117, 0.05, 0.260234, 0.687214
0.25, 0, 0.0189939, 0.027944, 0.05, 0.261736, 0.691326
0.25, 0, 0.0203658, 0.0277996, 0.05, 0.254354, 0.697481
0.25, 0, 0.0244223, 0.025542, 0.05, 0.253586, 0.69645
0.25, 0, 0.0198987, 0.0268765, 0.05, 0.254702, 0.698522
0.25, 0, 0.0248982, 0.0241318, 0.05, 0.260026, 0.690944
0.25, 0, 0.0201478, 0.0266775, 0.05, 0.251916, 0.701259
0.25, 0, 0.0211489, 0.025866, 0.05, 0.256058, 0.696927
0.25, 0, 0.0236048, 0.0278769, 0.05, 0.258436, 0.690083
0.25, 0, 0.0236428, 0.0280781, 0.05, 0.248046, 0.700233
0.25, 0, 0.0242647, 0.0274153, 0.05, 0.254518, 0.693802
0.25, 0, 0.0211054, 0.027881, 0.05, 0.25784, 0.693174
0.25, 0, 0.0203362, 0.0291002, 0.05, 0.25663, 0.693934
0.25, 0, 0.0225444, 0.0283291, 0.05, 0.256545, 0.692582
0.25, 0, 0.0197803, 0.0281498, 0.05, 0.252367, 0.699702
0.25, 0, 0.0245611, 0.0235502, 0.05, 0.253923, 0.697966
0.25, 0, 0.0223277, 0.0266985, 0.05, 0.256915, 0.694059
0.25, 0, 0.0211611, 0.0284823, 0.05, 0.249736, 0.70062
0.25, 0, 0.023065, 0.0256769, 0.05, 0.252469, 0.698789
0.25, 0, 0.0241, 0.0284385, 0.05, 0.261368, 0.686093
0.25, 0, 0.0232644, 0.0314116, 0.05, 0.248698, 0.696626
0.25, 0, 0.0197129, 0.0264817, 0.05, 0.257935, 0.695871
0.25, 0, 0.0232308, 0.0278013, 0.05, 0.259247, 0.689721
0.25, 0, 0.0207459, 0.0261443, 0.05, 0.248856, 0.704254
0.25, 0, 0.0245342, 0.0265959, 0.05, 0.245451, 0.703418
0.25, 0, 0.0226195, 0.0274307, 0.05, 0.256111, 0.693839
0.25, 0, 0.0233989, 0.0232344, 0.05, 0.250579, 0.702788
0.25, 0, 0.0213141, 0.0257559, 0.05, 0.252357, 0.700573
0.25, 0, 0.0221478, 0.0280489, 0.05, 0.25912, 0.690683
0.25, 0, 0.0233068, 0.0282609, 0.05, 0.249929, 0.698503
0.25, 0, 0.0220225, 0.0267378, 0.05, 0.260803, 0.690436
0.25, 0, 0.020649, 0.0301773, 0.05, 0.258562, 0.690611
0.25, 0, 0.0242603, 0.029755, 0.05, 0.257574, 0.68841
0.25, 0, 0.0235227, 0.0280882, 0.05, 0.260783, 0.687606
0.25, 0, 0.022468, 0.0270296, 0.05, 0.253401, 0.697101
0.25, 0, 0.0246697, 0.0282464, 0.05, 0.248598, 0.698486
0.25, 0, 0.0248612, 0.0287954, 0.05, 0.253639, 0.692705
0.25, 0, 0.0255467, 0.0260467, 0.05, 0.249122, 0.699284
0.25, 0, 0.0247281, 0.0272905, 0.05, 0.258284, 0.689697
0.25, 0, 0.0224337, 0.0290334, 0.05, 0.252144, 0.696389
0.25, 0, 0.0211108, 0.0271377, 0.05, 0.247945, 0.703806
0.25, 0, 0.0220079, 0.0332606, 0.055, 0.263712, 0.681019
0.25, 0, 0.0252047, 0.0276247, 0.055, 0.255026, 0.692144
0.25, 0, 0.0256166, 0.0302989, 0.055, 0.257603, 0.686481
0.25, 0, 0.024404, 0.0294384, 0.055, 0.261349, 0.684809
0.25, 0, 0.0252017, 0.0267879, 0.055, 0.247782, 0.700228
0.25, 0, 0.0242433, 0.031333, 0.055, 0.253013, 0.69141
0.25, 0, 0.029039, 0.0292223, 0.055, 0.260647, 0.681092
0.25, 0, 0.0258693, 0.0312344, 0.055, 0.262406, 0.68049
0.25, 0, 0.0235576, 0.0297631, 0.055, 0.258076, 0.688603
0.25, 0, 0.0272684, 0.0318947, 0.055, 0.258812, 0.682025
0.25, 0, 0.0242078, 0.0314073, 0.055, 0.263707, 0.680678
0.25, 0, 0.0237732, 0.0318347, 0.055, 0.261623, 0.682769
0.25, 0, 0.0250047, 0.0326274, 0.055, 0.258349, 0.684019
0.25, 0, 0.0268287, 0.0328179, 0.055, 0.256216, 0.684137
0.25, 0, 0.0227213, 0.0302205, 0.055, 0.252792, 0.694267
0.25, 0, 0.0220817, 0.031792, 0.055, 0.25934, 0.686786
0.25, 0, 0.0242924, 0.0268991, 0.055, 0.256945, 0.691864
0.25, 0, 0.0264932, 0.0313113, 0.055, 0.257899, 0.684296
0.25, 0, 0.0229001, 0.0312871, 0.055, 0.259446, 0.686366
0.25, 0, 0.024676, 0.0318068, 0.055, 0.26275, 0.680767
0.25, 0, 0.0274342, 0.0323592, 0.055, 0.255112, 0.685094
0.25, 0, 0.0274795, 0.0301919, 0.055, 0.258564, 0.683764
0.25, 0, 0.0288841, 0.0289217, 0.055, 0.254583, 0.687611
0.25, 0, 0.0233979, 0.0288475, 0.055, 0.260407, 0.687348
0.25, 0, 0.0268338, 0.0277169, 0.055, 0.250274, 0.695176
0.25, 0, 0.0262728, 0.031147, 0.055, 0.25914, 0.68344
0.25, 0, 0.0257301, 0.0273917, 0.055, 0.262824, 0.684055
0.25, 0, 0.026203, 0.0296527, 0.055, 0.247602, 0.696543
0.25, 0, 0.0261084, 0.0312697, 0.055, 0.262455, 0.680167
0.25, 0, 0.0247239, 0.0337556, 0.055, 0.267508, 0.674012
0.25, 0, 0.0238765, 0.0322762, 0.055, 0.256468, 0.687379
0.25, 0, 0.0211952, 0.0294251, 0.055, 0.26023, 0.689149
0.25, 0, 0.0282868, 0.0336399, 0.055, 0.256625, 0.681448
0.25, 0, 0.0257088, 0.031123, 0.055, 0.255084, 0.688084
0.25, 0, 0.025816, 0.0295145, 0.055, 0.265031, 0.679639
0.25, 0, 0.0256518, 0.029009, 0.055, 0.261027, 0.684313
0.25, 0, 0.0258309, 0.0312901, 0.055, 0.257948, 0.684931
0.25, 0, 0.0228786, 0.0329335, 0.055, 0.250602, 0.693586
0.25, 0, 0.0269476, 0.0290875, 0.055, 0.257718, 0.686247
0.25, 0, 0.0239133, 0.0303894, 0.055, 0.252992, 0.692705
0.25, 0, 0.0245775, 0.0292199, 0.055, 0.251449, 0.694753
0.25, 0, 0.0252873, 0.0324427, 0.055, 0.26049, 0.68178
0.25, 0, 0.0258131, 0.0274187, 0.055, 0.253399, 0.693369
0.25, 0, 0.0258761, 0.0321267, 0.055, 0.260108, 0.68189
0.25, 0, 0.0247246, 0.0295147, 0.055, 0.25675, 0.689011
0.25, 0, 0.0274719, 0.0282251, 0.055, 0.26106, 0.683243
0.25, 0, 0.025257, 0.0300764, 0.055, 0.255481, 0.689186
0.25, 0, 0.0259932, 0.0309296, 0.055, 0.251873, 0.691204
0.25, 0, 0.0255146, 0.0357899, 0.055, 0.25105, 0.687645
0.25, 0, 0.0236527, 0.0279241, 0.055, 0.24703, 0.701393
0.25, 0, 0.0253211, 0.0308935, 0.055, 0.250559, 0.693226
0.25, 0, 0.0264734, 0.031427, 0.055, 0.259719, 0.682381
0.25, 0, 0.0284611, 0.0309605, 0.055, 0.257154, 0.683424
0.25, 0, 0.0271119, 0.0337984, 0.055, 0.25738, 0.68171
0.25, 0, 0.0242823, 0.0316881, 0.055, 0.257089, 0.68694
0.25, 0, 0.0272121, 0.0328975, 0.055, 0.258301, 0.68159
0.25, 0, 0.0225976, 0.0290099, 0.055, 0.260196, 0.688196
0.25, 0, 0.0237082, 0.0310831, 0.055, 0.25392, 0.691289
0.25, 0, 0.0286943, 0.0296868, 0.055, 0.26196, 0.679659
0.25, 0, 0.0277676, 0.0268364, 0.055, 0.250475, 0.694921
0.25, 0, 0.0255056, 0.02979, 0.055, 0.25897, 0.685734
0.25, 0, 0.0254292, 0.0297528, 0.055, 0.252402, 0.692416
0.25, 0, 0.0218451, 0.028442, 0.055, 0.25473, 0.694983
0.25, 0, 0.0237496, 0.0294414, 0.055, 0.256491, 0.690318
0.25, 0, 0.0239778, 0.0260077, 0.055, 0.265935, 0.68408
0.25, 0, 0.0250569, 0.0316148, 0.055, 0.257587, 0.685741
0.25, 0, 0.0243051, 0.026597, 0.055, 0.263441, 0.685657
0.25, 0, 0.0257628, 0.0280197, 0.055, 0.253391, 0.692826
0.25, 0, 0.0252794, 0.0291138, 0.055, 0.255939, 0.689668
0.25, 0, 0.025471, 0.0298156, 0.055, 0.2539, 0.690813
0.25, 0, 0.0246102, 0.0298803, 0.055, 0.255744, 0.689765
0.25, 0, 0.028396, 0.0309469, 0.055, 0.262631, 0.678026
0.25, 0, 0.02575, 0.0278686, 0.055, 0.25406, 0.692321
0.25, 0, 0.0243744, 0.0290212, 0.055, 0.253508, 0.693096
0.25, 0, 0.0260079, 0.0266613, 0.055, 0.252255, 0.695076
0.25, 0, 0.0236155, 0.0294564, 0.055, 0.259794, 0.687134
0.25, 0, 0.0262591, 0.0277638, 0.055, 0.26483, 0.681147
0.25, 0, 0.0285228, 0.0293193, 0.055, 0.25729, 0.684868
0.25, 0, 0.0275779, 0.0286468, 0.055, 0.256626, 0.687149
0.25, 0, 0.0271154, 0.0284639, 0.055, 0.261751, 0.682669
0.25, 0, 0.0286755, 0.0296605, 0.055, 0.260556, 0.681108
0.25, 0, 0.0261848, 0.0300525, 0.055, 0.254468, 0.689294
0.25, 0, 0.026041, 0.0280001, 0.055, 0.25474, 0.691219
0.25, 0, 0.0222456, 0.0293882, 0.055, 0.24985, 0.698516
0.25, 0, 0.0255299, 0.0335266, 0.055, 0.257344, 0.683599
0.25, 0, 0.0246721, 0.0333824, 0.055, 0.251236, 0.69071
0.25, 0, 0.0237254, 0.0311308, 0.055, 0.256621, 0.688523
0.25, 0, 0.0260895, 0.0303731, 0.055, 0.252808, 0.69073
0.25, 0, 0.0261301, 0.0326702, 0.055, 0.251952, 0.689248
0.25, 0, 0.0291383, 0.0293688, 0.055, 0.258169, 0.683324
0.25, 0, 0.027434, 0.0282249, 0.055, 0.256349, 0.687992
0.25, 0, 0.0241301, 0.0306677, 0.055, 0.260655, 0.684547
0.25, 0, 0.0285762, 0.029806, 0.055, 0.257749, 0.683869
0.25, 0, 0.0245547, 0.0313718, 0.055, 0.251658, 0.692416
0.25, 0, 0.0264728, 0.0291384, 0.055, 0.253451, 0.690938
0.25, 0, 0.0248898, 0.0301622, 0.055, 0.256454, 0.688494
0.25, 0, 0.0250724, 0.0309796, 0.055, 0.25105, 0.692899
0.25, 0, 0.0224005, 0.0330966, 0.055, 0.261341, 0.683162
0.25, 0, 0.0273735, 0.0281793, 0.055, 0.256318, 0.688129
0.25, 0, 0.0255324, 0.0279345, 0.055, 0.259935, 0.686599
0.25, 0, 0.0287699, 0.0358553, 0.06, 0.26232, 0.673055
0.25, 0, 0.0283726, 0.035542, 0.06, 0.253223, 0.682862
0.25, 0, 0.0312647, 0.0364921, 0.06, 0.252912, 0.679331
0.25, 0, 0.027488, 0.0349381, 0.06, 0.256088, 0.681486
0.25, 0, 0.0286408, 0.0345095, 0.06, 0.263834, 0.673016
0.25, 0, 0.0274177, 0.0362772, 0.06, 0.261254, 0.675051
0.25, 0, 0.0307223, 0.0326234, 0.06, 0.261053, 0.675602
0.25, 0, 0.0286202, 0.0334547, 0.06, 0.257941, 0.679984
0.25, 0, 0.0289098, 0.0332106, 0.06, 0.266078, 0.671801
0.25, 0, 0.0285394, 0.0335158, 0.06, 0.260433, 0.677511
0.25, 0, 0.0296875, 0.0310689, 0.06, 0.266975, 0.672268
0.25, 0, 0.0311964, 0.035656, 0.06, 0.260643, 0.672505
0.25, 0, 0.0279225, 0.038684, 0.06, 0.259826, 0.673568
0.25, 0, 0.0295761, 0.0347333, 0.06, 0.251521, 0.68417
0.25, 0, 0.0286262, 0.0395578, 0.06, 0.257105, 0.674711
0.25, 0, 0.0267468, 0.0345769, 0.06, 0.244754, 0.693922
0.25, 0, 0.0318206, 0.0317051, 0.06, 0.247245, 0.68923
0.25, 0, 0.0239045, 0.033685, 0.06, 0.262806, 0.679605
0.25, 0, 0.0284811, 0.0369815, 0.06, 0.264012, 0.670525
0.25, 0, 0.0254862, 0.0366071, 0.06, 0.261606, 0.676301
0.25, 0, 0.0288459, 0.0302622, 0.06, 0.256805, 0.684087
0.25, 0, 0.028261, 0.0340826, 0.06, 0.25505, 0.682607
0.25, 0, 0.0240116, 0.0324972, 0.06, 0.253513, 0.689979
0.25, 0, 0.0294903, 0.0326637, 0.06, 0.257516, 0.68033
0.25, 0, 0.0281571, 0.030576, 0.06, 0.248559, 0.692708
0.25, 0, 0.0248708, 0.0335703, 0.06, 0.265414, 0.676145
0.25, 0, 0.028374, 0.0373, 0.06, 0.259345, 0.674981
0.25, 0, 0.0277098, 0.0338396, 0.06, 0.254536, 0.683914
0.25, 0, 0.0285532, 0.035906, 0.06, 0.260462, 0.675079
0.25, 0, 0.0298766, 0.0344595, 0.06, 0.248412, 0.687252
0.25, 0, 0.0290924, 0.0318544, 0.06, 0.261727, 0.677326
0.25, 0, 0.026753, 0.0340197, 0.06, 0.26475, 0.674477
0.25, 0, 0.0270084, 0.0312343, 0.06, 0.258625, 0.683132
0.25, 0, 0.0296907, 0.0294089, 0.06, 0.248296, 0.692604
0.25, 0, 0.0299845, 0.0344366, 0.06, 0.252307, 0.683272
0.25, 0, 0.0281048, 0.0358528, 0.06, 0.252963, 0.68308
0.25, 0, 0.0302507, 0.031281, 0.06, 0.256731, 0.681737
0.25, 0, 0.029396, 0.0329882, 0.06, 0.249804, 0.687812
0.25, 0, 0.0319742, 0.0352718, 0.06, 0.259041, 0.673713
0.25, 0, 0.0273736, 0.0337875, 0.06, 0.25282, 0.686019
0.25, 0, 0.0294983, 0.0338132, 0.06, 0.251056, 0.685632
0.25, 0, 0.0251898, 0.034662, 0.06, 0.25186, 0.688288
0.25, 0, 0.0292389, 0.0298089, 0.06, 0.260701, 0.680251
0.25, 0, 0.0306241, 0.0340743, 0.06, 0.255685, 0.679617
0.25, 0, 0.0288452, 0.0341537, 0.06, 0.262862, 0.674139
0.25, 0, 0.0296427, 0.0329484, 0.06, 0.260445, 0.676964
0.25, 0, 0.0274127, 0.0333657, 0.06, 0.263637, 0.675585
0.25, 0, 0.0281072, 0.033908, 0.06, 0.26157, 0.676415
0.25, 0, 0.0301648, 0.0371631, 0.06, 0.254142, 0.67853
0.25, 0, 0.0274779, 0.0339107, 0.06, 0.248332, 0.690279
0.25, 0, 0.0311414, 0.0326519, 0.06, 0.249454, 0.686753
0.25, 0, 0.030111, 0.0299415, 0.06, 0.255278, 0.684669
0.25, 0, 0.0269087, 0.0334746, 0.06, 0.256265, 0.683351
0.25, 0, 0.029645, 0.0309369, 0.06, 0.253557, 0.685861
0.25, 0, 0.0268222, 0.0371565, 0.06, 0.251729, 0.684292
0.25, 0, 0.0296678, 0.0341408, 0.06, 0.250953, 0.685239
0.25, 0, 0.0315005, 0.038537, 0.06, 0.257687, 0.672276
0.25, 0, 0.0272815, 0.0338171, 0.06, 0.266719, 0.672183
0.25, 0, 0.0288549, 0.0335097, 0.06, 0.254998, 0.682637
0.25, 0, 0.0283914, 0.0360452, 0.06, 0.245482, 0.690081
0.25, 0, 0.0290742, 0.0315536, 0.06, 0.255258, 0.684114
