RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.03259, 0.0312912, 0.05, 0.281937, 0.654182
0.25, 0, 0.0392967, 0.0280447, 0.05, 0.27784, 0.654818
0.25, 0, 0.0322709, 0.0294386, 0.05, 0.274453, 0.663837
0.25, 0, 0.034807, 0.0321039, 0.05, 0.276326, 0.656763
0.25, 0, 0.0323923, 0.028326, 0.05, 0.283346, 0.655935
0.25, 0, 0.0309053, 0.0304007, 0.05, 0.279544, 0.65915
0.25, 0, 0.0326363, 0.0281364, 0.05, 0.280637, 0.65859
0.25, 0, 0.0378198, 0.0266938, 0.05, 0.282214, 0.653272
0.25, 0, 0.0318611, 0.0294365, 0.05, 0.279453, 0.65925
0.25, 0, 0.0306094, 0.0298035, 0.05, 0.277884, 0.661703
0.25, 0, 0.0330489, 0.028829, 0.05, 0.287711, 0.650411
0.25, 0, 0.0358209, 0.0269005, 0.05, 0.283023, 0.654255
0.25, 0, 0.0347326, 0.0296374, 0.05, 0.27858, 0.65705
0.25, 0, 0.038345, 0.031942, 0.05, 0.269986, 0.659727
0.25, 0, 0.0332796, 0.029863, 0.05, 0.286119, 0.650739
0.25, 0, 0.036862, 0.029244, 0.05, 0.274453, 0.659441
0.25, 0, 0.0318719, 0.027591, 0.05, 0.285616, 0.654921
0.25, 0, 0.0343261, 0.0268272, 0.05, 0.284508, 0.654338
0.25, 0, 0.0343305, 0.0271988, 0.05, 0.281745, 0.656726
0.25, 0, 0.033564, 0.0265534, 0.05, 0.282455, 0.657428
0.25, 0, 0.0313807, 0.0273075, 0.05, 0.267368, 0.673944
0.25, 0, 0.0349313, 0.0278593, 0.05, 0.279743, 0.657466
0.25, 0, 0.0362433, 0.0275858, 0.05, 0.279357, 0.656813
0.25, 0, 0.0333477, 0.0307648, 0.05, 0.283362, 0.652526
0.25, 0, 0.0342698, 0.0303581, 0.05, 0.286208, 0.649164
0.25, 0, 0.0378603, 0.0297584, 0.05, 0.280075, 0.652306
0.25, 0, 0.0335661, 0.0318587, 0.05, 0.268824, 0.665751
0.25, 0, 0.0327862, 0.031664, 0.05, 0.270616, 0.664934
0.25, 0, 0.0328372, 0.0253803, 0.05, 0.285239, 0.656543
0.25, 0, 0.0282204, 0.0261773, 0.05, 0.280861, 0.664741
0.25, 0, 0.0317893, 0.0281063, 0.05, 0.289211, 0.650893
0.25, 0, 0.0337335, 0.0299199, 0.05, 0.284135, 0.652212
0.25, 0, 0.0358716, 0.0296228, 0.05, 0.27456, 0.659945
0.25, 0, 0.032684, 0.0304837, 0.05, 0.278439, 0.658394
0.25, 0, 0.0307874, 0.0281911, 0.05, 0.278215, 0.662806
0.25, 0, 0.0349507, 0.0287609, 0.05, 0.257865, 0.678424
0.25, 0, 0.0366254, 0.0283869, 0.05, 0.286739, 0.648249
0.25, 0, 0.0330522, 0.0258102, 0.05, 0.271109, 0.670029
0.25, 0, 0.0349789, 0.0297415, 0.05, 0.285321, 0.649959
0.25, 0, 0.0316876, 0.0278272, 0.05, 0.271693, 0.668792
0.25, 0, 0.0394803, 0.0298401, 0.05, 0.268797, 0.661883
0.25, 0, 0.0381028, 0.0301108, 0.05, 0.277664, 0.654122
0.25, 0, 0.0366949, 0.0289408, 0.05, 0.281705, 0.652659
0.25, 0, 0.0337038, 0.0305113, 0.05, 0.275613, 0.660172
0.25, 0, 0.0374995, 0.0306109, 0.05, 0.291397, 0.640493
0.25, 0, 0.0327221, 0.0325213, 0.05, 0.270621, 0.664136
0.25, 0, 0.0328544, 0.026467, 0.05, 0.273676, 0.667003
0.25, 0, 0.0319089, 0.0265372, 0.05, 0.275274, 0.66628
0.25, 0, 0.0351085, 0.0277075, 0.05, 0.279396, 0.657788
0.25, 0, 0.0359446, 0.0278295, 0.05, 0.274086, 0.66214
0.25, 0, 0.0342957, 0.0280581, 0.05, 0.27356, 0.664087
0.25, 0, 0.0296834, 0.0341144, 0.05, 0.279474, 0.656728
0.25, 0, 0.0318417, 0.026274, 0.05, 0.27434, 0.667544
0.25, 0, 0.0325819, 0.0316037, 0.05, 0.274506, 0.661308
0.25, 0, 0.0334448, 0.0313453, 0.05, 0.274092, 0.661117
0.25, 0, 0.0332173, 0.0299729, 0.05, 0.279535, 0.657275
0.25, 0, 0.0354297, 0.0303979, 0.05, 0.27638, 0.657792
0.25, 0, 0.0368749, 0.0299897, 0.05, 0.271594, 0.661542
0.25, 0, 0.0390399, 0.0291429, 0.05, 0.265916, 0.665902
0.25, 0, 0.0366358, 0.028874, 0.05, 0.280778, 0.653712
0.25, 0, 0.0336527, 0.026348, 0.05, 0.273439, 0.66656
0.25, 0, 0.0353929, 0.0307448, 0.05, 0.274096, 0.659766
0.25, 0, 0.036404, 0.0296595, 0.05, 0.265526, 0.668411
0.25, 0, 0.0328804, 0.0268736, 0.05, 0.265808, 0.674438
0.25, 0, 0.0314667, 0.0226761, 0.05, 0.273726, 0.672131
0.25, 0, 0.0309792, 0.0289846, 0.05, 0.274979, 0.665057
0.25, 0, 0.0381187, 0.0265923, 0.05, 0.274283, 0.661006
0.25, 0, 0.0345261, 0.0278951, 0.05, 0.264682, 0.672897
0.25, 0, 0.0349286, 0.0294786, 0.05, 0.280831, 0.654762
0.25, 0, 0.029548, 0.0298938, 0.05, 0.285928, 0.65463
0.25, 0, 0.0328475, 0.0334146, 0.05, 0.264404, 0.669334
0.25, 0, 0.0324123, 0.025905, 0.05, 0.278667, 0.663016
0.25, 0, 0.0322536, 0.0294078, 0.05, 0.273735, 0.664604
0.25, 0, 0.0321893, 0.0290415, 0.05, 0.276759, 0.66201
0.25, 0, 0.03668, 0.0253325, 0.05, 0.27683, 0.661157
0.25, 0, 0.0363569, 0.0327454, 0.05, 0.2796, 0.651298
0.25, 0, 0.0326887, 0.0340268, 0.05, 0.261722, 0.671563
0.25, 0, 0.0386793, 0.0281528, 0.05, 0.278035, 0.655133
0.25, 0, 0.0406482, 0.0271568, 0.05, 0.279071, 0.653124
0.25, 0, 0.0305917, 0.0303448, 0.05, 0.285507, 0.653556
0.25, 0, 0.0312932, 0.0307287, 0.05, 0.281507, 0.656471
0.25, 0, 0.0348643, 0.0278294, 0.05, 0.25936, 0.677946
0.25, 0, 0.0361927, 0.0289064, 0.05, 0.291435, 0.643466
0.25, 0, 0.0432037, 0.0260426, 0.05, 0.274601, 0.656152
0.25, 0, 0.0313196, 0.0278124, 0.05, 0.272647, 0.668221
0.25, 0, 0.0341133, 0.0290445, 0.05, 0.277888, 0.658954
0.25, 0, 0.0358021, 0.0282926, 0.05, 0.275711, 0.660195
0.25, 0, 0.0319947, 0.0282211, 0.05, 0.275081, 0.664703
0.25, 0, 0.0349165, 0.0301796, 0.05, 0.27885, 0.656054
0.25, 0, 0.0344962, 0.0261146, 0.05, 0.282157, 0.657232
0.25, 0, 0.0343938, 0.0275465, 0.05, 0.265026, 0.673034
0.25, 0, 0.0360974, 0.0276175, 0.05, 0.278196, 0.658089
0.25, 0, 0.0322702, 0.0296925, 0.05, 0.280599, 0.657438
0.25, 0, 0.0326548, 0.0263807, 0.05, 0.272757, 0.668208
0.25, 0, 0.0293445, 0.0296592, 0.05, 0.275329, 0.665667
0.25, 0, 0.0317307, 0.0322067, 0.05, 0.278932, 0.65713
0.25, 0, 0.0369693, 0.0278375, 0.05, 0.273871, 0.661322
0.25, 0, 0.0356878, 0.0284746, 0.05, 0.270827, 0.665011
0.25, 0, 0.0315922, 0.026715, 0.05, 0.282873, 0.65882
0.25, 0, 0.035455, 0.0286218, 0.05, 0.281553, 0.65437
0.25, 0, 0.0383469, 0.0303203, 0.055, 0.285703, 0.64563
