RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0270201, 0.0294025, 0.05, 0.267396, 0.676181
0.25, 0, 0.0294658, 0.024082, 0.05, 0.266212, 0.680241
0.25, 0, 0.0278996, 0.0279383, 0.05, 0.265371, 0.678791
0.25, 0, 0.0292431, 0.0315796, 0.05, 0.259555, 0.679622
0.25, 0, 0.0321533, 0.0267897, 0.05, 0.253593, 0.687464
0.25, 0, 0.0293269, 0.0258221, 0.05, 0.26132, 0.683532
0.25, 0, 0.030411, 0.0278636, 0.05, 0.25401, 0.687716
0.25, 0, 0.0315975, 0.0242027, 0.05, 0.256732, 0.687467
0.25, 0, 0.0347921, 0.0273996, 0.05, 0.262029, 0.675779
0.25, 0, 0.0308306, 0.0287382, 0.05, 0.257938, 0.682493
0.25, 0, 0.0297107, 0.0261257, 0.05, 0.250553, 0.69361
0.25, 0, 0.0307331, 0.0288468, 0.05, 0.262859, 0.677561
0.25, 0, 0.0292722, 0.0261885, 0.05, 0.257468, 0.687072
0.25, 0, 0.0307268, 0.0287352, 0.05, 0.252949, 0.687589
0.25, 0, 0.0296723, 0.0254452, 0.05, 0.26061, 0.684272
0.25, 0, 0.0252623, 0.0280234, 0.05, 0.262268, 0.684446
0.25, 0, 0.0289631, 0.0293378, 0.05, 0.256992, 0.684707
0.25, 0, 0.0289566, 0.0324666, 0.05, 0.251994, 0.686583
0.25, 0, 0.0293244, 0.0291603, 0.05, 0.260001, 0.681514
0.25, 0, 0.0275902, 0.0292915, 0.05, 0.260672, 0.682446
0.25, 0, 0.0278169, 0.0263133, 0.05, 0.263013, 0.682856
0.25, 0, 0.0306125, 0.0245019, 0.05, 0.254737, 0.690148
0.25, 0, 0.0301933, 0.031143, 0.05, 0.263195, 0.675469
0.25, 0, 0.0294734, 0.0257488, 0.05, 0.26358, 0.681198
0.25, 0, 0.0283234, 0.02789, 0.05, 0.259347, 0.68444
0.25, 0, 0.0338696, 0.0266578, 0.05, 0.261814, 0.677659
0.25, 0, 0.0299751, 0.0264048, 0.05, 0.250615, 0.693005
0.25, 0, 0.0293958, 0.0267313, 0.05, 0.253399, 0.690474
0.25, 0, 0.0328965, 0.0266027, 0.05, 0.25836, 0.682141
0.25, 0, 0.0290435, 0.0265645, 0.05, 0.265493, 0.678899
0.25, 0, 0.0278402, 0.0245553, 0.05, 0.26494, 0.682664
0.25, 0, 0.0290501, 0.0258027, 0.05, 0.256948, 0.688199
0.25, 0, 0.0321436, 0.0275359, 0.05, 0.258453, 0.681868
0.25, 0, 0.0275642, 0.0270166, 0.05, 0.261278, 0.684142
0.25, 0, 0.0323871, 0.023952, 0.05, 0.250882, 0.692779
0.25, 0, 0.0308774, 0.0279386, 0.05, 0.248769, 0.692415
0.25, 0, 0.0306336, 0.0277855, 0.05, 0.262041, 0.67954
0.25, 0, 0.0300299, 0.026547, 0.05, 0.25248, 0.690943
0.25, 0, 0.0313692, 0.0298677, 0.05, 0.265261, 0.673502
0.25, 0, 0.0330627, 0.0266446, 0.05, 0.259479, 0.680814
0.25, 0, 0.0306373, 0.026076, 0.05, 0.255285, 0.688001
0.25, 0, 0.0280085, 0.029008, 0.05, 0.266432, 0.676551
0.25, 0, 0.0306693, 0.0301792, 0.05, 0.259094, 0.680057
0.25, 0, 0.0264469, 0.0260367, 0.05, 0.260384, 0.687133
0.25, 0, 0.0267953, 0.0303154, 0.05, 0.265233, 0.677656
0.25, 0, 0.0274509, 0.0263364, 0.05, 0.259785, 0.686428
0.25, 0, 0.0268989, 0.0275239, 0.05, 0.262631, 0.682946
0.25, 0, 0.0261944, 0.0292836, 0.05, 0.257511, 0.687011
0.25, 0, 0.0257626, 0.0271732, 0.05, 0.254919, 0.692145
0.25, 0, 0.0306755, 0.027319, 0.05, 0.250753, 0.691252
0.25, 0, 0.0305054, 0.0248814, 0.05, 0.266834, 0.67778
0.25, 0, 0.0255927, 0.0274956, 0.05, 0.257169, 0.689743
0.25, 0, 0.0314574, 0.0240858, 0.05, 0.259838, 0.684619
0.25, 0, 0.0291887, 0.0298271, 0.05, 0.25558, 0.685404
0.25, 0, 0.027791, 0.0245692, 0.05, 0.258269, 0.68937
0.25, 0, 0.0250147, 0.0271158, 0.05, 0.256583, 0.691287
0.25, 0, 0.0246827, 0.0251792, 0.05, 0.257364, 0.692774
0.25, 0, 0.0288476, 0.0261725, 0.05, 0.265426, 0.679554
0.25, 0, 0.0292968, 0.0273176, 0.05, 0.257575, 0.68581
0.25, 0, 0.0243584, 0.0253426, 0.05, 0.26242, 0.687879
0.25, 0, 0.0310874, 0.0298472, 0.05, 0.263305, 0.67576
0.25, 0, 0.0307322, 0.0263637, 0.05, 0.251949, 0.690955
0.25, 0, 0.0266057, 0.0262525, 0.05, 0.250047, 0.697095
0.25, 0, 0.0286054, 0.0294511, 0.05, 0.259744, 0.682199
0.25, 0, 0.0254657, 0.0308246, 0.05, 0.255089, 0.68862
0.25, 0, 0.032697, 0.026104, 0.05, 0.258976, 0.682223
0.25, 0, 0.0274179, 0.0262792, 0.05, 0.255338, 0.690965
0.25, 0, 0.0317071, 0.02818, 0.05, 0.258823, 0.681289
0.25, 0, 0.0310713, 0.0272272, 0.05, 0.26147, 0.680231
0.25, 0, 0.0314095, 0.0242165, 0.05, 0.266566, 0.677808
0.25, 0, 0.0266935, 0.0296801, 0.05, 0.262565, 0.681062
0.25, 0, 0.0282776, 0.0277892, 0.05, 0.26722, 0.676714
0.25, 0, 0.0288218, 0.0269236, 0.05, 0.262389, 0.681865
0.25, 0, 0.0273286, 0.0282022, 0.05, 0.261521, 0.682948
0.25, 0, 0.0273368, 0.028401, 0.05, 0.256211, 0.688051
0.25, 0, 0.0277588, 0.0244544, 0.05, 0.269889, 0.677898
0.25, 0, 0.0273395, 0.0283859, 0.05, 0.259916, 0.684358
0.25, 0, 0.0279905, 0.0259133, 0.05, 0.25336, 0.692736
0.25, 0, 0.0287547, 0.0257048, 0.05, 0.262534, 0.683007
0.25, 0, 0.0322681, 0.0273426, 0.05, 0.26062, 0.67977
0.25, 0, 0.029591, 0.0272672, 0.05, 0.261344, 0.681797
0.25, 0, 0.0297287, 0.0301601, 0.05, 0.264163, 0.675948
0.25, 0, 0.0249974, 0.0255206, 0.05, 0.256619, 0.692863
0.25, 0, 0.0290204, 0.0274451, 0.05, 0.258273, 0.685262
0.25, 0, 0.0283276, 0.0237253, 0.05, 0.258664, 0.689283
0.25, 0, 0.0306138, 0.0282552, 0.05, 0.254384, 0.686747
0.25, 0, 0.031382, 0.0247168, 0.05, 0.271817, 0.672085
0.25, 0, 0.0268127, 0.0275536, 0.05, 0.263455, 0.682179
0.25, 0, 0.0326565, 0.0263226, 0.05, 0.247353, 0.693668
0.25, 0, 0.0269762, 0.0273968, 0.05, 0.261113, 0.684514
0.25, 0, 0.0274088, 0.0251999, 0.05, 0.264076, 0.683316
0.25, 0, 0.0257901, 0.0258533, 0.05, 0.261686, 0.686671
0.25, 0, 0.0327581, 0.0278418, 0.05, 0.254613, 0.684787
0.25, 0, 0.0315132, 0.0285968, 0.05, 0.262458, 0.677432
0.25, 0, 0.0258179, 0.0257862, 0.05, 0.251306, 0.69709
0.25, 0, 0.0305434, 0.0305161, 0.05, 0.260557, 0.678384
0.25, 0, 0.0274085, 0.0297665, 0.05, 0.262557, 0.680268
0.25, 0, 0.029393, 0.0256088, 0.05, 0.261289, 0.683709
0.25, 0, 0.0307132, 0.0296561, 0.05, 0.260975, 0.678656
0.25, 0, 0.0287368, 0.0246969, 0.05, 0.265173, 0.681393
0.25, 0, 0.0333937, 0.0314816, 0.055, 0.260722, 0.674402
0.25, 0, 0.0292714, 0.0294217, 0.055, 0.251496, 0.689811
0.25, 0, 0.0311359, 0.0370435, 0.055, 0.259644, 0.672177
0.25, 0, 0.0330899, 0.0326154, 0.055, 0.264884, 0.669411
0.25, 0, 0.0316906, 0.0336661, 0.055, 0.258772, 0.675871
0.25, 0, 0.0325148, 0.0335585, 0.055, 0.25138, 0.682547
0.25, 0, 0.0341615, 0.0325853, 0.055, 0.257627, 0.675626
0.25, 0, 0.0317379, 0.0293088, 0.055, 0.264982, 0.673972
0.25, 0, 0.0357052, 0.0299136, 0.055, 0.259986, 0.674395
0.25, 0, 0.0312768, 0.0336752, 0.055, 0.267128, 0.66792
0.25, 0, 0.0369808, 0.0286337, 0.055, 0.260389, 0.673996
0.25, 0, 0.0270645, 0.0291861, 0.055, 0.26593, 0.677819
0.25, 0, 0.0272609, 0.0286446, 0.055, 0.257499, 0.686595
0.25, 0, 0.0329919, 0.0290295, 0.055, 0.258181, 0.679798
0.25, 0, 0.0371369, 0.0278968, 0.055, 0.253791, 0.681176
0.25, 0, 0.0335704, 0.0330763, 0.055, 0.267326, 0.666027
0.25, 0, 0.0343745, 0.0302057, 0.055, 0.257244, 0.678176
0.25, 0, 0.0358214, 0.0317113, 0.055, 0.267634, 0.664833
0.25, 0, 0.0338817, 0.0298649, 0.055, 0.253518, 0.682736
0.25, 0, 0.0333584, 0.0279954, 0.055, 0.263821, 0.674825
0.25, 0, 0.0281584, 0.0284728, 0.055, 0.264423, 0.678946
0.25, 0, 0.033282, 0.036585, 0.055, 0.257944, 0.672189
0.25, 0, 0.0332098, 0.0315696, 0.055, 0.262181, 0.67304
0.25, 0, 0.03566, 0.0291063, 0.055, 0.267629, 0.667605
0.25, 0, 0.0346961, 0.0328557, 0.055, 0.255469, 0.676979
0.25, 0, 0.032454, 0.0315113, 0.055, 0.262398, 0.673637
0.25, 0, 0.0334993, 0.0331195, 0.055, 0.260011, 0.67337
0.25, 0, 0.0350144, 0.0307293, 0.055, 0.256539, 0.677717
0.25, 0, 0.0327337, 0.0322227, 0.055, 0.269714, 0.66533
0.25, 0, 0.0358518, 0.0344508, 0.055, 0.254159, 0.675538
0.25, 0, 0.0382868, 0.0315302, 0.055, 0.253777, 0.676406
0.25, 0, 0.0355478, 0.0299903, 0.055, 0.257895, 0.676567
0.25, 0, 0.0336152, 0.0287189, 0.055, 0.26404, 0.673626
0.25, 0, 0.036421, 0.0290309, 0.055, 0.250075, 0.684473
0.25, 0, 0.0324142, 0.0313112, 0.055, 0.25734, 0.678935
0.25, 0, 0.0332618, 0.0292727, 0.055, 0.263669, 0.673796
0.25, 0, 0.0323478, 0.0339273, 0.055, 0.258358, 0.675367
0.25, 0, 0.0315565, 0.0305999, 0.055, 0.259297, 0.678547
0.25, 0, 0.0336153, 0.0286411, 0.055, 0.2666, 0.671143
0.25, 0, 0.0339673, 0.0360287, 0.055, 0.261329, 0.668675
0.25, 0, 0.0338859, 0.0310589, 0.055, 0.249055, 0.686
0.25, 0, 0.0329296, 0.0306415, 0.055, 0.259436, 0.676993
0.25, 0, 0.0328053, 0.031264, 0.055, 0.26856, 0.66737
0.25, 0, 0.0369479, 0.0314487, 0.055, 0.264964, 0.66664
0.25, 0, 0.0295644, 0.0289704, 0.055, 0.259393, 0.682072
0.25, 0, 0.033327, 0.0275668, 0.055, 0.269069, 0.670037
