RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0312366, 0.0257726, 0.05, 0.265918, 0.677072
0.25, 0, 0.0273793, 0.0224909, 0.05, 0.265483, 0.684647
0.25, 0, 0.0282254, 0.0243363, 0.05, 0.260826, 0.686612
0.25, 0, 0.0304618, 0.0199237, 0.05, 0.261696, 0.687918
0.25, 0, 0.0263691, 0.0207753, 0.05, 0.266, 0.686855
0.25, 0, 0.0281529, 0.0236703, 0.05, 0.254786, 0.69339
0.25, 0, 0.0290062, 0.0241046, 0.05, 0.25449, 0.692399
0.25, 0, 0.0328517, 0.0226045, 0.05, 0.261401, 0.683142
0.25, 0, 0.0299351, 0.0220469, 0.05, 0.262151, 0.685867
0.25, 0, 0.0290709, 0.0224509, 0.05, 0.256034, 0.692444
0.25, 0, 0.0312481, 0.0242635, 0.05, 0.256117, 0.688371
0.25, 0, 0.0261059, 0.0219442, 0.05, 0.260112, 0.691838
0.25, 0, 0.030278, 0.0238668, 0.05, 0.254872, 0.690983
0.25, 0, 0.0288226, 0.0243121, 0.05, 0.261069, 0.685796
0.25, 0, 0.0299995, 0.0246558, 0.05, 0.258351, 0.686994
0.25, 0, 0.0294937, 0.0288103, 0.05, 0.253076, 0.688621
0.25, 0, 0.0276517, 0.0247656, 0.05, 0.254448, 0.693134
0.25, 0, 0.0320926, 0.0222784, 0.05, 0.261424, 0.684205
0.25, 0, 0.0264683, 0.0235417, 0.05, 0.256683, 0.693307
0.25, 0, 0.0275308, 0.0210408, 0.05, 0.26069, 0.690738
0.25, 0, 0.0279119, 0.0215689, 0.05, 0.262912, 0.687607
0.25, 0, 0.0291583, 0.0215477, 0.05, 0.258931, 0.690363
0.25, 0, 0.0288392, 0.0200375, 0.05, 0.267916, 0.683207
0.25, 0, 0.0307331, 0.0240623, 0.05, 0.265431, 0.679773
0.25, 0, 0.0255523, 0.0217238, 0.05, 0.256756, 0.695968
0.25, 0, 0.028047, 0.0225634, 0.05, 0.257163, 0.692226
0.25, 0, 0.0331118, 0.0230385, 0.05, 0.257286, 0.686564
