RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0347089, 0.0211997, 0.05, 0.255873, 0.688218
0.25, 0, 0.0333605, 0.0224748, 0.05, 0.256663, 0.687502
0.25, 0, 0.0317656, 0.0219731, 0.05, 0.260955, 0.685306
0.25, 0, 0.0292676, 0.0225837, 0.05, 0.25508, 0.693068
0.25, 0, 0.0335089, 0.0242449, 0.05, 0.260565, 0.681681
0.25, 0, 0.0290807, 0.0248442, 0.05, 0.263909, 0.682166
0.25, 0, 0.0339202, 0.0216726, 0.05, 0.255204, 0.689203
0.25, 0, 0.0295067, 0.0227636, 0.05, 0.264435, 0.683295
0.25, 0, 0.0262427, 0.0221576, 0.05, 0.262894, 0.688706
0.25, 0, 0.0334768, 0.0221773, 0.05, 0.255332, 0.689014
0.25, 0, 0.0302811, 0.0233277, 0.05, 0.253307, 0.693084
0.25, 0, 0.0291939, 0.0234962, 0.05, 0.261017, 0.686293
0.25, 0, 0.0328518, 0.0252168, 0.05, 0.262357, 0.679574
0.25, 0, 0.0319402, 0.0236684, 0.05, 0.265462, 0.67893
0.25, 0, 0.0301416, 0.0229064, 0.05, 0.25435, 0.692602
0.25, 0, 0.0319985, 0.0225742, 0.05, 0.255586, 0.689842
0.25, 0, 0.0331216, 0.0208665, 0.05, 0.264988, 0.681024
0.25, 0, 0.0292879, 0.0249565, 0.05, 0.260471, 0.685285
0.25, 0, 0.0291489, 0.0218364, 0.05, 0.265131, 0.683883
0.25, 0, 0.0334527, 0.0231619, 0.05, 0.263949, 0.679437
0.25, 0, 0.0320282, 0.0230768, 0.05, 0.250714, 0.694181
0.25, 0, 0.0266683, 0.021006, 0.05, 0.25382, 0.698506
0.25, 0, 0.0325917, 0.0221858, 0.05, 0.26878, 0.676443
0.25, 0, 0.0316541, 0.0219712, 0.05, 0.26031, 0.686065
0.25, 0, 0.029536, 0.0252365, 0.05, 0.262426, 0.682801
0.25, 0, 0.0298199, 0.0213591, 0.05, 0.258231, 0.69059
0.25, 0, 0.0343858, 0.0222939, 0.05, 0.258947, 0.684373
0.25, 0, 0.031321, 0.0220541, 0.05, 0.259786, 0.686839
0.25, 0, 0.0322727, 0.0228054, 0.05, 0.255446, 0.689475
0.25, 0, 0.03028, 0.0223311, 0.05, 0.246298, 0.70109
0.25, 0, 0.0320821, 0.0209583, 0.05, 0.253216, 0.693744
0.25, 0, 0.0299141, 0.0213072, 0.05, 0.252291, 0.696488
0.25, 0, 0.0321057, 0.0208587, 0.05, 0.265211, 0.681825
0.25, 0, 0.0326113, 0.0225692, 0.05, 0.243825, 0.700994
0.25, 0, 0.0301347, 0.0228801, 0.05, 0.253096, 0.693889
0.25, 0, 0.0286681, 0.0214694, 0.05, 0.257124, 0.692738
0.25, 0, 0.0301201, 0.0250384, 0.05, 0.263815, 0.681026
0.25, 0, 0.0296923, 0.0220987, 0.05, 0.250034, 0.698175
0.25, 0, 0.0325534, 0.0213776, 0.05, 0.257302, 0.688767
0.25, 0, 0.0315087, 0.0212675, 0.05, 0.256795, 0.690429
0.25, 0, 0.0320954, 0.022291, 0.05, 0.257271, 0.688343
0.25, 0, 0.0322696, 0.0227351, 0.05, 0.258555, 0.686441
0.25, 0, 0.031015, 0.0220811, 0.05, 0.260757, 0.686146
0.25, 0, 0.0289195, 0.0225614, 0.05, 0.256405, 0.692114
0.25, 0, 0.0339448, 0.0216976, 0.05, 0.259845, 0.684513
0.25, 0, 0.0325043, 0.0218983, 0.05, 0.263605, 0.681993
0.25, 0, 0.0308413, 0.0216677, 0.05, 0.266225, 0.681266
0.25, 0, 0.0289711, 0.0219275, 0.05, 0.262184, 0.686918
0.25, 0, 0.0332628, 0.022383, 0.05, 0.26235, 0.682004
0.25, 0, 0.0334565, 0.0199375, 0.05, 0.256336, 0.690271
0.25, 0, 0.033082, 0.0201048, 0.05, 0.256034, 0.69078
0.25, 0, 0.0320214, 0.0221851, 0.05, 0.254363, 0.69143
0.25, 0, 0.0309803, 0.0215105, 0.05, 0.256639, 0.690871
0.25, 0, 0.0344362, 0.0229194, 0.05, 0.263784, 0.67886
0.25, 0, 0.0285192, 0.0179753, 0.05, 0.258206, 0.695299
0.25, 0, 0.0359925, 0.0180609, 0.05, 0.265974, 0.679973
0.25, 0, 0.0294088, 0.0219144, 0.05, 0.264223, 0.684454
0.25, 0, 0.0326643, 0.0206703, 0.05, 0.254306, 0.69236
0.25, 0, 0.0324628, 0.0225133, 0.05, 0.253886, 0.691138
0.25, 0, 0.0317931, 0.0218171, 0.05, 0.263103, 0.683287
0.25, 0, 0.0295917, 0.0221887, 0.05, 0.26209, 0.68613
0.25, 0, 0.0321921, 0.0254656, 0.05, 0.264594, 0.677748
0.25, 0, 0.0304386, 0.0187205, 0.05, 0.256301, 0.69454
0.25, 0, 0.0302, 0.0228878, 0.05, 0.256047, 0.690865
0.25, 0, 0.0302255, 0.0208596, 0.05, 0.24894, 0.699975
0.25, 0, 0.0284673, 0.0189382, 0.05, 0.256798, 0.695797
0.25, 0, 0.0329994, 0.0246284, 0.05, 0.269612, 0.67276
0.25, 0, 0.030263, 0.0233925, 0.05, 0.256132, 0.690213
0.25, 0, 0.0363295, 0.0187263, 0.05, 0.260292, 0.684652
0.25, 0, 0.0294463, 0.0235732, 0.05, 0.261567, 0.685413
0.25, 0, 0.030523, 0.020791, 0.05, 0.257028, 0.691658
0.25, 0, 0.0302205, 0.0227481, 0.05, 0.262231, 0.6848
0.25, 0, 0.0297869, 0.0229743, 0.05, 0.25554, 0.691699
0.25, 0, 0.0308428, 0.0191013, 0.05, 0.264734, 0.685322
0.25, 0, 0.0286096, 0.0208262, 0.05, 0.261349, 0.689215
0.25, 0, 0.0299307, 0.0228795, 0.05, 0.264102, 0.683087
0.25, 0, 0.0315417, 0.0184857, 0.05, 0.265134, 0.684839
0.25, 0, 0.0293945, 0.0241471, 0.05, 0.261868, 0.68459
0.25, 0, 0.0280351, 0.0228616, 0.05, 0.274265, 0.674839
0.25, 0, 0.0350017, 0.0222363, 0.05, 0.259751, 0.683011
0.25, 0, 0.0297325, 0.0194388, 0.05, 0.261291, 0.689538
0.25, 0, 0.0306762, 0.0238554, 0.05, 0.266176, 0.679293
0.25, 0, 0.0340716, 0.0244606, 0.05, 0.254848, 0.68662
0.25, 0, 0.0286207, 0.022621, 0.05, 0.264264, 0.684495
0.25, 0, 0.0285062, 0.0229666, 0.05, 0.248316, 0.700211
0.25, 0, 0.030646, 0.0257903, 0.05, 0.256841, 0.686723
0.25, 0, 0.0294997, 0.0225027, 0.05, 0.259009, 0.688988
0.25, 0, 0.0320281, 0.0237919, 0.05, 0.255066, 0.689114
0.25, 0, 0.0304923, 0.0210942, 0.05, 0.260054, 0.68836
0.25, 0, 0.029103, 0.0212478, 0.05, 0.266875, 0.682774
0.25, 0, 0.0301437, 0.0221998, 0.05, 0.255196, 0.69246
0.25, 0, 0.0320995, 0.0233913, 0.05, 0.254899, 0.689611
0.25, 0, 0.0291972, 0.0213842, 0.05, 0.255908, 0.69351
0.25, 0, 0.0281427, 0.0255262, 0.05, 0.259455, 0.686876
0.25, 0, 0.0311404, 0.0200291, 0.05, 0.252408, 0.696422
0.25, 0, 0.0291734, 0.0239402, 0.05, 0.257406, 0.689481
0.25, 0, 0.0258226, 0.020311, 0.05, 0.257443, 0.696423
0.25, 0, 0.0272855, 0.0245493, 0.05, 0.263309, 0.684856
0.25, 0, 0.0315595, 0.0246541, 0.05, 0.25241, 0.691377
0.25, 0, 0.0329725, 0.0227022, 0.05, 0.261834, 0.682491
0.25, 0, 0.0349591, 0.0231901, 0.055, 0.256694, 0.685157
0.25, 0, 0.0281676, 0.0251564, 0.055, 0.253362, 0.693314
0.25, 0, 0.0354623, 0.0267698, 0.055, 0.2541, 0.683668
0.25, 0, 0.0323097, 0.0264027, 0.055, 0.25624, 0.685047
0.25, 0, 0.0362365, 0.0258558, 0.055, 0.261193, 0.676714
0.25, 0, 0.0365083, 0.0251986, 0.055, 0.257495, 0.680799
0.25, 0, 0.0330324, 0.0247544, 0.055, 0.258346, 0.683868
0.25, 0, 0.0365279, 0.0238282, 0.055, 0.266167, 0.673477
0.25, 0, 0.0361169, 0.0228968, 0.055, 0.264324, 0.676662
0.25, 0, 0.0310747, 0.0259595, 0.055, 0.258293, 0.684673
0.25, 0, 0.033306, 0.0239451, 0.055, 0.261781, 0.680968
0.25, 0, 0.0361417, 0.0243765, 0.055, 0.257027, 0.682455
0.25, 0, 0.0320131, 0.0255143, 0.055, 0.259082, 0.68339
0.25, 0, 0.0358539, 0.0245826, 0.055, 0.262986, 0.676577
0.25, 0, 0.0369628, 0.0228107, 0.055, 0.259376, 0.680851
0.25, 0, 0.0367027, 0.023189, 0.055, 0.261382, 0.678726
0.25, 0, 0.0282751, 0.0258246, 0.055, 0.260421, 0.68548
0.25, 0, 0.033476, 0.0258424, 0.055, 0.25781, 0.682872
0.25, 0, 0.0387971, 0.0259674, 0.055, 0.253222, 0.682014
0.25, 0, 0.0359876, 0.0273567, 0.055, 0.25224, 0.684416
0.25, 0, 0.0361647, 0.0255168, 0.055, 0.258487, 0.679831
