RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0283744, 0.028609, 0.05, 0.265889, 0.677127
0.25, 0, 0.0310361, 0.0316915, 0.05, 0.250677, 0.686596
0.25, 0, 0.0275356, 0.0295812, 0.05, 0.257535, 0.685348
0.25, 0, 0.0296865, 0.0254447, 0.05, 0.253557, 0.691312
0.25, 0, 0.0301101, 0.0285249, 0.05, 0.257426, 0.68394
0.25, 0, 0.0307348, 0.0251614, 0.05, 0.256188, 0.687916
0.25, 0, 0.0317041, 0.0270184, 0.05, 0.263121, 0.678157
0.25, 0, 0.0287433, 0.0261228, 0.05, 0.253929, 0.691205
0.25, 0, 0.0297024, 0.0278927, 0.05, 0.25766, 0.684744
0.25, 0, 0.0311061, 0.0290368, 0.05, 0.256747, 0.68311
0.25, 0, 0.026172, 0.0287133, 0.05, 0.258532, 0.686583
0.25, 0, 0.0306596, 0.0292035, 0.05, 0.26508, 0.675057
0.25, 0, 0.0321461, 0.0267115, 0.05, 0.254272, 0.68687
0.25, 0, 0.0319373, 0.0297659, 0.05, 0.257158, 0.681138
0.25, 0, 0.0335709, 0.0300693, 0.05, 0.262311, 0.674049
0.25, 0, 0.0310021, 0.0255546, 0.05, 0.254739, 0.688705
0.25, 0, 0.0289365, 0.027174, 0.05, 0.264494, 0.679396
0.25, 0, 0.0286239, 0.0252151, 0.05, 0.258758, 0.687403
0.25, 0, 0.0323535, 0.0276573, 0.05, 0.260297, 0.679692
0.25, 0, 0.0311434, 0.0239953, 0.05, 0.253882, 0.690979
0.25, 0, 0.0287125, 0.0292619, 0.05, 0.258619, 0.683406
0.25, 0, 0.0322435, 0.0264681, 0.05, 0.258268, 0.683021
0.25, 0, 0.0305826, 0.0291238, 0.05, 0.264474, 0.675819
0.25, 0, 0.0295943, 0.0256839, 0.05, 0.249533, 0.695189
0.25, 0, 0.0323089, 0.0296602, 0.05, 0.260142, 0.677889
0.25, 0, 0.0306022, 0.0289855, 0.05, 0.258823, 0.681589
0.25, 0, 0.0304061, 0.0300832, 0.05, 0.264648, 0.674863
0.25, 0, 0.0292662, 0.0283501, 0.05, 0.26466, 0.677723
0.25, 0, 0.030495, 0.027898, 0.05, 0.252219, 0.689388
0.25, 0, 0.0291686, 0.028556, 0.05, 0.252999, 0.689276
0.25, 0, 0.028006, 0.0273505, 0.05, 0.265017, 0.679627
0.25, 0, 0.0283972, 0.0282414, 0.05, 0.262202, 0.68116
0.25, 0, 0.0286455, 0.02772, 0.05, 0.257353, 0.686282
0.25, 0, 0.0291421, 0.0236403, 0.05, 0.259193, 0.688025
0.25, 0, 0.0309581, 0.0260992, 0.05, 0.267235, 0.675708
0.25, 0, 0.0326691, 0.0255311, 0.05, 0.255501, 0.686298
0.25, 0, 0.0319543, 0.0309647, 0.05, 0.256371, 0.68071
0.25, 0, 0.0338196, 0.0261447, 0.05, 0.259804, 0.680232
0.25, 0, 0.0319611, 0.0264587, 0.05, 0.263004, 0.678576
0.25, 0, 0.0283769, 0.0273394, 0.05, 0.260816, 0.683468
0.25, 0, 0.0294647, 0.0330143, 0.05, 0.255525, 0.681996
0.25, 0, 0.0319179, 0.0269016, 0.05, 0.254574, 0.686606
0.25, 0, 0.0285909, 0.0292555, 0.05, 0.257478, 0.684676
0.25, 0, 0.0290715, 0.0277074, 0.05, 0.253327, 0.689895
0.25, 0, 0.0315737, 0.0287629, 0.05, 0.257043, 0.682621
0.25, 0, 0.0308803, 0.0297723, 0.05, 0.255311, 0.684036
0.25, 0, 0.0313673, 0.026847, 0.05, 0.256461, 0.685325
0.25, 0, 0.0318604, 0.0257232, 0.05, 0.258159, 0.684257
0.25, 0, 0.0278137, 0.0262455, 0.05, 0.26548, 0.680461
0.25, 0, 0.0279493, 0.0261429, 0.05, 0.260811, 0.685097
0.25, 0, 0.0306565, 0.030756, 0.05, 0.255718, 0.68287
0.25, 0, 0.0305944, 0.0288764, 0.05, 0.255204, 0.685325
0.25, 0, 0.0313284, 0.0263263, 0.05, 0.261051, 0.681295
0.25, 0, 0.0281558, 0.0290021, 0.05, 0.255438, 0.687404
0.25, 0, 0.0265173, 0.0291165, 0.05, 0.253516, 0.69085
0.25, 0, 0.0337148, 0.0262265, 0.05, 0.267156, 0.672903
0.25, 0, 0.029794, 0.0291012, 0.05, 0.25443, 0.686675
0.25, 0, 0.0295207, 0.0323567, 0.05, 0.260231, 0.677892
0.25, 0, 0.0306792, 0.0299097, 0.05, 0.256474, 0.682937
0.25, 0, 0.0309485, 0.0263965, 0.05, 0.25758, 0.685075
0.25, 0, 0.0335828, 0.0271027, 0.05, 0.268904, 0.670411
